market,time,open,high,low,close,volume
1INCH-EUR,1741132800000,0.21405,0.22169,0.21118,0.21453,175371.21228747
1INCH-EUR,1741046400000,0.20899,0.21642,0.20165,0.21272,732960.53225805
1INCH-EUR,1740960000000,0.2465,0.24702,0.21124,0.21491,229470.79879588
1INCH-EUR,1740873600000,0.23294,0.25226,0.23014,0.24807,464395.16917548
1INCH-EUR,1740787200000,0.23081,0.23488,0.22658,0.23488,64194.78672153
1INCH-EUR,1740700800000,0.23636,0.23724,0.216,0.23154,267989.42622895
1INCH-EUR,1740614400000,0.2288,0.23918,0.2288,0.23263,86564.9764339
1INCH-EUR,1740528000000,0.24177,0.24562,0.2269,0.22956,212185.30223107
1INCH-EUR,1740441600000,0.23094,0.24381,0.22423,0.24301,543677.75502216
1INCH-EUR,1740355200000,0.25071,0.25095,0.2314,0.23625,166739.25268243
1INCH-EUR,1740268800000,0.25691,0.25838,0.2533,0.25456,22183.94644491
1INCH-EUR,1740182400000,0.25353,0.25952,0.25227,0.25604,79010.67838458
1INCH-EUR,1740096000000,0.25728,0.26249,0.24676,0.2518,262209.73329148
1INCH-EUR,1740009600000,0.25711,0.25809,0.25242,0.25704,37032.36582508
1INCH-EUR,1739923200000,0.25554,0.25758,0.25156,0.25496,85902.69870061
1INCH-EUR,1739836800000,0.25602,0.25602,0.24782,0.2528,43800.69659795
1INCH-EUR,1739750400000,0.25651,0.26317,0.252,0.25893,222376.35348143
1INCH-EUR,1739664000000,0.25516,0.26156,0.2535,0.25637,76894.21199159
1INCH-EUR,1739577600000,0.25727,0.2648,0.25461,0.25544,45679.28001822
1INCH-EUR,1739491200000,0.26175,0.26473,0.25724,0.25987,339612.77533488
1INCH-EUR,1739404800000,0.26304,0.2673,0.25806,0.26317,158348.42560951
1INCH-EUR,1739318400000,0.25461,0.2659,0.25026,0.26318,269370.41458758
1INCH-EUR,1739232000000,0.25982,0.26553,0.25,0.25495,100635.60080225
1INCH-EUR,1739145600000,0.25267,0.25927,0.24501,0.25849,134422.61253548
1INCH-EUR,1739059200000,0.25223,0.25664,0.24365,0.25015,85139.52480635
1INCH-EUR,1738972800000,0.2437,0.25236,0.24042,0.25236,55662.36164683
1INCH-EUR,1738886400000,0.24523,0.25414,0.23738,0.24335,334266.26123411
1INCH-EUR,1738800000000,0.24853,0.2526,0.24117,0.24439,215939.45241043
1INCH-EUR,1738713600000,0.24976,0.25467,0.24621,0.24828,294076.74020964
1INCH-EUR,1738627200000,0.26215,0.26215,0.24474,0.25119,272700.18783791
1INCH-EUR,1738540800000,0.25969,0.27,0.20456,0.26628,1270135.47082552
1INCH-EUR,1738454400000,0.2914,0.2914,0.24803,0.26086,533170.62257709
1INCH-EUR,1738368000000,0.30355,0.30365,0.28397,0.28397,67028.24507004
1INCH-EUR,1738281600000,0.30097,0.31139,0.2975,0.29954,137055.56033489
1INCH-EUR,1738195200000,0.28604,0.30379,0.28604,0.30051,140314.62918886
1INCH-EUR,1738108800000,0.28874,0.29617,0.28234,0.291,88726.80749544
1INCH-EUR,1738022400000,0.29567,0.29617,0.2815,0.2831,84076.13657216
1INCH-EUR,1737936000000,0.29681,0.29681,0.27262,0.29307,302413.49913762
1INCH-EUR,1737849600000,0.29947,0.31137,0.29713,0.29713,221485.77437103
1INCH-EUR,1737763200000,0.29063,0.30137,0.288,0.29808,147005.51180822
1INCH-EUR,1737676800000,0.30512,0.30608,0.29016,0.29135,68279.36906613
1INCH-EUR,1737590400000,0.31547,0.31558,0.298,0.30597,154480.8361736
1INCH-EUR,1737504000000,0.3327,0.3327,0.31394,0.31568,157669.75731394
1INCH-EUR,1737417600000,0.327,0.34316,0.31675,0.33443,457154.97003714
1INCH-EUR,1737331200000,0.3254,0.35301,0.31605,0.3257,751554.85449206
1INCH-EUR,1737244800000,0.36199,0.36498,0.3215,0.3279,653340.70828696
1INCH-EUR,1737158400000,0.38721,0.38952,0.35474,0.36267,188603.09092649
1INCH-EUR,1737072000000,0.3698,0.39093,0.3698,0.38785,124583.32141093
1INCH-EUR,1736985600000,0.37568,0.3795,0.3631,0.36873,196255.41058698
1INCH-EUR,1736899200000,0.36328,0.37929,0.35136,0.37929,211607.68040712
1INCH-EUR,1736812800000,0.35307,0.36526,0.35113,0.36297,118630.76684561
1INCH-EUR,1736726400000,0.36863,0.37665,0.33459,0.3535,155104.54484663
1INCH-EUR,1736640000000,0.38009,0.38123,0.36438,0.36969,19416.26905143
1INCH-EUR,1736553600000,0.38226,0.38652,0.37149,0.37626,37417.73107877
1INCH-EUR,1736467200000,0.37414,0.38445,0.36816,0.38344,126150.51895085
1INCH-EUR,1736380800000,0.3717,0.3799,0.36295,0.3733,285922.57594379
1INCH-EUR,1736294400000,0.37911,0.3805,0.3531,0.37131,159075.97523916
1INCH-EUR,1736208000000,0.4193,0.42102,0.3775,0.379,364192.50157706
1INCH-EUR,1736121600000,0.41834,0.42748,0.4104,0.42081,268003.08132507
1INCH-EUR,1736035200000,0.41229,0.4219,0.40664,0.41871,121956.93267246
1INCH-EUR,1735948800000,0.41094,0.41688,0.40568,0.41455,265755.79177412
1INCH-EUR,1735862400000,0.39208,0.41533,0.38396,0.41094,155180.12096394
1INCH-EUR,1735776000000,0.37959,0.39636,0.37928,0.3908,125592.6523547
1INCH-EUR,1735689600000,0.3686,0.38029,0.36153,0.37944,102076.60242619
1INCH-EUR,1735603200000,0.3752,0.3835,0.36699,0.36881,65074.22770106
1INCH-EUR,1735516800000,0.37685,0.38795,0.36612,0.37592,131822.21780951
1INCH-EUR,1735430400000,0.39193,0.39256,0.3711,0.37578,245989.00095271
1INCH-EUR,1735344000000,0.37508,0.39622,0.37359,0.39574,185904.04238016
1INCH-EUR,1735257600000,0.37354,0.39258,0.37129,0.37129,418563.70924493
1INCH-EUR,1735171200000,0.39971,0.403,0.36899,0.3737,68231.41898123
1INCH-EUR,1735084800000,0.40203,0.40452,0.39232,0.4005,93859.85006569
1INCH-EUR,1734998400000,0.3886,0.40759,0.37783,0.4018,159415.12737696
1INCH-EUR,1734912000000,0.36277,0.39299,0.35593,0.38717,260342.57599679
1INCH-EUR,1734825600000,0.36479,0.37798,0.35368,0.36397,265509.10047686
1INCH-EUR,1734739200000,0.38313,0.40407,0.35933,0.36245,263407.31983568
1INCH-EUR,1734652800000,0.37054,0.38556,0.32264,0.38309,998932.13611773
1INCH-EUR,1734566400000,0.40782,0.41259,0.35712,0.37182,824911.16066183
1INCH-EUR,1734480000000,0.44805,0.44856,0.39851,0.40648,503578.45917173
1INCH-EUR,1734393600000,0.46589,0.46742,0.441,0.4475,331997.81432988
1INCH-EUR,1734307200000,0.47364,0.48258,0.45512,0.46593,736079.63706102
1INCH-EUR,1734220800000,0.45441,0.47452,0.441,0.47433,401952.739057
1INCH-EUR,1734134400000,0.48452,0.49215,0.44419,0.45584,485315.98308732
1INCH-EUR,1734048000000,0.49236,0.50055,0.46848,0.47915,593541.89296948
1INCH-EUR,1733961600000,0.46682,0.50355,0.46174,0.49381,1108223.9012717
1INCH-EUR,1733875200000,0.41083,0.47097,0.39475,0.47009,889040.69937562
1INCH-EUR,1733788800000,0.4486,0.45274,0.38001,0.41081,1197291.10642414
1INCH-EUR,1733702400000,0.59118,0.59128,0.38808,0.4505,2740700.80790282
1INCH-EUR,1733616000000,0.50494,0.599,0.48961,0.5935,2035321.99149228
1INCH-EUR,1733529600000,0.51658,0.5455,0.49692,0.5051,424352.19516451
1INCH-EUR,1733443200000,0.47998,0.542,0.47794,0.51747,756097.65136585
1INCH-EUR,1733356800000,0.4972,0.50524,0.4678,0.4833,754791.33538901
1INCH-EUR,1733270400000,0.48624,0.5239,0.47544,0.49618,986543.28343382
1INCH-EUR,1733184000000,0.46628,0.49214,0.43,0.48608,1602576.4380367
1INCH-EUR,1733097600000,0.42188,0.46978,0.40821,0.46573,965730.7547406
1INCH-EUR,1733011200000,0.41734,0.43005,0.40453,0.4213,347707.02293781
1INCH-EUR,1732924800000,0.40177,0.42636,0.39608,0.41987,480978.90364936
1INCH-EUR,1732838400000,0.39428,0.40645,0.37995,0.40291,208765.75484904
1INCH-EUR,1732752000000,0.40183,0.40317,0.38185,0.39554,265877.93339068
1INCH-EUR,1732665600000,0.36768,0.40716,0.36426,0.40645,517224.96313051
1INCH-EUR,1732579200000,0.36213,0.38533,0.3424,0.3701,601580.36420999
1INCH-EUR,1732492800000,0.37756,0.39043,0.35731,0.36546,683008.39772041
1INCH-EUR,1732406400000,0.35797,0.39191,0.34476,0.37578,683918.22232146
1INCH-EUR,1732320000000,0.34089,0.36536,0.33519,0.35995,697836.1167673
1INCH-EUR,1732233600000,0.31917,0.34066,0.31578,0.34066,521200.82753732
1INCH-EUR,1732147200000,0.3033,0.32417,0.29421,0.31929,734057.0867747
1INCH-EUR,1732060800000,0.31562,0.31562,0.29725,0.30551,581683.13218293
1INCH-EUR,1731974400000,0.315,0.35226,0.31111,0.31556,1393140.42259515
