market,time,open,high,low,close,volume
ABT-EUR,1741132800000,0.71583,0.72919,0.69,0.70848,21786.54102952
ABT-EUR,1741046400000,0.73323,0.76684,0.69509,0.72272,50629.69162749
ABT-EUR,1740960000000,0.81014,0.9178,0.72553,0.741,301316.73991597
ABT-EUR,1740873600000,1.0225,1.1071,0.70003,0.81823,1310208.51853424
ABT-EUR,1740787200000,0.7189,0.7334,0.69942,0.70855,27981.59820287
ABT-EUR,1740700800000,0.75748,0.76262,0.67961,0.73439,46947.07709793
ABT-EUR,1740614400000,0.7668,0.77713,0.73786,0.74895,44741.24604447
ABT-EUR,1740528000000,0.7754,0.79548,0.70456,0.7478,30282.83581526
ABT-EUR,1740441600000,0.776,0.81,0.69121,0.7649,58777.46352079
ABT-EUR,1740355200000,0.87356,0.87544,0.76753,0.76753,45428.25445716
ABT-EUR,1740268800000,0.87344,0.88843,0.85207,0.87215,19881.4319992
ABT-EUR,1740182400000,0.85371,0.92499,0.85371,0.87825,40658.79413227
ABT-EUR,1740096000000,0.88032,0.92805,0.83434,0.8536,85759.54679914
ABT-EUR,1740009600000,0.90997,0.964,0.87729,0.90134,47307.63614152
ABT-EUR,1739923200000,0.86999,0.91487,0.84845,0.9047,33365.12265927
ABT-EUR,1739836800000,0.8888,0.89945,0.84992,0.86942,53631.28735207
ABT-EUR,1739750400000,0.96231,0.97816,0.87302,0.88294,162173.63011635
ABT-EUR,1739664000000,0.86758,1.1671,0.85982,0.96405,755496.58729999
ABT-EUR,1739577600000,0.87419,0.88328,0.85326,0.85902,34290.49281108
ABT-EUR,1739491200000,0.87233,0.88123,0.85292,0.86804,40612.33774773
ABT-EUR,1739404800000,0.87695,0.88802,0.84172,0.86434,28461.46787127
ABT-EUR,1739318400000,0.88351,0.89127,0.85081,0.87875,62785.19739942
ABT-EUR,1739232000000,0.90547,0.96152,0.87775,0.88473,52972.95610253
ABT-EUR,1739145600000,0.93595,0.96352,0.88707,0.89804,62642.06178775
ABT-EUR,1739059200000,0.99133,1,0.91939,0.92339,30017.85770261
ABT-EUR,1738972800000,0.9516,0.98756,0.94922,0.96699,18542.38521157
ABT-EUR,1738886400000,0.91868,1.0225,0.91868,0.93978,27849.12501977
ABT-EUR,1738800000000,1.0112,1.0524,0.91517,0.91976,60584.80049305
ABT-EUR,1738713600000,1.0453,1.062,1.0062,1.0258,40424.54560614
ABT-EUR,1738627200000,1.1269,1.1269,1.0349,1.0542,27266.87524854
ABT-EUR,1738540800000,1.0356,1.1404,0.92514,1.1167,87852.3468511
ABT-EUR,1738454400000,1.1178,1.1691,1,1.0438,94952.07687396
ABT-EUR,1738368000000,1.2183,1.23,1.1302,1.1411,95911.90866762
ABT-EUR,1738281600000,1.2865,1.2898,1.2133,1.2138,95940.98248199
ABT-EUR,1738195200000,1.2581,1.375,1.2239,1.2727,316403.94642443
ABT-EUR,1738108800000,1.1165,1.5402,1.0921,1.2558,1102392.90475038
ABT-EUR,1738022400000,1.165,1.1777,1.1,1.1144,109647.6189305
ABT-EUR,1737936000000,1.2407,1.2524,1.1073,1.1769,132377.60753649
ABT-EUR,1737849600000,1.2226,1.35,1.2039,1.2415,111158.6954101
ABT-EUR,1737763200000,1.3058,1.3671,1.2045,1.2113,119691.75120744
ABT-EUR,1737676800000,1.3526,1.6,1.2587,1.3056,496739.21633292
ABT-EUR,1737590400000,1.1823,1.8865,1.1563,1.3552,3003398.92770935
ABT-EUR,1737504000000,1,1.49,0.99782,1.1703,781425.65539055
ABT-EUR,1737417600000,1.0274,1.0431,0.99825,1.0064,80277.63143342
ABT-EUR,1737331200000,1.0245,1.1336,0.98535,1.0312,98500.96186346
ABT-EUR,1737244800000,1.1959,1.2016,0.988,1.0186,150010.23137769
ABT-EUR,1737158400000,1.211,1.2302,1.1588,1.196,36547.10290333
ABT-EUR,1737072000000,1.1729,1.2338,1.1587,1.2321,63912.1528812
ABT-EUR,1736985600000,1.2146,1.2348,1.15,1.1642,54793.92991578
ABT-EUR,1736899200000,1.202,1.2316,1.1577,1.2193,58959.01902039
ABT-EUR,1736812800000,1.2005,1.2485,1.184,1.2032,37671.84775199
ABT-EUR,1736726400000,1.2364,1.2522,1.151,1.1945,33132.96582459
ABT-EUR,1736640000000,1.1951,1.327,1.1745,1.2355,52059.07429934
ABT-EUR,1736553600000,1.2554,1.3091,1.2032,1.2125,14889.45557048
ABT-EUR,1736467200000,1.2054,1.2593,1.1681,1.2593,34731.14417594
ABT-EUR,1736380800000,1.2715,1.2715,1.1659,1.1924,51190.04682767
ABT-EUR,1736294400000,1.3128,1.3256,1.2334,1.2715,30634.17276405
ABT-EUR,1736208000000,1.4,1.4082,1.2882,1.3183,47934.27368072
ABT-EUR,1736121600000,1.4262,1.4484,1.3729,1.3949,41513.99067494
ABT-EUR,1736035200000,1.4821,1.4943,1.4327,1.4368,13283.54820539
ABT-EUR,1735948800000,1.535,1.546,1.4472,1.4775,32065.58591372
ABT-EUR,1735862400000,1.3749,1.5971,1.3638,1.5244,58770.77575246
ABT-EUR,1735776000000,1.3559,1.4008,1.3489,1.3668,40082.30982908
ABT-EUR,1735689600000,1.3054,1.4179,1.2449,1.3559,20398.2908567
ABT-EUR,1735603200000,1.3502,1.3923,1.207,1.3253,85438.34558803
ABT-EUR,1735516800000,1.3819,1.568,1.3118,1.3118,177790.13109922
ABT-EUR,1735430400000,1.3652,1.3876,1.3495,1.3825,30553.74428204
ABT-EUR,1735344000000,1.3598,1.3844,1.3537,1.3669,13363.24255369
ABT-EUR,1735257600000,1.3846,1.4074,1.3465,1.3578,18916.22994088
ABT-EUR,1735171200000,1.4191,1.4518,1.35,1.3817,86631.81572698
ABT-EUR,1735084800000,1.458,1.4664,1.3994,1.4091,24202.2490604
ABT-EUR,1734998400000,1.4712,1.5075,1.4363,1.4538,33476.12039991
ABT-EUR,1734912000000,1.4301,1.5173,1.4241,1.4806,28398.70438589
ABT-EUR,1734825600000,1.4555,1.4929,1.3692,1.4203,27167.30496482
ABT-EUR,1734739200000,1.543,1.6006,1.4399,1.4447,74364.04103714
ABT-EUR,1734652800000,1.4811,1.7102,1.3699,1.5716,134592.52478567
ABT-EUR,1734566400000,1.4767,1.7214,1.4311,1.4311,177990.21377981
ABT-EUR,1734480000000,1.5379,1.5604,1.4011,1.5116,55845.20056627
ABT-EUR,1734393600000,1.6058,1.6138,1.5323,1.5511,18094.34881735
ABT-EUR,1734307200000,1.6647,1.6837,1.6071,1.6071,24064.05208721
ABT-EUR,1734220800000,1.591,1.6586,1.5595,1.6565,19053.48219455
ABT-EUR,1734134400000,1.6408,1.6785,1.5725,1.5976,34966.38191222
ABT-EUR,1734048000000,1.7298,2.0005,1.0993,1.6347,245343.53828822
ABT-EUR,1733961600000,1.7903,1.8184,1.6932,1.7136,51280.93977971
ABT-EUR,1733875200000,1.5825,1.8867,1.5253,1.7787,194136.78135032
ABT-EUR,1733788800000,1.7107,1.7337,1.413,1.5961,93898.78656049
ABT-EUR,1733702400000,1.8871,1.8949,1.1372,1.6986,112730.70587706
ABT-EUR,1733616000000,1.8439,1.9038,1.8174,1.8901,98565.43214572
ABT-EUR,1733529600000,1.7966,1.85,1.7523,1.828,71968.68091509
