market,time,open,high,low,close,volume
ACX-EUR,1741132800000,0.22459,0.24289,0.22299,0.23222,221233.67081051
ACX-EUR,1741046400000,0.23676,0.24076,0.21178,0.2284,739252.94921963
ACX-EUR,1740960000000,0.27483,0.28259,0.23537,0.24038,50166.96583308
ACX-EUR,1740873600000,0.25376,0.28923,0.24967,0.28341,380796.49807618
ACX-EUR,1740787200000,0.2522,0.25324,0.24003,0.24626,29598.20010317
ACX-EUR,1740700800000,0.23665,0.25596,0.22941,0.25596,43059.31967979
ACX-EUR,1740614400000,0.24806,0.25435,0.24057,0.24905,47300.60105191
ACX-EUR,1740528000000,0.25601,0.25707,0.23578,0.24937,26881.96501117
ACX-EUR,1740441600000,0.24406,0.25138,0.22742,0.25132,34609.56108804
ACX-EUR,1740355200000,0.27865,0.27865,0.24707,0.25008,18882.82950732
ACX-EUR,1740268800000,0.29053,0.2967,0.2826,0.2826,54378.69605514
ACX-EUR,1740182400000,0.28878,0.3019,0.28878,0.29329,47894.53645417
ACX-EUR,1740096000000,0.31162,0.32326,0.28597,0.28597,61472.57158339
ACX-EUR,1740009600000,0.31096,0.31213,0.30697,0.30941,13336.19062824
ACX-EUR,1739923200000,0.30548,0.31744,0.30548,0.31268,35120.96137416
ACX-EUR,1739836800000,0.30627,0.30892,0.3025,0.30892,13302.66858725
ACX-EUR,1739750400000,0.30901,0.31768,0.30593,0.31133,10612.05860062
ACX-EUR,1739664000000,0.31538,0.32088,0.3141,0.3141,6321.70395382
ACX-EUR,1739577600000,0.32876,0.32876,0.31612,0.31612,10363.06379965
ACX-EUR,1739491200000,0.31979,0.33492,0.31951,0.334,23228.22936271
ACX-EUR,1739404800000,0.32246,0.32603,0.32025,0.32287,7730.48931733
ACX-EUR,1739318400000,0.31872,0.33857,0.31197,0.33613,51362.43075298
ACX-EUR,1739232000000,0.32872,0.33859,0.31423,0.3165,50455.76473414
ACX-EUR,1739145600000,0.31498,0.32408,0.3086,0.32205,44670.99959595
ACX-EUR,1739059200000,0.32363,0.32669,0.30226,0.31431,111390.22895981
ACX-EUR,1738972800000,0.31157,0.32176,0.30971,0.32176,155042.7146701
ACX-EUR,1738886400000,0.316,0.32021,0.30106,0.30817,65428.54972936
ACX-EUR,1738800000000,0.31532,0.31842,0.30633,0.30961,128333.60892399
ACX-EUR,1738713600000,0.32781,0.32781,0.30636,0.3149,131143.16272913
ACX-EUR,1738627200000,0.35732,0.35732,0.31997,0.32643,274976.37302318
ACX-EUR,1738540800000,0.30141,0.36001,0.26418,0.3519,522788.59891168
ACX-EUR,1738454400000,0.37919,0.38465,0.3,0.31409,324021.78132449
ACX-EUR,1738368000000,0.41359,0.42242,0.37712,0.37712,80129.44517605
ACX-EUR,1738281600000,0.408,0.43172,0.4011,0.41289,82406.33479748
ACX-EUR,1738195200000,0.39092,0.42072,0.39092,0.40886,101964.53426823
ACX-EUR,1738108800000,0.379,0.40873,0.379,0.40873,187676.61500422
ACX-EUR,1738022400000,0.39339,0.39339,0.37293,0.3803,52422.80330201
ACX-EUR,1737936000000,0.38,0.40577,0.36777,0.3956,388938.67235411
ACX-EUR,1737849600000,0.3955,0.4055,0.3953,0.39782,56684.99556691
ACX-EUR,1737763200000,0.37579,0.4075,0.37328,0.3941,722411.9101683
ACX-EUR,1737676800000,0.3838,0.39078,0.37589,0.37892,98230.66110485
ACX-EUR,1737590400000,0.37427,0.39687,0.37391,0.38868,140989.3011248
ACX-EUR,1737504000000,0.40046,0.40351,0.37826,0.37826,93510.10458532
ACX-EUR,1737417600000,0.38207,0.41665,0.37373,0.39938,208773.18899622
ACX-EUR,1737331200000,0.37242,0.41641,0.36359,0.38954,590459.46500059
ACX-EUR,1737244800000,0.39271,0.40585,0.36097,0.37528,518411.60320438
ACX-EUR,1737158400000,0.4459,0.45531,0.37523,0.39187,483442.16993566
ACX-EUR,1737072000000,0.43614,0.45317,0.42862,0.44658,510721.2354204
ACX-EUR,1736985600000,0.4397,0.44152,0.41819,0.42011,116883.20985102
ACX-EUR,1736899200000,0.42093,0.44452,0.39968,0.44241,59528.17789726
ACX-EUR,1736812800000,0.40827,0.424,0.40827,0.41882,68339.22798781
ACX-EUR,1736726400000,0.43395,0.43395,0.36291,0.39772,54922.83178383
ACX-EUR,1736640000000,0.43179,0.43353,0.41778,0.41849,42080.42564113
ACX-EUR,1736553600000,0.43242,0.44529,0.4269,0.43508,31613.88051114
ACX-EUR,1736467200000,0.43249,0.45447,0.42431,0.44078,55614.44245222
ACX-EUR,1736380800000,0.46312,0.46473,0.41924,0.42895,115796.10150171
ACX-EUR,1736294400000,0.49699,0.49699,0.4336,0.45671,106569.39229595
ACX-EUR,1736208000000,0.58069,0.58265,0.49434,0.49489,180749.63759336
