market,time,open,high,low,close,volume
ADA-EUR,1741132800000,0.87531,0.9618,0.86118,0.90334,41606704.415066
ADA-EUR,1741046400000,0.81928,0.91702,0.723,0.87627,73824313.53623998
ADA-EUR,1740960000000,1.0871,1.1171,0.7821,0.8229,96938973.75613202
ADA-EUR,1740873600000,0.63379,1.111,0.62198,1.0542,121253553.45914692
ADA-EUR,1740787200000,0.62158,0.65352,0.60333,0.61859,9979854.509783
ADA-EUR,1740700800000,0.62041,0.62122,0.55703,0.60991,23000258.899981
ADA-EUR,1740614400000,0.61702,0.64828,0.6016,0.62081,12163196.389269
ADA-EUR,1740528000000,0.64967,0.66163,0.60109,0.61662,17826817.70993
ADA-EUR,1740441600000,0.65154,0.6636,0.6,0.64939,36767386.15492498
ADA-EUR,1740355200000,0.73507,0.74166,0.64,0.65152,21388916.202453
ADA-EUR,1740268800000,0.7398,0.7539,0.7266,0.73496,4699181.135894
ADA-EUR,1740182400000,0.72838,0.75017,0.72465,0.74,5172690.829002
ADA-EUR,1740096000000,0.7657,0.78142,0.71763,0.72876,17933758.524143
ADA-EUR,1740009600000,0.74237,0.77279,0.73936,0.76595,10665035.059124
ADA-EUR,1739923200000,0.72028,0.74439,0.7012,0.74231,14470722.078559
ADA-EUR,1739836800000,0.773,0.77808,0.70383,0.72069,19086568.52709499
ADA-EUR,1739750400000,0.73776,0.7913,0.73671,0.77219,16391789.552704
ADA-EUR,1739664000000,0.74524,0.75271,0.727,0.73596,7686303.385343
ADA-EUR,1739577600000,0.7628,0.7758,0.73914,0.74529,10069448.839511
ADA-EUR,1739491200000,0.77527,0.79006,0.75313,0.76249,17297485.905308
ADA-EUR,1739404800000,0.76922,0.794,0.73775,0.77513,15701364.125027
ADA-EUR,1739318400000,0.75127,0.77757,0.72303,0.7696,22050317.558253
ADA-EUR,1739232000000,0.69236,0.79715,0.68982,0.75114,38834633.66326501
ADA-EUR,1739145600000,0.66136,0.70283,0.64433,0.69125,12357362.561338
ADA-EUR,1739059200000,0.67933,0.6936,0.63102,0.66187,14508853.267409
