market,time,open,high,low,close,volume
AEVO-EUR,1741132800000,0.12417,0.12899,0.12123,0.12676,2352059.09909007
AEVO-EUR,1741046400000,0.13228,0.13256,0.11337,0.12503,17272320.49869712
AEVO-EUR,1740960000000,0.1622,0.1636,0.12765,0.13098,4056938.06402293
AEVO-EUR,1740873600000,0.14549,0.16437,0.14405,0.1608,4440793.42836064
AEVO-EUR,1740787200000,0.14909,0.15393,0.14174,0.14523,2676410.78660102
AEVO-EUR,1740700800000,0.14622,0.16211,0.13005,0.15346,5403227.85155114
AEVO-EUR,1740614400000,0.13694,0.15116,0.13555,0.14579,3121144.05268992
AEVO-EUR,1740528000000,0.13233,0.13831,0.12919,0.13669,1882665.50795162
AEVO-EUR,1740441600000,0.12569,0.1332,0.11489,0.13134,10188950.47795946
AEVO-EUR,1740355200000,0.15289,0.15349,0.12077,0.12577,4726264.80556809
AEVO-EUR,1740268800000,0.15914,0.16056,0.15,0.15189,1601335.72056112
AEVO-EUR,1740182400000,0.14825,0.16071,0.14734,0.15781,1310826.45453133
AEVO-EUR,1740096000000,0.15142,0.16486,0.14622,0.14931,5574734.47059473
AEVO-EUR,1740009600000,0.14467,0.15084,0.14443,0.15084,1178265.2997482
AEVO-EUR,1739923200000,0.14348,0.14718,0.141,0.14414,797488.44225267
AEVO-EUR,1739836800000,0.15233,0.15233,0.13549,0.14372,1415298.35386025
AEVO-EUR,1739750400000,0.1561,0.1607,0.14565,0.15045,1229880.94316889
AEVO-EUR,1739664000000,0.15469,0.15941,0.15217,0.15617,563036.1075355
AEVO-EUR,1739577600000,0.16152,0.16204,0.1525,0.1542,641687.0166279
AEVO-EUR,1739491200000,0.15704,0.16707,0.15686,0.16165,1095577.08422709
AEVO-EUR,1739404800000,0.16385,0.16681,0.154,0.15764,936090.58993872
AEVO-EUR,1739318400000,0.15124,0.16564,0.14592,0.16244,4171404.60653941
AEVO-EUR,1739232000000,0.15596,0.16446,0.14815,0.15077,1625817.21957736
AEVO-EUR,1739145600000,0.15133,0.15663,0.14388,0.15584,1373264.88548342
AEVO-EUR,1739059200000,0.15393,0.16036,0.1425,0.15125,1461028.86249398
AEVO-EUR,1738972800000,0.14445,0.15513,0.14416,0.15457,1816485.02954304
AEVO-EUR,1738886400000,0.14512,0.15712,0.13833,0.14512,2368423.52917301
