market,time,open,high,low,close,volume
AGLD-EUR,1741132800000,1.2085,1.2359,1.1667,1.17,74905.2246939
AGLD-EUR,1741046400000,1.1508,1.2147,1.0585,1.0972,287651.91660781
AGLD-EUR,1740960000000,1.3228,1.3336,1.1278,1.1466,198358.51545451
AGLD-EUR,1740873600000,1.2949,1.3685,1.2783,1.3515,59374.67594636
AGLD-EUR,1740787200000,1.3497,1.3497,1.2621,1.3208,33064.45470914
AGLD-EUR,1740700800000,1.3648,1.3922,1.2448,1.3656,36461.97524509
AGLD-EUR,1740614400000,1.4181,1.4362,1.3386,1.355,40935.5112825
AGLD-EUR,1740528000000,1.4425,1.5,1.35,1.4589,208319.3180841
AGLD-EUR,1740441600000,1.3754,1.4571,1.294,1.4571,107556.41710756
AGLD-EUR,1740355200000,1.4498,1.4498,1.337,1.3601,71227.6607866
AGLD-EUR,1740268800000,1.4454,1.5,1.3628,1.45,100777.05608227
AGLD-EUR,1740182400000,1.3069,1.4582,1.3,1.4025,74021.05812523
AGLD-EUR,1740096000000,1.3479,1.45,1.3114,1.3284,111991.06975019
AGLD-EUR,1740009600000,1.2564,1.3624,1.2564,1.3622,66410.46595486
AGLD-EUR,1739923200000,1.2299,1.3156,1.1856,1.2487,69159.25079499
AGLD-EUR,1739836800000,1.2137,1.273,1.1284,1.2459,97845.0586011
AGLD-EUR,1739750400000,1.09,1.2968,1.088,1.227,516687.54485827
AGLD-EUR,1739664000000,1.0857,1.1182,1.0646,1.0826,50800.8744002
AGLD-EUR,1739577600000,1.1269,1.1281,1.0717,1.0845,44345.87696245
AGLD-EUR,1739491200000,1.1163,1.1696,1.1128,1.1269,78127.45600528
AGLD-EUR,1739404800000,1.186,1.2099,1.113,1.113,41105.36729954
AGLD-EUR,1739318400000,1.125,1.1909,1.095,1.1909,80627.78154435
AGLD-EUR,1739232000000,1.1467,1.2324,1.1323,1.1467,116622.12450677
AGLD-EUR,1739145600000,1.135,1.1866,1.075,1.1403,58570.73570131
AGLD-EUR,1739059200000,1.2467,1.2503,1.106,1.1383,76039.26507887
AGLD-EUR,1738972800000,1.0744,1.2967,1.0744,1.2552,354227.81807852
AGLD-EUR,1738886400000,1.0434,1.1546,1.0337,1.0699,142806.85744731
AGLD-EUR,1738800000000,1.0861,1.0886,1.0044,1.0044,42573.45331737
AGLD-EUR,1738713600000,1.0943,1.1872,1.0746,1.0827,78059.27956669
AGLD-EUR,1738627200000,1.1764,1.1764,1.05,1.0903,48450.45137217
AGLD-EUR,1738540800000,1.0864,1.1792,0.875,1.1735,159829.98834596
AGLD-EUR,1738454400000,1.2779,1.2779,1.075,1.132,52387.30424838
AGLD-EUR,1738368000000,1.4474,1.4474,1.2578,1.269,10172.65618248
AGLD-EUR,1738281600000,1.473,1.5025,1.4199,1.4199,40756.1669965
AGLD-EUR,1738195200000,1.3854,1.4821,1.3841,1.4687,19488.17752062
AGLD-EUR,1738108800000,1.35,1.4358,1.325,1.3862,31306.87117047
AGLD-EUR,1738022400000,1.5082,1.5259,1.3557,1.3658,41876.45591583
AGLD-EUR,1737936000000,1.4753,1.6408,1.4471,1.5532,209647.58219551
AGLD-EUR,1737849600000,1.4887,1.6016,1.4836,1.4938,106588.92446394
AGLD-EUR,1737763200000,1.45,1.5396,1.4237,1.5048,29610.85894445
AGLD-EUR,1737676800000,1.5179,1.6,1.4095,1.466,97797.51559185
AGLD-EUR,1737590400000,1.5,1.5613,1.4827,1.5199,26881.9266643
AGLD-EUR,1737504000000,1.54,1.5736,1.5067,1.5067,26988.99351969
AGLD-EUR,1737417600000,1.5114,1.6033,1.425,1.5451,58964.09507571
AGLD-EUR,1737331200000,1.5334,1.6409,1.4785,1.5135,110804.60277192
AGLD-EUR,1737244800000,1.776,1.7925,1.525,1.5472,155084.27521112
AGLD-EUR,1737158400000,1.9455,2.12,1.725,1.7781,132728.08532486
AGLD-EUR,1737072000000,1.9037,1.9738,1.8645,1.9625,70783.08468757
AGLD-EUR,1736985600000,1.9232,2.1141,1.8673,1.902,278861.25210261
AGLD-EUR,1736899200000,1.8869,1.9906,1.7852,1.9424,148852.95236237
AGLD-EUR,1736812800000,1.8605,1.9819,1.8334,1.8955,189181.48089236
AGLD-EUR,1736726400000,1.9979,2.028,1.7965,1.8554,282734.10951488
AGLD-EUR,1736640000000,2.2246,2.2246,1.998,2.007,307581.7642322
AGLD-EUR,1736553600000,1.8849,2.3991,1.8087,2.2208,698448.17774681
AGLD-EUR,1736467200000,1.94,2.114,1.85,1.8849,199417.63247991
AGLD-EUR,1736380800000,2.1453,2.1453,1.9053,1.9367,171389.20280614
AGLD-EUR,1736294400000,2.3454,2.4122,2.0967,2.1635,139487.7600571
AGLD-EUR,1736208000000,2.525,2.5803,2.35,2.35,115178.40230347
AGLD-EUR,1736121600000,2.6896,2.6925,2.4871,2.5625,192253.02816878
AGLD-EUR,1736035200000,2.6356,2.9461,2.5719,2.6752,266876.41872156
AGLD-EUR,1735948800000,2.7613,2.825,2.64,2.6601,249748.03965128
AGLD-EUR,1735862400000,2.55,2.9783,2.5176,2.7827,755709.21402894
AGLD-EUR,1735776000000,2.4804,2.6431,2.327,2.5243,797517.23594925
AGLD-EUR,1735689600000,2.3535,2.4991,2.0749,2.49,787962.30228353
AGLD-EUR,1735603200000,2.6716,2.8397,2.329,2.3461,743915.34755158
AGLD-EUR,1735516800000,2.4122,2.8991,2.25,2.6206,1751448.64975022
AGLD-EUR,1735430400000,1.736,2.6997,1.6588,2.4144,2780764.9744956
AGLD-EUR,1735344000000,1.9825,1.9825,1.737,1.7893,174515.81340644
AGLD-EUR,1735257600000,2.1849,2.1866,1.9836,1.9836,317136.55403117
AGLD-EUR,1735171200000,2.2038,2.5133,1.9719,2.1895,935832.75685412
AGLD-EUR,1735084800000,1.6524,2.4036,1.647,2.2048,2011494.60694813
AGLD-EUR,1734998400000,1.5011,1.7656,1.5011,1.6775,324552.30745607
AGLD-EUR,1734912000000,1.5612,1.5612,1.394,1.5343,242102.64994477
AGLD-EUR,1734825600000,2.08,2.1177,1.5471,1.5707,778151.51131223
AGLD-EUR,1734739200000,1.2639,2.0724,1.2639,2.071,1367227.14745018
AGLD-EUR,1734652800000,1.1447,1.2586,1.0976,1.2504,163173.18399947
AGLD-EUR,1734566400000,1.123,1.252,1.0993,1.1642,34030.53653907
AGLD-EUR,1734480000000,1.2096,1.2995,1.1608,1.178,27576.4779474
AGLD-EUR,1734393600000,1.375,1.375,1.2261,1.2261,6296.45707362
AGLD-EUR,1734307200000,1.3064,1.4125,1.2773,1.375,65931.03524951
AGLD-EUR,1734220800000,1.2379,1.3121,1.2323,1.3084,27552.01364764
AGLD-EUR,1734134400000,1.2793,1.2942,1.2137,1.2644,30103.38788922
AGLD-EUR,1734048000000,1.2793,1.2821,1.2444,1.2526,11929.83932618
