market,time,open,high,low,close,volume
AIXBT-EUR,1741219200000,0.14501,0.14501,0.14486,0.14486,6672.59999989
AIXBT-EUR,1741132800000,0.1577,0.16154,0.14,0.15592,5364467.28876178
AIXBT-EUR,1741046400000,0.16051,0.1715,0.14665,0.15877,9274732.10741643
AIXBT-EUR,1740960000000,0.20466,0.22133,0.1674,0.17422,6315863.15573138
AIXBT-EUR,1740873600000,0.19742,0.22431,0.18422,0.21729,9298353.58957196
AIXBT-EUR,1740787200000,0.20209,0.20602,0.17958,0.18412,3161724.17423234
AIXBT-EUR,1740700800000,0.19236,0.20862,0.17385,0.20002,5722458.83165088
AIXBT-EUR,1740614400000,0.203,0.21612,0.1905,0.19159,6003145.61408278
AIXBT-EUR,1740528000000,0.18497,0.2057,0.18004,0.20059,7935197.34012923
AIXBT-EUR,1740441600000,0.16701,0.19517,0.15249,0.18418,10015279.90571738
AIXBT-EUR,1740355200000,0.199,0.21357,0.16422,0.16654,6969357.75312585
AIXBT-EUR,1740268800000,0.20777,0.21125,0.18936,0.19938,4915535.18352625
AIXBT-EUR,1740182400000,0.18712,0.21697,0.18608,0.20803,9011499.94597594
AIXBT-EUR,1740096000000,0.18363,0.22721,0.175,0.18888,13400799.9030187
AIXBT-EUR,1740009600000,0.17165,0.18585,0.168,0.18344,5966876.24369677
AIXBT-EUR,1739923200000,0.17363,0.17793,0.16572,0.17105,4151830.59278577
AIXBT-EUR,1739836800000,0.19159,0.19497,0.15933,0.17364,9082310.04415346
AIXBT-EUR,1739750400000,0.20686,0.21745,0.18415,0.19158,7006108.5246252
AIXBT-EUR,1739664000000,0.20456,0.21662,0.1999,0.20774,3599940.7465575
AIXBT-EUR,1739577600000,0.23113,0.2355,0.2,0.20458,6516149.60355731
AIXBT-EUR,1739491200000,0.22538,0.25755,0.223,0.23262,9961055.29071835
AIXBT-EUR,1739404800000,0.24767,0.26312,0.22081,0.22506,5137413.23110445
AIXBT-EUR,1739318400000,0.25304,0.2578,0.21326,0.24825,10803912.80613254
AIXBT-EUR,1739232000000,0.24798,0.30808,0.24798,0.25369,13086075.36864485
AIXBT-EUR,1739145600000,0.22326,0.30715,0.21498,0.24713,13466361.57526529
AIXBT-EUR,1739059200000,0.24794,0.26624,0.21052,0.22127,4256606.78697444
AIXBT-EUR,1738972800000,0.23019,0.255,0.22853,0.24876,3967166.82544992
AIXBT-EUR,1738886400000,0.23453,0.29191,0.22383,0.23006,7589964.04848149
AIXBT-EUR,1738800000000,0.28633,0.29331,0.2315,0.23477,6338230.95182439
AIXBT-EUR,1738713600000,0.30403,0.32118,0.28058,0.2855,3362166.52836017
AIXBT-EUR,1738627200000,0.35,0.35026,0.28547,0.3032,7876763.6411474
AIXBT-EUR,1738540800000,0.30348,0.37945,0.24423,0.35162,10753995.91754847
AIXBT-EUR,1738454400000,0.32774,0.35385,0.28234,0.30277,5943255.79786379
AIXBT-EUR,1738368000000,0.42431,0.43526,0.3272,0.32815,6125416.77827189
AIXBT-EUR,1738281600000,0.452,0.48641,0.42228,0.42537,5801587.32276968
AIXBT-EUR,1738195200000,0.4383,0.52318,0.42285,0.45141,5605644.87016894
AIXBT-EUR,1738108800000,0.41493,0.50033,0.41154,0.43864,5814298.43797455
AIXBT-EUR,1738022400000,0.5082,0.53481,0.40511,0.41327,4861108.8613249
AIXBT-EUR,1737936000000,0.54874,0.55824,0.4457,0.50907,7133691.42897932
AIXBT-EUR,1737849600000,0.622,0.63543,0.546,0.54747,4029359.8901539
AIXBT-EUR,1737763200000,0.62092,0.64429,0.59022,0.61799,2644690.3331205
AIXBT-EUR,1737676800000,0.67664,0.70359,0.61447,0.62319,2967432.38953641
AIXBT-EUR,1737590400000,0.71964,0.75556,0.65146,0.67268,7260691.29236152
AIXBT-EUR,1737504000000,0.63456,0.86,0.61738,0.71668,17799824.66557101
AIXBT-EUR,1737417600000,0.69283,0.7257,0.56891,0.63627,9291239.71456694
AIXBT-EUR,1737331200000,0.63958,0.70533,0.56718,0.69327,7186987.40604354
AIXBT-EUR,1737244800000,0.71165,0.8,0.63532,0.64555,11215317.25489262
AIXBT-EUR,1737158400000,0.74561,0.74561,0.61,0.71161,5408673.6884943
AIXBT-EUR,1737072000000,0.7851,0.815,0.70844,0.74767,6654432.10726244
AIXBT-EUR,1736985600000,0.84492,0.94,0.73443,0.78485,12268219.61652059
AIXBT-EUR,1736899200000,0.62092,0.94276,0.59855,0.84505,16886863.89740661
AIXBT-EUR,1736812800000,0.419,0.65999,0.41277,0.62146,16808482.83336107
AIXBT-EUR,1736726400000,0.44057,0.4625,0.35814,0.4206,3857265.36680303
AIXBT-EUR,1736640000000,0.48494,0.5034,0.43428,0.44221,1588863.36723933
AIXBT-EUR,1736553600000,0.49501,0.52253,0.42697,0.483,5153568.57971906
AIXBT-EUR,1736467200000,0.38341,0.5799,0.3789,0.49286,11611874.8243634
AIXBT-EUR,1736380800000,0.41624,0.46146,0.37,0.38398,2143596.07608379
AIXBT-EUR,1736294400000,0.45981,0.46019,0.3757,0.42376,2732657.73836077
AIXBT-EUR,1736208000000,0.52739,0.54073,0.45624,0.46086,2862574.46163476
AIXBT-EUR,1736121600000,0.47943,0.58319,0.4665,0.52959,4671617.6176465
AIXBT-EUR,1736035200000,0.49528,0.53143,0.47001,0.47678,2072898.93300223
AIXBT-EUR,1735948800000,0.50053,0.52416,0.44699,0.4956,3803600.28117502
AIXBT-EUR,1735862400000,0.49868,0.53326,0.46303,0.5,4666716.18796096
AIXBT-EUR,1735776000000,0.5576,0.64,0.47215,0.49723,5839171.76889548
AIXBT-EUR,1735689600000,0.58279,0.64369,0.5015,0.55295,5442521.69080655
AIXBT-EUR,1735603200000,0.51138,0.63732,0.48984,0.57992,3713560.55963558
