market,time,open,high,low,close,volume
ALICE-EUR,1741132800000,0.533,0.55162,0.52761,0.52989,15647.397995
ALICE-EUR,1741046400000,0.5282,0.56491,0.5,0.5312,22235.199957
ALICE-EUR,1740960000000,0.56146,0.69003,0.56,0.57246,18977.98899
ALICE-EUR,1740873600000,0.61029,0.68503,0.60817,0.67234,40518.440054
ALICE-EUR,1740787200000,0.62665,0.62836,0.5988,0.61262,9105.551413
ALICE-EUR,1740700800000,0.62802,0.62802,0.57345,0.62474,17570.762883
ALICE-EUR,1740614400000,0.62681,0.63527,0.61501,0.63005,18751.816428
ALICE-EUR,1740528000000,0.60241,0.62784,0.5894,0.62178,18793.0777
ALICE-EUR,1740441600000,0.59585,0.61262,0.54991,0.60708,38688.060843
ALICE-EUR,1740355200000,0.67945,0.67945,0.577,0.5918,35130.414768
ALICE-EUR,1740268800000,0.72392,0.72853,0.68782,0.68782,3816.328017
ALICE-EUR,1740182400000,0.67598,0.72773,0.67271,0.72773,8068.034389
ALICE-EUR,1740096000000,0.69982,0.73778,0.67277,0.67668,8106.035947
ALICE-EUR,1740009600000,0.68462,0.70164,0.68462,0.70164,6606.719786
ALICE-EUR,1739923200000,0.65528,0.68241,0.65528,0.67063,8671.728236
ALICE-EUR,1739836800000,0.67523,0.68464,0.64,0.65907,1161.554336
ALICE-EUR,1739750400000,0.73326,0.75429,0.70191,0.71755,22055.273502
ALICE-EUR,1739664000000,0.72307,0.73326,0.70763,0.71523,2951.923452
ALICE-EUR,1739577600000,0.74467,0.74467,0.71319,0.71754,885.983613
ALICE-EUR,1739491200000,0.73859,0.75293,0.7312,0.74636,7663.833787
ALICE-EUR,1739404800000,0.73877,0.74375,0.71711,0.73067,1626.242974
ALICE-EUR,1739318400000,0.71027,0.77384,0.69242,0.76393,65856.503201
ALICE-EUR,1739232000000,0.70705,0.74096,0.69185,0.70553,4045.25948
ALICE-EUR,1739145600000,0.68177,0.72362,0.68085,0.70042,52828.296683
ALICE-EUR,1739059200000,0.69208,0.70233,0.64761,0.66875,5456.53845
ALICE-EUR,1738972800000,0.6472,0.69415,0.63599,0.68539,29405.541835
ALICE-EUR,1738886400000,0.63748,0.67733,0.62991,0.62991,42206.091026
ALICE-EUR,1738800000000,0.66407,0.67151,0.62181,0.62793,66326.640439
ALICE-EUR,1738713600000,0.67732,0.68719,0.65351,0.6581,24238.464756
ALICE-EUR,1738627200000,0.72209,0.72209,0.6444,0.68008,21888.606468
ALICE-EUR,1738540800000,0.7031,0.72653,0.54079,0.71662,257251.885264
ALICE-EUR,1738454400000,0.85903,0.87767,0.68503,0.73313,176185.66523
ALICE-EUR,1738368000000,0.9382,0.9382,0.85626,0.85626,3022.025517
ALICE-EUR,1738281600000,0.92387,0.95291,0.91174,0.9295,13454.424762
ALICE-EUR,1738195200000,0.88051,0.92976,0.88051,0.91635,3859.535553
ALICE-EUR,1738108800000,0.83975,0.89998,0.83975,0.88483,7880.006134
ALICE-EUR,1738022400000,0.91968,0.91968,0.83221,0.83903,10556.913697
ALICE-EUR,1737936000000,0.9344,0.9344,0.83318,0.90914,24696.542689
ALICE-EUR,1737849600000,0.95107,0.98763,0.93955,0.93972,54514.528576
ALICE-EUR,1737763200000,0.952,0.96539,0.93968,0.9613,1407.991799
ALICE-EUR,1737676800000,0.96368,0.99892,0.9536,0.9536,3414.990186
ALICE-EUR,1737590400000,0.9896,0.99796,0.95629,0.9904,12220.007361
ALICE-EUR,1737504000000,1.038,1.038,0.99667,0.99667,12712.853877
ALICE-EUR,1737417600000,1.0017,1.0564,0.95385,1.0373,19134.586258
ALICE-EUR,1737331200000,1.0103,1.1035,0.96495,1.0119,57361.442398
ALICE-EUR,1737244800000,1.1151,1.147,1.0193,1.0278,123970.232473
ALICE-EUR,1737158400000,1.2278,1.2303,1.0956,1.1041,8283.011304
ALICE-EUR,1737072000000,1.1308,1.22,1.1308,1.2177,22375.818986
ALICE-EUR,1736985600000,1.1196,1.1359,1.0917,1.1064,8569.27159
ALICE-EUR,1736899200000,1.0777,1.133,1.0472,1.1328,47168.713554
ALICE-EUR,1736812800000,1.0261,1.0734,1.0261,1.0734,13179.899807
ALICE-EUR,1736726400000,1.0602,1.092,0.95385,1.0158,37687.76679
ALICE-EUR,1736640000000,1.0847,1.0871,1.0583,1.0674,14174.308918
ALICE-EUR,1736553600000,1.0973,1.1064,1.0683,1.1064,1396.039533
ALICE-EUR,1736467200000,1.0642,1.0952,1.0631,1.0924,16505.200802
ALICE-EUR,1736380800000,1.0931,1.0932,1.043,1.0534,2494.33518
ALICE-EUR,1736294400000,1.109,1.1112,1.0324,1.0828,47443.769523
ALICE-EUR,1736208000000,1.254,1.2627,1.1085,1.1135,12977.455339
ALICE-EUR,1736121600000,1.2594,1.282,1.2288,1.2482,23587.289594
ALICE-EUR,1736035200000,1.2377,1.2511,1.2066,1.2469,11289.837656
ALICE-EUR,1735948800000,1.218,1.2565,1.2026,1.2395,17896.634389
ALICE-EUR,1735862400000,1.1463,1.2348,1.1245,1.2232,17349.478553
ALICE-EUR,1735776000000,1.1174,1.1646,1.1174,1.1385,7779.516309
ALICE-EUR,1735689600000,1.0823,1.118,1.0455,1.1109,4883.92465
ALICE-EUR,1735603200000,1.076,1.1149,1.0633,1.0666,18552.661093
ALICE-EUR,1735516800000,1.105,1.1402,1.0643,1.0982,49902.228842
ALICE-EUR,1735430400000,1.1563,1.1563,1.081,1.0919,13137.789797
ALICE-EUR,1735344000000,1.0938,1.1644,1.0938,1.1536,35413.239324
ALICE-EUR,1735257600000,1.0726,1.1441,1.0692,1.0849,16528.129002
ALICE-EUR,1735171200000,1.1483,1.1483,1.06,1.0869,14496.383812
ALICE-EUR,1735084800000,1.1753,1.19,1.134,1.1512,3807.82046
ALICE-EUR,1734998400000,1.1324,1.2032,1.112,1.1727,8309.387769
ALICE-EUR,1734912000000,1.0418,1.1582,1.0249,1.1318,105661.407759
ALICE-EUR,1734825600000,1.0572,1.0891,1.0335,1.0503,17689.124471
ALICE-EUR,1734739200000,1.1235,1.18,1.0489,1.062,11422.979688
ALICE-EUR,1734652800000,1.0658,1.128,0.92364,1.127,131768.462433
ALICE-EUR,1734566400000,1.1915,1.2047,1.024,1.0713,200054.80723
ALICE-EUR,1734480000000,1.3034,1.3222,1.1802,1.1981,62621.656313
ALICE-EUR,1734393600000,1.4,1.4232,1.3034,1.3187,26470.818778
ALICE-EUR,1734307200000,1.5,1.5469,1.3979,1.4389,33444.257999
ALICE-EUR,1734220800000,1.4,1.503,1.3871,1.4957,25808.319172
ALICE-EUR,1734134400000,1.5504,1.5572,1.4181,1.4447,7109.772861
ALICE-EUR,1734048000000,1.5586,1.5586,1.506,1.5062,39644.953766
ALICE-EUR,1733961600000,1.4794,1.5855,1.4794,1.5363,42869.065672
ALICE-EUR,1733875200000,1.3389,1.5,1.3356,1.4927,39269.993115
ALICE-EUR,1733788800000,1.3676,1.4059,1.1909,1.3405,108066.352879
ALICE-EUR,1733702400000,1.727,1.727,1.1465,1.3913,225891.232221
ALICE-EUR,1733616000000,1.7387,1.8153,1.675,1.7726,30227.743409
ALICE-EUR,1733529600000,1.7648,1.8,1.7193,1.7431,11690.331032
ALICE-EUR,1733443200000,1.6981,1.7946,1.6604,1.7641,53397.890518
ALICE-EUR,1733356800000,1.7319,1.7632,1.6388,1.6968,80343.020372
ALICE-EUR,1733270400000,1.7129,1.8266,1.6763,1.7215,113606.22873
ALICE-EUR,1733184000000,1.6087,1.7245,1.4942,1.7147,133963.411653
ALICE-EUR,1733097600000,1.4982,1.6132,1.3888,1.6043,87061.367387
ALICE-EUR,1733011200000,1.4993,1.533,1.454,1.5002,32077.36564
ALICE-EUR,1732924800000,1.4145,1.5417,1.4145,1.5079,37783.501007
ALICE-EUR,1732838400000,1.4136,1.4523,1.3743,1.4448,32227.828644
ALICE-EUR,1732752000000,1.3804,1.4411,1.3398,1.4242,77478.180815
ALICE-EUR,1732665600000,1.2845,1.4,1.2725,1.3903,25609.522775
