market,time,open,high,low,close,volume
ANKR-EUR,1741132800000,0.018075,0.01832,0.017482,0.017817,752189.33306606
ANKR-EUR,1741046400000,0.01825,0.018674,0.017064,0.017631,850348.19819261
ANKR-EUR,1740960000000,0.021132,0.021132,0.018276,0.018522,520269.28558689
ANKR-EUR,1740873600000,0.021,0.021682,0.019654,0.021601,1714922.70283124
ANKR-EUR,1740787200000,0.020133,0.020198,0.019498,0.019974,37770.66098665
ANKR-EUR,1740700800000,0.020167,0.020312,0.01869,0.0201,1705893.64860766
ANKR-EUR,1740614400000,0.019959,0.020663,0.019705,0.020136,631517.55656339
ANKR-EUR,1740528000000,0.01993,0.020314,0.019125,0.019874,1021872.15006558
ANKR-EUR,1740441600000,0.02,0.020278,0.018754,0.02013,1133070.69519276
ANKR-EUR,1740355200000,0.022131,0.022131,0.020128,0.020524,313040.459437
ANKR-EUR,1740268800000,0.022438,0.022673,0.021837,0.022196,383806.79894463
ANKR-EUR,1740182400000,0.021925,0.023028,0.021925,0.022829,541686.40349699
ANKR-EUR,1740096000000,0.022347,0.023438,0.02167,0.021905,682662.20325728
ANKR-EUR,1740009600000,0.022018,0.022973,0.021857,0.022923,1021383.56893117
ANKR-EUR,1739923200000,0.021428,0.022104,0.021168,0.021686,75145.57092381
ANKR-EUR,1739836800000,0.022337,0.022938,0.020586,0.021331,1323079.16188006
ANKR-EUR,1739750400000,0.021779,0.023054,0.021573,0.022023,834608.55960097
ANKR-EUR,1739664000000,0.021642,0.023524,0.02154,0.021689,1260033.6713872
ANKR-EUR,1739577600000,0.022646,0.022646,0.0216,0.021757,91730.40150847
ANKR-EUR,1739491200000,0.022245,0.022837,0.022018,0.022312,1722837.47568261
ANKR-EUR,1739404800000,0.02315,0.02315,0.021987,0.022133,276217.30361583
ANKR-EUR,1739318400000,0.022123,0.023326,0.021756,0.023078,2146945.86797203
ANKR-EUR,1739232000000,0.022697,0.023669,0.021724,0.022257,700120.16683108
ANKR-EUR,1739145600000,0.0229,0.023152,0.021801,0.022515,3078180.20004592
ANKR-EUR,1739059200000,0.022085,0.023351,0.021754,0.022718,7365702.68412246
ANKR-EUR,1738972800000,0.021245,0.021986,0.020828,0.021986,493088.50172066
ANKR-EUR,1738886400000,0.021057,0.022252,0.020395,0.020416,682487.5850077
ANKR-EUR,1738800000000,0.021777,0.022144,0.020675,0.020892,1489638.91392911
ANKR-EUR,1738713600000,0.022178,0.022542,0.021554,0.02182,1306523.03407766
ANKR-EUR,1738627200000,0.023317,0.023317,0.020958,0.022214,1706516.27331561
ANKR-EUR,1738540800000,0.022435,0.023786,0.018,0.02362,7896460.68370791
ANKR-EUR,1738454400000,0.025197,0.025379,0.022,0.023009,3271055.67671242
ANKR-EUR,1738368000000,0.027032,0.028551,0.025215,0.025439,3398599.6886022
ANKR-EUR,1738281600000,0.026578,0.027934,0.02641,0.02658,807109.44529082
ANKR-EUR,1738195200000,0.025438,0.027136,0.025438,0.026785,1140004.75424655
ANKR-EUR,1738108800000,0.024895,0.026207,0.024749,0.026024,1024608.65919846
ANKR-EUR,1738022400000,0.027688,0.027891,0.025,0.025173,441120.00413065
ANKR-EUR,1737936000000,0.027737,0.027748,0.025326,0.027438,1163667.12169527
ANKR-EUR,1737849600000,0.028738,0.029383,0.028,0.028042,708257.3237325
ANKR-EUR,1737763200000,0.028259,0.02917,0.028,0.02865,1062003.93369215
ANKR-EUR,1737676800000,0.029221,0.030412,0.02862,0.028643,326695.72879324
ANKR-EUR,1737590400000,0.03,0.030742,0.029101,0.029879,340105.59881012
ANKR-EUR,1737504000000,0.031148,0.031148,0.030109,0.030109,356430.83588803
ANKR-EUR,1737417600000,0.030303,0.031981,0.029747,0.031277,1088993.88023413
ANKR-EUR,1737331200000,0.030276,0.033163,0.029524,0.030788,2801047.19575855
ANKR-EUR,1737244800000,0.033846,0.034101,0.03011,0.030567,4881688.51144299
ANKR-EUR,1737158400000,0.037293,0.037336,0.033417,0.034007,729522.9385834
ANKR-EUR,1737072000000,0.035143,0.037338,0.035109,0.037338,1278446.29782165
ANKR-EUR,1736985600000,0.036098,0.036458,0.034651,0.034866,1300304.12277341
ANKR-EUR,1736899200000,0.035233,0.03659,0.033692,0.036355,1146614.48353007
ANKR-EUR,1736812800000,0.033799,0.0352,0.033555,0.03497,312047.52114134
ANKR-EUR,1736726400000,0.035337,0.0362,0.0316,0.033931,459835.09480106
ANKR-EUR,1736640000000,0.036631,0.038,0.035,0.035313,182574.05823909
ANKR-EUR,1736553600000,0.036126,0.037527,0.035911,0.036439,653146.08249263
ANKR-EUR,1736467200000,0.034893,0.036835,0.034219,0.036397,2483228.18467239
ANKR-EUR,1736380800000,0.03428,0.035699,0.033,0.03473,435980.76332296
ANKR-EUR,1736294400000,0.034567,0.034567,0.032302,0.034102,1200571.57582739
ANKR-EUR,1736208000000,0.03906,0.03906,0.034853,0.034864,1288732.06585512
ANKR-EUR,1736121600000,0.037685,0.039798,0.037498,0.03918,976144.0240374
ANKR-EUR,1736035200000,0.037699,0.038438,0.037432,0.038405,681146.2120278
ANKR-EUR,1735948800000,0.037907,0.038187,0.037015,0.03786,650516.75671316
ANKR-EUR,1735862400000,0.035439,0.0381,0.034848,0.037942,1267411.81956837
ANKR-EUR,1735776000000,0.034828,0.03577,0.034555,0.0354,1697759.13128855
ANKR-EUR,1735689600000,0.032627,0.034247,0.0319,0.033968,443668.03847945
ANKR-EUR,1735603200000,0.032532,0.033514,0.031956,0.032373,650968.66971545
ANKR-EUR,1735516800000,0.033208,0.034505,0.032205,0.033072,1391968.66129241
ANKR-EUR,1735430400000,0.035535,0.035535,0.033,0.033387,666726.56576215
ANKR-EUR,1735344000000,0.033716,0.0358,0.033634,0.0358,316347.7571464
ANKR-EUR,1735257600000,0.03352,0.035398,0.03352,0.033632,793809.87842515
ANKR-EUR,1735171200000,0.036914,0.036958,0.033259,0.033545,734465.796799
ANKR-EUR,1735084800000,0.037694,0.038081,0.036366,0.036716,679527.05921273
ANKR-EUR,1734998400000,0.035991,0.038865,0.035342,0.037667,2146885.35720602
ANKR-EUR,1734912000000,0.033337,0.036372,0.033032,0.035825,504164.58361061
ANKR-EUR,1734825600000,0.033257,0.035051,0.032659,0.033581,410588.13939572
ANKR-EUR,1734739200000,0.035668,0.037254,0.032792,0.033071,2234620.53509572
ANKR-EUR,1734652800000,0.033688,0.035494,0.029329,0.035405,5638619.00682807
ANKR-EUR,1734566400000,0.036565,0.03819,0.033,0.033993,3520146.17942388
ANKR-EUR,1734480000000,0.040241,0.040584,0.036027,0.036938,2669125.72699682
ANKR-EUR,1734393600000,0.04299,0.043284,0.040257,0.040559,1832298.06849005
ANKR-EUR,1734307200000,0.043955,0.045359,0.0421,0.043202,1887693.88016199
ANKR-EUR,1734220800000,0.041994,0.044321,0.041471,0.043985,682329.50118665
ANKR-EUR,1734134400000,0.045372,0.045372,0.041941,0.042616,1900629.17619218
ANKR-EUR,1734048000000,0.045637,0.045637,0.043863,0.04512,1920423.12530339
ANKR-EUR,1733961600000,0.046,0.048947,0.044745,0.045512,3129364.85789344
ANKR-EUR,1733875200000,0.040446,0.045186,0.039057,0.044958,1839530.62489135
ANKR-EUR,1733788800000,0.042256,0.043372,0.037568,0.04082,4116439.6652606
ANKR-EUR,1733702400000,0.051914,0.052039,0.037147,0.04234,6258067.03790349
ANKR-EUR,1733616000000,0.051209,0.052374,0.049441,0.052303,1603312.74430089
ANKR-EUR,1733529600000,0.053724,0.054313,0.051047,0.051866,2601822.89902604
ANKR-EUR,1733443200000,0.053937,0.055806,0.049765,0.053987,7086361.14698597
ANKR-EUR,1733356800000,0.048543,0.05958,0.045658,0.054095,18358039.66899487
ANKR-EUR,1733270400000,0.046648,0.050146,0.045741,0.048664,6256351.15337027
ANKR-EUR,1733184000000,0.042325,0.047522,0.041495,0.046871,11848309.44987388
ANKR-EUR,1733097600000,0.042034,0.042461,0.038163,0.042246,3887966.96315514
ANKR-EUR,1733011200000,0.04192,0.043246,0.040496,0.041847,2297271.20557686
ANKR-EUR,1732924800000,0.04,0.043,0.039608,0.042078,2407067.12256902
ANKR-EUR,1732838400000,0.039097,0.040829,0.038303,0.040324,1238541.33064863
ANKR-EUR,1732752000000,0.039792,0.040205,0.038049,0.039511,666222.85187471
ANKR-EUR,1732665600000,0.038215,0.041059,0.038022,0.040353,1910605.31103457
ANKR-EUR,1732579200000,0.036329,0.039308,0.035796,0.039,3050963.48402004
ANKR-EUR,1732492800000,0.037481,0.039437,0.035742,0.036507,3978256.5253173
ANKR-EUR,1732406400000,0.037532,0.039898,0.034491,0.037684,4979055.63258825
ANKR-EUR,1732320000000,0.033078,0.039,0.032763,0.037218,6616944.98760734
ANKR-EUR,1732233600000,0.031625,0.032847,0.031216,0.032847,2912437.66264902
ANKR-EUR,1732147200000,0.030701,0.032515,0.029949,0.03225,2862939.87845448
ANKR-EUR,1732060800000,0.031585,0.032311,0.030127,0.031129,5681355.82924498
ANKR-EUR,1731974400000,0.032726,0.034126,0.031479,0.032022,1958911.09678363
ANKR-EUR,1731888000000,0.029872,0.033335,0.029866,0.031905,4512888.38966167
ANKR-EUR,1731801600000,0.031267,0.031435,0.029077,0.029748,1725313.57465078
ANKR-EUR,1731715200000,0.029472,0.031535,0.02927,0.031414,3029118.9698206
ANKR-EUR,1731628800000,0.027247,0.029814,0.026248,0.029126,3330862.76703381
ANKR-EUR,1731542400000,0.028055,0.029234,0.026693,0.02713,1252470.90893776
ANKR-EUR,1731456000000,0.030097,0.030618,0.027002,0.027938,5531779.69925823
ANKR-EUR,1731369600000,0.02789,0.030654,0.026005,0.030296,25147320.43866351
ANKR-EUR,1731283200000,0.026862,0.028286,0.026299,0.028283,11928449.50289913
ANKR-EUR,1731196800000,0.025577,0.027538,0.02506,0.026821,4272411.29244847
ANKR-EUR,1731110400000,0.02429,0.02568,0.024074,0.025536,925883.57191554
ANKR-EUR,1731024000000,0.024088,0.024299,0.023544,0.024289,882397.51777795
ANKR-EUR,1730937600000,0.024,0.024584,0.023522,0.023759,652037.53012353
ANKR-EUR,1730851200000,0.022212,0.023923,0.022212,0.023923,1138349.07501038
ANKR-EUR,1730764800000,0.020667,0.021651,0.020667,0.021331,111942.43377685
ANKR-EUR,1730678400000,0.02098,0.021108,0.020142,0.020142,279764.65929168
ANKR-EUR,1730592000000,0.021603,0.021603,0.020405,0.021067,1331731.63778728
ANKR-EUR,1730505600000,0.022147,0.022372,0.021477,0.021697,698157.06691531
ANKR-EUR,1730419200000,0.02241,0.022783,0.021824,0.022059,472567.05581201
ANKR-EUR,1730332800000,0.02338,0.02338,0.022179,0.022427,329134.78668571
ANKR-EUR,1730246400000,0.023902,0.023937,0.023392,0.023453,197526.68458438
ANKR-EUR,1730160000000,0.023073,0.024226,0.023058,0.023894,1119116.03271356
ANKR-EUR,1730073600000,0.023281,0.02334,0.022409,0.023088,303485.61552183
ANKR-EUR,1729987200000,0.022802,0.023418,0.022782,0.023326,430099.84597488
ANKR-EUR,1729900800000,0.022591,0.023227,0.022395,0.022983,253356.88339866
ANKR-EUR,1729814400000,0.025287,0.025287,0.021686,0.022717,2633238.32574085
ANKR-EUR,1729728000000,0.024584,0.026456,0.024124,0.02526,2497615.66064108
ANKR-EUR,1729641600000,0.025595,0.025595,0.024103,0.024582,308662.61146695
ANKR-EUR,1729555200000,0.025833,0.025833,0.025058,0.025524,255647.66218869
ANKR-EUR,1729468800000,0.026579,0.026638,0.025463,0.026035,1305562.76924522
ANKR-EUR,1729382400000,0.025618,0.026534,0.02541,0.026534,200718.31198637
ANKR-EUR,1729296000000,0.025266,0.026139,0.02525,0.025513,725352.89798808
ANKR-EUR,1729209600000,0.024935,0.025118,0.024712,0.025118,161753.54282644
ANKR-EUR,1729123200000,0.025054,0.025243,0.024239,0.024726,234400.28198092
ANKR-EUR,1729036800000,0.025216,0.02543,0.024862,0.025369,1098104.8204311
ANKR-EUR,1728950400000,0.025444,0.025565,0.024311,0.024959,890312.46703775
