market,time,open,high,low,close,volume
API3-EUR,1741132800000,0.60397,0.63003,0.60389,0.61285,8219.2036819
API3-EUR,1741046400000,0.60679,0.6406,0.55853,0.60025,68708.02312669
API3-EUR,1740960000000,0.6552,0.74933,0.62645,0.6394,9957.87366605
API3-EUR,1740873600000,0.76064,0.76701,0.69998,0.75951,26250.54883486
API3-EUR,1740787200000,0.71518,0.71905,0.69385,0.70256,6914.87951886
API3-EUR,1740700800000,0.73053,0.73054,0.66685,0.71846,26575.62810912
API3-EUR,1740614400000,0.71524,0.74483,0.71429,0.72922,16045.27726164
API3-EUR,1740528000000,0.72846,0.73451,0.69,0.7268,54377.21294349
API3-EUR,1740441600000,0.68005,0.73268,0.68005,0.72368,50901.66957591
API3-EUR,1740355200000,0.79359,0.79359,0.67546,0.69984,31506.05456912
API3-EUR,1740268800000,0.83017,0.83696,0.79598,0.80181,4997.29843906
API3-EUR,1740182400000,0.80255,0.85053,0.80252,0.83352,9917.15332466
API3-EUR,1740096000000,0.85134,0.87342,0.8,0.80554,67192.6855632
API3-EUR,1740009600000,0.86614,0.87157,0.82729,0.84947,56851.05191695
API3-EUR,1739923200000,0.87499,0.89139,0.85603,0.86431,18721.92612683
API3-EUR,1739836800000,0.93689,0.9411,0.84445,0.87704,189123.21536236
API3-EUR,1739750400000,0.87372,1.2094,0.86786,0.93657,640002.82237161
API3-EUR,1739664000000,0.84385,0.87431,0.83838,0.86463,7743.21114935
API3-EUR,1739577600000,0.86511,0.87266,0.84466,0.84466,3615.90861928
API3-EUR,1739491200000,0.87999,0.89369,0.85847,0.86421,41358.06220617
API3-EUR,1739404800000,0.895,0.895,0.84262,0.86671,9981.04500843
API3-EUR,1739318400000,0.84638,0.89284,0.83037,0.88983,39923.23746396
API3-EUR,1739232000000,0.86721,0.90501,0.82646,0.85276,62460.77053184
API3-EUR,1739145600000,0.838,0.8645,0.79742,0.85296,21305.23812299
API3-EUR,1739059200000,0.83852,0.86794,0.80205,0.82976,57937.71286745
API3-EUR,1738972800000,0.79061,0.84207,0.78952,0.83826,30597.79087514
API3-EUR,1738886400000,0.7981,0.84433,0.76848,0.78809,64451.96028629
API3-EUR,1738800000000,0.83369,0.8487,0.78272,0.78272,41992.91638526
API3-EUR,1738713600000,0.84307,0.86535,0.8176,0.83745,19354.96084193
API3-EUR,1738627200000,0.9064,0.9064,0.81376,0.84154,9741.08245109
API3-EUR,1738540800000,0.90091,0.92888,0.72612,0.9106,256637.57597904
API3-EUR,1738454400000,1.0881,1.1165,0.88404,0.93919,70144.22430537
API3-EUR,1738368000000,1.1901,1.1971,1.0993,1.1006,9038.14016112
API3-EUR,1738281600000,1.1912,1.225,1.1736,1.1826,11576.89767328
API3-EUR,1738195200000,1.1278,1.2016,1.1278,1.1976,14638.54912096
API3-EUR,1738108800000,1.1004,1.1735,1.1004,1.1391,19034.66894258
API3-EUR,1738022400000,1.1735,1.1735,1.0868,1.0868,5032.38219505
API3-EUR,1737936000000,1.195,1.195,1.072,1.1589,36929.52572354
API3-EUR,1737849600000,1.2424,1.2806,1.2,1.2038,32817.18453485
API3-EUR,1737763200000,1.2139,1.2505,1.2139,1.2455,5580.86732945
API3-EUR,1737676800000,1.2583,1.2982,1.2219,1.2219,52890.93114819
API3-EUR,1737590400000,1.2911,1.3093,1.2459,1.29,25778.97617871
API3-EUR,1737504000000,1.3094,1.3442,1.2911,1.2961,66885.37063791
API3-EUR,1737417600000,1.2717,1.3474,1.2408,1.3182,44531.55620424
API3-EUR,1737331200000,1.292,1.3973,1.2307,1.283,86855.4786764
API3-EUR,1737244800000,1.4462,1.4462,1.3,1.3053,78869.04760426
API3-EUR,1737158400000,1.571,1.571,1.4026,1.4319,29197.48374748
API3-EUR,1737072000000,1.4753,1.5793,1.4753,1.5729,26550.79729912
API3-EUR,1736985600000,1.4641,1.4976,1.4252,1.4513,83742.11361177
API3-EUR,1736899200000,1.4055,1.4924,1.3741,1.4881,22021.23261426
API3-EUR,1736812800000,1.3571,1.4038,1.3571,1.3958,31986.17903225
API3-EUR,1736726400000,1.422,1.451,1.2805,1.3613,48702.67884701
API3-EUR,1736640000000,1.4388,1.4454,1.4039,1.4198,4895.13861612
API3-EUR,1736553600000,1.4465,1.4646,1.4098,1.4439,22850.14157701
API3-EUR,1736467200000,1.4463,1.4759,1.4179,1.4601,8442.74155704
API3-EUR,1736380800000,1.4608,1.4754,1.3829,1.4302,10297.01737686
API3-EUR,1736294400000,1.5129,1.516,1.3906,1.4563,21856.16530377
API3-EUR,1736208000000,1.7209,1.7209,1.51,1.5168,56991.1428548
API3-EUR,1736121600000,1.705,1.7687,1.6892,1.7164,9084.32162601
API3-EUR,1736035200000,1.742,1.742,1.691,1.7228,22355.2085199
API3-EUR,1735948800000,1.742,1.7676,1.7156,1.7357,31457.5973048
API3-EUR,1735862400000,1.6541,1.7462,1.6176,1.74,20883.59849072
API3-EUR,1735776000000,1.5811,1.6801,1.5811,1.6473,17873.08157466
API3-EUR,1735689600000,1.5484,1.59,1.4956,1.5823,24877.26511735
API3-EUR,1735603200000,1.5397,1.6138,1.503,1.5268,14522.74584049
API3-EUR,1735516800000,1.582,1.6138,1.5022,1.5478,30066.73766731
API3-EUR,1735430400000,1.6411,1.6411,1.5442,1.5605,11813.67916839
API3-EUR,1735344000000,1.6292,1.6792,1.5812,1.6391,78509.32296175
API3-EUR,1735257600000,1.5626,1.6962,1.556,1.5924,62502.3711011
API3-EUR,1735171200000,1.7108,1.7108,1.53,1.5508,46791.45224104
API3-EUR,1735084800000,1.7051,1.804,1.6662,1.7301,111807.82694479
API3-EUR,1734998400000,1.5821,1.7319,1.5509,1.7097,108280.43849953
API3-EUR,1734912000000,1.4755,1.6137,1.4609,1.6094,28484.03590336
API3-EUR,1734825600000,1.5353,1.5568,1.4499,1.4903,37138.57318812
API3-EUR,1734739200000,1.6044,1.7032,1.5016,1.5254,140974.47072064
API3-EUR,1734652800000,1.5336,1.6137,1.3239,1.6103,128858.84785918
API3-EUR,1734566400000,1.6762,1.7006,1.472,1.5461,141422.86575777
API3-EUR,1734480000000,1.86,1.8811,1.6501,1.7054,74091.68616069
API3-EUR,1734393600000,1.9842,2.0039,1.8699,1.8835,37400.06478953
API3-EUR,1734307200000,2.0645,2.0905,1.9259,1.9922,52684.67097191
