market,time,open,high,low,close,volume
APT-EUR,1741132800000,5.2411,6.0709,5.09,5.4208,464195.00066668
APT-EUR,1741046400000,5.2257,5.4953,4.8,5.1463,127136.49264678
APT-EUR,1740960000000,5.9039,6.5116,5.36,5.4484,125819.46895258
APT-EUR,1740873600000,6.0113,6.5624,5.9478,5.9799,87113.66885087
APT-EUR,1740787200000,6.218,6.3688,6.0105,6.1421,92479.5555371
APT-EUR,1740700800000,5.9206,6.2508,5.4125,6.2402,89713.25922686
APT-EUR,1740614400000,5.6488,6.1845,5.643,5.8869,165413.73644004
APT-EUR,1740528000000,5.3377,5.669,5.2412,5.6247,69778.71241363
APT-EUR,1740441600000,5.1926,5.4996,4.83,5.3632,135694.03454727
APT-EUR,1740355200000,5.8608,5.8608,5.0491,5.1691,97422.49692506
APT-EUR,1740268800000,5.7653,5.9665,5.7076,5.8379,36595.92405204
APT-EUR,1740182400000,5.6966,5.8806,5.6727,5.7681,33570.48208231
APT-EUR,1740096000000,6.0251,6.1887,5.656,5.7218,83798.63691966
APT-EUR,1740009600000,6.0216,6.7535,5.8751,6.0195,145577.62667855
APT-EUR,1739923200000,5.3955,6.3409,5.3492,6.0567,143701.91100141
APT-EUR,1739836800000,5.5952,5.6586,5.1183,5.3787,36237.82955172
APT-EUR,1739750400000,5.5516,5.8764,5.5,5.6962,16490.1497462
APT-EUR,1739664000000,5.7386,5.7581,5.5184,5.5383,17417.69103332
APT-EUR,1739577600000,5.7899,5.9671,5.6949,5.7261,23544.69297907
APT-EUR,1739491200000,5.8829,6.0377,5.75,5.8244,83161.50676913
APT-EUR,1739404800000,5.9181,6.0388,5.7378,5.8731,17092.18099884
APT-EUR,1739318400000,5.692,6.0105,5.5651,5.9275,36328.34427637
APT-EUR,1739232000000,6.0185,6.2038,5.6185,5.7054,38630.80510364
APT-EUR,1739145600000,5.85,6.18,5.5153,6.0007,24043.77936766
APT-EUR,1739059200000,5.6658,5.79,5.45,5.7349,11882.37270914
APT-EUR,1738972800000,5.513,5.71,5.3495,5.6712,16729.66304746
APT-EUR,1738886400000,5.529,6.0358,5.3692,5.5076,49228.26823902
APT-EUR,1738800000000,5.7732,5.91,5.474,5.4952,23248.88563202
APT-EUR,1738713600000,5.8716,6.0317,5.657,5.737,20948.9422454
APT-EUR,1738627200000,6.32,6.3778,5.63,5.85,31376.02278705
APT-EUR,1738540800000,6.0156,6.3109,4.5769,6.3071,113735.43700925
APT-EUR,1738454400000,6.8216,6.946,5.7501,6.0186,78739.00778777
APT-EUR,1738368000000,7.524,7.5678,6.8,6.8715,19060.93226426
APT-EUR,1738281600000,7.5773,8.0772,7.39,7.5815,29186.67622382
APT-EUR,1738195200000,7.2302,7.6877,7.2092,7.5388,20743.83544514
APT-EUR,1738108800000,6.9208,7.3593,6.9,7.2118,27095.77440279
APT-EUR,1738022400000,7.3447,7.426,6.8375,6.9252,24206.74160949
APT-EUR,1737936000000,7.45,7.4748,6.5713,7.2663,41891.6877932
APT-EUR,1737849600000,7.7459,8.0378,7.47,7.4898,21637.47735833
APT-EUR,1737763200000,7.8015,7.862,7.676,7.7243,28221.52100549
APT-EUR,1737676800000,8.0288,8.1835,7.6761,7.7772,15713.08600257
APT-EUR,1737590400000,8.1411,8.2212,7.7783,8.0091,51510.78590191
APT-EUR,1737504000000,8.4318,8.5517,8.1062,8.148,15284.05203606
APT-EUR,1737417600000,8.18,8.4987,7.8485,8.458,31509.93762141
APT-EUR,1737331200000,8.207,8.9428,8,8.2042,125437.72718397
APT-EUR,1737244800000,9.0602,9.3004,8.2,8.2445,141063.42526992
APT-EUR,1737158400000,9.5098,9.6042,8.788,9.0649,108856.31268001
APT-EUR,1737072000000,8.9837,9.5677,8.9837,9.5016,47744.5909416
APT-EUR,1736985600000,9.2006,9.2547,8.7962,8.9125,35278.55585209
APT-EUR,1736899200000,8.7794,9.2421,8.4719,9.1895,43847.1322356
APT-EUR,1736812800000,8.2342,8.8116,8.2248,8.7484,18229.68778701
APT-EUR,1736726400000,8.5852,8.8562,7.727,8.261,45444.4372065
APT-EUR,1736640000000,8.9032,8.9088,8.5217,8.5868,18847.42495674
APT-EUR,1736553600000,8.9396,9.0402,8.6281,8.9398,16636.33743458
APT-EUR,1736467200000,8.4205,9.0227,8.4106,8.9622,17171.17692339
APT-EUR,1736380800000,8.751,8.8529,8.211,8.4098,20231.46602809
APT-EUR,1736294400000,9.3747,9.376,8.4,8.7553,30383.98345319
APT-EUR,1736208000000,9.77,10.25,9.2403,9.3643,53951.91388561
APT-EUR,1736121600000,9.8105,9.9349,9.4718,9.7886,20153.38845043
APT-EUR,1736035200000,9.6981,9.866,9.4542,9.807,14161.47499902
APT-EUR,1735948800000,9.5091,9.7508,9.3619,9.7245,44544.98646617
APT-EUR,1735862400000,9.0492,9.5958,8.9273,9.5167,16058.61548067
APT-EUR,1735776000000,8.7202,9.1126,8.7188,9.0276,26471.93182711
APT-EUR,1735689600000,8.4442,8.7147,8.131,8.6967,22906.99190323
APT-EUR,1735603200000,8.5029,8.6983,8.3257,8.39,16625.49407484
APT-EUR,1735516800000,8.5015,8.8863,8.3499,8.5267,24791.44131306
APT-EUR,1735430400000,8.8026,8.8368,8.4189,8.5105,15689.54783625
APT-EUR,1735344000000,8.3859,8.8449,8.2777,8.8042,15802.80727047
APT-EUR,1735257600000,8.5055,8.9314,8.2974,8.3577,31903.78022844
APT-EUR,1735171200000,9.2039,9.2749,8.3998,8.4534,37310.71396651
APT-EUR,1735084800000,9.4434,9.5209,9.1156,9.2052,21713.92211199
APT-EUR,1734998400000,9.295,9.5521,8.9105,9.4464,34960.66043332
APT-EUR,1734912000000,8.8323,9.4542,8.553,9.3317,47433.19017428
APT-EUR,1734825600000,9.1554,9.3035,8.6143,8.833,46926.50686613
APT-EUR,1734739200000,10.425,10.8,8.9128,9.1515,123750.34286592
APT-EUR,1734652800000,11.028,11.467,9.5711,10.437,103153.63159201
APT-EUR,1734566400000,11.477,12.261,10.819,10.98,71235.31540291
APT-EUR,1734480000000,12.318,12.378,11.154,11.462,44273.94434405
