market,time,open,high,low,close,volume
AR-EUR,1741219200000,7.0789,7.0789,7.0789,7.0789,135.062982
AR-EUR,1741132800000,6.988,7.1953,6.7918,6.9533,12783.02054874
AR-EUR,1741046400000,7.0688,7.1059,6.3922,6.9858,88272.07444267
AR-EUR,1740960000000,8.3,8.6291,6.98,7.0836,28944.31681311
AR-EUR,1740873600000,7.9667,8.6679,7.745,8.5737,21496.43533361
AR-EUR,1740787200000,7.9776,8.1006,7.5763,7.9877,9989.13639107
AR-EUR,1740700800000,8.1646,8.1801,7.26,8.0422,30180.74013531
AR-EUR,1740614400000,7.9367,8.3241,7.8403,8.1997,31961.96521556
AR-EUR,1740528000000,7.6751,8.0085,7.5855,7.9171,42165.58068841
AR-EUR,1740441600000,7.6159,7.8759,6.9893,7.7159,55209.3985469
AR-EUR,1740355200000,8.8306,8.8881,7.22,7.5596,46936.54717525
AR-EUR,1740268800000,9.1556,9.2473,8.7126,8.8358,15655.95270453
AR-EUR,1740182400000,8.9663,9.3715,8.9331,9.2334,23310.4949659
AR-EUR,1740096000000,9.3379,9.8546,8.6943,8.9887,81517.23195948
AR-EUR,1740009600000,8.7596,9.9463,8.7488,9.3262,28903.28997705
AR-EUR,1739923200000,8.3777,8.9146,8.143,8.8082,15737.54111474
AR-EUR,1739836800000,8.8217,8.8217,7.8725,8.3932,33368.72230081
AR-EUR,1739750400000,8.915,9.2644,8.4811,8.8447,10354.8779238
AR-EUR,1739664000000,8.8642,9.1334,8.5867,8.8451,6299.30041722
AR-EUR,1739577600000,8.9174,9.2946,8.6923,8.8297,11027.4438919
AR-EUR,1739491200000,8.6573,9.1931,8.6386,9.018,36984.67912464
AR-EUR,1739404800000,9.2938,9.3689,8.45,8.6621,15099.22997004
AR-EUR,1739318400000,9.0749,9.3237,8.4,9.2454,32031.01048456
AR-EUR,1739232000000,8.8846,9.3783,8.73,9.0475,18799.6609857
AR-EUR,1739145600000,8.6904,9.0082,8.3064,8.5972,16414.8100513
AR-EUR,1739059200000,9.5606,9.6193,8.2359,8.7031,20744.4523413
AR-EUR,1738972800000,8.6958,9.744,8.6468,9.7346,9404.78948652
AR-EUR,1738886400000,9.3382,9.7555,8.4999,8.7142,24612.81210635
AR-EUR,1738800000000,9.8264,9.9506,9.13,9.195,13847.02425989
AR-EUR,1738713600000,10.032,10.623,9.649,9.7741,27261.02443941
AR-EUR,1738627200000,11.425,11.429,9.6232,10.041,42086.1040888
AR-EUR,1738540800000,12.157,12.22,8.4303,11.365,122298.48742875
AR-EUR,1738454400000,13.408,13.865,11.638,12.194,86627.14785611
AR-EUR,1738368000000,15.135,15.547,13.314,13.561,31291.40528785
AR-EUR,1738281600000,15.643,16.124,14.96,15.329,67627.28955149
AR-EUR,1738195200000,12.38,15.85,12.38,15.634,68186.45992066
AR-EUR,1738108800000,12.159,12.889,12.067,12.361,24745.14632299
AR-EUR,1738022400000,12.837,13.067,12.038,12.136,24747.01274301
