market,time,open,high,low,close,volume
ARB-EUR,1741132800000,0.35454,0.40567,0.35357,0.38495,3634200.47559557
ARB-EUR,1741046400000,0.36024,0.37456,0.33328,0.35603,1688603.94234158
ARB-EUR,1740960000000,0.44568,0.44568,0.36495,0.37298,1109139.00531689
ARB-EUR,1740873600000,0.4028,0.4482,0.39561,0.44356,834578.07992999
ARB-EUR,1740787200000,0.41001,0.41001,0.38886,0.40056,386522.67149814
ARB-EUR,1740700800000,0.40868,0.40868,0.36841,0.40738,1291564.5422013
ARB-EUR,1740614400000,0.40319,0.41829,0.39606,0.40782,648767.80818137
ARB-EUR,1740528000000,0.39913,0.41173,0.38531,0.40002,609946.71115534
ARB-EUR,1740441600000,0.39384,0.40624,0.36385,0.39974,2495588.26931386
ARB-EUR,1740355200000,0.45927,0.45927,0.38306,0.393,2134192.17601142
ARB-EUR,1740268800000,0.4543,0.46798,0.45206,0.45585,254816.33058342
ARB-EUR,1740182400000,0.44742,0.46487,0.44742,0.45783,397458.11612646
ARB-EUR,1740096000000,0.46804,0.48761,0.4385,0.44783,1474066.33565232
ARB-EUR,1740009600000,0.45249,0.47216,0.45164,0.46852,1021599.37407937
ARB-EUR,1739923200000,0.44126,0.45457,0.43301,0.45174,256505.80780911
ARB-EUR,1739836800000,0.47331,0.47331,0.42073,0.44,1435844.23984976
ARB-EUR,1739750400000,0.45386,0.48967,0.44501,0.47409,985548.50002637
ARB-EUR,1739664000000,0.45526,0.466,0.45036,0.45123,452253.61501311
ARB-EUR,1739577600000,0.47336,0.47549,0.44961,0.45599,114267.54660182
ARB-EUR,1739491200000,0.46652,0.48698,0.46402,0.47459,955691.66387332
ARB-EUR,1739404800000,0.47505,0.48163,0.45714,0.46552,831961.04535368
ARB-EUR,1739318400000,0.44897,0.48989,0.43503,0.47481,1419598.96862553
ARB-EUR,1739232000000,0.45939,0.47906,0.44304,0.4469,844695.55180455
ARB-EUR,1739145600000,0.43583,0.46553,0.42313,0.45661,1187420.97179877
ARB-EUR,1739059200000,0.43723,0.45324,0.41701,0.43563,356654.42440224
ARB-EUR,1738972800000,0.41782,0.43834,0.41519,0.43685,222502.4406489
ARB-EUR,1738886400000,0.43163,0.45047,0.4074,0.41902,1297554.29264676
ARB-EUR,1738800000000,0.4551,0.46509,0.42664,0.42942,687095.9417471
ARB-EUR,1738713600000,0.4592,0.47851,0.4463,0.453,1201625.71111761
ARB-EUR,1738627200000,0.49577,0.49848,0.4388,0.46312,1721734.47802852
ARB-EUR,1738540800000,0.48062,0.5001,0.34169,0.49512,6868669.78922469
ARB-EUR,1738454400000,0.56267,0.56839,0.45558,0.4819,2589300.91732261
ARB-EUR,1738368000000,0.61825,0.62892,0.55319,0.56011,1196067.21127431
ARB-EUR,1738281600000,0.60786,0.6475,0.595,0.61811,810441.9074444
ARB-EUR,1738195200000,0.5756,0.61707,0.5756,0.60821,673261.38395151
ARB-EUR,1738108800000,0.56845,0.60093,0.56737,0.5852,579111.24835262
ARB-EUR,1738022400000,0.62143,0.62504,0.5617,0.56865,306976.08752762
ARB-EUR,1737936000000,0.64511,0.64747,0.57763,0.61411,1197765.63500994
ARB-EUR,1737849600000,0.66662,0.68274,0.64701,0.64761,260389.67564336
ARB-EUR,1737763200000,0.66392,0.67878,0.655,0.67,205570.96743904
ARB-EUR,1737676800000,0.69309,0.70827,0.66422,0.66668,414156.8298048
ARB-EUR,1737590400000,0.67274,0.69514,0.65695,0.69101,1144289.44232664
ARB-EUR,1737504000000,0.69698,0.7066,0.66942,0.67335,438509.50886281
ARB-EUR,1737417600000,0.66923,0.71705,0.6457,0.69395,915022.55373043
ARB-EUR,1737331200000,0.67678,0.737,0.64787,0.67027,3038445.5207538
ARB-EUR,1737244800000,0.74281,0.76913,0.66715,0.67963,1923214.19463232
ARB-EUR,1737158400000,0.793,0.81013,0.72706,0.74507,938429.24313552
ARB-EUR,1737072000000,0.7353,0.80526,0.7353,0.7916,827634.11656597
ARB-EUR,1736985600000,0.76993,0.77316,0.72803,0.73397,923156.99142931
ARB-EUR,1736899200000,0.71754,0.77395,0.69674,0.76957,856331.03097459
ARB-EUR,1736812800000,0.68568,0.72197,0.68169,0.7171,528894.33315262
ARB-EUR,1736726400000,0.71089,0.73155,0.63463,0.68516,1002234.83955454
ARB-EUR,1736640000000,0.72553,0.73051,0.70295,0.71327,274362.8103061
ARB-EUR,1736553600000,0.73066,0.74073,0.70729,0.72537,345575.35173984
ARB-EUR,1736467200000,0.7256,0.75272,0.71509,0.73303,914985.00347165
ARB-EUR,1736380800000,0.76454,0.775,0.711,0.72204,476910.05124322
ARB-EUR,1736294400000,0.79586,0.80389,0.73,0.76692,925230.58434836
ARB-EUR,1736208000000,0.88184,0.88649,0.79169,0.79422,1068591.80231294
ARB-EUR,1736121600000,0.88863,0.92461,0.8783,0.88512,1377095.09157981
ARB-EUR,1736035200000,0.86801,0.89546,0.85151,0.88964,658882.02618971
ARB-EUR,1735948800000,0.81049,0.87963,0.80029,0.86933,662408.33176982
ARB-EUR,1735862400000,0.75555,0.81232,0.74098,0.80824,527354.85522859
ARB-EUR,1735776000000,0.72184,0.76193,0.72062,0.75474,911599.74073017
ARB-EUR,1735689600000,0.69465,0.72256,0.68,0.71889,219038.5672602
ARB-EUR,1735603200000,0.70311,0.72955,0.68597,0.69594,275938.09300823
ARB-EUR,1735516800000,0.7094,0.73574,0.69067,0.70419,621233.35488101
ARB-EUR,1735430400000,0.74186,0.74853,0.7022,0.71117,415653.89159538
ARB-EUR,1735344000000,0.72968,0.74525,0.71761,0.74273,241795.39938889
ARB-EUR,1735257600000,0.72346,0.7614,0.71826,0.72889,708371.31360696
ARB-EUR,1735171200000,0.77371,0.77804,0.70836,0.72268,410319.09029623
ARB-EUR,1735084800000,0.787,0.79,0.75856,0.77402,578838.95877305
ARB-EUR,1734998400000,0.76795,0.80476,0.75058,0.7871,369650.00739629
ARB-EUR,1734912000000,0.71536,0.78442,0.69787,0.76829,484230.08627241
ARB-EUR,1734825600000,0.71795,0.73993,0.69218,0.71327,313242.07612383
ARB-EUR,1734739200000,0.76302,0.81318,0.70451,0.7174,861232.44106159
ARB-EUR,1734652800000,0.75548,0.7829,0.64401,0.76457,2632207.28316754
