market,time,open,high,low,close,volume
ARKM-EUR,1741132800000,0.5002,0.5351,0.49512,0.51869,69589.50616488
ARKM-EUR,1741046400000,0.53,0.53,0.46119,0.50845,121866.56705781
ARKM-EUR,1740960000000,0.63554,0.64678,0.53,0.53,153876.08366263
ARKM-EUR,1740873600000,0.66225,0.67354,0.59911,0.65913,134442.4670753
ARKM-EUR,1740787200000,0.62042,0.62443,0.5972,0.60829,61857.78882665
ARKM-EUR,1740700800000,0.60732,0.627,0.5586,0.62645,93558.29187971
ARKM-EUR,1740614400000,0.6075,0.6231,0.595,0.60923,17305.64385091
ARKM-EUR,1740528000000,0.58814,0.61987,0.5638,0.60772,158105.5312468
ARKM-EUR,1740441600000,0.5729,0.59331,0.51549,0.58142,309458.79390506
ARKM-EUR,1740355200000,0.68477,0.72349,0.5558,0.57296,670797.82436506
ARKM-EUR,1740268800000,0.67902,0.6903,0.6527,0.68535,348036.60404227
ARKM-EUR,1740182400000,0.60125,0.69442,0.6,0.67581,413825.29739723
ARKM-EUR,1740096000000,0.63681,0.82456,0.58585,0.60665,1429023.50790653
ARKM-EUR,1740009600000,0.61292,0.63886,0.60435,0.63813,132033.89373265
ARKM-EUR,1739923200000,0.61958,0.63856,0.60518,0.61196,99153.80026783
ARKM-EUR,1739836800000,0.64517,0.64608,0.58849,0.61431,120464.53215086
ARKM-EUR,1739750400000,0.67652,0.69777,0.6278,0.65617,204137.70677259
ARKM-EUR,1739664000000,0.65432,0.70177,0.64582,0.66834,67463.41679897
ARKM-EUR,1739577600000,0.68075,0.71531,0.64445,0.6557,89745.0969177
ARKM-EUR,1739491200000,0.64952,0.69751,0.64347,0.68091,99748.18207504
ARKM-EUR,1739404800000,0.67578,0.6918,0.63784,0.65106,102928.13778947
ARKM-EUR,1739318400000,0.6734,0.70185,0.63851,0.68717,295254.38833079
ARKM-EUR,1739232000000,0.64576,0.7128,0.64458,0.67024,428980.47973635
ARKM-EUR,1739145600000,0.62996,0.67452,0.60079,0.64285,273763.70899752
ARKM-EUR,1739059200000,0.66806,0.69235,0.59282,0.63196,170904.06727151
ARKM-EUR,1738972800000,0.70831,0.7269,0.65926,0.67293,135401.99411707
ARKM-EUR,1738886400000,0.68395,0.76313,0.66736,0.67156,76989.48704538
ARKM-EUR,1738800000000,0.73755,0.74289,0.6689,0.6689,85689.131778
