market,time,open,high,low,close,volume
ASTR-EUR,1741132800000,0.032229,0.032229,0.031408,0.032156,26650.35851917
ASTR-EUR,1741046400000,0.031,0.032083,0.030743,0.031905,233465.66663617
ASTR-EUR,1740960000000,0.036663,0.037478,0.032374,0.032374,113037.49811157
ASTR-EUR,1740873600000,0.036426,0.038255,0.035557,0.038105,117838.43672833
ASTR-EUR,1740787200000,0.036716,0.036716,0.035438,0.036001,46906.29289528
ASTR-EUR,1740700800000,0.036129,0.036765,0.033848,0.036641,209303.30004782
ASTR-EUR,1740614400000,0.037609,0.038398,0.036134,0.036879,112419.43332931
ASTR-EUR,1740528000000,0.036605,0.039085,0.036211,0.037257,216040.90916788
ASTR-EUR,1740441600000,0.035872,0.03685,0.034593,0.036838,212630.72712295
ASTR-EUR,1740355200000,0.04125,0.04125,0.036157,0.036788,179451.85500694
ASTR-EUR,1740268800000,0.04236,0.04236,0.040667,0.040667,17723.12390453
ASTR-EUR,1740182400000,0.040685,0.044124,0.040625,0.043431,43714.08336594
ASTR-EUR,1740096000000,0.04093,0.046078,0.040483,0.041575,843148.3931899
ASTR-EUR,1740009600000,0.038348,0.039715,0.038094,0.039715,35679.02418276
ASTR-EUR,1739923200000,0.036631,0.038084,0.036631,0.037907,74970.61611036
ASTR-EUR,1739836800000,0.03737,0.037547,0.035403,0.036472,53713.73450682
ASTR-EUR,1739750400000,0.037889,0.039152,0.037889,0.039152,21986.16629192
ASTR-EUR,1739664000000,0.037036,0.038627,0.037036,0.037879,70837.55851414
ASTR-EUR,1739577600000,0.038504,0.038504,0.037638,0.037638,14591.20680355
ASTR-EUR,1739491200000,0.039015,0.039202,0.038231,0.038502,1019143.22717246
ASTR-EUR,1739404800000,0.039849,0.040174,0.038399,0.03895,90276.67419455
ASTR-EUR,1739318400000,0.037883,0.039888,0.037168,0.039888,28604.64251523
ASTR-EUR,1739232000000,0.039705,0.040322,0.037597,0.038248,128322.23751732
ASTR-EUR,1739145600000,0.038333,0.039511,0.038333,0.039174,251778.4766025
ASTR-EUR,1739059200000,0.038471,0.03912,0.03668,0.0368,97660.41013106
ASTR-EUR,1738972800000,0.036587,0.037881,0.036444,0.037881,24295.29071267
ASTR-EUR,1738886400000,0.036235,0.038394,0.035773,0.035827,242946.47292128
ASTR-EUR,1738800000000,0.037542,0.038407,0.0355,0.035877,194625.15571925
ASTR-EUR,1738713600000,0.037646,0.039397,0.037465,0.037615,348824.06292705
ASTR-EUR,1738627200000,0.04,0.04,0.037,0.037387,522143.81554423
ASTR-EUR,1738540800000,0.0383,0.040416,0.0305,0.040183,1358172.81692234
ASTR-EUR,1738454400000,0.045576,0.046086,0.03881,0.040233,727376.26386692
ASTR-EUR,1738368000000,0.04895,0.04895,0.045,0.045485,471416.61437519
ASTR-EUR,1738281600000,0.047248,0.049942,0.047231,0.048478,1392287.50914403
ASTR-EUR,1738195200000,0.047795,0.048741,0.047483,0.047971,229754.488126
ASTR-EUR,1738108800000,0.045993,0.04805,0.04505,0.046816,330760.60649289
ASTR-EUR,1738022400000,0.047174,0.048479,0.045445,0.045607,689039.04749686
ASTR-EUR,1737936000000,0.0493,0.049594,0.045678,0.047887,869361.75366
ASTR-EUR,1737849600000,0.051076,0.051572,0.049831,0.049831,92545.42062362
ASTR-EUR,1737763200000,0.050011,0.051091,0.049796,0.050738,149570.60174027
ASTR-EUR,1737676800000,0.049384,0.052501,0.049384,0.050156,788140.13058686
ASTR-EUR,1737590400000,0.051,0.051658,0.049984,0.051165,118392.93573524
ASTR-EUR,1737504000000,0.052857,0.052917,0.051385,0.051385,94265.738704
ASTR-EUR,1737417600000,0.051642,0.054164,0.05,0.053097,171719.7329272
ASTR-EUR,1737331200000,0.051679,0.056156,0.050864,0.052,704523.01500226
ASTR-EUR,1737244800000,0.057406,0.057406,0.051429,0.051912,507403.71516893
ASTR-EUR,1737158400000,0.061804,0.061952,0.056193,0.057621,332523.14718128
ASTR-EUR,1737072000000,0.059506,0.062055,0.059506,0.061613,194485.62743003
ASTR-EUR,1736985600000,0.060477,0.060982,0.058552,0.059421,871018.2205174
ASTR-EUR,1736899200000,0.058181,0.062875,0.056507,0.061734,808135.7195981
ASTR-EUR,1736812800000,0.056099,0.059595,0.056099,0.058154,193544.27611038
ASTR-EUR,1736726400000,0.05596,0.056271,0.053,0.056041,139877.57825433
ASTR-EUR,1736640000000,0.059936,0.060132,0.057953,0.057953,156708.61904529
ASTR-EUR,1736553600000,0.060676,0.060676,0.058611,0.059647,83976.03659594
ASTR-EUR,1736467200000,0.057858,0.061081,0.057858,0.060998,142526.90793095
ASTR-EUR,1736380800000,0.059736,0.059801,0.057,0.057955,120629.48412003
ASTR-EUR,1736294400000,0.059468,0.059468,0.056353,0.059308,223419.11977912
ASTR-EUR,1736208000000,0.065008,0.065008,0.05886,0.059576,121672.6007738
ASTR-EUR,1736121600000,0.064497,0.066498,0.06388,0.065158,107191.85215957
ASTR-EUR,1736035200000,0.063193,0.064398,0.063002,0.064398,75212.84453994
ASTR-EUR,1735948800000,0.062705,0.065914,0.06257,0.063284,586653.38316596
ASTR-EUR,1735862400000,0.059883,0.062923,0.059237,0.062473,71738.16866775
ASTR-EUR,1735776000000,0.058491,0.061012,0.058491,0.060153,210053.93259565
ASTR-EUR,1735689600000,0.057445,0.058994,0.055893,0.058994,132015.16268184
ASTR-EUR,1735603200000,0.057148,0.058932,0.057111,0.057415,55561.53471317
ASTR-EUR,1735516800000,0.059013,0.060565,0.057,0.058227,97042.28307611
