market,time,open,high,low,close,volume
ATOM-EUR,1741132800000,3.9154,4.0338,3.8564,3.9403,21139.122459
ATOM-EUR,1741046400000,3.98,4.0568,3.6912,3.9467,61212.752463
ATOM-EUR,1740960000000,4.3301,4.754,3.95,4.0356,32005.825081
ATOM-EUR,1740873600000,4.3579,4.7592,4.2548,4.65,45503.335425
ATOM-EUR,1740787200000,4.4644,4.4921,4.2717,4.3556,11250.430902
ATOM-EUR,1740700800000,4.3913,4.4997,4.0404,4.4784,31320.96289
ATOM-EUR,1740614400000,4.3776,4.555,4.3,4.3904,26064.749696
ATOM-EUR,1740528000000,4.2501,4.4646,4.1993,4.3756,39770.985309
ATOM-EUR,1740441600000,4.1737,4.3217,3.9301,4.239,100432.779056
ATOM-EUR,1740355200000,4.6621,4.6621,4.0826,4.1718,41126.446373
ATOM-EUR,1740268800000,4.7521,4.7963,4.6106,4.6321,13700.354813
ATOM-EUR,1740182400000,4.5465,4.7943,4.5373,4.7467,52910.608776
ATOM-EUR,1740096000000,4.6918,4.85,4.4745,4.5543,38151.831653
ATOM-EUR,1740009600000,4.4841,4.745,4.4841,4.6993,17618.117312
ATOM-EUR,1739923200000,4.3859,4.5057,4.3176,4.4933,15482.893218
ATOM-EUR,1739836800000,4.59,4.6587,4.262,4.3738,24165.983955
ATOM-EUR,1739750400000,4.5508,4.718,4.5,4.5958,22771.03604
ATOM-EUR,1739664000000,4.6157,4.6516,4.521,4.5341,12048.375155
ATOM-EUR,1739577600000,4.6833,4.8081,4.5787,4.6121,10542.398923
ATOM-EUR,1739491200000,4.7738,4.8376,4.6542,4.6857,87040.737257
ATOM-EUR,1739404800000,4.8803,4.95,4.7365,4.7677,27269.70595
ATOM-EUR,1739318400000,4.5462,4.9122,4.3902,4.88,69705.416489
ATOM-EUR,1739232000000,4.6871,4.8272,4.4724,4.5438,41055.678125
ATOM-EUR,1739145600000,4.4332,4.6958,4.3142,4.6642,30306.532258
ATOM-EUR,1739059200000,4.4383,4.6434,4.2702,4.4439,22928.773956
ATOM-EUR,1738972800000,4.2326,4.458,4.1937,4.4365,16084.286249
ATOM-EUR,1738886400000,4.273,4.5064,4.1291,4.222,45496.198924
ATOM-EUR,1738800000000,4.5118,4.5582,4.2116,4.244,22976.144302
ATOM-EUR,1738713600000,4.5299,4.65,4.4639,4.5,27397.238266
ATOM-EUR,1738627200000,4.7996,4.825,4.287,4.5309,34337.608527
ATOM-EUR,1738540800000,4.723,4.8176,3.6001,4.7713,161307.303518
ATOM-EUR,1738454400000,5.6385,5.7373,4.5327,4.7467,79545.487747
ATOM-EUR,1738368000000,6.0371,6.1838,5.6181,5.6181,14528.418427
ATOM-EUR,1738281600000,5.9949,6.1729,5.8942,6.0049,27526.049427
ATOM-EUR,1738195200000,5.5988,6.0393,5.542,5.9951,14956.227262
ATOM-EUR,1738108800000,5.472,5.7447,5.4598,5.5933,11428.20641
ATOM-EUR,1738022400000,5.757,5.8117,5.384,5.4369,17173.862866
ATOM-EUR,1737936000000,5.8195,5.8568,5.2892,5.7351,38678.902094
ATOM-EUR,1737849600000,5.9095,6.1168,5.8079,5.8237,24778.518962
ATOM-EUR,1737763200000,5.9241,5.9957,5.85,5.9119,20244.452156
ATOM-EUR,1737676800000,5.8857,6.1256,5.7138,5.9278,36465.145994
ATOM-EUR,1737590400000,5.9579,5.958,5.6353,5.8772,24742.947837
ATOM-EUR,1737504000000,5.9918,6.0667,5.868,5.9567,23268.119488
ATOM-EUR,1737417600000,5.833,6.0977,5.6203,6.0036,33816.739447
ATOM-EUR,1737331200000,5.7317,6.325,5.5394,5.8311,92083.622055
ATOM-EUR,1737244800000,6.3897,6.5019,5.6293,5.7405,65540.287143
ATOM-EUR,1737158400000,6.8678,6.9557,6.26,6.4095,26223.788723
ATOM-EUR,1737072000000,6.4293,6.97,6.415,6.8585,26814.207582
ATOM-EUR,1736985600000,6.4774,6.6095,6.2568,6.3869,28533.826002
ATOM-EUR,1736899200000,6.0896,6.4892,5.9722,6.4702,40971.507533
ATOM-EUR,1736812800000,6.1242,6.1691,5.9175,6.0926,31013.535611
ATOM-EUR,1736726400000,6.3168,6.53,5.7851,6.1272,37066.174964
ATOM-EUR,1736640000000,6.4625,6.5338,6.216,6.2941,12731.980817
ATOM-EUR,1736553600000,6.5073,6.5661,6.3629,6.4411,10275.089339
ATOM-EUR,1736467200000,6.2393,6.5108,6.2025,6.4944,26492.938706
ATOM-EUR,1736380800000,6.26,6.395,6.0712,6.2176,18634.58053
ATOM-EUR,1736294400000,6.55,6.6406,5.9999,6.2753,115718.036942
ATOM-EUR,1736208000000,7.1676,7.4684,6.55,6.5609,56384.270719
ATOM-EUR,1736121600000,7.1349,7.389,7.0216,7.1826,29973.949367
ATOM-EUR,1736035200000,7.0832,7.1537,6.942,7.1278,16116.915455
ATOM-EUR,1735948800000,7.2266,7.25,7.0193,7.0863,22301.653414
ATOM-EUR,1735862400000,6.5274,7.2389,6.4992,7.2099,53949.682539
ATOM-EUR,1735776000000,6.3364,6.5817,6.33,6.5326,19782.378001
ATOM-EUR,1735689600000,5.96,6.42,5.8395,6.3003,18050.114798
ATOM-EUR,1735603200000,6.1014,6.2671,5.927,5.9641,16722.477477
ATOM-EUR,1735516800000,6.0268,6.3042,5.8904,6.1023,20161.74248
ATOM-EUR,1735430400000,6.3489,6.3811,5.9761,6.0268,9805.98792
ATOM-EUR,1735344000000,6.2105,6.3974,6.14,6.3219,7844.52603
ATOM-EUR,1735257600000,6.2276,6.527,6.1521,6.2042,15548.835326
ATOM-EUR,1735171200000,6.6692,6.732,6.163,6.2148,21404.038236
ATOM-EUR,1735084800000,6.7641,6.8469,6.5735,6.6845,14013.136168
ATOM-EUR,1734998400000,6.6651,6.9193,6.4648,6.7808,26305.568738
ATOM-EUR,1734912000000,6.139,6.8082,5.9973,6.6699,29720.220625
ATOM-EUR,1734825600000,6.2751,6.4744,6.0007,6.1468,14391.355383
ATOM-EUR,1734739200000,6.6337,7.0719,6.1877,6.2758,33315.295757
ATOM-EUR,1734652800000,6.6109,6.8364,5.6063,6.6268,126788.286877
ATOM-EUR,1734566400000,7.4132,7.4285,6.3781,6.5956,78601.792733
ATOM-EUR,1734480000000,8.1326,8.2377,7.3274,7.3977,51655.326666
