market,time,open,high,low,close,volume
AUCTION-EUR,1741132800000,11.176,11.25,10.738,10.946,3623.34450815
AUCTION-EUR,1741046400000,11.71,11.71,10.732,11.553,11171.00259426
AUCTION-EUR,1740960000000,13.221,13.925,11.821,11.821,17458.0294451
AUCTION-EUR,1740873600000,13.579,14.044,12.553,13.4,7970.76652795
AUCTION-EUR,1740787200000,13.863,14.312,12.532,12.784,7476.62623538
AUCTION-EUR,1740700800000,14.194,14.557,12.854,13.875,11360.34405532
AUCTION-EUR,1740614400000,15.213,15.392,14.1,14.352,15352.93623994
AUCTION-EUR,1740528000000,15.367,17.404,13.896,14.979,43987.46437529
AUCTION-EUR,1740441600000,14.131,15.897,13.72,15.325,35181.09558465
AUCTION-EUR,1740355200000,13.407,14.191,13.132,14.051,19847.60695777
AUCTION-EUR,1740268800000,12.196,13.682,12.097,13.287,15530.33231543
AUCTION-EUR,1740182400000,12.45,13.604,12.015,12.313,9083.21821145
AUCTION-EUR,1740096000000,12.514,12.993,12.372,12.418,5037.05599305
AUCTION-EUR,1740009600000,11.826,12.856,11.826,12.426,5497.95922799
AUCTION-EUR,1739923200000,11.145,12.365,10.775,11.81,25279.78847498
AUCTION-EUR,1739836800000,10.169,11.307,9.4581,11.199,11515.14523778
AUCTION-EUR,1739750400000,10.696,10.777,10.049,10.195,4909.36270644
AUCTION-EUR,1739664000000,10.323,10.635,10.056,10.581,3000.77059359
AUCTION-EUR,1739577600000,10.818,11.311,10.242,10.315,7608.71575938
AUCTION-EUR,1739491200000,11.228,11.735,10.425,10.715,50363.32758343
AUCTION-EUR,1739404800000,9.9368,12.644,9.5183,11.192,219495.06358013
AUCTION-EUR,1739318400000,8.8742,10.05,8.75,9.871,4248.50999414
AUCTION-EUR,1739232000000,9.2819,9.59,8.8663,9.0536,1173.56478982
AUCTION-EUR,1739145600000,9.1152,9.2011,8.7169,9.1558,7454.49971453
AUCTION-EUR,1739059200000,8.7327,9.9158,8.6865,9.1116,16804.28499017
AUCTION-EUR,1738972800000,8.23,8.69,8.2264,8.69,925.8812292
AUCTION-EUR,1738886400000,8.2532,8.6556,8.156,8.1776,689.13251677
AUCTION-EUR,1738800000000,8.4897,8.5933,8.0758,8.0758,934.43430806
AUCTION-EUR,1738713600000,8.7105,8.8252,8.3053,8.465,809.04860148
AUCTION-EUR,1738627200000,9.5953,9.5953,8.4836,8.7326,3030.18653255
AUCTION-EUR,1738540800000,8.814,9.5312,7.0245,9.4746,11159.87143883
AUCTION-EUR,1738454400000,10.641,10.789,8.8125,8.8995,4988.15015272
AUCTION-EUR,1738368000000,12.051,12.051,10.856,10.856,295.78914186
AUCTION-EUR,1738281600000,12.057,12.63,12.057,12.062,697.86052543
AUCTION-EUR,1738195200000,11.573,11.967,11.573,11.9,598.86437443
AUCTION-EUR,1738108800000,11.151,11.786,11.151,11.575,141.58996975
AUCTION-EUR,1738022400000,12.068,12.068,11.091,11.091,429.1636175
AUCTION-EUR,1737936000000,12.034,12.034,10.957,11.725,2478.86328341
AUCTION-EUR,1737849600000,12.567,12.709,12.4,12.4,271.31491679
AUCTION-EUR,1737763200000,12.261,12.478,12.168,12.439,607.90359238
AUCTION-EUR,1737676800000,12.354,12.758,12.072,12.114,735.46422092
AUCTION-EUR,1737590400000,12.678,12.808,12.492,12.492,2243.93403749
AUCTION-EUR,1737504000000,13.043,13.296,12.956,12.964,2047.74414341
AUCTION-EUR,1737417600000,12.71,13.349,12.348,13.028,965.19131352
AUCTION-EUR,1737331200000,12.666,13.751,12.285,12.734,4448.68728442
AUCTION-EUR,1737244800000,14.433,14.433,12.695,12.767,4293.12043283
AUCTION-EUR,1737158400000,15.469,15.477,13.95,14.259,960.67874838
AUCTION-EUR,1737072000000,14.756,15.528,14.754,15.498,986.85327102
AUCTION-EUR,1736985600000,14.755,15.112,14.503,14.905,560.11543783
AUCTION-EUR,1736899200000,14.146,15.151,13.933,15.039,1637.87303852
AUCTION-EUR,1736812800000,14.066,14.386,14.023,14.377,477.30840078
AUCTION-EUR,1736726400000,14.456,14.56,13,14.061,1550.8724608
AUCTION-EUR,1736640000000,14.953,15.004,14.646,14.646,480.62291878
AUCTION-EUR,1736553600000,15.184,15.347,14.984,15.065,133.83331101
AUCTION-EUR,1736467200000,14.979,15.419,14.849,15.235,1246.86841817
AUCTION-EUR,1736380800000,15.014,15.469,14.686,15.053,1116.01693314
AUCTION-EUR,1736294400000,15.616,15.616,14.105,14.871,1399.1579688
AUCTION-EUR,1736208000000,17.171,17.171,15.617,15.746,2877.95266194
AUCTION-EUR,1736121600000,17.239,17.559,16.916,17.265,786.07964524
AUCTION-EUR,1736035200000,17.009,17.359,16.97,17.306,1593.25901153
AUCTION-EUR,1735948800000,17.146,17.687,17.146,17.364,3473.15714606
AUCTION-EUR,1735862400000,16.667,17.052,16.185,16.956,5221.11479622
AUCTION-EUR,1735776000000,16.2,16.837,16.183,16.496,5805.47502114
AUCTION-EUR,1735689600000,17.653,17.933,15.55,16.324,21233.24130896
AUCTION-EUR,1735603200000,16.065,17.887,16.065,17.637,11012.19902229
AUCTION-EUR,1735516800000,16.401,17.014,16.041,16.431,7838.36975364
AUCTION-EUR,1735430400000,17.215,17.338,16.336,16.392,4583.08799767
AUCTION-EUR,1735344000000,16.922,17.424,16.53,17.23,4326.63142763
AUCTION-EUR,1735257600000,17.039,17.575,16.736,16.964,19812.45267087
AUCTION-EUR,1735171200000,18.156,18.156,16.459,16.927,35054.09104908
AUCTION-EUR,1735084800000,20.976,24.746,17.788,18.128,52085.13977121
AUCTION-EUR,1734998400000,18.265,22.198,18.265,21.018,29961.24829956
AUCTION-EUR,1734912000000,17.189,18.597,16.79,18.254,2887.4419808
AUCTION-EUR,1734825600000,18.128,18.386,16.873,17.992,4727.25946889
AUCTION-EUR,1734739200000,18.353,20.04,17.85,17.988,9244.58965843
AUCTION-EUR,1734652800000,15.519,18.669,14.76,18.5,26958.20307392
AUCTION-EUR,1734566400000,16.659,18.153,15,15.481,3945.25367801
AUCTION-EUR,1734480000000,17.797,18.818,16.396,16.943,3479.98356853
AUCTION-EUR,1734393600000,19.836,20.069,17.854,17.854,4161.8070166
AUCTION-EUR,1734307200000,20.459,22.25,18.842,20.141,11365.43480812
AUCTION-EUR,1734220800000,19.056,20.689,18.693,20.26,8407.20342438
AUCTION-EUR,1734134400000,19.342,20.221,18.437,18.901,7249.90488139
AUCTION-EUR,1734048000000,17.215,19.943,17.169,19.325,7263.57538031
AUCTION-EUR,1733961600000,16.396,18.639,16.396,17.765,8981.93623054
AUCTION-EUR,1733875200000,14.532,16.059,14.477,16.059,3652.53993722
AUCTION-EUR,1733788800000,15.532,15.758,13.489,14.685,13130.7428386
AUCTION-EUR,1733702400000,19.512,19.512,13.205,15.737,15396.71953352
AUCTION-EUR,1733616000000,19.396,19.534,18.582,19.481,2107.58938863
AUCTION-EUR,1733529600000,20.054,20.221,19.418,19.548,2497.51262364
AUCTION-EUR,1733443200000,19.071,21.008,18.946,20.323,9001.6840592
