market,time,open,high,low,close,volume
AUDIO-EUR,1741132800000,0.076212,0.078538,0.075499,0.077337,88771.00669752
AUDIO-EUR,1741046400000,0.076267,0.078518,0.074209,0.077495,123013.988228
AUDIO-EUR,1740960000000,0.090188,0.090723,0.07844,0.079401,404660.22285318
AUDIO-EUR,1740873600000,0.085292,0.091895,0.083565,0.090679,413269.38091314
AUDIO-EUR,1740787200000,0.085388,0.08681,0.083039,0.084693,41844.09235209
AUDIO-EUR,1740700800000,0.082563,0.086728,0.082154,0.085605,285090.72863269
AUDIO-EUR,1740614400000,0.086496,0.088727,0.084491,0.085113,114007.91887011
AUDIO-EUR,1740528000000,0.083049,0.086176,0.081555,0.086176,233175.28445556
AUDIO-EUR,1740441600000,0.082778,0.085747,0.0795,0.084116,413841.23333304
AUDIO-EUR,1740355200000,0.093209,0.09342,0.082973,0.084471,105729.63823573
AUDIO-EUR,1740268800000,0.093898,0.09551,0.092,0.092624,76434.57486794
AUDIO-EUR,1740182400000,0.092009,0.095604,0.092009,0.093795,353614.50849378
AUDIO-EUR,1740096000000,0.09438,0.09836,0.090826,0.092009,441876.08422415
AUDIO-EUR,1740009600000,0.094385,0.096895,0.093905,0.095241,231319.38617959
AUDIO-EUR,1739923200000,0.091924,0.095881,0.091924,0.094343,98061.06065191
AUDIO-EUR,1739836800000,0.097603,0.097603,0.090651,0.092832,214347.44647586
AUDIO-EUR,1739750400000,0.099607,0.10228,0.095166,0.097669,1301933.3679443
AUDIO-EUR,1739664000000,0.097017,0.114,0.096776,0.1008,2275967.17237302
AUDIO-EUR,1739577600000,0.09804,0.10197,0.095502,0.097543,225905.29064029
AUDIO-EUR,1739491200000,0.096891,0.10094,0.096343,0.098171,1617026.00507129
AUDIO-EUR,1739404800000,0.099508,0.10068,0.096228,0.096725,83261.56968581
AUDIO-EUR,1739318400000,0.096472,0.099848,0.094812,0.099556,206785.023336
AUDIO-EUR,1739232000000,0.099444,0.10178,0.095325,0.097406,111970.95718357
AUDIO-EUR,1739145600000,0.097212,0.099924,0.093974,0.098604,752370.09607503
AUDIO-EUR,1739059200000,0.09965,0.10352,0.093729,0.096123,513368.37601649
AUDIO-EUR,1738972800000,0.096494,0.10299,0.096138,0.099795,887642.13991486
AUDIO-EUR,1738886400000,0.097596,0.1024,0.093124,0.094955,270282.00029854
AUDIO-EUR,1738800000000,0.104,0.11025,0.095784,0.097039,1124063.00177442
AUDIO-EUR,1738713600000,0.098021,0.12001,0.098021,0.10477,5258796.14558102
AUDIO-EUR,1738627200000,0.10212,0.10764,0.093545,0.098634,1527132.11041381
AUDIO-EUR,1738540800000,0.10266,0.10365,0.075597,0.10224,204406.4179675
AUDIO-EUR,1738454400000,0.11648,0.11783,0.099,0.10363,700544.78373987
AUDIO-EUR,1738368000000,0.12502,0.12597,0.11553,0.11712,267259.29818567
AUDIO-EUR,1738281600000,0.12455,0.12934,0.123,0.1248,211490.24920863
AUDIO-EUR,1738195200000,0.12274,0.12702,0.121,0.12582,153748.16156473
AUDIO-EUR,1738108800000,0.11875,0.12614,0.11875,0.12201,154708.33584532
AUDIO-EUR,1738022400000,0.12708,0.12953,0.11901,0.11901,113811.55313306
AUDIO-EUR,1737936000000,0.128,0.12893,0.1175,0.1269,900595.6754847
AUDIO-EUR,1737849600000,0.12779,0.14436,0.12763,0.12958,1306767.65703433
AUDIO-EUR,1737763200000,0.1247,0.1306,0.1247,0.12841,104479.82112616
AUDIO-EUR,1737676800000,0.13563,0.13784,0.1248,0.12537,462509.58004739
AUDIO-EUR,1737590400000,0.12644,0.147,0.12398,0.13568,3321196.76621809
AUDIO-EUR,1737504000000,0.13327,0.13357,0.12701,0.12725,132828.96412577
AUDIO-EUR,1737417600000,0.127,0.13509,0.12211,0.132,177575.79879901
AUDIO-EUR,1737331200000,0.13254,0.14215,0.127,0.13225,558223.5569747
AUDIO-EUR,1737244800000,0.14683,0.14743,0.13194,0.1342,1080575.76641473
AUDIO-EUR,1737158400000,0.1567,0.15859,0.14334,0.14696,807206.16733293
AUDIO-EUR,1737072000000,0.14456,0.16567,0.14456,0.15671,908600.20749585
AUDIO-EUR,1736985600000,0.14422,0.1475,0.14191,0.14334,183110.33616668
AUDIO-EUR,1736899200000,0.138,0.14469,0.13433,0.14466,337704.21707084
AUDIO-EUR,1736812800000,0.13255,0.13792,0.13251,0.13792,122331.87302869
AUDIO-EUR,1736726400000,0.14126,0.14131,0.12594,0.1318,505316.50488156
AUDIO-EUR,1736640000000,0.14043,0.14824,0.1389,0.14036,954260.01330815
AUDIO-EUR,1736553600000,0.14033,0.14278,0.13932,0.14188,118465.20300347
AUDIO-EUR,1736467200000,0.14031,0.14404,0.13889,0.14214,194194.36204342
AUDIO-EUR,1736380800000,0.14392,0.14415,0.13646,0.13896,143155.82063131
AUDIO-EUR,1736294400000,0.14734,0.14759,0.13606,0.14271,267737.15677236
AUDIO-EUR,1736208000000,0.16303,0.16303,0.14625,0.14686,356395.27141795
AUDIO-EUR,1736121600000,0.16279,0.16553,0.16003,0.16262,127462.45742769
AUDIO-EUR,1736035200000,0.16264,0.16376,0.1598,0.16242,52932.0710139
AUDIO-EUR,1735948800000,0.16304,0.16455,0.16,0.16424,182102.29083481
AUDIO-EUR,1735862400000,0.15705,0.1639,0.15338,0.16254,370227.59278748
AUDIO-EUR,1735776000000,0.15246,0.1605,0.15202,0.15671,122239.57669588
AUDIO-EUR,1735689600000,0.14938,0.15375,0.14695,0.15375,251043.69865208
AUDIO-EUR,1735603200000,0.15,0.15428,0.1468,0.14736,124182.61240467
AUDIO-EUR,1735516800000,0.15665,0.1578,0.14736,0.15057,470586.41898198
AUDIO-EUR,1735430400000,0.15893,0.16002,0.15116,0.15256,462373.4524772
AUDIO-EUR,1735344000000,0.15673,0.16333,0.1562,0.16013,499220.9304344
AUDIO-EUR,1735257600000,0.15769,0.17544,0.15412,0.1556,1841512.32635183
AUDIO-EUR,1735171200000,0.15614,0.17615,0.14657,0.1573,1604876.09001404
AUDIO-EUR,1735084800000,0.15803,0.15811,0.15206,0.15463,83357.83031415
AUDIO-EUR,1734998400000,0.15348,0.16101,0.15104,0.1579,210738.9844221
AUDIO-EUR,1734912000000,0.1418,0.15651,0.1418,0.15415,109564.38113019
AUDIO-EUR,1734825600000,0.14687,0.15145,0.1421,0.14629,112582.86173147
AUDIO-EUR,1734739200000,0.15428,0.16367,0.14563,0.14666,174829.18559096
AUDIO-EUR,1734652800000,0.15019,0.15567,0.13,0.15456,466821.46231478
AUDIO-EUR,1734566400000,0.16291,0.16927,0.1462,0.15237,307060.88340654
AUDIO-EUR,1734480000000,0.17424,0.17807,0.1615,0.16588,186030.12616661
AUDIO-EUR,1734393600000,0.18685,0.18934,0.17661,0.17881,170080.98924911
AUDIO-EUR,1734307200000,0.19439,0.19727,0.18372,0.18769,219694.31991595
AUDIO-EUR,1734220800000,0.19344,0.19725,0.18481,0.194,268736.70618784
AUDIO-EUR,1734134400000,0.1994,0.20363,0.18393,0.19388,383990.17908463
AUDIO-EUR,1734048000000,0.20478,0.212,0.19075,0.19978,959979.80773804
AUDIO-EUR,1733961600000,0.18357,0.20891,0.18344,0.20445,1081482.85468585
AUDIO-EUR,1733875200000,0.16893,0.18773,0.1656,0.18375,400216.15783189
AUDIO-EUR,1733788800000,0.18,0.18364,0.154,0.16988,576053.94977224
AUDIO-EUR,1733702400000,0.21632,0.2172,0.15544,0.18128,972037.37600078
AUDIO-EUR,1733616000000,0.21315,0.21901,0.20736,0.21801,520070.15998259
