market,time,open,high,low,close,volume
AVA-EUR,1741132800000,0.50176,0.60099,0.49177,0.57453,192021.56602161
AVA-EUR,1741046400000,0.52152,0.53133,0.48678,0.50849,70425.5865674
AVA-EUR,1740960000000,0.62754,0.62841,0.54552,0.57232,23971.72706423
AVA-EUR,1740873600000,0.58,0.63808,0.57662,0.63271,37268.44418829
AVA-EUR,1740787200000,0.61054,0.61206,0.58343,0.58749,21326.28120553
AVA-EUR,1740700800000,0.58276,0.63263,0.53949,0.61377,543213.96596933
AVA-EUR,1740614400000,0.54528,0.59581,0.54112,0.58113,143168.3860762
AVA-EUR,1740528000000,0.54417,0.56497,0.52469,0.54934,18132.9227728
AVA-EUR,1740441600000,0.56191,0.56228,0.53252,0.54623,30313.48277108
AVA-EUR,1740355200000,0.62209,0.62377,0.55,0.56259,25966.97542805
AVA-EUR,1740268800000,0.66812,0.66812,0.62424,0.63355,6392.5503494
AVA-EUR,1740182400000,0.63102,0.7,0.63089,0.66904,381443.45091848
AVA-EUR,1740096000000,0.62004,0.64807,0.62,0.62795,52811.8932258
AVA-EUR,1740009600000,0.616,0.62699,0.61085,0.6204,14287.96265946
AVA-EUR,1739923200000,0.61614,0.63212,0.59946,0.60531,20513.76052473
AVA-EUR,1739836800000,0.62581,0.62581,0.58009,0.59423,16099.55548624
AVA-EUR,1739750400000,0.64114,0.64764,0.61419,0.63753,12861.43070012
AVA-EUR,1739664000000,0.63037,0.65246,0.62814,0.64106,23008.24345903
AVA-EUR,1739577600000,0.64809,0.65003,0.62639,0.63175,29031.35131273
AVA-EUR,1739491200000,0.66647,0.68492,0.64077,0.65236,75466.4105232
AVA-EUR,1739404800000,0.70516,0.74005,0.66191,0.66762,171752.71805878
AVA-EUR,1739318400000,0.62987,0.73826,0.62639,0.70405,261470.08477692
AVA-EUR,1739232000000,0.64898,0.68644,0.61583,0.63015,76830.42971376
AVA-EUR,1739145600000,0.61546,0.65071,0.61353,0.63185,49842.30050863
AVA-EUR,1739059200000,0.63174,0.7318,0.60733,0.63732,482476.97961208
AVA-EUR,1738972800000,0.5821,0.63617,0.57921,0.62854,173659.32852735
AVA-EUR,1738886400000,0.56425,0.62299,0.56068,0.5836,53038.77776966
AVA-EUR,1738800000000,0.60858,0.62129,0.55769,0.5603,168064.23897327
AVA-EUR,1738713600000,0.6294,0.63721,0.59849,0.60077,108970.05747015
AVA-EUR,1738627200000,0.64526,0.70359,0.58317,0.64078,414314.9703335
AVA-EUR,1738540800000,0.62337,0.66676,0.48425,0.66,145093.46115936
AVA-EUR,1738454400000,0.74095,0.74405,0.61527,0.63652,53199.031162
AVA-EUR,1738368000000,0.79912,0.81667,0.72385,0.72385,15999.74694491
AVA-EUR,1738281600000,0.80332,0.82689,0.7922,0.79687,25665.08637122
AVA-EUR,1738195200000,0.7738,0.8648,0.7738,0.80305,122238.28204113
AVA-EUR,1738108800000,0.76462,0.80613,0.74996,0.78852,20336.36494056
AVA-EUR,1738022400000,0.85275,0.86973,0.7497,0.76224,166178.66502344
AVA-EUR,1737936000000,0.78541,1.0499,0.72009,0.8583,963525.11198318
AVA-EUR,1737849600000,0.84523,0.86503,0.78831,0.78831,101725.10195654
AVA-EUR,1737763200000,0.82256,0.86374,0.81453,0.85133,37931.73364042
AVA-EUR,1737676800000,0.89238,0.90412,0.82448,0.83003,89202.14072941
