market,time,open,high,low,close,volume
AVAX-EUR,1741132800000,18.996,20.854,18.602,18.999,75704.98740895
AVAX-EUR,1741046400000,19.957,20.108,17.95,18.516,77399.58542015
AVAX-EUR,1740960000000,23.842,24.1,19.64,19.958,67774.227612
AVAX-EUR,1740873600000,21.17,24.001,20.82,21.272,52915.17409028
AVAX-EUR,1740787200000,21.437,21.662,20.327,21.073,18190.31808293
AVAX-EUR,1740700800000,21.613,21.619,19.49,21.546,38518.14855747
AVAX-EUR,1740614400000,20.852,22.301,20.702,21.654,28306.11952729
AVAX-EUR,1740528000000,20.849,21.498,20.02,20.822,38652.49449783
AVAX-EUR,1740441600000,20.945,21.237,19.42,20.875,81099.3608501
AVAX-EUR,1740355200000,23.782,23.937,20.517,20.928,43899.24615655
AVAX-EUR,1740268800000,24.717,24.816,23.34,23.836,14692.7969105
AVAX-EUR,1740182400000,23.473,25.218,23.404,24.701,17067.68373681
AVAX-EUR,1740096000000,23.98,25.312,22.738,23.48,38913.89663227
AVAX-EUR,1740009600000,22.779,24.14,22.767,23.937,26186.03187813
AVAX-EUR,1739923200000,22.526,23.028,22,22.768,21395.89289729
AVAX-EUR,1739836800000,23.92,23.925,21.949,22.501,42425.66442614
AVAX-EUR,1739750400000,23.713,24.769,23.335,23.898,24934.94006641
AVAX-EUR,1739664000000,24.267,24.399,23.624,23.681,9885.86601331
AVAX-EUR,1739577600000,25.176,25.704,24.235,24.304,8434.80380523
AVAX-EUR,1739491200000,24.314,25.924,24.207,25.144,37441.08586155
AVAX-EUR,1739404800000,25.518,25.565,24.122,24.297,20309.76055793
AVAX-EUR,1739318400000,24.469,26.066,23.505,25.453,33594.42001304
AVAX-EUR,1739232000000,24.972,26.172,24.025,24.524,39005.99644062
AVAX-EUR,1739145600000,24.209,25.176,23.198,24.927,37512.47595107
AVAX-EUR,1739059200000,23.826,24.751,23.06,24.148,18970.95914791
AVAX-EUR,1738972800000,23.673,24.012,23.203,23.84,9935.26683769
AVAX-EUR,1738886400000,23.623,25.279,23,23.692,34708.95342853
AVAX-EUR,1738800000000,25.024,25.876,23.382,23.587,28706.26455572
AVAX-EUR,1738713600000,25.558,26.361,24.658,24.861,26798.45260965
AVAX-EUR,1738627200000,27.595,27.676,24.788,25.569,46434.0698234
AVAX-EUR,1738540800000,26.982,27.876,21,27.574,150174.3441159
AVAX-EUR,1738454400000,31.012,31.475,25.323,26.918,88727.40324494
AVAX-EUR,1738368000000,33.2,33.821,30.827,31.09,23543.53982717
AVAX-EUR,1738281600000,32.987,34.76,32.576,33.197,30287.00519999
AVAX-EUR,1738195200000,31.495,33.266,31.15,32.977,26839.57358485
AVAX-EUR,1738108800000,30.758,32.47,30.676,31.445,26012.33998345
AVAX-EUR,1738022400000,32.72,33.073,30.539,30.794,32159.75594008
AVAX-EUR,1737936000000,34.139,34.442,31.298,32.777,87556.93866207
AVAX-EUR,1737849600000,34.922,36.372,34.209,34.209,18023.44760569
AVAX-EUR,1737763200000,33.699,35.52,33.337,34.949,25749.89184664
AVAX-EUR,1737676800000,34.24,35.03,33.124,33.736,20416.12829239
AVAX-EUR,1737590400000,35.355,35.489,33.292,34.188,37395.86832153
AVAX-EUR,1737504000000,35.494,36.177,35.039,35.294,19183.30881201
AVAX-EUR,1737417600000,34.535,36.064,33.272,35.536,41608.23724255
AVAX-EUR,1737331200000,34.718,39.04,33.542,34.594,90696.24529601
AVAX-EUR,1737244800000,37.993,38.41,34.088,34.753,89320.5660222
AVAX-EUR,1737158400000,40.257,40.453,37.129,38.085,56190.95138938
AVAX-EUR,1737072000000,38.928,40.625,38.928,40.145,47654.21603254
AVAX-EUR,1736985600000,38.64,39.438,37.22,38.849,40965.5701067
AVAX-EUR,1736899200000,35.539,38.808,35.129,38.64,59483.61548767
AVAX-EUR,1736812800000,34.448,35.657,34.201,35.425,21966.43447739
AVAX-EUR,1736726400000,35.683,36.454,32.112,34.387,49830.234551
AVAX-EUR,1736640000000,36.225,36.699,35.237,35.679,8825.7479903
AVAX-EUR,1736553600000,35.837,36.859,35.179,36.165,15201.80279658
AVAX-EUR,1736467200000,35.335,36.862,35.136,35.803,32717.82669447
AVAX-EUR,1736380800000,36.339,36.76,34.513,35.185,24662.56583753
AVAX-EUR,1736294400000,37.981,38.574,35.151,36.334,60997.94200683
AVAX-EUR,1736208000000,42.402,42.9,37.938,37.941,58332.96459189
AVAX-EUR,1736121600000,41.816,43.355,40.792,42.485,76657.72763544
AVAX-EUR,1736035200000,41.42,41.91,40.008,41.815,70322.04703393
AVAX-EUR,1735948800000,40.708,41.608,39.696,41.359,52737.33099256
AVAX-EUR,1735862400000,38.218,40.968,37.874,40.663,54655.44878905
AVAX-EUR,1735776000000,36.55,39.27,36.459,38.229,33803.15300954
AVAX-EUR,1735689600000,34.398,36.598,33.732,36.456,24949.65584098
AVAX-EUR,1735603200000,34.499,35.85,33.546,34.446,36898.65677118
AVAX-EUR,1735516800000,34.246,35.663,33.51,34.526,49749.41513188
AVAX-EUR,1735430400000,36.124,36.191,33.973,34.299,21352.67783933
AVAX-EUR,1735344000000,35.158,36.505,34.791,36.158,23723.49582058
AVAX-EUR,1735257600000,35.795,37.444,34.828,35.023,23913.42013556
AVAX-EUR,1735171200000,38.676,39.135,35.487,35.798,29518.39893194
AVAX-EUR,1735084800000,39.625,40.252,38.283,38.707,24241.28682297
AVAX-EUR,1734998400000,37.536,40.45,36.293,39.625,52593.29089189
AVAX-EUR,1734912000000,35.036,38.151,34.195,37.561,44715.94122277
AVAX-EUR,1734825600000,35.946,37.033,34.084,35.016,36894.35207802
AVAX-EUR,1734739200000,38.187,40.76,35.511,35.954,77496.5416212
AVAX-EUR,1734652800000,37.547,38.88,32.26,38.25,135674.7822122
AVAX-EUR,1734566400000,41.357,41.875,36.1,37.454,109063.47086408
AVAX-EUR,1734480000000,45.729,45.907,41.214,41.389,74548.82444302
AVAX-EUR,1734393600000,46.591,48.405,45.313,45.566,61340.56232261
AVAX-EUR,1734307200000,48.156,49.134,46.027,46.509,67011.55761737
AVAX-EUR,1734220800000,47.424,48.706,45.792,48.174,51807.81054225
AVAX-EUR,1734134400000,50.259,51.22,47.03,47.475,70195.16700208
AVAX-EUR,1734048000000,50.742,51.5,48.308,50.237,85339.49851534
AVAX-EUR,1733961600000,46.135,52.701,45.868,50.702,110414.26834155
AVAX-EUR,1733875200000,42.416,46.14,40.753,46.041,50430.03675893
AVAX-EUR,1733788800000,42.659,44.166,39.298,42.423,95747.79906779
AVAX-EUR,1733702400000,51.065,51.266,38.167,42.86,155488.96390707
AVAX-EUR,1733616000000,48.748,51.488,47.703,51.096,48415.03789055
AVAX-EUR,1733529600000,49.667,50.22,48.501,48.774,33468.88901449
AVAX-EUR,1733443200000,47.576,50.7,46.963,49.681,57904.79982658
