market,time,open,high,low,close,volume
AVAX-USDC,1741132800000,20.761,22.222,20.428,20.618,360.93986093
AVAX-USDC,1741046400000,20.3,20.676,18.939,19.885,1047.44501699
AVAX-USDC,1740960000000,24.488,24.916,20.992,23.148,538.95103756
AVAX-USDC,1740873600000,21.87,24.741,21.723,23.069,287.53189907
AVAX-USDC,1740787200000,21.536,21.937,21.195,21.195,81.06842702
AVAX-USDC,1740700800000,22.379,22.379,20.758,22.166,366.12389
AVAX-USDC,1740614400000,22.593,23.246,22.088,22.364,153.868
AVAX-USDC,1740528000000,22.39,22.39,21.2,21.2,261.6808196
AVAX-USDC,1740441600000,20.67,22.11,20.612,22.11,431.2555134
AVAX-USDC,1740355200000,23.74,23.74,22.39,22.39,111.8046
AVAX-USDC,1740268800000,24.934,24.934,24.696,24.696,55.903
AVAX-USDC,1740182400000,24.918,26.142,24.918,25.937,170.67446723
AVAX-USDC,1740096000000,25.806,26.084,24.048,24.048,127.76896723
AVAX-USDC,1740009600000,24.769,25.183,24.608,24.936,113.344487
AVAX-USDC,1739923200000,23.607,23.74,23.481,23.74,87.68890989
AVAX-USDC,1739836800000,24.048,24.048,23.212,23.212,68.144367
AVAX-USDC,1739750400000,25.33,25.954,24.477,24.477,311.105
AVAX-USDC,1739664000000,25.473,25.496,25.379,25.4,25.1841
AVAX-USDC,1739577600000,25.831,25.831,25.757,25.829,1.0648
AVAX-USDC,1739491200000,25.888,27.185,25.752,27.185,114.4456
AVAX-USDC,1739404800000,26.214,26.214,25.44,25.785,143.0655
AVAX-USDC,1739318400000,25.495,25.495,24.791,25.277,653.17275435
AVAX-USDC,1739232000000,26.277,26.277,24.998,24.998,51.761
AVAX-USDC,1739145600000,25.371,25.78,25.371,25.49,28.188567
AVAX-USDC,1739059200000,24.635,25.44,24.048,24.048,57.96453446
AVAX-USDC,1738972800000,24.769,24.769,24.048,24.713,78.70587418
AVAX-USDC,1738886400000,25.093,25.945,23.91,24.157,179.46202791
AVAX-USDC,1738800000000,26.654,26.814,24.886,24.886,103.6436
AVAX-USDC,1738713600000,25.982,25.982,25.873,25.873,36.824
AVAX-USDC,1738627200000,27.121,27.651,26.371,26.371,280.675
AVAX-USDC,1738540800000,26.474,27.875,21.41,27.672,2458.72544574
AVAX-USDC,1738454400000,30.757,30.757,26.2,26.2,141.05586336
AVAX-USDC,1738368000000,34.553,34.553,32.602,32.602,68.8513789
AVAX-USDC,1738281600000,36,36,34.397,34.487,147.53913294
AVAX-USDC,1738195200000,34.397,34.397,34.397,34.397,7.83799764
