market,time,open,high,low,close,volume
BAL-EUR,1741132800000,1.5313,1.5824,1.5102,1.5537,1015.80064533
BAL-EUR,1741046400000,1.4709,1.5478,1.42,1.5229,20401.99592675
BAL-EUR,1740960000000,1.7402,1.7814,1.5343,1.5371,5375.92510806
BAL-EUR,1740873600000,1.7374,1.8405,1.6156,1.8302,16658.23162051
BAL-EUR,1740787200000,1.6767,1.6823,1.6159,1.6431,172.03177576
BAL-EUR,1740700800000,1.6,1.6571,1.53,1.6484,14824.98860561
BAL-EUR,1740614400000,1.6991,1.7214,1.64,1.6715,3476.45957271
BAL-EUR,1740528000000,1.75,1.7753,1.6164,1.7005,11962.39524708
BAL-EUR,1740441600000,1.7788,1.8078,1.6497,1.7654,7798.53178444
BAL-EUR,1740355200000,1.9628,1.9628,1.7727,1.804,2521.0243067
BAL-EUR,1740268800000,1.911,1.9859,1.911,1.9463,5793.4056252
BAL-EUR,1740182400000,1.8347,1.9561,1.8347,1.9261,1208.50323511
BAL-EUR,1740096000000,1.9143,1.9648,1.8305,1.8337,2106.11178509
BAL-EUR,1740009600000,1.9091,1.911,1.8692,1.8715,2592.99097178
BAL-EUR,1739923200000,1.8701,1.8905,1.86,1.8702,13739.66971877
BAL-EUR,1739836800000,1.8696,1.8696,1.7936,1.8097,3207.98143048
BAL-EUR,1739750400000,1.8815,1.97,1.852,1.8949,440.33480533
BAL-EUR,1739664000000,1.906,1.9203,1.863,1.863,1403.00564464
BAL-EUR,1739577600000,1.9356,1.9356,1.9092,1.9133,25.583613
BAL-EUR,1739491200000,1.9055,1.9611,1.9055,1.9457,6019.65125024
BAL-EUR,1739404800000,1.9369,1.9369,1.8705,1.8889,262.9797907
BAL-EUR,1739318400000,1.8424,1.9562,1.8344,1.9562,4912.26438731
BAL-EUR,1739232000000,1.8968,1.9272,1.8443,1.8539,302.97013417
BAL-EUR,1739145600000,1.8278,1.8938,1.823,1.8784,3652.20170351
BAL-EUR,1739059200000,1.8004,1.8658,1.8004,1.8304,16088.3521342
