market,time,open,high,low,close,volume
BAND-EUR,1741219200000,0.85053,0.85053,0.85053,0.85053,293.20136691
BAND-EUR,1741132800000,0.82027,0.84878,0.81666,0.8439,35940.33704491
BAND-EUR,1741046400000,0.84022,0.84729,0.8,0.81875,6219.08666649
BAND-EUR,1740960000000,0.9773,0.99548,0.86093,0.94992,45200.79757871
BAND-EUR,1740873600000,0.955,1.0078,0.9261,1.0078,45099.02490889
BAND-EUR,1740787200000,0.88098,0.955,0.87828,0.955,17939.85802937
BAND-EUR,1740700800000,0.90794,0.936,0.85153,0.92023,12584.4808658
BAND-EUR,1740614400000,0.94993,0.97102,0.918,0.93532,4640.71290236
BAND-EUR,1740528000000,0.87323,0.94463,0.87323,0.927,17853.2604291
BAND-EUR,1740441600000,0.84341,0.88841,0.79992,0.88615,63531.88187946
BAND-EUR,1740355200000,1.003,1.006,0.84382,0.86659,34483.36774647
BAND-EUR,1740268800000,1.0495,1.0676,1.0341,1.0341,25471.27365118
BAND-EUR,1740182400000,1.03,1.0782,1.0171,1.0737,61879.6641561
BAND-EUR,1740096000000,0.99927,1.126,0.99927,1.0393,63656.78905499
BAND-EUR,1740009600000,0.93721,1.0105,0.93721,1.0105,14899.67952071
BAND-EUR,1739923200000,0.91102,0.93795,0.91102,0.93735,6545.99870796
BAND-EUR,1739836800000,0.91908,0.91908,0.87132,0.90573,6575.72133858
BAND-EUR,1739750400000,0.93296,0.99583,0.9204,0.94608,73339.39822025
BAND-EUR,1739664000000,0.923,0.95298,0.90944,0.92428,10891.80541307
BAND-EUR,1739577600000,0.95489,0.95489,0.92933,0.92933,286.5779755
BAND-EUR,1739491200000,0.94589,0.96513,0.92738,0.94519,4879.97163061
BAND-EUR,1739404800000,0.93995,0.95025,0.92783,0.95025,21691.91135874
BAND-EUR,1739318400000,0.93188,0.97926,0.89606,0.96535,67400.96688932
BAND-EUR,1739232000000,0.92612,0.968,0.91235,0.92828,9280.48549311
BAND-EUR,1739145600000,0.89845,0.92333,0.85274,0.92008,22290.94644357
BAND-EUR,1739059200000,0.8966,0.925,0.84478,0.86816,19727.1513892
BAND-EUR,1738972800000,0.8529,0.88965,0.8288,0.88403,4113.41314412
BAND-EUR,1738886400000,0.83723,0.8953,0.82853,0.8336,35507.2122359
BAND-EUR,1738800000000,0.88633,0.88802,0.81873,0.81902,22825.42295419
BAND-EUR,1738713600000,0.88753,0.91309,0.86784,0.87935,42833.9565177
BAND-EUR,1738627200000,0.99295,0.99295,0.86602,0.89208,67629.04652006
BAND-EUR,1738540800000,0.97339,1.0072,0.75,0.9877,152158.14536362
BAND-EUR,1738454400000,1.0375,1.0714,0.9288,0.97519,55279.59572082
BAND-EUR,1738368000000,1.152,1.152,1.0282,1.0375,30189.43475089
BAND-EUR,1738281600000,1.1466,1.18,1.1357,1.1404,12815.06488122
BAND-EUR,1738195200000,1.0811,1.1618,1.0808,1.1531,14532.5487712
BAND-EUR,1738108800000,1.0647,1.126,1.0558,1.1008,20656.16089995
BAND-EUR,1738022400000,1.1564,1.1581,1.05,1.05,20261.26484337
BAND-EUR,1737936000000,1.196,1.2161,1.074,1.1372,43607.9270251
BAND-EUR,1737849600000,1.1609,1.254,1.1609,1.2119,46689.14931857
BAND-EUR,1737763200000,1.1088,1.1521,1.108,1.144,8924.04873496
BAND-EUR,1737676800000,1.1638,1.1858,1.1135,1.1135,7214.24195782
BAND-EUR,1737590400000,1.165,1.1804,1.1246,1.1698,6800.36317174
BAND-EUR,1737504000000,1.1921,1.2252,1.1732,1.1732,6632.24718943
BAND-EUR,1737417600000,1.1654,1.2218,1.1134,1.1913,32536.428637
BAND-EUR,1737331200000,1.25,1.3252,1.1647,1.1803,91660.31212758
BAND-EUR,1737244800000,1.3561,1.4039,1.2399,1.2731,95307.69981061
BAND-EUR,1737158400000,1.4692,1.4692,1.3302,1.3629,34650.95206395
BAND-EUR,1737072000000,1.3499,1.47,1.3499,1.4598,25869.01223798
BAND-EUR,1736985600000,1.346,1.381,1.3201,1.3457,25964.14406386
BAND-EUR,1736899200000,1.2947,1.352,1.2537,1.3392,10411.73176868
BAND-EUR,1736812800000,1.2491,1.2939,1.2456,1.282,18548.49180379
BAND-EUR,1736726400000,1.3289,1.3289,1.1709,1.2453,19638.02931465
BAND-EUR,1736640000000,1.3368,1.3368,1.2871,1.2959,3068.1710645
BAND-EUR,1736553600000,1.3408,1.3408,1.3082,1.3329,2124.54046901
BAND-EUR,1736467200000,1.3032,1.3448,1.295,1.3341,15344.87245824
BAND-EUR,1736380800000,1.3383,1.3605,1.2577,1.282,9166.0214312
BAND-EUR,1736294400000,1.3911,1.3911,1.274,1.3393,27699.82582757
BAND-EUR,1736208000000,1.5133,1.5319,1.3894,1.4055,36166.77898866
BAND-EUR,1736121600000,1.5299,1.5812,1.5072,1.5445,13338.23587006
BAND-EUR,1736035200000,1.5232,1.5421,1.5119,1.542,6255.54061642
