market,time,open,high,low,close,volume
BAT-EUR,1741132800000,0.14712,0.15216,0.14416,0.15216,102509.69930209
BAT-EUR,1741046400000,0.14209,0.1496,0.138,0.14771,220599.41029213
BAT-EUR,1740960000000,0.16363,0.17355,0.14747,0.1496,168146.47175663
BAT-EUR,1740873600000,0.17318,0.17506,0.15776,0.1723,301693.90991413
BAT-EUR,1740787200000,0.16128,0.16237,0.15597,0.16148,15216.90390305
BAT-EUR,1740700800000,0.15597,0.16386,0.1496,0.16193,101194.10298525
BAT-EUR,1740614400000,0.15876,0.16433,0.15631,0.16034,32245.73424932
BAT-EUR,1740528000000,0.15839,0.16044,0.15028,0.15858,107217.72740184
BAT-EUR,1740441600000,0.15733,0.1601,0.14845,0.15852,190620.49064415
BAT-EUR,1740355200000,0.17646,0.17646,0.15597,0.1568,115253.89243599
BAT-EUR,1740268800000,0.17594,0.17939,0.17463,0.17692,56093.96063563
BAT-EUR,1740182400000,0.17244,0.17837,0.17244,0.17564,34162.73190726
BAT-EUR,1740096000000,0.1757,0.18215,0.16964,0.17241,47250.4162767
BAT-EUR,1740009600000,0.16947,0.17878,0.1691,0.17808,145617.03818827
BAT-EUR,1739923200000,0.16949,0.17393,0.16796,0.16907,117527.12515897
BAT-EUR,1739836800000,0.17661,0.17743,0.16385,0.16784,158315.84052832
BAT-EUR,1739750400000,0.17648,0.1809,0.17356,0.17356,35877.33422554
BAT-EUR,1739664000000,0.17467,0.17917,0.17365,0.17752,37578.49349817
BAT-EUR,1739577600000,0.18017,0.18078,0.17535,0.17535,25028.57910368
BAT-EUR,1739491200000,0.18017,0.18478,0.17954,0.18159,96706.20225395
BAT-EUR,1739404800000,0.18327,0.18457,0.17588,0.17876,37314.4887342
BAT-EUR,1739318400000,0.17389,0.1854,0.17305,0.18406,326969.13853636
BAT-EUR,1739232000000,0.17956,0.1856,0.17134,0.1738,25960.37520071
BAT-EUR,1739145600000,0.17314,0.17904,0.16709,0.17806,24172.77535507
BAT-EUR,1739059200000,0.17459,0.17655,0.16438,0.17154,54092.17250705
BAT-EUR,1738972800000,0.1648,0.17492,0.16462,0.17492,24301.14039984
BAT-EUR,1738886400000,0.16394,0.17362,0.1613,0.16401,149682.71934477
BAT-EUR,1738800000000,0.17225,0.17296,0.16124,0.16466,124270.85908405
BAT-EUR,1738713600000,0.17523,0.17746,0.1689,0.17084,86764.03123453
BAT-EUR,1738627200000,0.18768,0.18768,0.16808,0.17281,163666.78997322
BAT-EUR,1738540800000,0.1825,0.18675,0.14483,0.18517,676597.09652679
BAT-EUR,1738454400000,0.20725,0.20725,0.17428,0.18229,390707.4703624
BAT-EUR,1738368000000,0.21818,0.21818,0.202,0.2025,18525.77567004
BAT-EUR,1738281600000,0.21556,0.2232,0.20965,0.2137,143093.940219
BAT-EUR,1738195200000,0.20651,0.218,0.20651,0.21452,275763.86602112
BAT-EUR,1738108800000,0.19903,0.20976,0.1986,0.20648,172301.41860602
BAT-EUR,1738022400000,0.21741,0.21741,0.19718,0.19718,56618.16615189
BAT-EUR,1737936000000,0.2155,0.21597,0.19774,0.21548,211547.40019761
BAT-EUR,1737849600000,0.21853,0.23221,0.2163,0.2163,69354.83589982
BAT-EUR,1737763200000,0.21234,0.22038,0.21201,0.21994,26145.33881193
BAT-EUR,1737676800000,0.22237,0.22623,0.21378,0.21378,147322.55895735
BAT-EUR,1737590400000,0.22141,0.22309,0.21234,0.22141,209723.07722707
BAT-EUR,1737504000000,0.23066,0.23073,0.22063,0.22188,102787.40835828
BAT-EUR,1737417600000,0.2227,0.23463,0.21394,0.22916,343495.48714679
BAT-EUR,1737331200000,0.21779,0.24325,0.21474,0.22458,442185.85602788
BAT-EUR,1737244800000,0.24108,0.2434,0.21765,0.22126,482067.82775401
BAT-EUR,1737158400000,0.25719,0.262,0.23381,0.23775,152598.86770025
