market,time,open,high,low,close,volume
BCH-EUR,1741132800000,301.96,370.13,301.42,363.36,24475.31970715
BCH-EUR,1741046400000,302.55,314.3,277,303.06,5224.79380235
BCH-EUR,1740960000000,318.98,340.86,298.82,304.35,7153.63870236
BCH-EUR,1740873600000,299.73,330,299.73,321.59,3305.19411159
BCH-EUR,1740787200000,311.07,312.18,297.32,302.44,1189.34311224
BCH-EUR,1740700800000,285.58,308.29,259.77,304.23,3951.46366084
BCH-EUR,1740614400000,279.75,289.91,277.93,285.44,768.6494936
BCH-EUR,1740528000000,276.56,286.58,271.08,280.45,1608.36506346
BCH-EUR,1740441600000,278.64,283.51,263,277.87,3119.94408586
BCH-EUR,1740355200000,313.13,313.13,274.82,278.41,1844.70533699
BCH-EUR,1740268800000,307.18,317.93,306.93,313.33,412.5165485
BCH-EUR,1740182400000,299.67,308.5,299.55,307.75,183.52752483
BCH-EUR,1740096000000,310.44,318.98,296.7,300.53,784.98286648
BCH-EUR,1740009600000,309.65,313.04,306.5,310.49,323.56941902
BCH-EUR,1739923200000,302.89,311.13,298.48,309.3,491.94518158
BCH-EUR,1739836800000,309.28,310.44,294.82,302.42,916.64930809
BCH-EUR,1739750400000,312.01,320.74,303.01,308.84,752.96923707
BCH-EUR,1739664000000,317.9,319.51,311.19,311.19,109.42370175
BCH-EUR,1739577600000,325.83,329.56,316.21,317.97,275.66706776
BCH-EUR,1739491200000,320.66,334.03,320.45,325.66,1324.38183698
BCH-EUR,1739404800000,330.44,330.48,314.14,320.86,692.30583137
BCH-EUR,1739318400000,321.27,333.71,311.04,330.08,809.96625614
BCH-EUR,1739232000000,320.27,334.06,314.47,320.06,781.89557018
BCH-EUR,1739145600000,316.04,324.22,306.91,318.37,680.87356157
BCH-EUR,1739059200000,312.07,318.32,304.83,315.33,568.14488839
BCH-EUR,1738972800000,309.24,314.41,305.15,313.64,310.7570675
BCH-EUR,1738886400000,307.12,323.32,299,308.19,1046.0803979
BCH-EUR,1738800000000,316.69,322.69,302.66,304.37,796.52570076
BCH-EUR,1738713600000,317.68,325.11,310.63,315.45,811.15936502
BCH-EUR,1738627200000,343.26,345.14,310,318.21,1088.6461506
BCH-EUR,1738540800000,351.93,351.93,264.26,342.73,8768.80753693
BCH-EUR,1738454400000,393.84,396.53,333.89,350.09,3362.36749838
BCH-EUR,1738368000000,408.99,416.02,387.67,391.09,473.20980383
BCH-EUR,1738281600000,420.14,428.24,405.22,409.6,494.5385794
BCH-EUR,1738195200000,397.69,421.35,395.91,417.82,488.75965034
BCH-EUR,1738108800000,393.71,404.15,389.43,398.09,750.63622613
BCH-EUR,1738022400000,410,413.17,390,394.3,391.4061979
BCH-EUR,1737936000000,406.07,409.11,378.26,409.03,2575.5360874
BCH-EUR,1737849600000,424.25,427.19,406,407.29,388.00021068
BCH-EUR,1737763200000,413.37,433.93,411.29,425.16,927.76154516
BCH-EUR,1737676800000,420.68,422.46,408.54,410.71,626.19193212
BCH-EUR,1737590400000,417.85,429.52,409.58,420.38,2002.92535089
BCH-EUR,1737504000000,429.55,432.74,417.34,417.84,577.12130093
BCH-EUR,1737417600000,414.29,436.19,404.51,428.51,1155.67374754
