market,time,open,high,low,close,volume
BIGTIME-EUR,1741132800000,0.052958,0.053554,0.05114,0.051748,496199.61505628
BIGTIME-EUR,1741046400000,0.052327,0.053143,0.048935,0.052016,2540276.10304324
BIGTIME-EUR,1740960000000,0.064717,0.065295,0.052974,0.052974,1292308.37300666
BIGTIME-EUR,1740873600000,0.061676,0.066683,0.0603,0.066185,808484.16991761
BIGTIME-EUR,1740787200000,0.064581,0.06551,0.061285,0.062966,639656.74345912
BIGTIME-EUR,1740700800000,0.061758,0.065711,0.057227,0.065711,1938823.92627027
BIGTIME-EUR,1740614400000,0.061098,0.062355,0.058725,0.059559,170109.01169696
BIGTIME-EUR,1740528000000,0.059843,0.060769,0.057514,0.059482,191609.28842026
BIGTIME-EUR,1740441600000,0.05619,0.060754,0.053516,0.060191,1829542.33330596
BIGTIME-EUR,1740355200000,0.065386,0.065386,0.055867,0.056543,1020646.4134913
BIGTIME-EUR,1740268800000,0.068398,0.068891,0.065646,0.066435,2039010.14665384
BIGTIME-EUR,1740182400000,0.067564,0.070233,0.065,0.06984,4188482.49107527
BIGTIME-EUR,1740096000000,0.064673,0.078453,0.064411,0.067338,20112193.72627149
BIGTIME-EUR,1740009600000,0.059849,0.061372,0.059849,0.061372,119915.97666731
BIGTIME-EUR,1739923200000,0.058226,0.060588,0.057799,0.060245,595971.33401908
BIGTIME-EUR,1739836800000,0.061106,0.061155,0.055867,0.058399,691371.69693409
BIGTIME-EUR,1739750400000,0.063534,0.066423,0.06105,0.063356,1081434.5218509
BIGTIME-EUR,1739664000000,0.06,0.064283,0.059538,0.061069,332553.42962773
BIGTIME-EUR,1739577600000,0.06304,0.06311,0.059953,0.060206,167386.50358704
BIGTIME-EUR,1739491200000,0.061339,0.064888,0.061339,0.061967,115113.54856549
BIGTIME-EUR,1739404800000,0.064409,0.064409,0.06102,0.061484,115491.97170635
BIGTIME-EUR,1739318400000,0.061505,0.064478,0.0601,0.064478,574310.52359915
BIGTIME-EUR,1739232000000,0.064673,0.066375,0.060451,0.062021,284892.88635474
BIGTIME-EUR,1739145600000,0.063087,0.064391,0.060968,0.064154,275814.43862457
BIGTIME-EUR,1739059200000,0.066387,0.06839,0.059619,0.062961,1367639.96736021
BIGTIME-EUR,1738972800000,0.057233,0.0677,0.057233,0.066375,3159788.81630682
BIGTIME-EUR,1738886400000,0.056963,0.062034,0.056308,0.057594,989687.50330565
BIGTIME-EUR,1738800000000,0.060874,0.061586,0.0558,0.0558,1187100.8284597
BIGTIME-EUR,1738713600000,0.062788,0.063826,0.060401,0.060667,344769.69283066
BIGTIME-EUR,1738627200000,0.068462,0.068462,0.061593,0.062702,1494740.85593849
BIGTIME-EUR,1738540800000,0.063283,0.070098,0.048999,0.069458,7614736.32555137
BIGTIME-EUR,1738454400000,0.079091,0.079091,0.063355,0.064624,1062077.6651939
BIGTIME-EUR,1738368000000,0.086423,0.088585,0.077889,0.07859,525690.84420637
BIGTIME-EUR,1738281600000,0.085551,0.090724,0.085102,0.08673,178813.70616056
BIGTIME-EUR,1738195200000,0.083706,0.08709,0.083706,0.08554,100848.05700965
BIGTIME-EUR,1738108800000,0.081124,0.08667,0.081124,0.085183,308684.32429834
BIGTIME-EUR,1738022400000,0.088269,0.088866,0.080693,0.080736,382033.93819253
BIGTIME-EUR,1737936000000,0.08874,0.08874,0.08,0.086506,715684.87469356
BIGTIME-EUR,1737849600000,0.095,0.09502,0.089393,0.089393,638103.64119408
BIGTIME-EUR,1737763200000,0.091998,0.095013,0.0911,0.093803,102629.01643457
BIGTIME-EUR,1737676800000,0.096344,0.099647,0.093497,0.0935,1215056.81675457
BIGTIME-EUR,1737590400000,0.098588,0.098588,0.093928,0.097639,312537.6477999
BIGTIME-EUR,1737504000000,0.09996,0.10093,0.098842,0.099698,155588.5251784
BIGTIME-EUR,1737417600000,0.096076,0.10256,0.09369,0.099967,669761.28960269
BIGTIME-EUR,1737331200000,0.10012,0.10834,0.095,0.096121,1595546.6065328
BIGTIME-EUR,1737244800000,0.11105,0.11373,0.1,0.1016,1490087.86379162
BIGTIME-EUR,1737158400000,0.12118,0.12251,0.10894,0.11171,867240.22350313
BIGTIME-EUR,1737072000000,0.11693,0.12301,0.11693,0.12156,724916.09834934
BIGTIME-EUR,1736985600000,0.12198,0.12198,0.11507,0.11639,274218.17514003
BIGTIME-EUR,1736899200000,0.11652,0.12271,0.11154,0.12237,297409.61274977
BIGTIME-EUR,1736812800000,0.11404,0.11651,0.1113,0.11573,372169.10535787
BIGTIME-EUR,1736726400000,0.12045,0.12388,0.10443,0.11204,566550.63873464
BIGTIME-EUR,1736640000000,0.1243,0.12487,0.11897,0.12062,508032.29409999
BIGTIME-EUR,1736553600000,0.12562,0.12562,0.12304,0.12307,24491.45956107
BIGTIME-EUR,1736467200000,0.12082,0.12586,0.12074,0.1256,660000.30950605
BIGTIME-EUR,1736380800000,0.12247,0.1243,0.11891,0.1202,233562.30930814
BIGTIME-EUR,1736294400000,0.12963,0.13001,0.11533,0.12219,338091.18299655
BIGTIME-EUR,1736208000000,0.14625,0.14625,0.12921,0.1304,564109.0655506
BIGTIME-EUR,1736121600000,0.14431,0.14914,0.14241,0.14525,367104.68403913
BIGTIME-EUR,1736035200000,0.1444,0.1446,0.14142,0.14452,167358.40753615
BIGTIME-EUR,1735948800000,0.14457,0.14822,0.14261,0.14504,541324.61278891
BIGTIME-EUR,1735862400000,0.13908,0.14652,0.13645,0.14502,452047.74452296
BIGTIME-EUR,1735776000000,0.13566,0.14117,0.13566,0.13921,336730.56471755
BIGTIME-EUR,1735689600000,0.13252,0.13447,0.12908,0.13411,92529.04607755
BIGTIME-EUR,1735603200000,0.13,0.13608,0.12994,0.13209,147168.41634967
BIGTIME-EUR,1735516800000,0.13507,0.13895,0.13079,0.13311,255542.31870524
BIGTIME-EUR,1735430400000,0.13958,0.13958,0.13394,0.13394,362251.88298045
BIGTIME-EUR,1735344000000,0.1373,0.14075,0.13511,0.14012,63345.02386007
BIGTIME-EUR,1735257600000,0.13751,0.14489,0.13751,0.13925,99349.62372686
BIGTIME-EUR,1735171200000,0.1458,0.14985,0.13445,0.13757,320797.41962857
BIGTIME-EUR,1735084800000,0.1522,0.16383,0.14295,0.14477,555449.83319923
BIGTIME-EUR,1734998400000,0.13863,0.15263,0.13863,0.15229,317467.13548194
BIGTIME-EUR,1734912000000,0.13533,0.14177,0.13178,0.14021,169244.36663714
BIGTIME-EUR,1734825600000,0.13756,0.14031,0.131,0.13445,415494.49172801
BIGTIME-EUR,1734739200000,0.14582,0.15408,0.13535,0.13734,589679.3594009
BIGTIME-EUR,1734652800000,0.14063,0.14982,0.12457,0.14481,1708300.34955696
BIGTIME-EUR,1734566400000,0.13941,0.15315,0.13142,0.13878,4080389.75934774
BIGTIME-EUR,1734480000000,0.15362,0.15362,0.135,0.13853,808983.90525516
BIGTIME-EUR,1734393600000,0.15997,0.17241,0.15631,0.15631,425295.4559145
BIGTIME-EUR,1734307200000,0.16696,0.16986,0.15683,0.16215,444781.39265723
BIGTIME-EUR,1734220800000,0.158,0.16741,0.15314,0.16696,210487.9085065
BIGTIME-EUR,1734134400000,0.16868,0.1702,0.15455,0.15953,189939.65616498
BIGTIME-EUR,1734048000000,0.1716,0.17292,0.16427,0.17016,394184.83516246
BIGTIME-EUR,1733961600000,0.16775,0.17807,0.16516,0.17172,718748.26269724
BIGTIME-EUR,1733875200000,0.15416,0.16825,0.1482,0.16639,515541.30946993
BIGTIME-EUR,1733788800000,0.16766,0.16984,0.14471,0.15694,1657784.25298949
BIGTIME-EUR,1733702400000,0.2104,0.2104,0.132,0.16833,2212005.44948139
BIGTIME-EUR,1733616000000,0.23045,0.23541,0.20589,0.2094,511175.16841921
BIGTIME-EUR,1733529600000,0.20358,0.23098,0.19749,0.22109,1147600.60125457
BIGTIME-EUR,1733443200000,0.20941,0.21479,0.19648,0.20437,430126.468112
BIGTIME-EUR,1733356800000,0.20637,0.21793,0.19262,0.21242,2070771.33605246
BIGTIME-EUR,1733270400000,0.19066,0.229,0.19066,0.21038,6953189.91856984
BIGTIME-EUR,1733184000000,0.16517,0.20675,0.16449,0.18962,20930318.26388584
BIGTIME-EUR,1733097600000,0.16175,0.16528,0.14475,0.16418,1423976.41569789
BIGTIME-EUR,1733011200000,0.15823,0.16597,0.15349,0.16251,720378.88585884
BIGTIME-EUR,1732924800000,0.15814,0.16476,0.15539,0.15847,433516.16113409
BIGTIME-EUR,1732838400000,0.15406,0.15841,0.15058,0.15808,558086.62022813
BIGTIME-EUR,1732752000000,0.14907,0.1611,0.1477,0.15556,1414690.92903697
BIGTIME-EUR,1732665600000,0.13917,0.14871,0.13844,0.14681,411550.31449073
BIGTIME-EUR,1732579200000,0.14639,0.15115,0.135,0.14168,699612.87235446
BIGTIME-EUR,1732492800000,0.15491,0.15508,0.1426,0.14745,927154.27290018
BIGTIME-EUR,1732406400000,0.1425,0.15846,0.1313,0.15629,2197591.96344951
BIGTIME-EUR,1732320000000,0.13506,0.14292,0.13072,0.14088,1168490.77005714
BIGTIME-EUR,1732233600000,0.13393,0.13526,0.12723,0.13526,899540.02076891
BIGTIME-EUR,1732147200000,0.13154,0.13665,0.12434,0.13586,484368.40507948
BIGTIME-EUR,1732060800000,0.13993,0.14,0.1282,0.1315,644046.07740431
BIGTIME-EUR,1731974400000,0.1463,0.14638,0.1372,0.14134,1021514.0513257
BIGTIME-EUR,1731888000000,0.14365,0.15022,0.14278,0.14517,747751.27511013
BIGTIME-EUR,1731801600000,0.1528,0.1528,0.1405,0.14323,397710.6141774
BIGTIME-EUR,1731715200000,0.14705,0.15447,0.14612,0.15304,744076.40054119
BIGTIME-EUR,1731628800000,0.14,0.14858,0.13518,0.14709,1864641.29059953
BIGTIME-EUR,1731542400000,0.14936,0.15253,0.1384,0.14,1369404.24107204
BIGTIME-EUR,1731456000000,0.15726,0.15799,0.13952,0.14899,2933601.63515572
BIGTIME-EUR,1731369600000,0.18196,0.18213,0.1468,0.15723,6405933.31990506
BIGTIME-EUR,1731283200000,0.16679,0.18652,0.164,0.18214,5760383.19635041
BIGTIME-EUR,1731196800000,0.16301,0.1777,0.15717,0.16851,2797760.20971795
BIGTIME-EUR,1731110400000,0.16053,0.16767,0.15639,0.16548,1687997.47189647
BIGTIME-EUR,1731024000000,0.16701,0.1695,0.15854,0.1608,1663364.05026094
BIGTIME-EUR,1730937600000,0.17688,0.19224,0.16147,0.16585,2351675.43633711
BIGTIME-EUR,1730851200000,0.14381,0.17801,0.14093,0.17554,3069379.05148514
BIGTIME-EUR,1730764800000,0.13377,0.14506,0.13377,0.13945,739769.52270831
BIGTIME-EUR,1730678400000,0.14443,0.14511,0.13068,0.133,1330302.22960849
BIGTIME-EUR,1730592000000,0.15649,0.15698,0.13406,0.14424,2178644.2672091
BIGTIME-EUR,1730505600000,0.15386,0.16028,0.14329,0.15562,1322468.62338055
BIGTIME-EUR,1730419200000,0.15531,0.16746,0.15127,0.15274,2133092.3706096
BIGTIME-EUR,1730332800000,0.15386,0.15713,0.14652,0.15543,744405.66386177
BIGTIME-EUR,1730246400000,0.1639,0.16595,0.15445,0.15451,291503.70403895
BIGTIME-EUR,1730160000000,0.15596,0.17549,0.15,0.16513,1744664.89302397
BIGTIME-EUR,1730073600000,0.1619,0.1619,0.14221,0.15407,1131452.48802053
BIGTIME-EUR,1729987200000,0.16918,0.17182,0.15799,0.16394,861919.79533693
BIGTIME-EUR,1729900800000,0.1523,0.17217,0.14979,0.16793,2402709.57754669
BIGTIME-EUR,1729814400000,0.16301,0.1732,0.15133,0.15642,3470737.99367596
BIGTIME-EUR,1729728000000,0.15319,0.1611,0.14515,0.1611,2230249.26078686
BIGTIME-EUR,1729641600000,0.17604,0.18041,0.15205,0.15484,5386568.46052832
BIGTIME-EUR,1729555200000,0.1312,0.17861,0.12966,0.17623,7045601.95305313
BIGTIME-EUR,1729468800000,0.13793,0.14333,0.12949,0.13196,1063834.86015684
BIGTIME-EUR,1729382400000,0.15204,0.15371,0.13706,0.13755,2600604.13512424
BIGTIME-EUR,1729296000000,0.15382,0.16357,0.14486,0.15314,4687028.46208961
BIGTIME-EUR,1729209600000,0.11542,0.15681,0.11542,0.15407,7999119.30146437
BIGTIME-EUR,1729123200000,0.11592,0.12126,0.11076,0.11352,1456369.14134906
BIGTIME-EUR,1729036800000,0.11796,0.11797,0.11272,0.11392,264475.25079367
BIGTIME-EUR,1728950400000,0.12718,0.12946,0.11527,0.11878,465009.73481329
BIGTIME-EUR,1728864000000,0.10913,0.13108,0.10684,0.12609,2477786.10262197
BIGTIME-EUR,1728777600000,0.1137,0.1137,0.10472,0.10897,1266125.48032394
BIGTIME-EUR,1728691200000,0.11073,0.11391,0.10749,0.10982,991175.16594279
BIGTIME-EUR,1728604800000,0.099677,0.1126,0.09848,0.11163,4727935.98245454
BIGTIME-EUR,1728518400000,0.096018,0.1007,0.093139,0.10007,684346.59657545
BIGTIME-EUR,1728432000000,0.098342,0.10065,0.093971,0.09489,232687.24982722
BIGTIME-EUR,1728345600000,0.10283,0.10348,0.09762,0.099518,921412.50938701
BIGTIME-EUR,1728259200000,0.10849,0.11275,0.10207,0.10207,652873.08732894
BIGTIME-EUR,1728172800000,0.10465,0.10942,0.10301,0.1079,587813.62970301
BIGTIME-EUR,1728086400000,0.10774,0.11053,0.10294,0.10445,329183.84568944
BIGTIME-EUR,1728000000000,0.098069,0.10793,0.097846,0.10626,808447.31471082
BIGTIME-EUR,1727913600000,0.099,0.10199,0.095106,0.097627,538154.10831471
BIGTIME-EUR,1727827200000,0.10515,0.10642,0.096469,0.09872,1018064.75717451
BIGTIME-EUR,1727740800000,0.11754,0.11992,0.1,0.10571,2438853.97675615
BIGTIME-EUR,1727654400000,0.13105,0.13331,0.11614,0.11769,2076968.77940224
BIGTIME-EUR,1727568000000,0.1297,0.1362,0.12637,0.13008,2227898.22632386
BIGTIME-EUR,1727481600000,0.13789,0.1441,0.12641,0.12997,5051795.10908609
BIGTIME-EUR,1727395200000,0.1178,0.13803,0.11475,0.13708,6976135.14964941
BIGTIME-EUR,1727308800000,0.11625,0.12006,0.11166,0.11941,3242330.32841597
BIGTIME-EUR,1727222400000,0.12184,0.12199,0.11293,0.11645,3364760.45159996
BIGTIME-EUR,1727136000000,0.11995,0.12237,0.11479,0.12113,4882914.3014355
BIGTIME-EUR,1727049600000,0.10921,0.1199,0.10875,0.11988,4097960.20889412
BIGTIME-EUR,1726963200000,0.1144,0.124,0.10754,0.11028,2104392.92440619
BIGTIME-EUR,1726876800000,0.12213,0.12213,0.11393,0.11567,2969749.74392805
