market,time,open,high,low,close,volume
BLUR-EUR,1741132800000,0.10901,0.11287,0.10805,0.10968,119138.46794768
BLUR-EUR,1741046400000,0.11281,0.11295,0.10308,0.1108,1148066.31282107
BLUR-EUR,1740960000000,0.12711,0.13074,0.11314,0.11461,322577.38709287
BLUR-EUR,1740873600000,0.1244,0.13527,0.12284,0.13493,363147.81144607
BLUR-EUR,1740787200000,0.125,0.12799,0.12238,0.12532,50626.2015205
BLUR-EUR,1740700800000,0.1257,0.12771,0.11721,0.12712,466915.02268739
BLUR-EUR,1740614400000,0.12662,0.13002,0.12592,0.12617,49312.45732043
BLUR-EUR,1740528000000,0.12452,0.135,0.12337,0.12691,936385.33115396
BLUR-EUR,1740441600000,0.12082,0.12717,0.11658,0.12717,724508.46488655
BLUR-EUR,1740355200000,0.14022,0.14022,0.12376,0.12453,276530.35009396
BLUR-EUR,1740268800000,0.14342,0.14344,0.13781,0.1401,316865.28605952
BLUR-EUR,1740182400000,0.13453,0.14589,0.13453,0.14341,1341021.65687017
BLUR-EUR,1740096000000,0.13565,0.14884,0.13259,0.1352,993768.27299246
BLUR-EUR,1740009600000,0.1312,0.13557,0.1311,0.13557,126626.74316834
BLUR-EUR,1739923200000,0.12836,0.13172,0.12609,0.13116,52609.61331909
BLUR-EUR,1739836800000,0.13273,0.13274,0.12319,0.12797,49355.75193379
BLUR-EUR,1739750400000,0.13345,0.13998,0.13197,0.134,933935.10625671
BLUR-EUR,1739664000000,0.13328,0.13769,0.13133,0.13409,13695.76160406
BLUR-EUR,1739577600000,0.1372,0.1376,0.13289,0.13314,12562.87391244
BLUR-EUR,1739491200000,0.13424,0.14072,0.13374,0.13605,750494.03103642
BLUR-EUR,1739404800000,0.13529,0.13585,0.13034,0.13435,543110.93146559
BLUR-EUR,1739318400000,0.13003,0.14012,0.12784,0.13927,752153.63244927
BLUR-EUR,1739232000000,0.13742,0.1423,0.13034,0.1306,792967.30815392
BLUR-EUR,1739145600000,0.13122,0.13735,0.1312,0.1361,186210.18400985
BLUR-EUR,1739059200000,0.13455,0.13498,0.12523,0.12966,95430.06720453
BLUR-EUR,1738972800000,0.12978,0.13143,0.12617,0.13143,480329.90132643
BLUR-EUR,1738886400000,0.12393,0.13546,0.12353,0.12689,200004.54861331
BLUR-EUR,1738800000000,0.12783,0.12987,0.12222,0.12276,240227.40247037
BLUR-EUR,1738713600000,0.13321,0.13526,0.127,0.12736,92166.72915074
BLUR-EUR,1738627200000,0.14181,0.1426,0.12917,0.13423,380658.14310257
BLUR-EUR,1738540800000,0.13948,0.1455,0.11,0.14397,1940662.88045441
BLUR-EUR,1738454400000,0.16388,0.16469,0.1333,0.13535,476686.13828323
BLUR-EUR,1738368000000,0.18001,0.18152,0.16204,0.1621,76549.28156785
BLUR-EUR,1738281600000,0.17817,0.18797,0.17644,0.17917,124439.71668659
BLUR-EUR,1738195200000,0.16809,0.18044,0.16809,0.17869,53553.89379541
BLUR-EUR,1738108800000,0.16604,0.17448,0.16514,0.16968,222313.52809806
BLUR-EUR,1738022400000,0.18015,0.18028,0.16398,0.16398,59533.62883044
BLUR-EUR,1737936000000,0.18583,0.18583,0.16813,0.17817,209830.6117398
BLUR-EUR,1737849600000,0.18942,0.19549,0.1868,0.1868,252331.50897716
BLUR-EUR,1737763200000,0.18,0.18989,0.18,0.18892,102020.1050376
BLUR-EUR,1737676800000,0.18929,0.19387,0.18187,0.18266,38382.85663934
BLUR-EUR,1737590400000,0.18615,0.1905,0.18351,0.18351,116809.0101799
BLUR-EUR,1737504000000,0.19602,0.19965,0.19159,0.19159,9564.37037969
BLUR-EUR,1737417600000,0.19068,0.20094,0.18259,0.19587,151629.68930514
BLUR-EUR,1737331200000,0.18944,0.2079,0.18419,0.1931,866852.77479819
BLUR-EUR,1737244800000,0.21027,0.2129,0.18869,0.19192,1240293.79133168
BLUR-EUR,1737158400000,0.2315,0.2325,0.21062,0.21234,180540.38532663
BLUR-EUR,1737072000000,0.21769,0.23616,0.21769,0.23279,228298.05879423
BLUR-EUR,1736985600000,0.22002,0.22381,0.21424,0.21723,102865.94955804
BLUR-EUR,1736899200000,0.20762,0.223,0.20075,0.22276,97976.80919684
BLUR-EUR,1736812800000,0.20704,0.21038,0.20437,0.20981,101303.97832782
BLUR-EUR,1736726400000,0.21803,0.21803,0.19158,0.20322,157107.79361706
BLUR-EUR,1736640000000,0.22253,0.22299,0.21549,0.21725,16100.8419049
BLUR-EUR,1736553600000,0.22277,0.22665,0.22,0.22407,59195.35492722
BLUR-EUR,1736467200000,0.21929,0.22546,0.21778,0.224,177534.2224033
BLUR-EUR,1736380800000,0.22765,0.23065,0.21306,0.21861,271827.22504647
