market,time,open,high,low,close,volume
BNT-EUR,1741132800000,0.43534,0.4404,0.41941,0.41941,29803.74092572
BNT-EUR,1741046400000,0.40266,0.42008,0.39334,0.41376,28234.45186084
BNT-EUR,1740960000000,0.45158,0.45814,0.42096,0.42096,8850.23493871
BNT-EUR,1740873600000,0.482,0.48324,0.42611,0.46661,9443.67237229
BNT-EUR,1740787200000,0.42783,0.42783,0.41322,0.41501,2288.42262391
BNT-EUR,1740700800000,0.4,0.43022,0.39557,0.42513,10773.64736833
BNT-EUR,1740614400000,0.43282,0.43973,0.42775,0.43852,2138.74202312
BNT-EUR,1740528000000,0.44543,0.44818,0.41542,0.42932,16488.81580664
BNT-EUR,1740441600000,0.445,0.4579,0.42013,0.43853,13243.89727717
BNT-EUR,1740355200000,0.48471,0.48471,0.44939,0.4498,8684.73477791
BNT-EUR,1740268800000,0.49889,0.51269,0.49513,0.49513,7712.79672975
BNT-EUR,1740182400000,0.498,0.50731,0.49305,0.50725,12400.58215404
BNT-EUR,1740096000000,0.495,0.51944,0.48473,0.48473,2597.92854778
BNT-EUR,1740009600000,0.50416,0.50783,0.5008,0.50642,12360.84643127
BNT-EUR,1739923200000,0.48926,0.49359,0.48825,0.48825,154.75630378
BNT-EUR,1739836800000,0.49683,0.49738,0.48016,0.48983,14899.72460019
BNT-EUR,1739750400000,0.49493,0.51663,0.49493,0.50719,1437.28597104
BNT-EUR,1739664000000,0.49978,0.51469,0.49753,0.50169,1627.00363752
BNT-EUR,1739577600000,0.51185,0.51185,0.4993,0.4993,925.61677293
BNT-EUR,1739491200000,0.49929,0.5322,0.49826,0.51833,102489.11885937
BNT-EUR,1739404800000,0.51078,0.51078,0.49036,0.49676,1787.017029
BNT-EUR,1739318400000,0.49121,0.51292,0.48728,0.5104,17808.00792187
BNT-EUR,1739232000000,0.52157,0.53682,0.48543,0.495,27367.21199066
BNT-EUR,1739145600000,0.50837,0.51764,0.50837,0.51764,407.71232653
BNT-EUR,1739059200000,0.51473,0.51976,0.49736,0.50398,7995.42141867
BNT-EUR,1738972800000,0.4972,0.51045,0.4972,0.51045,358.43413401
BNT-EUR,1738886400000,0.50145,0.53354,0.50145,0.52779,19980.20302086
BNT-EUR,1738800000000,0.53047,0.53134,0.50284,0.50284,4064.76463856
BNT-EUR,1738713600000,0.52698,0.5313,0.51586,0.51586,9511.13297031
BNT-EUR,1738627200000,0.56512,0.56512,0.51777,0.5237,9086.51142263
BNT-EUR,1738540800000,0.52928,0.56124,0.45,0.56124,67221.11586353
BNT-EUR,1738454400000,0.61456,0.61456,0.54557,0.54557,30178.33331461
BNT-EUR,1738368000000,0.65257,0.65257,0.60511,0.60511,1531.15260711
BNT-EUR,1738281600000,0.6302,0.65687,0.62795,0.6431,2696.90985195
BNT-EUR,1738195200000,0.61937,0.64058,0.61767,0.64058,1775.8792496
BNT-EUR,1738108800000,0.60806,0.61888,0.59193,0.61848,7143.0998678
BNT-EUR,1738022400000,0.61733,0.62625,0.58959,0.58959,1072.68583347
BNT-EUR,1737936000000,0.64064,0.64064,0.589,0.62707,9142.83648405
BNT-EUR,1737849600000,0.6588,0.66246,0.64904,0.65827,2360.31556578
BNT-EUR,1737763200000,0.65336,0.6649,0.64465,0.66355,2620.84390252
BNT-EUR,1737676800000,0.65988,0.68256,0.64587,0.64587,5442.02126336
BNT-EUR,1737590400000,0.65364,0.66495,0.63225,0.66495,12953.12085821
BNT-EUR,1737504000000,0.69801,0.69801,0.65176,0.65176,8938.34790897
BNT-EUR,1737417600000,0.66018,0.69903,0.64056,0.69313,40810.98137489
BNT-EUR,1737331200000,0.64981,0.7056,0.64981,0.66715,193784.18825654
BNT-EUR,1737244800000,0.66751,0.72866,0.6316,0.66283,88499.19207494
BNT-EUR,1737158400000,0.69706,0.69918,0.65156,0.66662,27544.56954333
BNT-EUR,1737072000000,0.65988,0.8042,0.65988,0.69793,176850.02350849
BNT-EUR,1736985600000,0.6577,0.67072,0.64794,0.65838,5400.56411318
BNT-EUR,1736899200000,0.62058,0.65053,0.60895,0.64631,11114.54636691
BNT-EUR,1736812800000,0.61244,0.62272,0.61083,0.622,2993.55614744
BNT-EUR,1736726400000,0.62741,0.62882,0.57825,0.59102,7654.61946223
BNT-EUR,1736640000000,0.63329,0.63329,0.61473,0.61511,945.67701469
BNT-EUR,1736553600000,0.63479,0.63653,0.62406,0.62517,530.22179869
BNT-EUR,1736467200000,0.61905,0.63639,0.61905,0.63177,1905.31025736
BNT-EUR,1736380800000,0.63473,0.63473,0.60792,0.60816,2025.22303021
BNT-EUR,1736294400000,0.64943,0.64943,0.61305,0.63446,4195.56019367
BNT-EUR,1736208000000,0.71198,0.7138,0.64243,0.64863,2629.50817614
BNT-EUR,1736121600000,0.71434,0.72585,0.69812,0.71101,11130.22290136
BNT-EUR,1736035200000,0.70693,0.71425,0.69825,0.7124,2114.68578466
BNT-EUR,1735948800000,0.70786,0.71601,0.70143,0.70997,2841.28699117
BNT-EUR,1735862400000,0.6832,0.71396,0.66667,0.70911,100612.32451125
BNT-EUR,1735776000000,0.65905,0.6927,0.65697,0.67421,15572.98934627
BNT-EUR,1735689600000,0.63663,0.64671,0.6207,0.64249,13671.63403591
BNT-EUR,1735603200000,0.63149,0.66172,0.63038,0.63635,9772.93227142
BNT-EUR,1735516800000,0.65498,0.65963,0.627,0.64328,16293.8512802
BNT-EUR,1735430400000,0.66566,0.66804,0.6387,0.6387,4329.97360327
BNT-EUR,1735344000000,0.65047,0.67315,0.64427,0.66949,6506.37193703
BNT-EUR,1735257600000,0.66223,0.68045,0.64569,0.6509,9335.61623302
BNT-EUR,1735171200000,0.69132,0.69132,0.64596,0.65259,13385.71414694
BNT-EUR,1735084800000,0.71211,0.7199,0.6908,0.69714,4125.18790655
BNT-EUR,1734998400000,0.67416,0.70781,0.67416,0.70781,5891.18385218
BNT-EUR,1734912000000,0.6351,0.68496,0.6351,0.68441,4852.67468966
BNT-EUR,1734825600000,0.65086,0.65732,0.62295,0.63466,3183.15263043
BNT-EUR,1734739200000,0.67632,0.69936,0.63456,0.63747,10114.06966214
BNT-EUR,1734652800000,0.64672,0.67886,0.58043,0.67886,50124.49086838
BNT-EUR,1734566400000,0.70887,0.72394,0.63309,0.66072,27679.87078768
BNT-EUR,1734480000000,0.78007,0.78007,0.71482,0.71482,25813.33169192
BNT-EUR,1734393600000,0.81,0.82661,0.78481,0.78685,8228.14389048
BNT-EUR,1734307200000,0.85172,0.865,0.80835,0.82503,55901.29253511
BNT-EUR,1734220800000,0.83161,0.85671,0.82,0.8512,11384.46560372
BNT-EUR,1734134400000,0.84567,0.8704,0.8181,0.83082,16750.30825888
BNT-EUR,1734048000000,0.86969,0.86969,0.8356,0.84261,4439.25606062
BNT-EUR,1733961600000,0.78701,0.875,0.78656,0.86684,134533.50299689
BNT-EUR,1733875200000,0.74157,0.79419,0.72717,0.79229,46810.83838114
BNT-EUR,1733788800000,0.7744,0.79244,0.70393,0.75705,210006.81448802
BNT-EUR,1733702400000,0.88686,0.88686,0.67405,0.76964,278492.91390246
BNT-EUR,1733616000000,0.87207,0.90077,0.85773,0.89906,13667.84841594
BNT-EUR,1733529600000,0.89308,0.9047,0.86763,0.87284,10107.41417397
BNT-EUR,1733443200000,0.86553,0.90328,0.83308,0.88931,56041.67977824
BNT-EUR,1733356800000,0.87925,0.89412,0.84053,0.85326,31011.11731595
BNT-EUR,1733270400000,0.85278,0.8939,0.842,0.86614,97465.39116214
BNT-EUR,1733184000000,0.8075,0.85474,0.78356,0.85324,120443.54126804
BNT-EUR,1733097600000,0.75054,0.8095,0.72126,0.80824,71024.56470569
BNT-EUR,1733011200000,0.75333,0.77,0.72929,0.74945,72487.96222631
BNT-EUR,1732924800000,0.71499,0.75713,0.71499,0.75308,12795.76448663
BNT-EUR,1732838400000,0.70038,0.71923,0.69752,0.71321,7698.8366994
BNT-EUR,1732752000000,0.714,0.71413,0.69229,0.70543,21696.03504267
BNT-EUR,1732665600000,0.65752,0.72291,0.65752,0.71985,16739.81756454
BNT-EUR,1732579200000,0.65742,0.6721,0.61573,0.64933,18910.27020224
BNT-EUR,1732492800000,0.65868,0.68686,0.65096,0.66463,8147.26869704
BNT-EUR,1732406400000,0.65999,0.67586,0.61843,0.66407,34464.1491682
BNT-EUR,1732320000000,0.65,0.66846,0.63082,0.65874,33820.99813141
BNT-EUR,1732233600000,0.62725,0.64134,0.61728,0.64134,25627.39389081
BNT-EUR,1732147200000,0.56959,0.63393,0.56959,0.63092,19548.12872
BNT-EUR,1732060800000,0.57627,0.60465,0.57316,0.58328,33351.7098451
BNT-EUR,1731974400000,0.60662,0.60662,0.58287,0.59187,4171.52829864
BNT-EUR,1731888000000,0.57462,0.61087,0.57462,0.59776,14549.49681154
BNT-EUR,1731801600000,0.57087,0.60072,0.56773,0.57188,13698.25906546
BNT-EUR,1731715200000,0.57884,0.604,0.57793,0.59757,17902.23215648
BNT-EUR,1731628800000,0.55233,0.57682,0.54958,0.57517,9893.49412612
BNT-EUR,1731542400000,0.5527,0.57855,0.55003,0.55478,14254.43190146
BNT-EUR,1731456000000,0.55653,0.57748,0.53475,0.55657,16914.56489255
BNT-EUR,1731369600000,0.57455,0.6,0.52582,0.5717,130131.36185597
BNT-EUR,1731283200000,0.57026,0.58298,0.54745,0.58298,64379.77904072
BNT-EUR,1731196800000,0.53888,0.579,0.52968,0.55788,55308.71010188
BNT-EUR,1731110400000,0.52264,0.54252,0.5224,0.54252,26468.70673901
BNT-EUR,1731024000000,0.50579,0.53449,0.50453,0.52555,16075.16232663
BNT-EUR,1730937600000,0.50567,0.51179,0.49483,0.50371,19376.65558129
BNT-EUR,1730851200000,0.46079,0.49408,0.46079,0.49317,9764.14033699
BNT-EUR,1730764800000,0.42979,0.44195,0.42979,0.43502,1481.89852671
BNT-EUR,1730678400000,0.43063,0.43063,0.42617,0.42617,3474.87507187
BNT-EUR,1730592000000,0.43908,0.44367,0.43317,0.43614,22368.90253345
BNT-EUR,1730505600000,0.4593,0.4597,0.44561,0.44878,3043.10958272
BNT-EUR,1730419200000,0.45647,0.46865,0.45215,0.45467,1304.45027846
BNT-EUR,1730332800000,0.47307,0.47527,0.45807,0.45949,3384.37650466
BNT-EUR,1730246400000,0.48417,0.4851,0.47971,0.48199,1200.77277301
BNT-EUR,1730160000000,0.46473,0.48712,0.46473,0.48243,3524.13343783
BNT-EUR,1730073600000,0.44688,0.45829,0.44508,0.45829,2325.14255991
BNT-EUR,1729987200000,0.44722,0.45408,0.44378,0.45408,1180.28539893
BNT-EUR,1729900800000,0.454,0.45426,0.44367,0.44954,7686.65972897
BNT-EUR,1729814400000,0.46087,0.46837,0.43773,0.43773,2265.01268668
BNT-EUR,1729728000000,0.47084,0.47199,0.46125,0.46911,8162.75669404
BNT-EUR,1729641600000,0.48047,0.48047,0.4598,0.4668,4824.30464591
BNT-EUR,1729555200000,0.48385,0.48959,0.47679,0.48914,8696.43017193
BNT-EUR,1729468800000,0.49891,0.50168,0.47828,0.48262,18622.25849215
BNT-EUR,1729382400000,0.47802,0.49708,0.47802,0.49621,5269.89327694
BNT-EUR,1729296000000,0.47922,0.48221,0.46958,0.47582,6831.88423444
BNT-EUR,1729209600000,0.46911,0.47735,0.46895,0.47401,11050.32570981
