market,time,open,high,low,close,volume
BOME-EUR,1741219200000,0.0015641,0.001569,0.0015641,0.001569,1768377.755104
BOME-EUR,1741132800000,0.001548,0.001613,0.0014911,0.0015258,570208306.372782
BOME-EUR,1741046400000,0.0016725,0.0016725,0.0014403,0.0015786,595426184.222128
BOME-EUR,1740960000000,0.0020266,0.0020357,0.0016113,0.0016328,392200129.3952459
BOME-EUR,1740873600000,0.0018255,0.002047,0.0017565,0.0019515,274249165.49038506
BOME-EUR,1740787200000,0.0018407,0.0018759,0.0016997,0.0017504,216423242.387114
BOME-EUR,1740700800000,0.001796,0.0018954,0.0016239,0.0018522,477686853.4917029
BOME-EUR,1740614400000,0.0017771,0.0018647,0.0017349,0.0017947,148841314.21107298
BOME-EUR,1740528000000,0.0017351,0.0018017,0.0016638,0.0017703,385501050.152824
BOME-EUR,1740441600000,0.0016257,0.0017575,0.0015247,0.0017273,604630548.332697
BOME-EUR,1740355200000,0.0020188,0.0020188,0.0015603,0.0016117,310165270.661849
BOME-EUR,1740268800000,0.0021284,0.0021284,0.0019774,0.0020144,87313171.07821797
BOME-EUR,1740182400000,0.0018881,0.0021641,0.0018853,0.002119,274528050.48698705
BOME-EUR,1740096000000,0.0019164,0.0020704,0.0018688,0.0019004,172162713.11274695
BOME-EUR,1740009600000,0.0018535,0.0019184,0.0018253,0.0019161,58727907.16742599
BOME-EUR,1739923200000,0.0017989,0.001918,0.0017794,0.0018518,66871017.839329
BOME-EUR,1739836800000,0.0019087,0.0019087,0.0017038,0.0017978,84566663.52555001
BOME-EUR,1739750400000,0.0019989,0.0020304,0.0018399,0.0019115,46403730.268865
BOME-EUR,1739664000000,0.0021129,0.0021129,0.0019527,0.001998,32874510.510087
BOME-EUR,1739577600000,0.0022551,0.0022551,0.0020745,0.0020957,35784949.93797901
BOME-EUR,1739491200000,0.0020751,0.0024397,0.0020743,0.0022623,226334072.68500108
BOME-EUR,1739404800000,0.002165,0.0022098,0.0020663,0.0020753,148874545.01053497
BOME-EUR,1739318400000,0.001945,0.0021839,0.0018658,0.0021522,336064188.465097
BOME-EUR,1739232000000,0.0020377,0.0021363,0.0019277,0.0019533,137443390.070757
BOME-EUR,1739145600000,0.0020108,0.0020778,0.0019116,0.0020325,74882460.89464003
BOME-EUR,1739059200000,0.0020198,0.0021097,0.0018659,0.0019773,47744463.213957
BOME-EUR,1738972800000,0.0019051,0.0020747,0.0018832,0.0020303,98214899.075718
BOME-EUR,1738886400000,0.0018832,0.0020522,0.0017934,0.001883,100909342.18054502
BOME-EUR,1738800000000,0.0021216,0.002137,0.0018653,0.0018839,450141855.766827
BOME-EUR,1738713600000,0.0021702,0.0022513,0.0020584,0.0021064,132495482.77483301
BOME-EUR,1738627200000,0.002326,0.0023294,0.0020462,0.0021735,174385749.44312304
BOME-EUR,1738540800000,0.0022917,0.002356,0.00169,0.0023063,793092574.2939912
BOME-EUR,1738454400000,0.0027413,0.0028335,0.0021495,0.0022997,146973801.95322198
BOME-EUR,1738368000000,0.0031761,0.0032821,0.0027044,0.0027324,75351144.35125698
BOME-EUR,1738281600000,0.0031766,0.0035263,0.0031434,0.0031866,116839820.46708602
BOME-EUR,1738195200000,0.0030883,0.0032806,0.0030829,0.0031813,61158550.857406
BOME-EUR,1738108800000,0.0028591,0.0033012,0.0028547,0.0031182,147875239.15236098
BOME-EUR,1738022400000,0.0033161,0.0033868,0.0028379,0.0028695,42546351.536813
BOME-EUR,1737936000000,0.0034918,0.0034918,0.0030395,0.0033085,205019682.699094
BOME-EUR,1737849600000,0.0036522,0.003769,0.0035,0.00351,33871072.76435601
BOME-EUR,1737763200000,0.0035844,0.0037375,0.003428,0.0036695,73103494.010933
BOME-EUR,1737676800000,0.0038881,0.003941,0.003571,0.0035875,74020643.282412
BOME-EUR,1737590400000,0.0040008,0.004039,0.0037259,0.0038713,85629084.475002
BOME-EUR,1737504000000,0.0039925,0.0041278,0.0039514,0.0040063,130490677.41639096
BOME-EUR,1737417600000,0.0038712,0.0040947,0.0036227,0.0039886,145141599.23886
BOME-EUR,1737331200000,0.004533,0.0045338,0.0037401,0.0038634,549151807.6150049
BOME-EUR,1737244800000,0.0054899,0.0056008,0.0043883,0.0045449,248334925.24112004
BOME-EUR,1737158400000,0.005941,0.0060373,0.0053845,0.0055203,104087003.71562397
BOME-EUR,1737072000000,0.0054873,0.0059814,0.0054873,0.005935,77841276.654669
BOME-EUR,1736985600000,0.0057228,0.0057228,0.0053902,0.0054887,68560051.987261
BOME-EUR,1736899200000,0.0052924,0.0057167,0.005126,0.0056846,57548219.32282499
BOME-EUR,1736812800000,0.0050408,0.0053309,0.005005,0.0052704,83292887.37541099
BOME-EUR,1736726400000,0.0055182,0.0056401,0.0047274,0.0050237,93961489.85248503
BOME-EUR,1736640000000,0.0056009,0.0056245,0.0054414,0.00551,16529839.18523501
BOME-EUR,1736553600000,0.0056339,0.0057145,0.0055448,0.0056009,25569804.284531
BOME-EUR,1736467200000,0.005414,0.0056622,0.0054093,0.0056283,97181545.66826399
BOME-EUR,1736380800000,0.0054939,0.0055873,0.0052,0.0053876,49654949.74427501
BOME-EUR,1736294400000,0.0058791,0.0059297,0.0053,0.0054971,76153262.393573
BOME-EUR,1736208000000,0.0067051,0.0067811,0.0058438,0.0058655,103183493.21982
BOME-EUR,1736121600000,0.0067951,0.006921,0.0065395,0.0067023,58533599.35822
BOME-EUR,1736035200000,0.0067498,0.0068132,0.0065181,0.006768,48543184.57312401
BOME-EUR,1735948800000,0.006802,0.0068749,0.0065811,0.0067468,40840397.462861
BOME-EUR,1735862400000,0.0065142,0.0068804,0.0063404,0.0068107,53330337.961401
BOME-EUR,1735776000000,0.0062187,0.0065872,0.006215,0.0065364,47563810.10267998
BOME-EUR,1735689600000,0.00619,0.0063,0.0059653,0.0062478,33714416.827229
BOME-EUR,1735603200000,0.0060226,0.0063854,0.0057998,0.006166,63328745.88212394
BOME-EUR,1735516800000,0.0059188,0.0062285,0.0058639,0.0060402,37020037.95834302
BOME-EUR,1735430400000,0.0062056,0.0062056,0.0058573,0.0059417,25253342.07279601
BOME-EUR,1735344000000,0.0060782,0.0062613,0.0059169,0.0062045,23664997.26497301
BOME-EUR,1735257600000,0.0059119,0.0064644,0.0058641,0.006036,119627912.02577996
BOME-EUR,1735171200000,0.0064,0.0064185,0.0058049,0.0058839,65622505.34969005
BOME-EUR,1735084800000,0.0064241,0.0066,0.0062248,0.0063282,71990329.97193506
BOME-EUR,1734998400000,0.0063477,0.0065181,0.0061232,0.0064555,91515779.21421905
BOME-EUR,1734912000000,0.0059,0.0064465,0.0058,0.0063601,59707220.025838
BOME-EUR,1734825600000,0.0059047,0.006246,0.0057489,0.0059285,35475467.31859602
BOME-EUR,1734739200000,0.0062836,0.0067294,0.0057964,0.0058949,69770658.50067098
BOME-EUR,1734652800000,0.00585,0.0063,0.0052546,0.0062948,201818226.06450915
BOME-EUR,1734566400000,0.0065933,0.006616,0.0055633,0.0058452,185135270.4748022
BOME-EUR,1734480000000,0.0073735,0.0073892,0.0063655,0.0065953,103183434.73998891
BOME-EUR,1734393600000,0.0076139,0.0078478,0.0072757,0.0073424,48137576.792924
BOME-EUR,1734307200000,0.0078977,0.0079931,0.0074627,0.0076896,99872494.0851369
BOME-EUR,1734220800000,0.00767,0.0079006,0.0074568,0.0078554,37872211.39276797
BOME-EUR,1734134400000,0.0080583,0.0081445,0.0074429,0.0076856,159483874.1755971
BOME-EUR,1734048000000,0.008092,0.0082,0.0078309,0.0080503,36083309.09006297
BOME-EUR,1733961600000,0.0082367,0.0085345,0.007971,0.0080939,76899426.90756793
BOME-EUR,1733875200000,0.007577,0.0083431,0.0072808,0.0082249,108448230.49396402
BOME-EUR,1733788800000,0.0080602,0.0081865,0.0069254,0.0075235,269684611.41660726
BOME-EUR,1733702400000,0.0098307,0.0098601,0.007,0.0080695,231432013.47111714
BOME-EUR,1733616000000,0.010167,0.010455,0.009581,0.0098265,157286118.67247236
BOME-EUR,1733529600000,0.0092503,0.010694,0.0092362,0.010199,294401040.62400955
BOME-EUR,1733443200000,0.0092526,0.0096411,0.0089,0.00928,79951230.78916506
BOME-EUR,1733356800000,0.0094429,0.010052,0.0088765,0.0092609,356443719.0961268
BOME-EUR,1733270400000,0.0093618,0.010006,0.0089155,0.0094915,228054078.075055
BOME-EUR,1733184000000,0.0088126,0.0096367,0.0081501,0.0093642,458494912.00196457
BOME-EUR,1733097600000,0.0091874,0.0093449,0.0080883,0.008813,364248145.95486623
BOME-EUR,1733011200000,0.009,0.0095244,0.0086001,0.0091902,282917973.75777066
BOME-EUR,1732924800000,0.0089,0.009491,0.0086589,0.0090166,182389908.43684062
BOME-EUR,1732838400000,0.0086055,0.009,0.0084281,0.0089605,51290758.38975803
BOME-EUR,1732752000000,0.0084697,0.0088122,0.0082277,0.0085693,68334461.06557599
BOME-EUR,1732665600000,0.0080571,0.0085569,0.007938,0.0085164,63823781.62444794
BOME-EUR,1732579200000,0.0084876,0.0088042,0.0077486,0.0080675,127248744.59292585
BOME-EUR,1732492800000,0.0089,0.0092209,0.0082224,0.0084698,174684045.4680025
BOME-EUR,1732406400000,0.0091136,0.0096108,0.0083501,0.0089436,146673617.24726102
BOME-EUR,1732320000000,0.0090771,0.0096468,0.0088,0.0091174,168042376.26252124
BOME-EUR,1732233600000,0.0094458,0.0096281,0.0087,0.0090711,134477484.44988135
BOME-EUR,1732147200000,0.0088201,0.0096192,0.0084552,0.009478,169318387.27295786
BOME-EUR,1732060800000,0.0095399,0.0095483,0.0087097,0.008827,99857413.06734303
BOME-EUR,1731974400000,0.0098739,0.010097,0.00929,0.0095548,126575371.08912587
BOME-EUR,1731888000000,0.0099683,0.010552,0.0095657,0.0099231,166618292.6139111
BOME-EUR,1731801600000,0.0095178,0.01048,0.00888,0.0099827,249691995.4551023
BOME-EUR,1731715200000,0.010299,0.010642,0.0093404,0.0095454,175561236.91829887
BOME-EUR,1731628800000,0.0093367,0.0105,0.0087642,0.0103,242344573.3353677
BOME-EUR,1731542400000,0.010696,0.01187,0.0091459,0.0093433,639692257.5648036
BOME-EUR,1731456000000,0.0092404,0.011307,0.0081,0.010678,1052541812.1216103
BOME-EUR,1731369600000,0.0089701,0.010003,0.0080001,0.0092397,623434248.9300921
BOME-EUR,1731283200000,0.008687,0.0096631,0.0084135,0.0089711,376727204.47646683
BOME-EUR,1731196800000,0.0081769,0.0092239,0.0080224,0.0086869,506859370.96086246
BOME-EUR,1731110400000,0.0076952,0.0082358,0.0075034,0.0081586,144452147.94831896
BOME-EUR,1731024000000,0.0081349,0.008614,0.0074398,0.0077014,200041362.678326
BOME-EUR,1730937600000,0.0078825,0.0086701,0.0077102,0.0081385,260490774.04318795
BOME-EUR,1730851200000,0.0069516,0.0080363,0.0069516,0.0078608,259360409.4115744
BOME-EUR,1730764800000,0.0064387,0.0071733,0.0064387,0.0069108,135093044.7417132
BOME-EUR,1730678400000,0.0066731,0.0068335,0.0061886,0.0064147,62362557.01400899
BOME-EUR,1730592000000,0.0070075,0.0070075,0.0063224,0.0066728,115299275.54084177
BOME-EUR,1730505600000,0.0073191,0.0074753,0.0067632,0.0069688,54735152.93672799
BOME-EUR,1730419200000,0.0075063,0.0076759,0.0071,0.0073229,93551667.71047188
BOME-EUR,1730332800000,0.0081029,0.0081306,0.0074363,0.0075105,84282635.07221103
BOME-EUR,1730246400000,0.0084142,0.0084681,0.0078837,0.0080807,117916969.63638186
BOME-EUR,1730160000000,0.0078758,0.00875,0.0078369,0.0084262,208773460.71754897
BOME-EUR,1730073600000,0.0079142,0.0081365,0.0073615,0.0078582,163554325.43264392
BOME-EUR,1729987200000,0.0078363,0.0081577,0.0076929,0.0079475,158834226.12545893
BOME-EUR,1729900800000,0.0076042,0.0080525,0.0074702,0.0078321,134919937.49094296
BOME-EUR,1729814400000,0.0091261,0.0092422,0.0073779,0.0076477,400034889.8106785
BOME-EUR,1729728000000,0.0088396,0.0096618,0.0088111,0.009122,480658073.97602
BOME-EUR,1729641600000,0.0082745,0.0089012,0.0079678,0.0088211,574156869.836632
BOME-EUR,1729555200000,0.0079982,0.0083579,0.0079,0.0082315,252087367.1005893
BOME-EUR,1729468800000,0.0085138,0.0089,0.0078468,0.0079477,373361128.382327
BOME-EUR,1729382400000,0.0088019,0.0088535,0.0081188,0.0085134,212247983.6293592
BOME-EUR,1729296000000,0.0088427,0.0090649,0.0084612,0.0087917,219230676.3562258
BOME-EUR,1729209600000,0.0078428,0.0094035,0.0077942,0.0088263,606122452.6279004
BOME-EUR,1729123200000,0.0081562,0.0085,0.0077028,0.0078637,354158438.47026527
BOME-EUR,1729036800000,0.0085857,0.0088057,0.0079274,0.0081505,670619371.8781579
BOME-EUR,1728950400000,0.0094208,0.010382,0.0082338,0.0085916,1102448494.078527
BOME-EUR,1728864000000,0.0071843,0.0096326,0.0070645,0.0094226,1239074818.8223577
BOME-EUR,1728777600000,0.0065477,0.0075592,0.0063244,0.0071717,907631895.0193471
BOME-EUR,1728691200000,0.0061111,0.0067699,0.0061111,0.0065379,216012168.31242904
BOME-EUR,1728604800000,0.0057384,0.0061739,0.0057034,0.0060866,101166458.085334
BOME-EUR,1728518400000,0.0056008,0.0057685,0.0054493,0.0057396,152381578.3653001
BOME-EUR,1728432000000,0.0058342,0.0059979,0.0054974,0.0056053,79078319.69744602
BOME-EUR,1728345600000,0.0060147,0.0060951,0.0057234,0.0058262,93383162.81481391
BOME-EUR,1728259200000,0.0059541,0.0063251,0.0059477,0.0059674,159155022.89327702
BOME-EUR,1728172800000,0.0056979,0.0060432,0.0056707,0.0059709,115233626.69218701
BOME-EUR,1728086400000,0.0058165,0.0059,0.0055781,0.0056895,63535995.30889902
BOME-EUR,1728000000000,0.00538,0.0058765,0.0053329,0.0057717,101047942.18768995
BOME-EUR,1727913600000,0.005536,0.0056526,0.005161,0.0053708,135483041.99929705
BOME-EUR,1727827200000,0.0057776,0.0060403,0.0054,0.0055406,185779664.773634
BOME-EUR,1727740800000,0.0063535,0.0068,0.0055962,0.0057889,384636846.615784
BOME-EUR,1727654400000,0.0069646,0.0071,0.0063163,0.0063881,194359783.97255912
BOME-EUR,1727568000000,0.0070005,0.0072128,0.0065798,0.0069558,158406145.08529395
BOME-EUR,1727481600000,0.0072004,0.0074282,0.0067233,0.0069971,174724458.01975602
BOME-EUR,1727395200000,0.0066692,0.0075076,0.0066254,0.0072075,383051046.7801072
BOME-EUR,1727308800000,0.0061537,0.0068732,0.0060351,0.0066622,324977883.0478359
BOME-EUR,1727222400000,0.0063147,0.00655,0.0060973,0.0061343,146427769.90065482
BOME-EUR,1727136000000,0.00607,0.0064289,0.005884,0.0063177,290008446.3405221
BOME-EUR,1727049600000,0.0058245,0.0060683,0.0057,0.0060435,87819142.870306
BOME-EUR,1726963200000,0.0061655,0.0061855,0.0056,0.0058265,87702517.59834804
BOME-EUR,1726876800000,0.0061621,0.0062336,0.0059747,0.0061628,51809420.13096703
BOME-EUR,1726790400000,0.0063039,0.0065188,0.0059946,0.0061829,172929683.16650194
BOME-EUR,1726704000000,0.0057476,0.0066071,0.0056793,0.0062898,508512357.65715647
BOME-EUR,1726617600000,0.0053904,0.0057032,0.0052525,0.005703,155618651.936686
BOME-EUR,1726531200000,0.005305,0.0055285,0.0052601,0.0054424,73921583.719963
BOME-EUR,1726444800000,0.0054361,0.0055205,0.0052068,0.0053126,105687452.96947986
BOME-EUR,1726358400000,0.0057388,0.0058217,0.0054,0.0054448,49108736.352512
BOME-EUR,1726272000000,0.0058764,0.0059885,0.0056754,0.0057329,66462908.61859304
BOME-EUR,1726185600000,0.0056739,0.0059358,0.0055571,0.0058647,85606756.23361199
BOME-EUR,1726099200000,0.0055841,0.0057684,0.0055136,0.0056642,111515406.15372306
BOME-EUR,1726012800000,0.0059009,0.0059135,0.00551,0.0055941,195710484.41655096
BOME-EUR,1725926400000,0.0057778,0.0060982,0.0056785,0.005946,139779784.62009397
BOME-EUR,1725840000000,0.0055846,0.0059177,0.0054878,0.0057802,132888085.37975794
BOME-EUR,1725753600000,0.0052155,0.0056088,0.0052099,0.0055668,89299264.59928504
BOME-EUR,1725667200000,0.0050864,0.0053729,0.0050537,0.0052018,57191117.71041298
BOME-EUR,1725580800000,0.0052351,0.0054237,0.004826,0.0051032,130119446.38359106
BOME-EUR,1725494400000,0.0053742,0.0054325,0.0051752,0.0052422,71215703.841116
BOME-EUR,1725408000000,0.0052575,0.0054625,0.0049584,0.0053793,112872594.45012188
BOME-EUR,1725321600000,0.005453,0.0056718,0.0052629,0.0052703,108587625.31099497
BOME-EUR,1725235200000,0.00519,0.0055118,0.0050962,0.0054434,49977883.58529199
BOME-EUR,1725148800000,0.0054712,0.0055,0.0051293,0.0051862,36310745.18722098
BOME-EUR,1725062400000,0.0056139,0.0056698,0.0054,0.0054568,15343636.898499
BOME-EUR,1724976000000,0.0055027,0.0056853,0.005284,0.0056128,102655611.53759496
BOME-EUR,1724889600000,0.0055043,0.0058169,0.0054289,0.0055174,102453300.57712913
BOME-EUR,1724803200000,0.0058022,0.0059047,0.005252,0.0054872,195996982.14484096
BOME-EUR,1724716800000,0.0064,0.00646,0.0056993,0.0058355,118651516.9211519
BOME-EUR,1724630400000,0.0068748,0.0068748,0.0062712,0.0063308,84051250.35907191
BOME-EUR,1724544000000,0.0071556,0.0071895,0.0066,0.0068717,114693894.97223195
BOME-EUR,1724457600000,0.0069803,0.0075832,0.0068837,0.007174,197665815.64654285
BOME-EUR,1724371200000,0.0064742,0.0070766,0.0063704,0.0069659,140844148.33286372
BOME-EUR,1724284800000,0.0064304,0.0065223,0.0063164,0.006434,61907073.00664693
BOME-EUR,1724198400000,0.0063621,0.0065325,0.006174,0.0064033,76554175.4002541
BOME-EUR,1724112000000,0.0061549,0.0065844,0.0061486,0.0063466,96184604.17358002
BOME-EUR,1724025600000,0.0061674,0.0062327,0.0059458,0.0061774,98759817.35140884
BOME-EUR,1723939200000,0.0062032,0.0063888,0.0060679,0.0062007,114954326.1484809
BOME-EUR,1723852800000,0.0058525,0.0062639,0.0058163,0.0062019,75651000.92223895
BOME-EUR,1723766400000,0.0062716,0.0063358,0.0056427,0.005865,190236806.24823186
BOME-EUR,1723680000000,0.0063714,0.0069,0.0061769,0.0063094,373802237.61843145
