market,time,open,high,low,close,volume
BRETT-EUR,1741132800000,0.036187,0.040445,0.036057,0.038427,5994879.09893994
BRETT-EUR,1741046400000,0.037476,0.037797,0.032284,0.036575,4807755.26224588
BRETT-EUR,1740960000000,0.041549,0.044255,0.036573,0.037518,4904193.13897728
BRETT-EUR,1740873600000,0.036181,0.04406,0.034889,0.043749,5006410.1068364
BRETT-EUR,1740787200000,0.037136,0.037717,0.03493,0.03632,4351696.16777588
BRETT-EUR,1740700800000,0.035759,0.037343,0.03239,0.036727,10050491.10809424
BRETT-EUR,1740614400000,0.036333,0.037473,0.034664,0.035866,4391866.02923859
BRETT-EUR,1740528000000,0.037878,0.038241,0.034054,0.036142,4862386.70649384
BRETT-EUR,1740441600000,0.038711,0.039033,0.034856,0.038222,8136486.57099925
BRETT-EUR,1740355200000,0.046202,0.046373,0.038412,0.038626,2402095.15329218
BRETT-EUR,1740268800000,0.0485,0.049286,0.044398,0.045623,2193379.37555891
BRETT-EUR,1740182400000,0.04637,0.051141,0.045503,0.049155,4034660.78898024
BRETT-EUR,1740096000000,0.046919,0.055245,0.045163,0.047,11045579.67708921
BRETT-EUR,1740009600000,0.037268,0.046705,0.037028,0.046381,13422985.75630584
BRETT-EUR,1739923200000,0.037437,0.037685,0.035919,0.037293,1619916.01156068
BRETT-EUR,1739836800000,0.041145,0.041145,0.034847,0.037486,3005607.43725928
BRETT-EUR,1739750400000,0.041515,0.043763,0.039328,0.040986,2328740.90554999
BRETT-EUR,1739664000000,0.043299,0.044801,0.040575,0.041341,701497.64530916
BRETT-EUR,1739577600000,0.044122,0.045302,0.042981,0.043482,812743.33343161
BRETT-EUR,1739491200000,0.041045,0.0461,0.040822,0.044324,2667828.90491983
BRETT-EUR,1739404800000,0.04405,0.04413,0.040488,0.041073,1629564.88893579
BRETT-EUR,1739318400000,0.041983,0.044683,0.03956,0.044012,4662499.2644032
BRETT-EUR,1739232000000,0.043096,0.046528,0.040924,0.042027,4973036.5263671
BRETT-EUR,1739145600000,0.044164,0.045676,0.04157,0.042923,2228155.83539019
BRETT-EUR,1739059200000,0.045798,0.0478,0.041236,0.043994,2761628.44455336
BRETT-EUR,1738972800000,0.041791,0.046194,0.041791,0.046109,3556493.2735992
BRETT-EUR,1738886400000,0.042742,0.048557,0.040609,0.042149,7848398.23308265
BRETT-EUR,1738800000000,0.050883,0.052229,0.041369,0.042553,6926104.24867133
BRETT-EUR,1738713600000,0.055678,0.05668,0.05,0.050979,1839817.79552943
BRETT-EUR,1738627200000,0.062165,0.062235,0.053111,0.055677,3203294.3359296
BRETT-EUR,1738540800000,0.057756,0.06275,0.038,0.062003,16596346.33929433
BRETT-EUR,1738454400000,0.066942,0.068645,0.053704,0.057165,7201381.08507081
BRETT-EUR,1738368000000,0.079109,0.083072,0.066019,0.066972,1497625.6273821
BRETT-EUR,1738281600000,0.076207,0.087148,0.076166,0.079582,2266052.47416924
BRETT-EUR,1738195200000,0.075793,0.081487,0.074746,0.077125,2319272.57049888
BRETT-EUR,1738108800000,0.070391,0.080258,0.070391,0.075672,1912563.40013454
BRETT-EUR,1738022400000,0.079184,0.080643,0.06947,0.070405,2661895.4831383
BRETT-EUR,1737936000000,0.079069,0.081294,0.069001,0.078901,4393986.0051008
BRETT-EUR,1737849600000,0.082487,0.085529,0.079187,0.079343,2332799.91660253
BRETT-EUR,1737763200000,0.0814,0.084685,0.079156,0.082382,1541391.71603706
BRETT-EUR,1737676800000,0.08534,0.089917,0.08,0.081952,4478787.63510276
BRETT-EUR,1737590400000,0.087712,0.089537,0.081238,0.084576,2953023.44207859
BRETT-EUR,1737504000000,0.089417,0.092381,0.08596,0.087464,2021899.54506668
BRETT-EUR,1737417600000,0.090164,0.094736,0.084515,0.08907,3874282.08840631
BRETT-EUR,1737331200000,0.08959,0.10298,0.084943,0.090079,10855866.29014754
BRETT-EUR,1737244800000,0.10839,0.11034,0.08809,0.090526,8059463.56202744
BRETT-EUR,1737158400000,0.12833,0.13121,0.10494,0.10837,3907012.90826324
BRETT-EUR,1737072000000,0.12099,0.13,0.12086,0.1282,2283946.17237517
BRETT-EUR,1736985600000,0.12502,0.12599,0.11675,0.12071,2054949.81717733
BRETT-EUR,1736899200000,0.11241,0.12567,0.10735,0.12475,2652819.33836499
BRETT-EUR,1736812800000,0.1085,0.11511,0.10741,0.1124,1979719.75799831
BRETT-EUR,1736726400000,0.1154,0.119,0.1,0.10796,3299544.05784376
BRETT-EUR,1736640000000,0.1172,0.11879,0.11302,0.11524,798796.3778442
BRETT-EUR,1736553600000,0.11515,0.12078,0.11304,0.11757,1433482.41098224
BRETT-EUR,1736467200000,0.115,0.12268,0.11261,0.115,1962688.39189641
BRETT-EUR,1736380800000,0.1188,0.12158,0.11112,0.11485,1926835.47604335
BRETT-EUR,1736294400000,0.12762,0.12926,0.11333,0.11901,3729570.9225159
BRETT-EUR,1736208000000,0.14307,0.145,0.12701,0.12797,3033097.6950636
