market,time,open,high,low,close,volume
BTC-EUR,1741132800000,81721,85044,81361,83994,890.12590803
BTC-EUR,1741046400000,79871,83879,77634,81690,2059.59929319
BTC-EUR,1740960000000,90638,90750,81100,82423,1830.75460169
BTC-EUR,1740873600000,82977,91987,82087,91049,1417.60163486
BTC-EUR,1740787200000,81912,83424,80789,82599,551.73287357
BTC-EUR,1740700800000,81429,82345,75110,81291,2098.37240611
BTC-EUR,1740614400000,80206,83030,79445,81435,1004.18614456
BTC-EUR,1740528000000,84297,85114,78000,80192,1751.44082051
BTC-EUR,1740441600000,87533,88402,81738,84300,2454.38830805
BTC-EUR,1740355200000,91946,92120,87327,87535,803.8154715
BTC-EUR,1740268800000,92354,92458,91089,91930,175.8051236
BTC-EUR,1740182400000,91999,92779,91650,92358,173.35886116
BTC-EUR,1740096000000,93650,94994,90665,91998,736.36459794
BTC-EUR,1740009600000,92709,94054,92481,93638,412.17046789
BTC-EUR,1739923200000,91500,92890,90921,92707,512.15127709
BTC-EUR,1739836800000,91405,92570,89373,91490,767.99889291
BTC-EUR,1739750400000,91694,92681,90903,91406,397.05408136
BTC-EUR,1739664000000,93088,93237,91661,91752,202.64145886
BTC-EUR,1739577600000,92977,93418,92722,93111,134.10193447
BTC-EUR,1739491200000,92371,94109,91716,92977,582.54001043
BTC-EUR,1739404800000,94159,94327,91340,92366,527.25259115
BTC-EUR,1739318400000,92475,94457,91155,94177,807.34004838
BTC-EUR,1739232000000,94610,95586,91515,92475,603.74152433
BTC-EUR,1739145600000,93608,95320,92530,94609,456.582334
BTC-EUR,1739059200000,93581,94340,92054,93614,451.7822494
BTC-EUR,1738972800000,93583,93949,92853,93552,228.49482443
BTC-EUR,1738886400000,93044,96549,92675,93584,940.6152721
BTC-EUR,1738800000000,92980,95718,92200,93031,673.82594066
BTC-EUR,1738713600000,94353,95361,92512,92956,597.67621686
BTC-EUR,1738627200000,98371,98822,92718,94350,1016.0824512
BTC-EUR,1738540800000,95387,99439,90000,98381,1789.40744723
BTC-EUR,1738454400000,97333,98181,93645,95379,1671.33860454
BTC-EUR,1738368000000,98875,99223,96961,97338,399.42487451
BTC-EUR,1738281600000,100700,101950,97885,98874,708.59351827
BTC-EUR,1738195200000,99516,101920,99044,100650,576.70260121
BTC-EUR,1738108800000,97183,100620,97162,99510,723.17036909
BTC-EUR,1738022400000,97845,99425,96082,97188,645.03818511
BTC-EUR,1737936000000,98093,98768,93363,97847,1482.11739498
BTC-EUR,1737849600000,99912,100640,98022,98110,265.41884985
BTC-EUR,1737763200000,99995,100460,99340,99909,265.72080567
BTC-EUR,1737676800000,99843,102020,98500,100000,530.0867213
BTC-EUR,1737590400000,99676,102750,97260,99828,1407.7705444
BTC-EUR,1737504000000,102020,102080,99245,99646,769.1038669
BTC-EUR,1737417600000,98164,102900,96521,102020,1139.39331279
BTC-EUR,1737331200000,98553,106070,96723,98170,2389.3094494
BTC-EUR,1737244800000,101450,103690,82456,98573,1326.49373277
BTC-EUR,1737158400000,101080,101800,99040,101460,818.58657499
BTC-EUR,1737072000000,96996,102900,96955,101080,1444.58078528
BTC-EUR,1736985600000,97484,97810,94657,96996,869.28077651
BTC-EUR,1736899200000,93717,97805,93605,97490,1057.63330595
BTC-EUR,1736812800000,92130,94987,92029,93714,960.64720367
BTC-EUR,1736726400000,92266,93616,87561,92130,1317.24326316
BTC-EUR,1736640000000,92192,93070,91440,92223,317.95935548
BTC-EUR,1736553600000,92518,92676,91620,92193,211.26787209
BTC-EUR,1736467200000,89982,93541,89896,92521,795.20715827
BTC-EUR,1736380800000,92300,92571,88631,89998,910.13414353
BTC-EUR,1736294400000,93865,94129,89855,92333,927.98924829
BTC-EUR,1736208000000,98499,99000,92911,93875,1035.89794083
BTC-EUR,1736121600000,95459,98635,94869,98499,1237.1244215
BTC-EUR,1736035200000,95300,95922,94387,95452,561.44450172
BTC-EUR,1735948800000,95232,95828,94638,95292,476.22536947
BTC-EUR,1735862400000,94390,96109,93421,95229,878.84634163
BTC-EUR,1735776000000,91170,95328,91003,94387,1037.92390654
BTC-EUR,1735689600000,90138,91734,89600,91185,442.3773698
BTC-EUR,1735603200000,89018,92668,88264,90156,692.3975258
BTC-EUR,1735516800000,89722,91240,87838,89015,1090.92444935
BTC-EUR,1735430400000,91219,91276,89000,89727,575.76602863
BTC-EUR,1735344000000,90374,91634,90230,91217,391.81876575
BTC-EUR,1735257600000,91867,93629,89682,90408,638.06934834
BTC-EUR,1735171200000,95589,96093,91426,91875,500.20760153
BTC-EUR,1735084800000,94844,95711,93915,95580,549.02739069
BTC-EUR,1734998400000,91142,95708,89856,94849,935.07016237
BTC-EUR,1734912000000,91188,92843,88864,91147,916.71565551
BTC-EUR,1734825600000,93517,93681,90340,91196,667.73929286
BTC-EUR,1734739200000,93894,95899,92543,93470,541.7467071
BTC-EUR,1734652800000,94029,94574,88445,93891,1956.99565772
BTC-EUR,1734566400000,96928,98800,92064,94030,1751.50906141
BTC-EUR,1734480000000,101160,101460,96739,96944,1244.90500718
BTC-EUR,1734393600000,100780,103070,100360,101180,796.16393117
BTC-EUR,1734307200000,99093,102480,97800,100740,1952.78992723
BTC-EUR,1734220800000,96503,99800,96403,99186,648.26768431
BTC-EUR,1734134400000,96546,97651,95800,96532,300.59544902
BTC-EUR,1734048000000,95444,97060,94716,96559,468.42694642
