market,time,open,high,low,close,volume
BTC-USDC,1741219200000,90648,90667,90648,90667,0.220954
BTC-USDC,1741132800000,87023,90944,86435,89540,40.5550077
BTC-USDC,1741046400000,86002,88900,81497,87257,59.43786598
BTC-USDC,1740960000000,92882,94394,85072,86137,78.25795531
BTC-USDC,1740873600000,86286,95000,85069,94254,52.45504869
BTC-USDC,1740787200000,85414,86518,83818,85458,19.13561705
BTC-USDC,1740700800000,84669,84890,78244,84371,73.03883531
BTC-USDC,1740614400000,84162,86946,82622,84604,44.33275322
BTC-USDC,1740528000000,88570,89246,82190,84130,46.64583502
BTC-USDC,1740441600000,91548,92489,86000,88721,89.57894218
BTC-USDC,1740355200000,96455,96495,91358,91488,16.24942797
BTC-USDC,1740268800000,96626,96651,95295,96173,6.11122409
BTC-USDC,1740182400000,96129,97000,95786,96694,4.93852196
BTC-USDC,1740096000000,98442,99407,94864,96119,27.6532108
BTC-USDC,1740009600000,96567,98750,96535,98466,8.29090987
BTC-USDC,1739923200000,95600,96833,95182,96717,6.70545257
BTC-USDC,1739836800000,95825,96699,93423,95419,12.35537461
BTC-USDC,1739750400000,96100,97000,95230,95958,6.71437982
BTC-USDC,1739664000000,97659,98077,96086,96140,5.69761277
BTC-USDC,1739577600000,97490,97818,97262,97630,1.83305401
BTC-USDC,1739491200000,96642,98825,96327,97489,24.33194717
BTC-USDC,1739404800000,97589,97957,95333,96590,12.49532282
BTC-USDC,1739318400000,95958,98117,94100,97885,53.79947677
BTC-USDC,1739232000000,97551,98469,94976,95864,8.0524343
BTC-USDC,1739145600000,96601,98293,95461,97309,5.92225134
BTC-USDC,1739059200000,96474,97261,94895,96547,7.08310928
BTC-USDC,1738972800000,96416,96819,95782,96507,2.34438883
BTC-USDC,1738886400000,96605,100150,95687,96544,31.69230881
BTC-USDC,1738800000000,96610,99159,95800,96290,13.57954789
BTC-USDC,1738713600000,97951,99159,96283,96355,8.16403854
BTC-USDC,1738627200000,101480,101730,96149,98081,26.70242017
BTC-USDC,1738540800000,97640,102450,91326,101460,47.76588681
BTC-USDC,1738454400000,100580,101390,96211,97582,17.76322514
BTC-USDC,1738368000000,102370,102580,100280,100750,2.32227654
BTC-USDC,1738281600000,104840,106000,101650,102100,7.51515405
BTC-USDC,1738195200000,103790,106210,103350,104730,6.46722166
BTC-USDC,1738108800000,101280,104750,101280,103720,6.16295122
BTC-USDC,1738022400000,102120,103710,100230,101390,10.28721065
BTC-USDC,1737936000000,102400,102960,97830,102130,13.00324622
BTC-USDC,1737849600000,104790,105110,102500,102500,3.51364553
BTC-USDC,1737763200000,104730,105150,104280,104740,1.43016618
BTC-USDC,1737676800000,103890,107000,102930,104730,4.80764388
BTC-USDC,1737590400000,103480,106790,101310,104010,36.34079543
BTC-USDC,1737504000000,106260,106260,103350,103970,5.42982599
BTC-USDC,1737417600000,102390,107140,100080,106170,16.01471415
BTC-USDC,1737331200000,101010,109400,99450,101710,54.81032878
BTC-USDC,1737244800000,104420,106280,99544,101080,15.21871274
BTC-USDC,1737158400000,104130,104900,102310,104450,8.33008819
BTC-USDC,1737072000000,100190,105900,100070,104520,11.19946627
BTC-USDC,1736985600000,100610,100610,97400,100040,6.11652765
BTC-USDC,1736899200000,96755,100700,96500,100500,9.92126143
BTC-USDC,1736812800000,94724,97260,94354,96618,7.38818936
BTC-USDC,1736726400000,94543,95815,89250,94520,22.21445575
BTC-USDC,1736640000000,94312,95175,93886,94357,4.18726157
BTC-USDC,1736553600000,94508,94775,93973,94586,0.89560308
BTC-USDC,1736467200000,92607,95792,92380,94722,11.8244082
BTC-USDC,1736380800000,94853,95336,91203,92067,10.85635248
BTC-USDC,1736294400000,97039,97056,92518,95087,18.37056082
BTC-USDC,1736208000000,102160,102630,96217,96872,21.83817411
BTC-USDC,1736121600000,98570,102500,98077,102190,15.61136958
BTC-USDC,1736035200000,98264,98741,97260,98467,4.03805731
BTC-USDC,1735948800000,98200,98570,97500,98219,1.92760349
BTC-USDC,1735862400000,96950,98940,96137,98100,2.40921499
BTC-USDC,1735776000000,94694,97690,94694,96824,5.97828597
BTC-USDC,1735689600000,93638,94865,92834,94694,1.87283235
BTC-USDC,1735603200000,92595,96104,92011,93466,6.69615063
BTC-USDC,1735516800000,93595,94764,91309,92558,9.8315319
BTC-USDC,1735430400000,95033,95093,92900,93616,3.52403333
BTC-USDC,1735344000000,94290,95228,94207,95045,1.33075377
BTC-USDC,1735257600000,95789,97303,93308,94286,12.98183769
BTC-USDC,1735171200000,99500,99843,95100,95732,6.26441431
BTC-USDC,1735084800000,98537,99325,97793,99325,6.03688017
BTC-USDC,1734998400000,94616,99286,93595,98691,10.57700523
BTC-USDC,1734912000000,94435,96370,92460,94692,13.60268769
BTC-USDC,1734825600000,97186,97311,94343,95609,4.10514802
BTC-USDC,1734739200000,97778,99485,96581,97245,5.03363441
BTC-USDC,1734652800000,97602,98064,92166,97447,19.45436419
BTC-USDC,1734566400000,100210,102740,95676,98051,24.91192629
BTC-USDC,1734480000000,106120,106400,100000,100200,21.43397106
BTC-USDC,1734393600000,106030,108380,105480,106170,13.81773873
BTC-USDC,1734307200000,104490,107810,103280,106070,25.76420101
BTC-USDC,1734220800000,101300,105100,101260,104360,10.87344056
BTC-USDC,1734134400000,101540,102640,100660,101060,6.49904839
BTC-USDC,1734048000000,100040,101910,99249,101470,6.12244289
BTC-USDC,1733961600000,101280,102610,99410,100120,19.59584228
BTC-USDC,1733875200000,96400,101940,96009,101410,15.86098754
BTC-USDC,1733788800000,97310,98222,94309,96569,20.15094637
BTC-USDC,1733702400000,101250,101250,94343,97349,23.26931039
BTC-USDC,1733616000000,100120,101050,98729,101050,7.75258817
BTC-USDC,1733529600000,99808,100440,99092,99832,9.0686703
BTC-USDC,1733443200000,97016,102060,96420,99961,23.58552916
BTC-USDC,1733356800000,98726,104000,91499,97062,97.5479858
BTC-USDC,1733270400000,96016,99221,94692,98949,24.05262405
BTC-USDC,1733184000000,95770,96276,93678,95980,10.55298448
BTC-USDC,1733097600000,97269,98200,94439,95828,12.06882125
BTC-USDC,1733011200000,96625,97849,95754,97344,14.03997192
BTC-USDC,1732924800000,96828,97182,96218,96482,7.43168513
BTC-USDC,1732838400000,95684,98625,95650,97428,7.7909575
BTC-USDC,1732752000000,95927,96636,94700,95743,5.98034807
BTC-USDC,1732665600000,92152,97277,91786,95981,17.57498785
BTC-USDC,1732579200000,92971,95015,90801,91943,28.31537278
BTC-USDC,1732492800000,97964,99001,92635,93040,27.18414637
BTC-USDC,1732406400000,97826,98627,95812,98063,11.94504551
BTC-USDC,1732320000000,98849,99026,97214,97634,7.98958535
BTC-USDC,1732233600000,98490,99645,97237,98952,41.34902331
BTC-USDC,1732147200000,94312,98985,94312,98743,45.67789748
BTC-USDC,1732060800000,92179,94923,91716,94266,16.7786427
BTC-USDC,1731974400000,90459,94000,90459,92189,31.38527802
BTC-USDC,1731888000000,89784,92594,89387,90584,36.22178631
BTC-USDC,1731801600000,90842,91410,88758,89782,17.74941461
BTC-USDC,1731715200000,91070,91726,90248,90543,6.42303496
BTC-USDC,1731628800000,87584,91886,87173,91005,25.75729523
BTC-USDC,1731542400000,90332,91796,86750,87289,34.31127242
BTC-USDC,1731456000000,88180,93467,86350,90578,59.43028365
BTC-USDC,1731369600000,88785,90000,78883,88000,69.98844613
BTC-USDC,1731283200000,80541,89619,80303,88707,60.72473259
BTC-USDC,1731196800000,76743,81485,76743,80492,74.98277307
BTC-USDC,1731110400000,76514,76931,75867,76758,17.00155464
BTC-USDC,1731024000000,76118,77273,75719,76504,21.14219307
BTC-USDC,1730937600000,75518,76964,74493,76055,24.96662497
BTC-USDC,1730851200000,69478,76427,69475,75684,85.89427332
BTC-USDC,1730764800000,67868,70451,67549,69403,32.97657253
BTC-USDC,1730678400000,68920,69219,66813,67813,18.67522189
BTC-USDC,1730592000000,69212,69316,67425,68590,8.26213412
BTC-USDC,1730505600000,69852,69852,69220,69500,0.71788298
BTC-USDC,1730419200000,70197,71538,68800,69312,14.4921584
BTC-USDC,1730332800000,72314,72615,69621,70249,10.99516872
BTC-USDC,1730246400000,72523,72940,71433,72395,8.24878145
BTC-USDC,1730160000000,69896,73602,69748,72604,30.99914765
BTC-USDC,1730073600000,67731,70262,67622,69877,10.1176035
BTC-USDC,1729987200000,67103,68185,67043,68141,4.65615759
BTC-USDC,1729900800000,66546,67356,66546,67048,1.043305
BTC-USDC,1729814400000,67905,68714,65617,66230,15.37536266
BTC-USDC,1729728000000,66835,68794,66680,68373,10.60802176
BTC-USDC,1729641600000,67162,67214,65240,66490,11.55514905
BTC-USDC,1729555200000,66854,67725,66564,67623,11.15540586
BTC-USDC,1729468800000,69330,69448,66898,67400,14.62392899
BTC-USDC,1729382400000,68178,69250,68175,68955,5.63153496
BTC-USDC,1729296000000,68481,68564,68076,68316,6.66647406
BTC-USDC,1729209600000,67586,68961,67530,68341,5.73706877
BTC-USDC,1729123200000,67716,67716,66741,67409,13.25063293
BTC-USDC,1729036800000,66772,68353,66772,67745,31.45864931
BTC-USDC,1728950400000,65877,67811,64909,67119,15.86258431
BTC-USDC,1728864000000,62669,66458,62567,66101,18.9068381
BTC-USDC,1728777600000,63100,63100,62234,62669,3.54819898
BTC-USDC,1728691200000,62846,63454,62534,63105,1.23726953
BTC-USDC,1728604800000,60374,63340,60374,63035,6.95508569
BTC-USDC,1728518400000,60579,61238,58944,59868,6.47621483
BTC-USDC,1728432000000,62368,62416,60436,60675,3.41532154
BTC-USDC,1728345600000,62282,63159,61865,62266,4.71292047
BTC-USDC,1728259200000,63048,64402,62421,62568,7.84840931
BTC-USDC,1728172800000,61897,62969,61877,62918,2.68001774
BTC-USDC,1728086400000,62062,62238,61756,62092,0.21812402
BTC-USDC,1728000000000,60546,62484,60546,62000,2.93224015
BTC-USDC,1727913600000,60797,61460,59849,60767,4.86769812
BTC-USDC,1727827200000,61027,62362,59989,60784,5.79779818
BTC-USDC,1727740800000,63442,64110,60191,60953,20.72699712
BTC-USDC,1727654400000,65559,65642,62865,63319,10.3613538
