market,time,open,high,low,close,volume
CAKE-EUR,1741132800000,1.6561,1.7,1.6253,1.6253,24865.88824864
CAKE-EUR,1741046400000,1.6464,1.6757,1.538,1.6585,37856.94266646
CAKE-EUR,1740960000000,1.8933,2.0179,1.6349,1.6447,116860.19742822
CAKE-EUR,1740873600000,2.0277,2.1,1.8869,2.0479,82277.78665287
CAKE-EUR,1740787200000,1.9115,1.9639,1.875,1.9115,19160.90886473
CAKE-EUR,1740700800000,1.9808,1.9808,1.788,1.9184,36034.51593221
CAKE-EUR,1740614400000,1.9947,2.0345,1.9447,1.989,34250.64836478
CAKE-EUR,1740528000000,2.0672,2.116,1.9343,1.9849,40539.67686075
CAKE-EUR,1740441600000,2.0626,2.1031,1.9674,2.0647,91539.79361259
CAKE-EUR,1740355200000,2.3824,2.3824,2.0465,2.084,177011.57504004
CAKE-EUR,1740268800000,2.4254,2.4841,2.343,2.3743,51710.90845565
CAKE-EUR,1740182400000,2.3135,2.5275,2.2346,2.4178,242362.11525787
CAKE-EUR,1740096000000,2.3907,2.5259,2.2882,2.3292,159852.10362026
CAKE-EUR,1740009600000,2.6461,2.6461,2.2886,2.3869,388916.9566795
CAKE-EUR,1739923200000,2.4538,2.7294,2.225,2.6716,397011.00162606
CAKE-EUR,1739836800000,2.5332,2.603,2.3495,2.4419,100735.75515073
CAKE-EUR,1739750400000,2.6712,2.765,2.4957,2.5278,240954.37221686
CAKE-EUR,1739664000000,2.482,2.811,2.3574,2.6716,583568.99164587
CAKE-EUR,1739577600000,2.3268,2.65,2.3077,2.5016,551858.94124134
CAKE-EUR,1739491200000,2.5085,2.725,2.3144,2.3489,361777.63984376
CAKE-EUR,1739404800000,2.562,3.275,2.4378,2.519,1058490.89966142
CAKE-EUR,1739318400000,1.8947,2.6608,1.825,2.5509,738689.89728842
CAKE-EUR,1739232000000,1.7997,2.0343,1.7729,1.9013,460577.13122689
CAKE-EUR,1739145600000,1.6698,1.8,1.584,1.7989,179262.90389896
CAKE-EUR,1739059200000,1.6322,2.085,1.597,1.6844,630708.23645287
CAKE-EUR,1738972800000,1.3526,1.7889,1.3367,1.6457,467653.32332801
CAKE-EUR,1738886400000,1.3274,1.428,1.3206,1.35,22542.13258044
