market,time,open,high,low,close,volume
CATI-EUR,1741132800000,0.14247,0.14435,0.13888,0.14094,141113.18599778
CATI-EUR,1741046400000,0.13713,0.14996,0.13593,0.13857,957249.17396966
CATI-EUR,1740960000000,0.15901,0.15901,0.13545,0.13907,791977.92315914
CATI-EUR,1740873600000,0.15348,0.16146,0.14518,0.16076,727375.0057686
CATI-EUR,1740787200000,0.14585,0.15119,0.14409,0.14557,375065.11232845
CATI-EUR,1740700800000,0.14231,0.15593,0.13433,0.15083,2147680.31740607
CATI-EUR,1740614400000,0.13635,0.14399,0.13606,0.14267,561097.23690852
CATI-EUR,1740528000000,0.14258,0.14731,0.13301,0.13754,767231.28983001
CATI-EUR,1740441600000,0.13153,0.1464,0.12478,0.14202,2078438.41737923
CATI-EUR,1740355200000,0.16742,0.1824,0.12802,0.13278,1474661.31196062
CATI-EUR,1740268800000,0.17379,0.17379,0.1648,0.16775,124143.67987566
CATI-EUR,1740182400000,0.16305,0.17942,0.16305,0.17468,242941.21754205
CATI-EUR,1740096000000,0.15735,0.17544,0.15735,0.16328,329564.93298377
CATI-EUR,1740009600000,0.15408,0.16019,0.15286,0.16014,115396.8280707
CATI-EUR,1739923200000,0.14613,0.15817,0.14613,0.15047,356015.28467522
CATI-EUR,1739836800000,0.14881,0.14881,0.13578,0.14293,111742.51311043
CATI-EUR,1739750400000,0.15339,0.16368,0.14882,0.15702,266877.70531617
CATI-EUR,1739664000000,0.15343,0.16111,0.15245,0.15318,89587.88139761
CATI-EUR,1739577600000,0.1639,0.1639,0.15217,0.15235,122042.71328196
CATI-EUR,1739491200000,0.15749,0.17168,0.15603,0.16411,151594.8967336
CATI-EUR,1739404800000,0.16487,0.16488,0.15444,0.15444,172519.87658613
CATI-EUR,1739318400000,0.1578,0.16691,0.14928,0.16691,332513.82960794
CATI-EUR,1739232000000,0.15816,0.16626,0.1536,0.15514,144287.31162164
CATI-EUR,1739145600000,0.15644,0.15886,0.14776,0.15679,122918.73453428
CATI-EUR,1739059200000,0.15248,0.15925,0.14755,0.15106,99491.85765611
CATI-EUR,1738972800000,0.13953,0.15582,0.13953,0.15582,218757.26405249
CATI-EUR,1738886400000,0.1395,0.15045,0.13625,0.13871,86632.11749685
