market,time,open,high,low,close,volume
CELO-EUR,1741132800000,0.35031,0.35727,0.34341,0.34845,4730.73455375
CELO-EUR,1741046400000,0.35358,0.35358,0.32664,0.34603,58579.7449083
CELO-EUR,1740960000000,0.38797,0.40732,0.35,0.35628,54851.58449892
CELO-EUR,1740873600000,0.37456,0.41385,0.37345,0.41211,67506.51632494
CELO-EUR,1740787200000,0.37042,0.38297,0.36374,0.36723,23549.34676237
CELO-EUR,1740700800000,0.37649,0.3836,0.34826,0.38125,41598.7997942
CELO-EUR,1740614400000,0.37612,0.38402,0.3673,0.37403,2922.09615006
CELO-EUR,1740528000000,0.36656,0.37632,0.35633,0.37381,62896.50623135
CELO-EUR,1740441600000,0.35661,0.37311,0.34092,0.37311,76806.75410768
CELO-EUR,1740355200000,0.40741,0.40741,0.35651,0.36259,75293.21490672
CELO-EUR,1740268800000,0.41688,0.41995,0.40617,0.40619,36665.69135446
CELO-EUR,1740182400000,0.4151,0.42325,0.41261,0.42325,10383.83512986
CELO-EUR,1740096000000,0.42305,0.43353,0.40487,0.40542,36302.97661599
CELO-EUR,1740009600000,0.41695,0.42335,0.41,0.42335,61174.29962561
CELO-EUR,1739923200000,0.40388,0.42009,0.40388,0.41737,21298.13779274
CELO-EUR,1739836800000,0.41782,0.41825,0.38869,0.40369,24710.75889881
CELO-EUR,1739750400000,0.4298,0.4362,0.41718,0.42155,7673.84494635
CELO-EUR,1739664000000,0.42425,0.44038,0.41458,0.41792,8403.08948911
CELO-EUR,1739577600000,0.4348,0.43852,0.42323,0.42509,12037.11144507
CELO-EUR,1739491200000,0.43127,0.44431,0.4305,0.4305,73258.82091703
CELO-EUR,1739404800000,0.44032,0.44032,0.42586,0.43036,101606.84960649
CELO-EUR,1739318400000,0.42043,0.44626,0.41321,0.43986,117170.78801424
CELO-EUR,1739232000000,0.42656,0.44077,0.41678,0.42429,17393.52909039
CELO-EUR,1739145600000,0.40002,0.42526,0.40002,0.42205,31708.67479115
CELO-EUR,1739059200000,0.4136,0.41934,0.39485,0.408,351466.94773392
CELO-EUR,1738972800000,0.39674,0.41232,0.39454,0.41232,22957.59289823
CELO-EUR,1738886400000,0.38907,0.41397,0.38886,0.39431,56958.49779082
CELO-EUR,1738800000000,0.40444,0.41104,0.38329,0.38561,93999.80086831
CELO-EUR,1738713600000,0.40643,0.41338,0.39805,0.40441,231073.97243522
CELO-EUR,1738627200000,0.44053,0.44053,0.39397,0.39762,1068975.6447679
CELO-EUR,1738540800000,0.42048,0.44515,0.36,0.4358,875424.04419447
CELO-EUR,1738454400000,0.49344,0.49452,0.42922,0.44581,114682.82454452
CELO-EUR,1738368000000,0.53488,0.53488,0.49494,0.49494,14744.38459335
CELO-EUR,1738281600000,0.52539,0.5468,0.52227,0.5256,29134.23875949
CELO-EUR,1738195200000,0.5056,0.53016,0.50518,0.52703,25144.00626571
CELO-EUR,1738108800000,0.50624,0.52018,0.49369,0.51002,100883.81008227
CELO-EUR,1738022400000,0.5175,0.52648,0.49237,0.4939,15452.94263831
CELO-EUR,1737936000000,0.528,0.52911,0.48602,0.51593,51213.09312789
CELO-EUR,1737849600000,0.54327,0.55699,0.53319,0.53319,8755.84478548
CELO-EUR,1737763200000,0.54023,0.54842,0.53367,0.54669,8817.78449959
CELO-EUR,1737676800000,0.5415,0.55864,0.532,0.532,20548.30672564
CELO-EUR,1737590400000,0.54736,0.55407,0.528,0.5462,46957.94573208
CELO-EUR,1737504000000,0.57503,0.57865,0.54602,0.54602,17104.88932592
CELO-EUR,1737417600000,0.56328,0.5895,0.5462,0.57458,54422.49055991
CELO-EUR,1737331200000,0.56421,0.62296,0.55158,0.56975,128459.75852638
CELO-EUR,1737244800000,0.61726,0.6291,0.56003,0.5744,123791.6753318
CELO-EUR,1737158400000,0.66565,0.66565,0.61659,0.62878,99108.6040612
CELO-EUR,1737072000000,0.63178,0.66908,0.63022,0.66486,90106.12816572
CELO-EUR,1736985600000,0.62612,0.63753,0.61481,0.62827,632079.80829276
CELO-EUR,1736899200000,0.59859,0.63543,0.58584,0.63424,419438.56951375
CELO-EUR,1736812800000,0.58194,0.6025,0.58194,0.59978,91360.12073459
CELO-EUR,1736726400000,0.60447,0.60447,0.54759,0.57915,620138.39170583
CELO-EUR,1736640000000,0.62417,0.6301,0.59875,0.6051,286158.12133007
CELO-EUR,1736553600000,0.62897,0.63336,0.61429,0.62425,168583.56356885
CELO-EUR,1736467200000,0.61353,0.63572,0.60706,0.62927,47032.87129708
CELO-EUR,1736380800000,0.63084,0.64403,0.605,0.61234,113035.14319509
CELO-EUR,1736294400000,0.64175,0.64925,0.59796,0.6321,177083.59811745
CELO-EUR,1736208000000,0.71215,0.71215,0.63792,0.63994,85921.7199899
CELO-EUR,1736121600000,0.69737,0.7197,0.69434,0.71301,26827.47026541
CELO-EUR,1736035200000,0.69452,0.71523,0.68838,0.70598,42455.04105842
CELO-EUR,1735948800000,0.69,0.702,0.68712,0.69339,51549.6696318
CELO-EUR,1735862400000,0.65307,0.69564,0.64802,0.69147,72102.18746661
CELO-EUR,1735776000000,0.64375,0.66578,0.64375,0.65675,15850.92395724
CELO-EUR,1735689600000,0.6241,0.64362,0.6085,0.64362,28472.81890466
CELO-EUR,1735603200000,0.63227,0.64179,0.61245,0.6256,29481.79003878
CELO-EUR,1735516800000,0.62775,0.66829,0.61188,0.63108,55717.01322655
CELO-EUR,1735430400000,0.65641,0.6589,0.625,0.6312,20933.14357687
CELO-EUR,1735344000000,0.64265,0.65982,0.63465,0.65784,22874.73195583
CELO-EUR,1735257600000,0.6329,0.66336,0.62975,0.64311,89767.55960096
CELO-EUR,1735171200000,0.68216,0.68455,0.6207,0.629,73265.69776209
CELO-EUR,1735084800000,0.68251,0.69388,0.67127,0.67984,102027.7410004
CELO-EUR,1734998400000,0.66316,0.69423,0.65135,0.68763,22260.44827704
CELO-EUR,1734912000000,0.6165,0.67486,0.61131,0.66397,18189.06406247
CELO-EUR,1734825600000,0.62521,0.64913,0.61166,0.62959,88044.88051249
CELO-EUR,1734739200000,0.66222,0.69074,0.62076,0.62493,97593.97354115
CELO-EUR,1734652800000,0.62348,0.65729,0.54759,0.6567,286575.50021309
CELO-EUR,1734566400000,0.6805,0.68098,0.59767,0.62396,275208.93667381
CELO-EUR,1734480000000,0.74784,0.74952,0.66975,0.68327,113728.82275373
CELO-EUR,1734393600000,0.7586,0.78933,0.74,0.7411,90709.49047698
CELO-EUR,1734307200000,0.7984,0.81069,0.75,0.76875,79728.89362515
CELO-EUR,1734220800000,0.77742,0.80149,0.75411,0.80149,20154.8682305
CELO-EUR,1734134400000,0.81586,0.82697,0.76251,0.77831,73266.58799486
CELO-EUR,1734048000000,0.83206,0.83264,0.80523,0.81772,57203.87497019
CELO-EUR,1733961600000,0.83083,0.87773,0.8233,0.83343,109829.2051214
CELO-EUR,1733875200000,0.7963,0.84373,0.75111,0.83665,131950.34707493
CELO-EUR,1733788800000,0.78244,0.81335,0.70812,0.78964,173857.64081223
CELO-EUR,1733702400000,0.96617,0.96617,0.68033,0.7978,361367.71126939
CELO-EUR,1733616000000,0.98749,0.99872,0.94653,0.98054,82688.67554636
CELO-EUR,1733529600000,1.0138,1.0339,0.98103,0.99,64653.58547483
CELO-EUR,1733443200000,0.96943,1.0277,0.925,1.0145,229985.57002134
CELO-EUR,1733356800000,1.0283,1.0326,0.94085,0.96777,311934.59898362
CELO-EUR,1733270400000,1.0115,1.07,0.98629,1.0293,273419.43652455
CELO-EUR,1733184000000,0.921,1.0152,0.8809,1.0148,644301.08141907
CELO-EUR,1733097600000,0.88395,0.95399,0.8579,0.93185,313358.51465617
CELO-EUR,1733011200000,0.86918,0.92,0.83455,0.89494,185063.84681895
CELO-EUR,1732924800000,0.80917,0.88822,0.80917,0.8735,212460.09971388
CELO-EUR,1732838400000,0.773,0.82606,0.75591,0.81778,152295.12090758
CELO-EUR,1732752000000,0.81664,0.82394,0.762,0.78222,232839.25263454
CELO-EUR,1732665600000,0.79035,0.82644,0.77565,0.82606,210258.96494191
CELO-EUR,1732579200000,0.7728,0.84,0.736,0.80146,404955.49485697
CELO-EUR,1732492800000,0.7896,0.82544,0.75473,0.77366,137234.0127284
CELO-EUR,1732406400000,0.75919,0.81122,0.72279,0.79158,218305.38273664
CELO-EUR,1732320000000,0.70968,0.795,0.70228,0.76829,183498.66942495
CELO-EUR,1732233600000,0.67423,0.7127,0.66109,0.7127,160256.42182686
CELO-EUR,1732147200000,0.62296,0.681,0.60248,0.67779,143662.35374448
CELO-EUR,1732060800000,0.6616,0.6616,0.60155,0.62998,92479.89061183
CELO-EUR,1731974400000,0.67327,0.67881,0.64685,0.65865,95061.48565385
CELO-EUR,1731888000000,0.59764,0.67,0.59175,0.67,212169.72669216
CELO-EUR,1731801600000,0.63817,0.64463,0.59135,0.59819,65374.23803829
CELO-EUR,1731715200000,0.58812,0.6429,0.58519,0.63851,191560.46064878
CELO-EUR,1731628800000,0.58167,0.59117,0.5539,0.58902,185818.17164022
CELO-EUR,1731542400000,0.60854,0.63688,0.57,0.57103,208016.46701122
CELO-EUR,1731456000000,0.65262,0.66516,0.5888,0.61725,110111.52604594
CELO-EUR,1731369600000,0.67125,0.6908,0.59379,0.65508,1052459.91754793
CELO-EUR,1731283200000,0.63604,0.67311,0.62178,0.67293,536720.08978875
CELO-EUR,1731196800000,0.62066,0.6639,0.59762,0.63199,209366.96970181
CELO-EUR,1731110400000,0.59782,0.62454,0.58563,0.62406,92397.8023876
CELO-EUR,1731024000000,0.60296,0.60504,0.58378,0.59986,66156.20562153
CELO-EUR,1730937600000,0.59206,0.60996,0.58788,0.59688,132719.46849764
CELO-EUR,1730851200000,0.53048,0.5922,0.53048,0.58968,120089.86332567
CELO-EUR,1730764800000,0.50011,0.53357,0.50011,0.5229,13557.16916724
CELO-EUR,1730678400000,0.51117,0.51117,0.48545,0.4967,82852.07886227
CELO-EUR,1730592000000,0.52327,0.53057,0.4912,0.51236,112124.95979257
CELO-EUR,1730505600000,0.5555,0.56261,0.53564,0.5373,34538.74323565
CELO-EUR,1730419200000,0.56,0.58012,0.54849,0.55506,48739.01487837
CELO-EUR,1730332800000,0.59966,0.60023,0.56266,0.56959,65734.92159862
CELO-EUR,1730246400000,0.61244,0.61891,0.59876,0.6057,55147.79934274
CELO-EUR,1730160000000,0.58974,0.63655,0.58974,0.61481,72324.02159698
CELO-EUR,1730073600000,0.60569,0.60569,0.56688,0.58964,111863.09903825
CELO-EUR,1729987200000,0.59849,0.60907,0.58795,0.60907,24693.27491375
CELO-EUR,1729900800000,0.59588,0.61119,0.58542,0.60089,35144.71153903
CELO-EUR,1729814400000,0.6327,0.64102,0.57,0.59849,85209.24828344
CELO-EUR,1729728000000,0.65539,0.66907,0.6306,0.64085,215680.57779569
CELO-EUR,1729641600000,0.73605,0.73605,0.64886,0.66345,114305.27563258
CELO-EUR,1729555200000,0.73191,0.74272,0.71905,0.73845,44068.60176273
CELO-EUR,1729468800000,0.76045,0.76458,0.72919,0.73586,89851.86986213
CELO-EUR,1729382400000,0.7908,0.80234,0.7583,0.76321,47584.43203747
CELO-EUR,1729296000000,0.78517,0.80948,0.77451,0.79494,111471.3497882
CELO-EUR,1729209600000,0.70502,0.80123,0.7042,0.78435,161621.7553627
CELO-EUR,1729123200000,0.72415,0.72712,0.70373,0.70951,74063.61876792
CELO-EUR,1729036800000,0.777,0.80745,0.71909,0.72916,333737.29951017
CELO-EUR,1728950400000,0.74411,0.77504,0.69858,0.77219,117840.91237382
CELO-EUR,1728864000000,0.71532,0.7777,0.70829,0.74315,75580.33520123
CELO-EUR,1728777600000,0.73821,0.73821,0.69733,0.71445,106350.09001355
CELO-EUR,1728691200000,0.74116,0.80249,0.72392,0.7399,154835.64902599
CELO-EUR,1728604800000,0.72,0.745,0.69484,0.74344,146327.36545192
CELO-EUR,1728518400000,0.65481,0.73907,0.64891,0.72676,345472.59522223
