market,time,open,high,low,close,volume
CELR-EUR,1741132800000,0.010143,0.010766,0.0099889,0.010055,4843368.57351917
CELR-EUR,1741046400000,0.0099094,0.010533,0.0095625,0.010148,2282252.95135947
CELR-EUR,1740960000000,0.012021,0.012473,0.010572,0.01066,2989750.29800083
CELR-EUR,1740873600000,0.011433,0.012817,0.011324,0.012721,6990813.77433313
CELR-EUR,1740787200000,0.011112,0.011517,0.010886,0.011241,908922.21821658
CELR-EUR,1740700800000,0.011551,0.011576,0.010547,0.01138,4276497.04801587
CELR-EUR,1740614400000,0.011466,0.011902,0.011375,0.011605,2152927.70612649
CELR-EUR,1740528000000,0.01158,0.01165,0.010867,0.011419,8364594.86964432
CELR-EUR,1740441600000,0.01128,0.011467,0.010424,0.01146,6299129.67465956
CELR-EUR,1740355200000,0.012754,0.012754,0.011287,0.01137,5698005.22256483
CELR-EUR,1740268800000,0.013376,0.013771,0.013023,0.013167,1755804.04220941
CELR-EUR,1740182400000,0.012212,0.013556,0.012212,0.013342,2044925.04427621
CELR-EUR,1740096000000,0.012542,0.01325,0.011847,0.011942,9296690.80701647
CELR-EUR,1740009600000,0.011939,0.01281,0.011814,0.012566,2482412.95446741
CELR-EUR,1739923200000,0.011544,0.011851,0.011544,0.01162,450422.51156488
CELR-EUR,1739836800000,0.012227,0.012244,0.011181,0.01163,786607.33305812
CELR-EUR,1739750400000,0.01228,0.012705,0.011931,0.012324,801777.64016958
CELR-EUR,1739664000000,0.01198,0.012538,0.01188,0.012194,805163.0620023
CELR-EUR,1739577600000,0.012415,0.012471,0.011969,0.012006,5525800.6090689
CELR-EUR,1739491200000,0.012329,0.012635,0.012149,0.012242,711534.73186451
CELR-EUR,1739404800000,0.012761,0.012888,0.012121,0.01224,323163.37503404
CELR-EUR,1739318400000,0.011873,0.012908,0.011476,0.012748,8963425.70666022
CELR-EUR,1739232000000,0.012554,0.013081,0.011714,0.011918,655159.85720325
CELR-EUR,1739145600000,0.011577,0.012339,0.011577,0.012219,375430.27341962
CELR-EUR,1739059200000,0.011719,0.012166,0.011165,0.011657,1834420.53537221
