market,time,open,high,low,close,volume
CETUS-EUR,1741132800000,0.093993,0.098034,0.090909,0.0925,228148.03372921
CETUS-EUR,1741046400000,0.096639,0.09919,0.085694,0.094624,292922.4971037
CETUS-EUR,1740960000000,0.1237,0.1237,0.098675,0.099512,180059.10432697
CETUS-EUR,1740873600000,0.11176,0.12853,0.1101,0.12611,625488.4643699
CETUS-EUR,1740787200000,0.11227,0.11479,0.11015,0.11141,269402.37039874
CETUS-EUR,1740700800000,0.11103,0.11787,0.1025,0.11566,336540.76664528
CETUS-EUR,1740614400000,0.11505,0.11691,0.11054,0.11297,295080.97875076
CETUS-EUR,1740528000000,0.11399,0.11796,0.10782,0.11567,940734.46221557
CETUS-EUR,1740441600000,0.10852,0.11577,0.10163,0.11388,1199078.03460216
CETUS-EUR,1740355200000,0.13257,0.13443,0.10701,0.10746,1050262.25400814
CETUS-EUR,1740268800000,0.13298,0.14475,0.12996,0.13174,3791480.64114425
CETUS-EUR,1740182400000,0.11999,0.14846,0.11938,0.1318,987564.34884702
CETUS-EUR,1740096000000,0.12635,0.13312,0.11818,0.11847,686843.72600525
CETUS-EUR,1740009600000,0.11564,0.1259,0.11551,0.12531,391725.13598107
CETUS-EUR,1739923200000,0.1117,0.1175,0.11014,0.11302,441545.40235
CETUS-EUR,1739836800000,0.11566,0.11566,0.10259,0.11205,894413.6134667
CETUS-EUR,1739750400000,0.11914,0.12212,0.11143,0.1161,386919.10430545
CETUS-EUR,1739664000000,0.12437,0.12437,0.11847,0.12004,192025.44981879
CETUS-EUR,1739577600000,0.13274,0.13502,0.12328,0.12407,94337.54643601
CETUS-EUR,1739491200000,0.13068,0.13729,0.13068,0.13304,333296.67061132
CETUS-EUR,1739404800000,0.134,0.13485,0.12852,0.13076,150634.56322783
CETUS-EUR,1739318400000,0.12679,0.13584,0.11966,0.13508,291283.78071693
CETUS-EUR,1739232000000,0.13005,0.14042,0.1239,0.12678,595821.10925674
CETUS-EUR,1739145600000,0.12423,0.13368,0.12423,0.12946,430693.23040043
CETUS-EUR,1739059200000,0.12786,0.13267,0.11906,0.12408,381251.77542897
CETUS-EUR,1738972800000,0.11924,0.12755,0.11696,0.12697,359510.17642745
CETUS-EUR,1738886400000,0.1194,0.13265,0.1123,0.11691,220370.25928034
CETUS-EUR,1738800000000,0.12731,0.13084,0.11801,0.11972,630758.58172572
CETUS-EUR,1738713600000,0.13644,0.13957,0.12363,0.12486,639009.43116827
CETUS-EUR,1738627200000,0.16789,0.16789,0.12885,0.13722,1582728.61269257
CETUS-EUR,1738540800000,0.16052,0.16945,0.1237,0.16922,1077440.34545114
CETUS-EUR,1738454400000,0.19152,0.19287,0.15385,0.16254,729414.76681803
CETUS-EUR,1738368000000,0.21567,0.21567,0.18912,0.19061,364202.20854448
CETUS-EUR,1738281600000,0.21438,0.23094,0.21346,0.2163,325351.55120377
CETUS-EUR,1738195200000,0.18768,0.22652,0.18768,0.21473,1101558.77065674
CETUS-EUR,1738108800000,0.1748,0.19696,0.17456,0.19,319440.97304899
CETUS-EUR,1738022400000,0.19767,0.1986,0.17312,0.17534,301648.62906453
CETUS-EUR,1737936000000,0.1916,0.19735,0.1698,0.19445,505773.05919822
CETUS-EUR,1737849600000,0.20079,0.20959,0.19604,0.19604,122665.90549785
CETUS-EUR,1737763200000,0.20282,0.20637,0.19541,0.20044,357925.76916632
CETUS-EUR,1737676800000,0.21374,0.22266,0.20379,0.20379,191625.54999172
