market,time,open,high,low,close,volume
CFX-EUR,1741132800000,0.09175,0.096569,0.091514,0.09304,1488877.38115846
CFX-EUR,1741046400000,0.09839,0.098709,0.087862,0.092718,302313.92516394
CFX-EUR,1740960000000,0.11071,0.1179,0.096861,0.098758,200980.77837952
CFX-EUR,1740873600000,0.10779,0.11854,0.10726,0.11773,481177.95878223
CFX-EUR,1740787200000,0.10614,0.10854,0.10458,0.10604,67437.957143
CFX-EUR,1740700800000,0.10905,0.10905,0.10046,0.10801,262400.71273101
CFX-EUR,1740614400000,0.11126,0.11451,0.10885,0.11107,192428.01506568
CFX-EUR,1740528000000,0.10741,0.11215,0.1068,0.11215,164579.56273745
CFX-EUR,1740441600000,0.10286,0.11008,0.099705,0.10826,601615.34832016
CFX-EUR,1740355200000,0.11741,0.11746,0.10584,0.10627,468564.80328529
CFX-EUR,1740268800000,0.11646,0.11761,0.11447,0.11637,206130.61857227
CFX-EUR,1740182400000,0.11242,0.11692,0.11242,0.11641,31170.01187734
CFX-EUR,1740096000000,0.11387,0.11869,0.1116,0.11294,1189892.4029453
CFX-EUR,1740009600000,0.11007,0.11346,0.11007,0.11346,133437.14616582
CFX-EUR,1739923200000,0.107,0.11019,0.10469,0.10799,46908.48577003
CFX-EUR,1739836800000,0.11389,0.11858,0.10397,0.10758,2373434.75760643
CFX-EUR,1739750400000,0.11444,0.11603,0.11148,0.11334,128625.06003229
CFX-EUR,1739664000000,0.1108,0.11616,0.10995,0.11356,315089.6307032
CFX-EUR,1739577600000,0.1148,0.11555,0.11229,0.11229,129206.85655017
CFX-EUR,1739491200000,0.11316,0.11678,0.11136,0.11378,707097.90165357
CFX-EUR,1739404800000,0.11467,0.11586,0.11156,0.1121,109686.28362373
CFX-EUR,1739318400000,0.1109,0.11607,0.10655,0.11599,543037.17220568
CFX-EUR,1739232000000,0.11343,0.11723,0.10844,0.11054,311260.80364473
CFX-EUR,1739145600000,0.1073,0.11356,0.10304,0.11278,567192.48405034
CFX-EUR,1739059200000,0.10749,0.11064,0.10273,0.1058,134049.77633718
CFX-EUR,1738972800000,0.10571,0.10593,0.10141,0.1049,116963.38537512
CFX-EUR,1738886400000,0.10449,0.11116,0.10222,0.10488,322213.46224607
CFX-EUR,1738800000000,0.10896,0.11103,0.10195,0.10225,846116.04734722
CFX-EUR,1738713600000,0.10787,0.11455,0.10743,0.10839,475956.50545628
CFX-EUR,1738627200000,0.11889,0.11892,0.10178,0.10592,528566.08519987
CFX-EUR,1738540800000,0.12386,0.12386,0.09216,0.11818,2318056.74000575
CFX-EUR,1738454400000,0.14223,0.14452,0.12,0.12476,1145186.79683213
CFX-EUR,1738368000000,0.15294,0.1595,0.14035,0.14035,507736.79800781
CFX-EUR,1738281600000,0.14973,0.15546,0.14846,0.15351,229914.7309254
CFX-EUR,1738195200000,0.14598,0.1541,0.14546,0.15,382190.5907763
CFX-EUR,1738108800000,0.13515,0.15205,0.13515,0.14554,442825.83853046
CFX-EUR,1738022400000,0.15328,0.15492,0.13385,0.13603,1690425.37303963
CFX-EUR,1737936000000,0.14319,0.16417,0.13119,0.15396,7855187.65302582
CFX-EUR,1737849600000,0.14391,0.1478,0.14166,0.14367,155335.90647224
CFX-EUR,1737763200000,0.14132,0.1463,0.13939,0.14324,187298.25512689
CFX-EUR,1737676800000,0.14516,0.14766,0.14,0.14147,126506.0648444
CFX-EUR,1737590400000,0.14588,0.14871,0.14196,0.14579,213676.35252072
CFX-EUR,1737504000000,0.15145,0.15221,0.14607,0.14619,173359.68071754
CFX-EUR,1737417600000,0.15366,0.15415,0.14396,0.151,752751.49083056
CFX-EUR,1737331200000,0.14415,0.163,0.13977,0.15351,1374822.53985382
CFX-EUR,1737244800000,0.16385,0.16539,0.14496,0.14585,958869.94797931
CFX-EUR,1737158400000,0.17308,0.17701,0.16141,0.16457,448654.86839788
CFX-EUR,1737072000000,0.16415,0.17279,0.16287,0.17279,1079322.56870357
CFX-EUR,1736985600000,0.154,0.17348,0.15092,0.16208,2898998.30439663
CFX-EUR,1736899200000,0.14532,0.15392,0.14315,0.15392,267632.4390221
CFX-EUR,1736812800000,0.13789,0.14558,0.13789,0.14558,280580.8454226
CFX-EUR,1736726400000,0.14122,0.14122,0.13,0.13797,268863.19289067
CFX-EUR,1736640000000,0.14285,0.14388,0.1411,0.1411,5136.78406428
CFX-EUR,1736553600000,0.14535,0.14611,0.14196,0.14373,50148.01268317
CFX-EUR,1736467200000,0.14241,0.14679,0.14,0.14477,63703.98093932
CFX-EUR,1736380800000,0.1453,0.14669,0.13779,0.14157,299035.82454479
CFX-EUR,1736294400000,0.15517,0.15517,0.13976,0.14432,208276.88401694
CFX-EUR,1736208000000,0.17147,0.17154,0.15237,0.1544,595216.03422216
CFX-EUR,1736121600000,0.17415,0.17492,0.16867,0.17051,287881.18260976
CFX-EUR,1736035200000,0.17016,0.17437,0.16948,0.17435,344863.28710215
CFX-EUR,1735948800000,0.16971,0.17213,0.16724,0.17133,133365.63647799
CFX-EUR,1735862400000,0.16163,0.17009,0.15858,0.16949,211810.15271066
CFX-EUR,1735776000000,0.15906,0.16384,0.15774,0.15996,180685.03355369
