market,time,open,high,low,close,volume
CHR-EUR,1741132800000,0.10106,0.10458,0.10071,0.10282,55909.786726
CHR-EUR,1741046400000,0.10566,0.10566,0.094325,0.10156,512044.955427
CHR-EUR,1740960000000,0.12454,0.12529,0.10377,0.1066,152572.941078
CHR-EUR,1740873600000,0.11311,0.12663,0.11311,0.12513,166429.486519
CHR-EUR,1740787200000,0.11598,0.11978,0.11132,0.11193,352288.703551
CHR-EUR,1740700800000,0.11469,0.11662,0.10265,0.11579,721119.180404
CHR-EUR,1740614400000,0.11448,0.11713,0.1105,0.11425,86042.953876
CHR-EUR,1740528000000,0.11684,0.11684,0.10985,0.11506,130279.290134
CHR-EUR,1740441600000,0.11,0.11855,0.10603,0.11629,419788.943524
CHR-EUR,1740355200000,0.12799,0.12799,0.11061,0.11336,893456.872172
CHR-EUR,1740268800000,0.13599,0.13599,0.12934,0.13114,115381.139241
CHR-EUR,1740182400000,0.12874,0.13594,0.12874,0.13534,48649.811746
CHR-EUR,1740096000000,0.13161,0.13906,0.1269,0.12932,523990.78732
CHR-EUR,1740009600000,0.1232,0.13275,0.12278,0.13141,147468.133634
CHR-EUR,1739923200000,0.12374,0.12374,0.11747,0.12243,450618.509261
CHR-EUR,1739836800000,0.13287,0.13287,0.11863,0.1235,301675.144737
CHR-EUR,1739750400000,0.12745,0.13512,0.12394,0.13277,597724.315491
CHR-EUR,1739664000000,0.12816,0.13464,0.1263,0.1263,96474.672702
CHR-EUR,1739577600000,0.1294,0.13362,0.12759,0.12922,346331.714233
CHR-EUR,1739491200000,0.12989,0.13365,0.1278,0.13142,261322.304442
CHR-EUR,1739404800000,0.13278,0.13441,0.12459,0.12832,143949.376711
CHR-EUR,1739318400000,0.1246,0.13419,0.11947,0.13378,650434.734582
CHR-EUR,1739232000000,0.1307,0.13557,0.1215,0.12437,96035.976688
CHR-EUR,1739145600000,0.12212,0.13,0.12093,0.13,257229.725522
CHR-EUR,1739059200000,0.1229,0.12559,0.11621,0.11963,105927.363921
CHR-EUR,1738972800000,0.11222,0.12251,0.11197,0.12232,102476.003859
CHR-EUR,1738886400000,0.11005,0.11763,0.10929,0.114,457144.352713
CHR-EUR,1738800000000,0.11729,0.11865,0.10862,0.10894,334948.199842
CHR-EUR,1738713600000,0.11974,0.12019,0.11475,0.1167,56653.719761
CHR-EUR,1738627200000,0.12397,0.12448,0.1125,0.11655,275267.867056
CHR-EUR,1738540800000,0.1211,0.12877,0.090255,0.12877,1481574.567209
CHR-EUR,1738454400000,0.1418,0.14182,0.11406,0.1215,910349.281564
CHR-EUR,1738368000000,0.15597,0.15714,0.14107,0.14205,56222.298191
CHR-EUR,1738281600000,0.15416,0.16416,0.151,0.15492,122179.780938
CHR-EUR,1738195200000,0.14832,0.15729,0.14832,0.15485,610286.152965
CHR-EUR,1738108800000,0.14237,0.15516,0.14152,0.1513,376467.945201
CHR-EUR,1738022400000,0.15737,0.15746,0.14132,0.14189,92030.97183
CHR-EUR,1737936000000,0.1516,0.15624,0.1378,0.15556,415594.194942
CHR-EUR,1737849600000,0.16771,0.17009,0.15457,0.15474,128486.075838
CHR-EUR,1737763200000,0.17061,0.17349,0.165,0.16661,197313.036123
CHR-EUR,1737676800000,0.17895,0.18229,0.17272,0.17281,44760.954624
CHR-EUR,1737590400000,0.17959,0.18496,0.17548,0.18058,204323.177085
CHR-EUR,1737504000000,0.18491,0.18667,0.18066,0.18157,192721.052778
CHR-EUR,1737417600000,0.17209,0.18937,0.16729,0.1832,56326.742616
CHR-EUR,1737331200000,0.17783,0.19312,0.17,0.17686,821903.35094
CHR-EUR,1737244800000,0.20457,0.20457,0.17635,0.17857,569011.682186
CHR-EUR,1737158400000,0.22612,0.22612,0.19836,0.20295,107561.666507
CHR-EUR,1737072000000,0.21119,0.22578,0.21119,0.2254,104053.177824
CHR-EUR,1736985600000,0.21095,0.21652,0.20734,0.21028,200306.986793
CHR-EUR,1736899200000,0.20394,0.2147,0.1965,0.2138,353198.92173
CHR-EUR,1736812800000,0.19603,0.20326,0.19569,0.20193,209929.88805
CHR-EUR,1736726400000,0.20989,0.21053,0.18225,0.1965,307095.165988
CHR-EUR,1736640000000,0.20896,0.2091,0.20154,0.20407,87281.192398
CHR-EUR,1736553600000,0.21048,0.21368,0.20543,0.21042,33421.747949
CHR-EUR,1736467200000,0.20553,0.21385,0.19772,0.21385,99407.308526
CHR-EUR,1736380800000,0.20936,0.20968,0.2,0.20619,52914.088844
CHR-EUR,1736294400000,0.22228,0.22271,0.199,0.2088,240584.908234
CHR-EUR,1736208000000,0.25542,0.25542,0.22063,0.22063,211279.811634
CHR-EUR,1736121600000,0.25026,0.25829,0.246,0.25224,122923.416656
CHR-EUR,1736035200000,0.25157,0.25323,0.24584,0.25185,98717.680434
CHR-EUR,1735948800000,0.24842,0.2537,0.24418,0.25295,645961.472196
CHR-EUR,1735862400000,0.23798,0.25171,0.234,0.25008,111532.920925
CHR-EUR,1735776000000,0.22962,0.24137,0.22962,0.23717,109342.225427
CHR-EUR,1735689600000,0.22,0.23498,0.22,0.22739,133328.238621
CHR-EUR,1735603200000,0.2258,0.2291,0.21518,0.22262,202234.863143
CHR-EUR,1735516800000,0.22596,0.2385,0.21424,0.2289,170668.955231
CHR-EUR,1735430400000,0.23161,0.2321,0.21608,0.21611,19910.516422
CHR-EUR,1735344000000,0.22442,0.23459,0.21974,0.23459,48926.066462
CHR-EUR,1735257600000,0.22824,0.24032,0.22476,0.22519,134328.037529
CHR-EUR,1735171200000,0.24327,0.24327,0.225,0.22703,161858.659276
CHR-EUR,1735084800000,0.25568,0.25599,0.2413,0.2459,189244.132821
CHR-EUR,1734998400000,0.24852,0.26132,0.23991,0.25774,93230.663446
CHR-EUR,1734912000000,0.22491,0.25131,0.22104,0.24877,164195.459047
CHR-EUR,1734825600000,0.2337,0.23908,0.22093,0.22851,125137.738507
CHR-EUR,1734739200000,0.24561,0.25345,0.23266,0.23313,442165.863554
CHR-EUR,1734652800000,0.22228,0.25244,0.20135,0.24844,1358458.173176
CHR-EUR,1734566400000,0.24032,0.24631,0.2148,0.22535,878582.661785
CHR-EUR,1734480000000,0.261,0.26256,0.24013,0.24266,743271.848756
CHR-EUR,1734393600000,0.30731,0.30731,0.25625,0.2606,756902.87294
