market,time,open,high,low,close,volume
CHZ-EUR,1741132800000,0.044466,0.045764,0.044031,0.04421,656470.82361911
CHZ-EUR,1741046400000,0.042744,0.045623,0.041918,0.045275,2857782.85784083
CHZ-EUR,1740960000000,0.051522,0.051529,0.043864,0.044625,4251286.99777001
CHZ-EUR,1740873600000,0.048719,0.052432,0.048032,0.052131,3313880.28664179
CHZ-EUR,1740787200000,0.048571,0.049603,0.047306,0.048453,1939376.9454904
CHZ-EUR,1740700800000,0.048792,0.04966,0.04472,0.049255,2828852.18402438
CHZ-EUR,1740614400000,0.048209,0.049785,0.047876,0.048639,985875.14048469
CHZ-EUR,1740528000000,0.047243,0.048578,0.04648,0.047938,2124340.77356236
CHZ-EUR,1740441600000,0.04581,0.04788,0.042774,0.047327,5133398.03947098
CHZ-EUR,1740355200000,0.049786,0.049786,0.044791,0.045508,6304302.03605313
CHZ-EUR,1740268800000,0.050509,0.050941,0.0489,0.049559,1709188.6620632
CHZ-EUR,1740182400000,0.048968,0.050674,0.048968,0.050442,2760352.16488826
CHZ-EUR,1740096000000,0.051712,0.053142,0.047891,0.049026,4508817.96064753
CHZ-EUR,1740009600000,0.052049,0.05256,0.049883,0.051658,4660419.09263078
CHZ-EUR,1739923200000,0.053179,0.053254,0.051212,0.052048,1308349.54278308
CHZ-EUR,1739836800000,0.057065,0.057496,0.051744,0.053084,1149848.59675434
CHZ-EUR,1739750400000,0.057889,0.059139,0.056151,0.057368,495601.9213549
CHZ-EUR,1739664000000,0.056226,0.0581,0.056013,0.056967,562304.33090743
CHZ-EUR,1739577600000,0.058331,0.058675,0.055803,0.056194,488656.1819834
CHZ-EUR,1739491200000,0.058145,0.063182,0.057688,0.059061,4038129.17599647
CHZ-EUR,1739404800000,0.061349,0.062343,0.057654,0.058243,2206663.28954932
CHZ-EUR,1739318400000,0.056275,0.062628,0.056275,0.061592,3444720.9340837
CHZ-EUR,1739232000000,0.05774,0.060451,0.055186,0.056409,2269271.13871608
CHZ-EUR,1739145600000,0.05631,0.05828,0.054471,0.057774,572700.92705815
CHZ-EUR,1739059200000,0.056576,0.058784,0.054453,0.056238,1993109.10418381
CHZ-EUR,1738972800000,0.053526,0.057038,0.052856,0.056459,878104.01501225
