market,time,open,high,low,close,volume
CLV-EUR,1741132800000,0.030213,0.03087,0.028512,0.029361,5070628.15413339
CLV-EUR,1741046400000,0.035622,0.043445,0.028824,0.03004,31386560.49013595
CLV-EUR,1740960000000,0.032638,0.04155,0.030397,0.034558,44788273.19292052
CLV-EUR,1740873600000,0.03307,0.0377,0.030022,0.033162,17050001.63772001
CLV-EUR,1740787200000,0.034352,0.0372,0.030485,0.032014,16891945.24810868
CLV-EUR,1740700800000,0.041054,0.041607,0.030089,0.032896,79137176.4906644
CLV-EUR,1740614400000,0.025644,0.050775,0.025644,0.040857,168165077.32997507
CLV-EUR,1740528000000,0.026673,0.026856,0.025244,0.025965,1551148.43870509
CLV-EUR,1740441600000,0.026654,0.027165,0.025,0.026957,2158526.31256227
CLV-EUR,1740355200000,0.029676,0.030618,0.0241,0.026595,8876100.98778279
CLV-EUR,1740268800000,0.031662,0.032076,0.029149,0.029315,3142251.12185274
CLV-EUR,1740182400000,0.030188,0.034589,0.030134,0.031933,6546102.14730546
CLV-EUR,1740096000000,0.033145,0.0352,0.030235,0.030287,7049502.56308596
CLV-EUR,1740009600000,0.034799,0.036894,0.032,0.033071,7821579.90901082
CLV-EUR,1739923200000,0.035521,0.038383,0.033563,0.03471,6667661.93591529
CLV-EUR,1739836800000,0.037735,0.041012,0.032773,0.035247,10378873.67802822
CLV-EUR,1739750400000,0.045381,0.0459,0.037606,0.037895,18961942.81090828
CLV-EUR,1739664000000,0.045739,0.047792,0.044833,0.044901,2390764.85927566
CLV-EUR,1739577600000,0.047224,0.051509,0.0448,0.046002,4667953.73300735
CLV-EUR,1739491200000,0.044941,0.053657,0.044588,0.047309,3802472.94540862
CLV-EUR,1739404800000,0.046013,0.046277,0.044637,0.04507,357209.33039163
CLV-EUR,1739318400000,0.045168,0.046742,0.044701,0.045813,1351371.96245952
CLV-EUR,1739232000000,0.047037,0.048064,0.045049,0.04567,623054.05044555
CLV-EUR,1739145600000,0.046115,0.047999,0.0457,0.046603,991727.37250283
CLV-EUR,1739059200000,0.047434,0.048228,0.043766,0.045928,679467.55948029
CLV-EUR,1738972800000,0.047317,0.047794,0.046102,0.047525,1214444.38817657
CLV-EUR,1738886400000,0.047454,0.049939,0.046107,0.047147,1366284.64903547
CLV-EUR,1738800000000,0.048904,0.049733,0.046333,0.046528,1058223.07051716
CLV-EUR,1738713600000,0.04851,0.05114,0.046995,0.049038,3391386.4732233
CLV-EUR,1738627200000,0.0497,0.054066,0.046975,0.048458,6525270.4540774
CLV-EUR,1738540800000,0.0476,0.054494,0.039,0.049923,6130810.93586117
CLV-EUR,1738454400000,0.049734,0.061499,0.046382,0.047515,13902104.55840528
CLV-EUR,1738368000000,0.055009,0.059458,0.049555,0.049916,4395104.55956113
CLV-EUR,1738281600000,0.056006,0.0576,0.054343,0.054806,2578605.39526617
CLV-EUR,1738195200000,0.056039,0.058732,0.055191,0.055981,5450686.7046184
CLV-EUR,1738108800000,0.058383,0.061849,0.054363,0.055877,17478039.20338689
CLV-EUR,1738022400000,0.053569,0.069,0.051273,0.05826,45029507.38572256
CLV-EUR,1737936000000,0.0551,0.056,0.050708,0.05289,2372548.57736617
CLV-EUR,1737849600000,0.058812,0.061,0.055223,0.055223,3725311.00285691
CLV-EUR,1737763200000,0.059219,0.063739,0.055731,0.058223,7764068.88709022
CLV-EUR,1737676800000,0.059639,0.06875,0.055502,0.059001,21716355.00218598
CLV-EUR,1737590400000,0.066438,0.075958,0.058,0.059533,50591004.66093339
CLV-EUR,1737504000000,0.060541,0.092,0.056242,0.065814,145682450.71565694
CLV-EUR,1737417600000,0.043751,0.07,0.042796,0.060651,61353502.44721091
CLV-EUR,1737331200000,0.046926,0.051144,0.04279,0.04425,1878202.65764486
CLV-EUR,1737244800000,0.054984,0.056065,0.047,0.047723,2519837.69399615
CLV-EUR,1737158400000,0.059519,0.059836,0.053241,0.054931,1470434.28100944
CLV-EUR,1737072000000,0.057251,0.06097,0.05725,0.05948,2212250.87408424
CLV-EUR,1736985600000,0.0572,0.059062,0.055921,0.057251,3304466.7344128
CLV-EUR,1736899200000,0.055778,0.058189,0.052415,0.057863,2274850.60625047
CLV-EUR,1736812800000,0.052707,0.0572,0.052707,0.05537,1358471.02322223
CLV-EUR,1736726400000,0.055739,0.057054,0.050251,0.052724,1286410.7221146
CLV-EUR,1736640000000,0.056434,0.057509,0.054908,0.055405,252042.34743233
CLV-EUR,1736553600000,0.056373,0.059088,0.055562,0.05651,2149171.49267971
CLV-EUR,1736467200000,0.055316,0.058167,0.055316,0.056171,983819.43884018
CLV-EUR,1736380800000,0.056807,0.060399,0.054592,0.055053,1252679.64135982
CLV-EUR,1736294400000,0.060229,0.06255,0.055,0.056853,1045777.96178151
CLV-EUR,1736208000000,0.065066,0.06536,0.059,0.059974,1010512.23177691
CLV-EUR,1736121600000,0.065015,0.0665,0.064315,0.064724,814687.87231091
CLV-EUR,1736035200000,0.066184,0.06735,0.064248,0.06548,828995.67211417
CLV-EUR,1735948800000,0.066849,0.0675,0.064863,0.066,1056318.96932547
CLV-EUR,1735862400000,0.065178,0.0675,0.064098,0.066697,3413198.51379063
CLV-EUR,1735776000000,0.063114,0.06645,0.062884,0.064983,2536815.90873052
CLV-EUR,1735689600000,0.06178,0.067,0.060569,0.063257,5481153.3770825
CLV-EUR,1735603200000,0.062122,0.063055,0.059947,0.06085,794481.74806713
CLV-EUR,1735516800000,0.062026,0.065203,0.059652,0.06162,1279878.75076014
