market,time,open,high,low,close,volume
COMBO-EUR,1741132800000,0.18415,0.1867,0.17257,0.17653,695002.96270183
COMBO-EUR,1741046400000,0.24083,0.24829,0.1798,0.19323,2043099.63807104
COMBO-EUR,1740960000000,0.25469,0.28772,0.25351,0.25818,23151.73464396
COMBO-EUR,1740873600000,0.27516,0.2952,0.27129,0.27797,27911.92824639
COMBO-EUR,1740787200000,0.26263,0.26992,0.26002,0.26483,13288.77608663
COMBO-EUR,1740700800000,0.27001,0.27796,0.25737,0.2732,43450.1401135
COMBO-EUR,1740614400000,0.274,0.274,0.26566,0.2725,44196.97335756
COMBO-EUR,1740528000000,0.25788,0.27092,0.25788,0.26821,66622.72996194
COMBO-EUR,1740441600000,0.25877,0.26153,0.24617,0.26097,48338.77785198
COMBO-EUR,1740355200000,0.27673,0.2793,0.25111,0.25111,36162.12491054
COMBO-EUR,1740268800000,0.29905,0.30139,0.29394,0.29475,11538.55835489
COMBO-EUR,1740182400000,0.28685,0.29709,0.28278,0.29709,4015.36596891
COMBO-EUR,1740096000000,0.30183,0.3049,0.28268,0.28785,20926.97895637
COMBO-EUR,1740009600000,0.29094,0.29094,0.2849,0.28733,47917.02576548
COMBO-EUR,1739923200000,0.2816,0.2929,0.2785,0.2889,84109.08066018
COMBO-EUR,1739836800000,0.28605,0.28606,0.26521,0.27415,58569.18988105
COMBO-EUR,1739750400000,0.29352,0.29618,0.28147,0.28706,17650.95576722
COMBO-EUR,1739664000000,0.29273,0.30473,0.28964,0.29057,67536.05311539
COMBO-EUR,1739577600000,0.3036,0.30376,0.29092,0.29467,227868.33861998
COMBO-EUR,1739491200000,0.30371,0.30957,0.2945,0.30431,123912.75803185
COMBO-EUR,1739404800000,0.32389,0.33076,0.29711,0.29902,662858.79321557
COMBO-EUR,1739318400000,0.26818,0.38116,0.26714,0.32629,2031785.57014147
COMBO-EUR,1739232000000,0.26984,0.31152,0.26898,0.272,1899441.91457489
COMBO-EUR,1739145600000,0.23427,0.32322,0.23427,0.2674,2164926.27045411
COMBO-EUR,1739059200000,0.24989,0.25821,0.2328,0.24331,158779.47884683
COMBO-EUR,1738972800000,0.2227,0.24925,0.2227,0.24736,193192.5383911
COMBO-EUR,1738886400000,0.22201,0.23658,0.22201,0.2221,18217.24638031
COMBO-EUR,1738800000000,0.23641,0.23879,0.21992,0.22339,59022.32634665
COMBO-EUR,1738713600000,0.24282,0.24304,0.23218,0.23548,22416.54726057
COMBO-EUR,1738627200000,0.2582,0.25857,0.23184,0.23964,118287.1858251
COMBO-EUR,1738540800000,0.2457,0.25516,0.2,0.25516,191579.58347753
COMBO-EUR,1738454400000,0.29321,0.29321,0.24685,0.24889,92642.51079994
COMBO-EUR,1738368000000,0.32729,0.32729,0.29455,0.29518,57516.31200141
COMBO-EUR,1738281600000,0.32732,0.34313,0.32706,0.33009,52412.96287498
COMBO-EUR,1738195200000,0.31736,0.33081,0.31736,0.32939,6343.16659867
COMBO-EUR,1738108800000,0.30341,0.32548,0.30322,0.32548,7118.19596079
COMBO-EUR,1738022400000,0.32521,0.32691,0.30166,0.30291,2443.96774081
COMBO-EUR,1737936000000,0.33186,0.33186,0.29971,0.32111,30779.26445482
COMBO-EUR,1737849600000,0.34886,0.3509,0.34433,0.34433,40334.79477328
COMBO-EUR,1737763200000,0.33787,0.35014,0.33787,0.34725,1538.80345084
COMBO-EUR,1737676800000,0.35886,0.35886,0.34013,0.34013,8914.09596456
COMBO-EUR,1737590400000,0.35749,0.3587,0.35,0.35694,3052.84138139
COMBO-EUR,1737504000000,0.36797,0.37477,0.36465,0.36572,62395.97310691
COMBO-EUR,1737417600000,0.34761,0.37655,0.34287,0.36847,28044.78177121
COMBO-EUR,1737331200000,0.36922,0.3845,0.35256,0.36153,150617.1569236
COMBO-EUR,1737244800000,0.40353,0.41178,0.37055,0.37254,129134.00399661
COMBO-EUR,1737158400000,0.43456,0.43456,0.39726,0.40669,40308.03431424
COMBO-EUR,1737072000000,0.41221,0.43736,0.41221,0.43399,184079.85497534
COMBO-EUR,1736985600000,0.4047,0.41063,0.39568,0.40525,26070.69368389
COMBO-EUR,1736899200000,0.38351,0.40523,0.37655,0.40523,5578.20736487
COMBO-EUR,1736812800000,0.36887,0.38382,0.36887,0.38382,6812.30472829
COMBO-EUR,1736726400000,0.36947,0.36947,0.3438,0.36614,32492.19962226
COMBO-EUR,1736640000000,0.39121,0.39121,0.37748,0.37852,46826.56955018
COMBO-EUR,1736553600000,0.3877,0.39148,0.38399,0.39048,412.36809542
COMBO-EUR,1736467200000,0.38345,0.39486,0.37835,0.39201,9408.7299124
COMBO-EUR,1736380800000,0.39143,0.39143,0.37212,0.37499,22223.70244323
COMBO-EUR,1736294400000,0.41094,0.41094,0.3746,0.38629,22163.67996427
COMBO-EUR,1736208000000,0.45687,0.46026,0.41153,0.41153,43288.59299987
COMBO-EUR,1736121600000,0.46219,0.47393,0.45821,0.46261,12606.11254602
COMBO-EUR,1736035200000,0.46565,0.4691,0.46229,0.46348,7888.87661865
COMBO-EUR,1735948800000,0.46401,0.46661,0.45722,0.46661,12665.41350652
COMBO-EUR,1735862400000,0.43789,0.46437,0.43728,0.46038,83393.70064374
COMBO-EUR,1735776000000,0.43789,0.45255,0.43789,0.44308,53101.39040726
COMBO-EUR,1735689600000,0.41546,0.42817,0.41311,0.427,1795.50366744
COMBO-EUR,1735603200000,0.41567,0.43022,0.41423,0.42352,6587.80277339
COMBO-EUR,1735516800000,0.42803,0.44022,0.40862,0.42534,106411.97686096
COMBO-EUR,1735430400000,0.44855,0.44855,0.43,0.43177,1749.51070942
COMBO-EUR,1735344000000,0.42666,0.45079,0.42666,0.44715,15475.80393039
COMBO-EUR,1735257600000,0.42334,0.44301,0.41776,0.42607,24042.01834704
COMBO-EUR,1735171200000,0.42224,0.42875,0.4167,0.42388,49711.42560333
COMBO-EUR,1735084800000,0.46793,0.46844,0.44483,0.44516,18485.08210333
COMBO-EUR,1734998400000,0.44652,0.472,0.44316,0.46056,7614.35034414
COMBO-EUR,1734912000000,0.4328,0.451,0.4204,0.44574,13593.69878217
COMBO-EUR,1734825600000,0.4336,0.45033,0.40137,0.40137,18792.37345067
COMBO-EUR,1734739200000,0.45668,0.48272,0.43049,0.43141,101321.27594197
COMBO-EUR,1734652800000,0.45876,0.4618,0.38789,0.45869,52414.16372482
COMBO-EUR,1734566400000,0.47469,0.48972,0.42477,0.44382,52976.65997273
COMBO-EUR,1734480000000,0.53771,0.53771,0.48002,0.48383,27236.82652537
COMBO-EUR,1734393600000,0.55935,0.57444,0.53,0.53277,34868.99500528
COMBO-EUR,1734307200000,0.6006,0.61094,0.5619,0.56893,129052.88307062
COMBO-EUR,1734220800000,0.57491,0.60493,0.56197,0.59801,49757.76303922
COMBO-EUR,1734134400000,0.63881,0.65775,0.57,0.58672,125951.91176483
COMBO-EUR,1734048000000,0.61083,0.64733,0.58894,0.62527,96312.1514608
COMBO-EUR,1733961600000,0.57311,0.63787,0.57311,0.60882,205101.64666271
COMBO-EUR,1733875200000,0.48892,0.57833,0.48892,0.57444,34052.51036878
COMBO-EUR,1733788800000,0.50028,0.52032,0.44818,0.49797,203508.90657887
COMBO-EUR,1733702400000,0.62644,0.63505,0.42,0.5014,263305.26076135
COMBO-EUR,1733616000000,0.59865,0.70014,0.58708,0.62531,934020.06994037
COMBO-EUR,1733529600000,0.60776,0.61905,0.59522,0.60581,50659.00730058
COMBO-EUR,1733443200000,0.59037,0.62952,0.57149,0.61536,164292.5624848
COMBO-EUR,1733356800000,0.60968,0.61431,0.58078,0.58585,140540.99966903
COMBO-EUR,1733270400000,0.56707,0.63205,0.56637,0.61179,272529.84973822
COMBO-EUR,1733184000000,0.52931,0.5694,0.50679,0.5694,142810.50722016
COMBO-EUR,1733097600000,0.51279,0.5305,0.48368,0.5305,82130.25575035
COMBO-EUR,1733011200000,0.51378,0.5249,0.49625,0.51318,36212.0395979
COMBO-EUR,1732924800000,0.4927,0.52181,0.4927,0.51652,52896.8017082
COMBO-EUR,1732838400000,0.48247,0.50252,0.46965,0.5014,49574.63783856
COMBO-EUR,1732752000000,0.4745,0.48451,0.46462,0.48451,52568.27982632
COMBO-EUR,1732665600000,0.45573,0.47739,0.44532,0.47539,109891.66476053
COMBO-EUR,1732579200000,0.4827,0.4942,0.4411,0.46243,138776.09854215
COMBO-EUR,1732492800000,0.48059,0.50743,0.46134,0.4686,91134.79906652
COMBO-EUR,1732406400000,0.4612,0.48132,0.42745,0.481,160599.7974692
COMBO-EUR,1732320000000,0.42918,0.45707,0.4248,0.44575,100656.20595847
COMBO-EUR,1732233600000,0.40871,0.42745,0.40731,0.42745,85063.16987934
COMBO-EUR,1732147200000,0.37785,0.41364,0.36831,0.41213,102752.31454768
COMBO-EUR,1732060800000,0.40335,0.40436,0.37475,0.3823,48921.50527921
COMBO-EUR,1731974400000,0.41736,0.42716,0.40266,0.41193,115568.13306627
COMBO-EUR,1731888000000,0.3915,0.41917,0.3909,0.41728,106740.5839156
COMBO-EUR,1731801600000,0.40645,0.42013,0.38622,0.38622,88459.10829481
COMBO-EUR,1731715200000,0.39325,0.41277,0.38995,0.40538,51131.45256577
COMBO-EUR,1731628800000,0.39254,0.39455,0.36664,0.39273,206155.48994494
COMBO-EUR,1731542400000,0.40385,0.41151,0.38284,0.38522,172474.28041376
COMBO-EUR,1731456000000,0.41072,0.42521,0.38547,0.40101,148895.23565418
COMBO-EUR,1731369600000,0.41301,0.43373,0.37794,0.41135,366031.13162607
COMBO-EUR,1731283200000,0.40775,0.42549,0.39945,0.41967,263126.77997704
COMBO-EUR,1731196800000,0.39009,0.42087,0.38405,0.40398,128874.37440657
COMBO-EUR,1731110400000,0.3693,0.39662,0.36763,0.39662,128430.91399743
COMBO-EUR,1731024000000,0.37053,0.37053,0.35948,0.36823,11717.52435045
COMBO-EUR,1730937600000,0.37864,0.37864,0.3652,0.37406,13788.71051694
COMBO-EUR,1730851200000,0.35082,0.37341,0.35082,0.37341,28364.68723557
COMBO-EUR,1730764800000,0.32067,0.33532,0.32052,0.33257,21825.90634846
COMBO-EUR,1730678400000,0.33091,0.3324,0.31502,0.31502,13833.09594514
COMBO-EUR,1730592000000,0.34355,0.34355,0.32502,0.33082,55176.85987552
COMBO-EUR,1730505600000,0.35757,0.35757,0.34827,0.35145,7240.1715047
COMBO-EUR,1730419200000,0.37612,0.37612,0.36532,0.36532,11948.6644932
COMBO-EUR,1730332800000,0.39928,0.39928,0.37748,0.37868,21986.52474848
COMBO-EUR,1730246400000,0.39922,0.40479,0.3919,0.3961,9562.21733911
COMBO-EUR,1730160000000,0.38653,0.40133,0.38653,0.4001,53513.38432654
COMBO-EUR,1730073600000,0.37809,0.37809,0.36488,0.37139,8418.94130862
COMBO-EUR,1729987200000,0.36259,0.37817,0.35955,0.37817,30209.6161737
COMBO-EUR,1729900800000,0.35303,0.36366,0.35303,0.36366,11693.87337675
COMBO-EUR,1729814400000,0.37451,0.38687,0.34302,0.35355,43495.83124718
COMBO-EUR,1729728000000,0.38741,0.3886,0.3737,0.3886,15060.95124409
COMBO-EUR,1729641600000,0.41796,0.41796,0.3701,0.38056,38094.33700679
COMBO-EUR,1729555200000,0.40206,0.41761,0.39595,0.41748,33138.4893818
COMBO-EUR,1729468800000,0.4206,0.42499,0.40055,0.40417,32282.00610163
COMBO-EUR,1729382400000,0.40368,0.42173,0.40368,0.42173,56713.6036938
COMBO-EUR,1729296000000,0.39087,0.40998,0.38779,0.39714,116577.37131723
COMBO-EUR,1729209600000,0.38192,0.38718,0.37782,0.38718,9650.70193397
COMBO-EUR,1729123200000,0.38196,0.38196,0.36981,0.37484,2772.77555446
COMBO-EUR,1729036800000,0.39984,0.39985,0.38178,0.38751,4914.09509436
COMBO-EUR,1728950400000,0.40567,0.41014,0.38651,0.38651,37415.99045234
COMBO-EUR,1728864000000,0.39744,0.40661,0.39123,0.40584,49635.46213093
COMBO-EUR,1728777600000,0.38426,0.39941,0.38426,0.3865,524986.4237637
COMBO-EUR,1728691200000,0.38479,0.38884,0.38207,0.38695,11071.82669437
COMBO-EUR,1728604800000,0.35739,0.37543,0.35739,0.37388,44608.27605048
COMBO-EUR,1728518400000,0.35623,0.35728,0.33918,0.35006,2248.99306543
COMBO-EUR,1728432000000,0.37478,0.3764,0.3524,0.3524,17685.99861548
COMBO-EUR,1728345600000,0.37102,0.37272,0.35937,0.36406,31788.47853434
COMBO-EUR,1728259200000,0.38,0.38278,0.37,0.37,16334.91516199
COMBO-EUR,1728172800000,0.3644,0.38,0.3644,0.37818,41482.44147645
COMBO-EUR,1728086400000,0.36404,0.38014,0.35456,0.3629,173103.73139318
COMBO-EUR,1728000000000,0.34406,0.35802,0.34337,0.35793,13370.67373056
COMBO-EUR,1727913600000,0.34526,0.34526,0.32904,0.33513,35670.92566709
COMBO-EUR,1727827200000,0.35326,0.37363,0.33044,0.33487,64360.61150148
COMBO-EUR,1727740800000,0.42347,0.43046,0.34873,0.35275,139642.49774673
COMBO-EUR,1727654400000,0.40169,0.43475,0.39978,0.41832,195210.31314947
COMBO-EUR,1727568000000,0.40353,0.41182,0.38974,0.41182,19487.99825768
COMBO-EUR,1727481600000,0.43174,0.44012,0.41204,0.4158,35171.61416487
COMBO-EUR,1727395200000,0.3993,0.43071,0.3993,0.42756,88731.27811506
COMBO-EUR,1727308800000,0.38635,0.40422,0.38635,0.40422,15239.98062412
COMBO-EUR,1727222400000,0.40133,0.40164,0.39144,0.39421,19266.84783209
COMBO-EUR,1727136000000,0.40367,0.40475,0.39497,0.40116,11603.88126547
COMBO-EUR,1727049600000,0.39744,0.40418,0.39744,0.40134,3301.30949149
COMBO-EUR,1726963200000,0.3964,0.39716,0.38483,0.39117,14369.8937598
COMBO-EUR,1726876800000,0.3964,0.40265,0.39331,0.39897,2161.12122518
COMBO-EUR,1726790400000,0.38763,0.4037,0.38616,0.3871,37225.13406126
COMBO-EUR,1726704000000,0.37297,0.39207,0.3725,0.38493,39346.6537073
COMBO-EUR,1726617600000,0.35956,0.35986,0.34089,0.356,4324.24893002
COMBO-EUR,1726531200000,0.34193,0.35165,0.34106,0.35148,4103.57771691
COMBO-EUR,1726444800000,0.3445,0.34753,0.33028,0.3319,7044.95527124
COMBO-EUR,1726358400000,0.36498,0.37003,0.3622,0.36637,51338.46773528
COMBO-EUR,1726272000000,0.36748,0.36867,0.3634,0.3634,8016.47081194
COMBO-EUR,1726185600000,0.3738,0.37901,0.36986,0.37901,11579.71520408
COMBO-EUR,1726099200000,0.36826,0.37256,0.36351,0.37256,3657.39336743
COMBO-EUR,1726012800000,0.3585,0.36448,0.35167,0.3633,26477.92498352
COMBO-EUR,1725926400000,0.3642,0.37119,0.36241,0.37119,2419.07022895
COMBO-EUR,1725840000000,0.34543,0.3641,0.34543,0.3641,3092.51223524
COMBO-EUR,1725753600000,0.3563,0.35817,0.3384,0.34859,24040.89057932
COMBO-EUR,1725667200000,0.33089,0.34722,0.33089,0.34069,27322.10371591
COMBO-EUR,1725580800000,0.32991,0.33733,0.31595,0.32364,42279.83947784
COMBO-EUR,1725494400000,0.34029,0.34029,0.3231,0.3231,6320.82371683
COMBO-EUR,1725408000000,0.3254,0.34612,0.3254,0.342,5316.69793593
COMBO-EUR,1725321600000,0.36105,0.36105,0.34214,0.34214,223.5748914
COMBO-EUR,1725235200000,0.33518,0.35222,0.33315,0.35067,2619.83580413
COMBO-EUR,1725148800000,0.35321,0.35444,0.34905,0.35439,16325.7873162
COMBO-EUR,1725062400000,0.36479,0.36479,0.35333,0.35579,10201.54972418
COMBO-EUR,1724976000000,0.36036,0.36625,0.35082,0.36625,9284.00910179
COMBO-EUR,1724889600000,0.36348,0.37882,0.35902,0.3619,5547.34544951
COMBO-EUR,1724803200000,0.35967,0.37741,0.35314,0.36745,6888.27414737
COMBO-EUR,1724716800000,0.38439,0.39065,0.3524,0.35724,41090.04533151
COMBO-EUR,1724630400000,0.4083,0.42317,0.37709,0.37961,22833.30256398
COMBO-EUR,1724544000000,0.4141,0.4141,0.39698,0.41279,33124.18460582
COMBO-EUR,1724457600000,0.4198,0.44045,0.41614,0.42029,67114.70863328
COMBO-EUR,1724371200000,0.40898,0.43286,0.40597,0.42946,140102.98539513
COMBO-EUR,1724284800000,0.41269,0.41772,0.40433,0.40956,17371.01570624
COMBO-EUR,1724198400000,0.41163,0.43413,0.40623,0.41407,483657.8004124
COMBO-EUR,1724112000000,0.39588,0.41569,0.39386,0.40465,134820.70153485
COMBO-EUR,1724025600000,0.39831,0.42101,0.38081,0.39486,166253.06409368
COMBO-EUR,1723939200000,0.36902,0.4192,0.36902,0.40174,297598.43069098
COMBO-EUR,1723852800000,0.36661,0.37406,0.36659,0.37378,11195.39024543
COMBO-EUR,1723766400000,0.36279,0.36377,0.35505,0.36216,7366.86293056
COMBO-EUR,1723680000000,0.38185,0.38377,0.35448,0.35868,1726.38451663
COMBO-EUR,1723593600000,0.38861,0.39389,0.37916,0.38224,15293.80663125
COMBO-EUR,1723507200000,0.38637,0.3964,0.37642,0.3903,79196.12950113
COMBO-EUR,1723420800000,0.38428,0.39761,0.37481,0.38299,34860.20640117
COMBO-EUR,1723334400000,0.39196,0.41748,0.38479,0.38582,407233.93772888
COMBO-EUR,1723248000000,0.40256,0.41964,0.36726,0.39115,623040.86098066
COMBO-EUR,1723161600000,0.34955,0.43006,0.34652,0.40311,1018209.95646027
COMBO-EUR,1723075200000,0.31707,0.35763,0.31707,0.35763,68179.7470492
COMBO-EUR,1722988800000,0.31994,0.33923,0.30943,0.30943,11220.96884431
COMBO-EUR,1722902400000,0.2957,0.32688,0.2957,0.31867,119658.44407622
COMBO-EUR,1722816000000,0.34697,0.34697,0.26658,0.29359,167089.70020556
COMBO-EUR,1722729600000,0.37536,0.37739,0.34624,0.35117,168947.85170612
COMBO-EUR,1722643200000,0.4,0.40288,0.36247,0.37015,37588.75000455
COMBO-EUR,1722556800000,0.43656,0.44099,0.40542,0.40803,7520.66197805
COMBO-EUR,1722470400000,0.45928,0.46687,0.4162,0.44976,24782.84259415
COMBO-EUR,1722384000000,0.45615,0.48008,0.45615,0.4589,35660.52066595
COMBO-EUR,1722297600000,0.47039,0.47498,0.45335,0.45789,6245.20690259
COMBO-EUR,1722211200000,0.48703,0.49487,0.46694,0.46792,21250.77440952
COMBO-EUR,1722124800000,0.47913,0.48527,0.47899,0.47899,21031.2711298
COMBO-EUR,1722038400000,0.47454,0.48421,0.47167,0.47447,40811.31080512
COMBO-EUR,1721952000000,0.45531,0.48298,0.45531,0.47576,106567.15857432
COMBO-EUR,1721865600000,0.44369,0.44797,0.42922,0.44797,20112.42767933
COMBO-EUR,1721779200000,0.45661,0.47272,0.45363,0.45363,6021.09945248
COMBO-EUR,1721692800000,0.49636,0.49636,0.45221,0.45772,26676.42625758
COMBO-EUR,1721606400000,0.515,0.515,0.49368,0.49482,34454.06966464
COMBO-EUR,1721520000000,0.50939,0.51531,0.48605,0.51097,39253.93679455
COMBO-EUR,1721433600000,0.52325,0.52325,0.51139,0.51154,45083.23734796
COMBO-EUR,1721347200000,0.50207,0.51567,0.49219,0.51567,45660.91632503
COMBO-EUR,1721260800000,0.52905,0.54489,0.49244,0.50925,66824.26125579
COMBO-EUR,1721174400000,0.51011,0.531,0.505,0.51877,58695.7130705
COMBO-EUR,1721088000000,0.50774,0.5154,0.48,0.50459,10709.63482536
COMBO-EUR,1721001600000,0.4899,0.50124,0.48186,0.4993,27582.46243465
COMBO-EUR,1720915200000,0.46398,0.48947,0.46336,0.48947,1034.10816758
COMBO-EUR,1720828800000,0.45994,0.46829,0.45822,0.46829,2925.3244445
COMBO-EUR,1720742400000,0.44955,0.45887,0.44198,0.45788,3627.64989912
COMBO-EUR,1720656000000,0.46945,0.47392,0.44632,0.44632,11702.54549412
COMBO-EUR,1720569600000,0.46831,0.47844,0.46553,0.46799,3358.97854539
COMBO-EUR,1720483200000,0.46334,0.4733,0.46333,0.47009,21784.36031527
COMBO-EUR,1720396800000,0.44304,0.48265,0.43334,0.46174,36045.75203402
