market,time,open,high,low,close,volume
CORE-EUR,1741132800000,0.44774,0.44895,0.4415,0.4415,4612.08192606
CORE-EUR,1741046400000,0.43647,0.45277,0.40841,0.429,14315.04915161
CORE-EUR,1740960000000,0.5055,0.50876,0.43663,0.48968,5520.25562787
CORE-EUR,1740873600000,0.4901,0.50978,0.4567,0.49585,3402.20667703
CORE-EUR,1740787200000,0.45252,0.46445,0.45136,0.45136,1980.26858461
CORE-EUR,1740700800000,0.45012,0.46785,0.43411,0.46785,15971.53970196
CORE-EUR,1740614400000,0.48111,0.48562,0.46978,0.47142,1960.47442473
CORE-EUR,1740528000000,0.46865,0.47767,0.46185,0.46714,3983.12346915
CORE-EUR,1740441600000,0.44938,0.47506,0.44419,0.47506,7975.6379393
CORE-EUR,1740355200000,0.49356,0.49356,0.43483,0.43483,6209.2558263
CORE-EUR,1740268800000,0.50222,0.51053,0.48254,0.48254,1073.13514324
CORE-EUR,1740182400000,0.50511,0.5102,0.49463,0.5102,31321.85654669
CORE-EUR,1740096000000,0.49646,0.54106,0.49564,0.50903,116103.15983103
CORE-EUR,1740009600000,0.48993,0.49717,0.48087,0.49221,30472.21937702
CORE-EUR,1739923200000,0.47726,0.48892,0.4672,0.48892,33381.59749474
CORE-EUR,1739836800000,0.50974,0.50988,0.44891,0.47723,44156.87200408
CORE-EUR,1739750400000,0.51586,0.51995,0.50136,0.50836,15057.52376854
CORE-EUR,1739664000000,0.52554,0.52554,0.50889,0.50889,39967.30189706
CORE-EUR,1739577600000,0.52534,0.52847,0.51688,0.52847,37767.40806293
CORE-EUR,1739491200000,0.51061,0.54676,0.51061,0.52636,124245.80316659
CORE-EUR,1739404800000,0.5349,0.5349,0.50945,0.51272,36239.14537138
CORE-EUR,1739318400000,0.52863,0.53831,0.50439,0.53144,36283.05901894
CORE-EUR,1739232000000,0.5236,0.54147,0.51693,0.5189,16856.27047583
CORE-EUR,1739145600000,0.51453,0.52732,0.51035,0.52453,13482.33216543
CORE-EUR,1739059200000,0.52018,0.524,0.48905,0.51199,12456.85405975
CORE-EUR,1738972800000,0.50245,0.52133,0.50084,0.51493,17397.34284615
CORE-EUR,1738886400000,0.50382,0.53042,0.48746,0.491,27032.78327226
CORE-EUR,1738800000000,0.52622,0.53814,0.49448,0.50182,60512.30070729
CORE-EUR,1738713600000,0.52916,0.55012,0.50886,0.51279,29820.33418467
CORE-EUR,1738627200000,0.54534,0.54579,0.49979,0.52216,35364.11998911
CORE-EUR,1738540800000,0.53652,0.54756,0.37571,0.53203,128002.87383926
CORE-EUR,1738454400000,0.65738,0.65738,0.49035,0.51029,101701.14883505
CORE-EUR,1738368000000,0.69991,0.71185,0.64108,0.64381,19202.62202926
CORE-EUR,1738281600000,0.68733,0.72148,0.68011,0.69999,37034.21398088
CORE-EUR,1738195200000,0.68387,0.70279,0.68387,0.69257,9850.77026294
CORE-EUR,1738108800000,0.64247,0.68503,0.64247,0.68503,31994.71122877
CORE-EUR,1738022400000,0.69502,0.7029,0.62846,0.63814,10551.28945143
CORE-EUR,1737936000000,0.765,0.77451,0.62247,0.68857,78568.2863891
CORE-EUR,1737849600000,0.79259,0.80575,0.77361,0.77751,15295.19810656
CORE-EUR,1737763200000,0.77566,0.80373,0.77441,0.79091,17711.80288032
CORE-EUR,1737676800000,0.77521,0.80657,0.77321,0.77604,16841.58256913
CORE-EUR,1737590400000,0.80137,0.83579,0.77725,0.77993,36712.95150008
CORE-EUR,1737504000000,0.8289,0.8309,0.80173,0.80173,9941.0018119
