market,time,open,high,low,close,volume
COTI-EUR,1741132800000,0.075013,0.075931,0.0699,0.071,5290053.68368912
COTI-EUR,1741046400000,0.078758,0.079068,0.070804,0.074863,1981803.05329773
COTI-EUR,1740960000000,0.07919,0.09154,0.07707,0.078569,5301254.26057476
COTI-EUR,1740873600000,0.07187,0.088566,0.07034,0.072254,3519053.88862647
COTI-EUR,1740787200000,0.071989,0.0731,0.0685,0.073077,1468592.13172195
COTI-EUR,1740700800000,0.069202,0.072517,0.063661,0.071679,1503493.51173964
COTI-EUR,1740614400000,0.070053,0.072072,0.067669,0.069403,829484.64950393
COTI-EUR,1740528000000,0.070383,0.073128,0.066365,0.069911,1341082.46331853
COTI-EUR,1740441600000,0.068445,0.071527,0.0642,0.070814,2781580.47900565
COTI-EUR,1740355200000,0.076162,0.077083,0.066822,0.067683,1907872.41673622
COTI-EUR,1740268800000,0.078746,0.081591,0.077157,0.078236,2511660.1033136
COTI-EUR,1740182400000,0.0762,0.080548,0.075232,0.079304,1477643.243865
COTI-EUR,1740096000000,0.080922,0.085551,0.076378,0.0767,2400298.36979961
COTI-EUR,1740009600000,0.077537,0.080975,0.076666,0.0808,3554489.59983471
COTI-EUR,1739923200000,0.075456,0.079717,0.075435,0.078535,739659.97977155
COTI-EUR,1739836800000,0.079062,0.079764,0.07328,0.076169,1295482.78340198
COTI-EUR,1739750400000,0.0813,0.083243,0.077607,0.079639,1293853.59920731
COTI-EUR,1739664000000,0.084425,0.085208,0.080809,0.080987,2907805.93591365
COTI-EUR,1739577600000,0.0815,0.090195,0.0815,0.084494,11496412.76020873
COTI-EUR,1739491200000,0.074312,0.085121,0.074312,0.081673,2187938.13814297
COTI-EUR,1739404800000,0.08131,0.082147,0.075568,0.075778,1465810.29453813
COTI-EUR,1739318400000,0.074077,0.082594,0.070229,0.080791,2253718.69017824
COTI-EUR,1739232000000,0.080197,0.083289,0.07375,0.074267,3056099.94216887
COTI-EUR,1739145600000,0.074585,0.083741,0.071414,0.079529,8136207.17102926
COTI-EUR,1739059200000,0.06932,0.077546,0.069227,0.073378,4353250.40327226
COTI-EUR,1738972800000,0.064742,0.070089,0.064667,0.069983,1073081.41514737
COTI-EUR,1738886400000,0.065802,0.071066,0.062744,0.064553,1719786.37400046
COTI-EUR,1738800000000,0.070935,0.072327,0.064296,0.064698,4847979.21344832
COTI-EUR,1738713600000,0.073233,0.075,0.069812,0.070682,953567.96038269
COTI-EUR,1738627200000,0.080819,0.08082,0.06977,0.073547,1334898.23294867
COTI-EUR,1738540800000,0.075333,0.082991,0.056,0.080289,7859147.46719776
COTI-EUR,1738454400000,0.093992,0.094751,0.073851,0.077551,2094282.67570383
COTI-EUR,1738368000000,0.097141,0.10015,0.089881,0.09458,1276860.42250658
COTI-EUR,1738281600000,0.092423,0.10531,0.089783,0.097395,3420573.85323763
COTI-EUR,1738195200000,0.085068,0.0935,0.084675,0.092506,779511.65578571
COTI-EUR,1738108800000,0.084958,0.0907,0.082218,0.086941,1513195.18899013
COTI-EUR,1738022400000,0.093487,0.0985,0.08497,0.085223,2137213.61689301
COTI-EUR,1737936000000,0.092,0.093725,0.08398,0.092118,3240640.78676061
COTI-EUR,1737849600000,0.096919,0.099205,0.093317,0.093317,823204.65345269
COTI-EUR,1737763200000,0.0944,0.098216,0.092362,0.097308,1772614.2003201
COTI-EUR,1737676800000,0.096431,0.10028,0.093584,0.093972,560452.39577521
COTI-EUR,1737590400000,0.099198,0.10087,0.094539,0.097201,1668969.48956212
COTI-EUR,1737504000000,0.10265,0.10361,0.09946,0.10003,2570377.25301392
COTI-EUR,1737417600000,0.099037,0.10457,0.094662,0.10154,2276285.69306888
COTI-EUR,1737331200000,0.099299,0.11173,0.096545,0.10048,4296495.55707756
COTI-EUR,1737244800000,0.11473,0.11525,0.098,0.1003,3377987.16198938
COTI-EUR,1737158400000,0.12518,0.12557,0.11191,0.11473,1641784.33523045
COTI-EUR,1737072000000,0.1165,0.12969,0.11605,0.12495,4995096.2270384
COTI-EUR,1736985600000,0.1166,0.11923,0.11204,0.11642,1705043.07714997
COTI-EUR,1736899200000,0.10828,0.117,0.10417,0.11668,1796205.22991848
COTI-EUR,1736812800000,0.10438,0.10869,0.10438,0.1085,1276649.61095893
COTI-EUR,1736726400000,0.1084,0.1084,0.095,0.10379,1461319.10194921
COTI-EUR,1736640000000,0.10869,0.10899,0.10579,0.10695,212822.89536513
