market,time,open,high,low,close,volume
CVC-EUR,1741132800000,0.099846,0.10009,0.097454,0.097454,139008.04179838
CVC-EUR,1741046400000,0.097446,0.10009,0.096795,0.098979,159806.28589731
CVC-EUR,1740960000000,0.10037,0.11308,0.099999,0.10288,308432.28969286
CVC-EUR,1740873600000,0.11095,0.11542,0.1082,0.11413,178232.01985402
CVC-EUR,1740787200000,0.11093,0.11144,0.10689,0.10753,141870.47423548
CVC-EUR,1740700800000,0.11075,0.11075,0.10232,0.10873,168552.15158356
CVC-EUR,1740614400000,0.11014,0.11277,0.10951,0.1113,357134.41343119
CVC-EUR,1740528000000,0.11045,0.11767,0.10582,0.11186,254272.85982033
CVC-EUR,1740441600000,0.10988,0.11038,0.10208,0.10955,351429.99306734
CVC-EUR,1740355200000,0.13296,0.133,0.11233,0.11233,467204.41907395
CVC-EUR,1740268800000,0.11651,0.14341,0.11651,0.12938,3837245.47119175
CVC-EUR,1740182400000,0.11579,0.11825,0.11553,0.1167,5879.18466011
CVC-EUR,1740096000000,0.1183,0.12198,0.11344,0.1156,228528.58365623
CVC-EUR,1740009600000,0.121,0.12239,0.11811,0.11891,64657.01006895
CVC-EUR,1739923200000,0.12083,0.12329,0.11584,0.12031,123377.51587505
CVC-EUR,1739836800000,0.12801,0.14353,0.11864,0.11921,1629110.51685237
CVC-EUR,1739750400000,0.11326,0.144,0.11326,0.12226,2432884.65053021
CVC-EUR,1739664000000,0.11629,0.1316,0.11416,0.11503,481867.3471791
CVC-EUR,1739577600000,0.11575,0.11575,0.11322,0.11322,9251.56513851
CVC-EUR,1739491200000,0.11415,0.11724,0.11318,0.11556,116450.22728414
CVC-EUR,1739404800000,0.11069,0.11379,0.11069,0.11379,58807.30333604
CVC-EUR,1739318400000,0.10941,0.11684,0.10801,0.11557,181145.14819852
CVC-EUR,1739232000000,0.1131,0.12269,0.11097,0.11097,1242868.94120448
CVC-EUR,1739145600000,0.10796,0.11324,0.10783,0.11172,123687.5269803
CVC-EUR,1739059200000,0.11011,0.11245,0.10705,0.10705,59436.54011244
CVC-EUR,1738972800000,0.10518,0.11008,0.10448,0.10959,55184.36338508
CVC-EUR,1738886400000,0.10635,0.11045,0.10268,0.10273,40910.69814472
CVC-EUR,1738800000000,0.11206,0.11217,0.10383,0.10383,613241.5845178
CVC-EUR,1738713600000,0.11333,0.1236,0.11,0.11078,1437496.43514597
CVC-EUR,1738627200000,0.1138,0.11742,0.10643,0.11278,267750.06306792
CVC-EUR,1738540800000,0.11024,0.11423,0.0924,0.11423,654808.23866449
CVC-EUR,1738454400000,0.1269,0.12736,0.10907,0.11,184976.63535756
CVC-EUR,1738368000000,0.13327,0.13526,0.124,0.12488,43841.49925488
CVC-EUR,1738281600000,0.13257,0.13699,0.13142,0.13228,57719.72513354
CVC-EUR,1738195200000,0.12991,0.13431,0.12913,0.13241,58636.26435601
CVC-EUR,1738108800000,0.13156,0.13342,0.13038,0.13311,9040.62824579
CVC-EUR,1738022400000,0.13342,0.13446,0.12852,0.12901,28114.28761956
CVC-EUR,1737936000000,0.13533,0.13533,0.126,0.13399,96898.24761952
CVC-EUR,1737849600000,0.14048,0.14581,0.14011,0.14011,144992.98966629
CVC-EUR,1737763200000,0.13713,0.14309,0.13713,0.13991,141760.59020323
CVC-EUR,1737676800000,0.13847,0.14217,0.13528,0.13528,31818.35939113
CVC-EUR,1737590400000,0.1383,0.14093,0.13514,0.13805,23166.15913354
