market,time,open,high,low,close,volume
CVX-EUR,1741132800000,2.0631,2.1432,2.0405,2.0902,3121.11660977
CVX-EUR,1741046400000,1.8991,2.0844,1.8732,2.0528,7160.58374595
CVX-EUR,1740960000000,2.3493,2.4196,2,2.0228,12428.34574377
CVX-EUR,1740873600000,2.1907,2.4653,2.1743,2.4179,25579.63055211
CVX-EUR,1740787200000,2.1,2.2,2.0398,2.1604,12979.97364737
CVX-EUR,1740700800000,2.1,2.1701,1.964,2.1381,16481.22723666
CVX-EUR,1740614400000,2.2803,2.3608,2.1622,2.1978,9161.78903959
CVX-EUR,1740528000000,2.2496,2.2863,2.1652,2.2562,16132.97519977
CVX-EUR,1740441600000,2.1797,2.3398,2.033,2.3023,39628.29149617
CVX-EUR,1740355200000,2.6902,2.6934,2.1585,2.1896,58344.52015456
CVX-EUR,1740268800000,2.6203,2.785,2.5943,2.6335,9314.47075834
CVX-EUR,1740182400000,2.665,2.8023,2.48,2.5964,76430.17684285
CVX-EUR,1740096000000,2.3433,2.8155,2.3343,2.6491,255720.11095051
CVX-EUR,1740009600000,2.2361,2.3143,2.2203,2.3118,19693.61200876
CVX-EUR,1739923200000,2.1214,2.2643,2.1214,2.2343,21958.82329213
CVX-EUR,1739836800000,2.2136,2.2136,2.0329,2.1075,47845.4529951
CVX-EUR,1739750400000,2.3391,2.3937,2.1984,2.2102,42406.65496809
CVX-EUR,1739664000000,2.2416,2.368,2.2401,2.311,24435.36232658
CVX-EUR,1739577600000,2.2898,2.2947,2.21,2.2124,4926.68743343
CVX-EUR,1739491200000,2.2317,2.3585,2.2317,2.2857,13959.33397174
CVX-EUR,1739404800000,2.3766,2.3766,2.2008,2.2372,33655.91742446
CVX-EUR,1739318400000,2.2033,2.4224,2.15,2.3707,64499.06684848
CVX-EUR,1739232000000,2.1679,2.353,2.1679,2.1936,61836.22928728
CVX-EUR,1739145600000,2.0165,2.177,1.9498,2.1029,48281.33967966
CVX-EUR,1739059200000,2.0186,2.0624,1.8966,1.9251,7837.68857815
CVX-EUR,1738972800000,1.962,2.034,1.9402,2.034,9349.9378105
CVX-EUR,1738886400000,2.09,2.179,1.8992,1.9375,45381.08234008
CVX-EUR,1738800000000,2.165,2.2256,1.9979,2.017,36060.574203
CVX-EUR,1738713600000,2.1871,2.2351,2.1261,2.1448,20242.82920366
CVX-EUR,1738627200000,2.419,2.4315,2.129,2.1689,62543.14906061
CVX-EUR,1738540800000,2.2739,2.4313,1.7,2.4313,66317.78592691
CVX-EUR,1738454400000,2.8077,2.853,2.2235,2.291,48076.17954837
CVX-EUR,1738368000000,3.1751,3.2216,2.7632,2.8258,49381.82687184
CVX-EUR,1738281600000,3.0911,3.2895,3.0428,3.2046,41895.32954526
CVX-EUR,1738195200000,2.78,3.1695,2.78,3.0929,82097.82431507
CVX-EUR,1738108800000,2.863,3.0053,2.7277,2.7846,31829.35218063
CVX-EUR,1738022400000,3.0585,3.0585,2.7478,2.7524,14708.61305809
CVX-EUR,1737936000000,3.1758,3.1758,2.7099,2.98,48268.2657436
CVX-EUR,1737849600000,3.3319,3.4209,3.1801,3.1801,6786.57247327
CVX-EUR,1737763200000,3.221,3.382,3.2,3.3458,3576.46223231
CVX-EUR,1737676800000,3.4894,3.5637,3.2622,3.2816,29424.02359032
CVX-EUR,1737590400000,3.4585,3.5162,3.2963,3.4768,22723.81980745
CVX-EUR,1737504000000,3.6758,3.6758,3.4461,3.4461,6522.47333744
CVX-EUR,1737417600000,3.5542,3.8044,3.3384,3.6842,63717.39747521
CVX-EUR,1737331200000,3.6324,4.0141,3.4786,3.5365,323316.25281596
CVX-EUR,1737244800000,4.2912,4.3117,3.625,3.6841,336294.33734037
CVX-EUR,1737158400000,4.7,4.7519,4.0372,4.3158,229987.49071367
CVX-EUR,1737072000000,4.4001,4.8303,4.3662,4.7242,184178.98484493
CVX-EUR,1736985600000,4.5049,4.7229,4.3357,4.3665,104059.27665834
CVX-EUR,1736899200000,4.1714,4.5169,4.0335,4.5067,36309.16870881
CVX-EUR,1736812800000,4.0185,4.2376,4.0072,4.1833,59583.54008412
CVX-EUR,1736726400000,3.9737,4.144,3.6902,4.0379,111294.59603842
CVX-EUR,1736640000000,4.106,4.1548,3.9252,3.9813,74304.56976114
CVX-EUR,1736553600000,4.0027,4.2114,3.8962,4.1407,78627.7043746
CVX-EUR,1736467200000,3.9897,4.2531,3.8735,4.0385,127312.05703939
CVX-EUR,1736380800000,4.1833,4.5302,3.8701,3.962,323914.33496146
CVX-EUR,1736294400000,4.5176,4.5822,3.8741,4.1871,105972.88348139
CVX-EUR,1736208000000,5.0379,5.1001,4.401,4.4547,314809.61064629
CVX-EUR,1736121600000,5.1818,5.32,4.9,5.0127,32430.88751513
CVX-EUR,1736035200000,5.2943,5.3017,5.0335,5.1639,60360.26970265
CVX-EUR,1735948800000,5.5118,5.5426,5.2265,5.2963,28324.80873921
CVX-EUR,1735862400000,5.2759,5.6292,4.8167,5.4729,313074.19851974
CVX-EUR,1735776000000,4.7407,5.834,4.6617,5.3041,363563.978006
CVX-EUR,1735689600000,4.3477,4.7243,4.1802,4.7098,219789.74637108
CVX-EUR,1735603200000,4.5001,4.6574,4.3054,4.3167,296848.86477323
CVX-EUR,1735516800000,4.7113,5.0841,4.4338,4.5338,433892.57487953
CVX-EUR,1735430400000,5.141,5.2973,4.6138,4.7398,196916.43635094
CVX-EUR,1735344000000,4.357,5.234,4.31,5.1313,369248.99937947
CVX-EUR,1735257600000,4.4183,4.6629,4.2992,4.3609,36703.72213409
CVX-EUR,1735171200000,4.8418,4.8418,4.1954,4.3587,38729.927267
CVX-EUR,1735084800000,4.7225,5.1561,4.7223,4.8354,57990.94268023
CVX-EUR,1734998400000,4.8363,4.9411,4.4853,4.7361,112611.90231744
CVX-EUR,1734912000000,3.8002,4.966,3.7216,4.8288,229866.44305942
CVX-EUR,1734825600000,3.7308,3.8522,3.6097,3.8188,76839.24013461
CVX-EUR,1734739200000,4.0968,4.4244,3.7277,3.7657,35665.52042651
CVX-EUR,1734652800000,4.2577,4.3888,3.4244,4.1012,126989.21298215
CVX-EUR,1734566400000,4.8206,5.0375,4.1714,4.2827,46994.54317759
CVX-EUR,1734480000000,5.4101,5.4828,4.8209,4.8209,44195.63841457
CVX-EUR,1734393600000,5.7965,5.8892,5.4262,5.4553,24696.67272574
CVX-EUR,1734307200000,5.7409,6.3572,5.4504,5.8492,41649.49250287
CVX-EUR,1734220800000,5.6619,5.8967,5.4207,5.7982,33050.43670689
CVX-EUR,1734134400000,6.0176,6.6254,5.6255,5.6825,84212.91543512
CVX-EUR,1734048000000,6.1521,6.5477,5.9628,6.0108,71545.70313391
CVX-EUR,1733961600000,6.0745,6.2405,5.7381,6.0599,95540.1104684
CVX-EUR,1733875200000,5.7426,6.3009,5.4509,6.0073,49784.1689692
CVX-EUR,1733788800000,5.3929,6.4556,5.2681,5.7666,163982.68609597
CVX-EUR,1733702400000,6.4402,6.4568,4.1672,5.4832,95018.68590697
CVX-EUR,1733616000000,6.3482,6.6861,6.232,6.4802,32647.33517363
CVX-EUR,1733529600000,7.0697,7.45,6.3317,6.3486,69478.35592511
CVX-EUR,1733443200000,6.142,7.3147,6.0201,7.0988,148435.92084631
CVX-EUR,1733356800000,6.9016,6.9016,5.922,6.1816,191150.49894491
CVX-EUR,1733270400000,5.1445,7.7721,5.1199,6.9312,603200.73830378
CVX-EUR,1733184000000,4.6379,5.9965,4.5181,5.1571,297932.80598428
CVX-EUR,1733097600000,4.8605,5.2362,4.1699,4.6604,567254.5680612
CVX-EUR,1733011200000,3.529,5.324,3.4979,4.874,1336505.83189822
