market,time,open,high,low,close,volume
D-EUR,1741132800000,0.061057,0.07191,0.059266,0.059266,1838293.15444907
D-EUR,1741046400000,0.061,0.063664,0.0576,0.060009,141993.21531152
D-EUR,1740960000000,0.0748,0.077355,0.062988,0.064249,724417.19819203
D-EUR,1740873600000,0.07381,0.077062,0.072038,0.075523,556165.18425336
D-EUR,1740787200000,0.072759,0.075784,0.072093,0.074238,184676.03006386
D-EUR,1740700800000,0.075382,0.076445,0.071,0.075221,295457.43712591
D-EUR,1740614400000,0.074963,0.077702,0.073985,0.075016,723416.12038162
D-EUR,1740528000000,0.077464,0.079057,0.071239,0.075884,524477.92392158
D-EUR,1740441600000,0.0723,0.080695,0.070394,0.077588,2380822.97497663
D-EUR,1740355200000,0.078777,0.078777,0.0723,0.072661,788755.74491811
D-EUR,1740268800000,0.082566,0.086777,0.078291,0.078291,961342.25223931
D-EUR,1740182400000,0.080955,0.098,0.077624,0.082548,9524084.87941857
D-EUR,1740096000000,0.079344,0.081567,0.073492,0.078244,957987.45219199
D-EUR,1740009600000,0.075691,0.07868,0.075607,0.07868,386619.40016067
D-EUR,1739923200000,0.075017,0.077194,0.075017,0.076027,55706.96617073
D-EUR,1739836800000,0.07515,0.077243,0.07195,0.074308,622645.21871086
D-EUR,1739750400000,0.080584,0.081888,0.076669,0.078307,232038.89249911
D-EUR,1739664000000,0.078724,0.082699,0.077753,0.07985,768652.21315326
D-EUR,1739577600000,0.080129,0.082298,0.077625,0.078942,636298.75075702
D-EUR,1739491200000,0.084442,0.086229,0.07858,0.079078,1728172.23564851
D-EUR,1739404800000,0.093383,0.093729,0.083832,0.08474,1227163.88362103
D-EUR,1739318400000,0.0938,0.095392,0.080719,0.09239,7398723.20784026
D-EUR,1739232000000,0.082782,0.092,0.076375,0.092,2137253.12466922
D-EUR,1739145600000,0.079116,0.083536,0.078676,0.080791,656243.12881049
D-EUR,1739059200000,0.081816,0.09007,0.07654,0.079674,1496798.52725622
D-EUR,1738972800000,0.073711,0.1025,0.073432,0.082401,7821566.06476985
D-EUR,1738886400000,0.074312,0.080172,0.070612,0.07282,153798.76403313
D-EUR,1738800000000,0.080553,0.080835,0.072984,0.073021,306076.96662951
D-EUR,1738713600000,0.084809,0.085324,0.079313,0.080115,214655.35391216
D-EUR,1738627200000,0.089944,0.089944,0.080972,0.082535,588529.7708944
D-EUR,1738540800000,0.08807,0.091164,0.072151,0.090387,2156968.79996988
D-EUR,1738454400000,0.096159,0.0974,0.085989,0.087311,588453.80070023
D-EUR,1738368000000,0.10342,0.1059,0.094903,0.096889,1093603.41799971
D-EUR,1738281600000,0.10587,0.10973,0.10362,0.10426,782143.84526399
D-EUR,1738195200000,0.10877,0.12161,0.10511,0.10511,4005366.64344769
D-EUR,1738108800000,0.10142,0.11705,0.096924,0.10932,9265376.98747198
D-EUR,1738022400000,0.12774,0.14524,0.10213,0.10256,20585659.43345727
D-EUR,1737936000000,0.092,0.14301,0.08469,0.12843,20498404.0599621
D-EUR,1737849600000,0.093886,0.10197,0.09166,0.092436,1686116.10025514
D-EUR,1737763200000,0.097462,0.097462,0.090509,0.094073,2054702.73066291
D-EUR,1737676800000,0.10902,0.11135,0.096986,0.096986,2827763.88890014
D-EUR,1737590400000,0.096718,0.11922,0.094948,0.10856,9089840.87573195
D-EUR,1737504000000,0.09938,0.107,0.097207,0.097383,1141273.03788
D-EUR,1737417600000,0.10007,0.10409,0.094986,0.09945,979869.780234
D-EUR,1737331200000,0.10075,0.10814,0.096114,0.10133,997644.73041133
D-EUR,1737244800000,0.11888,0.12008,0.1,0.10228,1005013.13397544
D-EUR,1737158400000,0.1324,0.1324,0.117,0.11916,863809.60421294
D-EUR,1737072000000,0.12979,0.13537,0.12892,0.13236,544682.67768871
D-EUR,1736985600000,0.13342,0.13841,0.12863,0.12959,632342.96523033
D-EUR,1736899200000,0.13352,0.13862,0.1265,0.13573,428236.11061292
D-EUR,1736812800000,0.1322,0.14322,0.12909,0.13442,1162978.74382238
D-EUR,1736726400000,0.14522,0.14732,0.12362,0.12963,1551619.12000127
D-EUR,1736640000000,0.1546,0.15697,0.14315,0.14377,1265007.08383243
D-EUR,1736553600000,0.166,0.16716,0.15271,0.15553,2420777.6750009
D-EUR,1736467200000,0.16869,0.17234,0.15991,0.1678,1098331.67951875
