market,time,open,high,low,close,volume
DATA-EUR,1741132800000,0.018765,0.01894,0.0185,0.01894,193547.44920263
DATA-EUR,1741046400000,0.01855,0.0193,0.0175,0.018588,377405.30051451
DATA-EUR,1740960000000,0.020121,0.022482,0.019297,0.019765,802199.37633348
DATA-EUR,1740873600000,0.022592,0.022808,0.020848,0.022494,1664706.67350506
DATA-EUR,1740787200000,0.020802,0.02189,0.020389,0.021761,1873761.2430076
DATA-EUR,1740700800000,0.020379,0.020948,0.019364,0.020686,3303769.38415768
DATA-EUR,1740614400000,0.018963,0.022302,0.018963,0.020498,7827203.8419239
DATA-EUR,1740528000000,0.019094,0.019923,0.018225,0.019154,1628585.74274633
DATA-EUR,1740441600000,0.020396,0.020546,0.018686,0.019323,978102.9957495
DATA-EUR,1740355200000,0.023165,0.023165,0.02,0.020201,565659.68686871
DATA-EUR,1740268800000,0.023957,0.023965,0.022952,0.023389,287104.60791349
DATA-EUR,1740182400000,0.022814,0.023998,0.022814,0.023676,182818.85198626
DATA-EUR,1740096000000,0.024,0.024797,0.022629,0.022629,184842.3756229
DATA-EUR,1740009600000,0.02371,0.024233,0.023393,0.024233,54114.3788367
DATA-EUR,1739923200000,0.023682,0.024058,0.023243,0.02344,175211.72170767
DATA-EUR,1739836800000,0.024,0.024,0.022928,0.0234,47041.39670051
DATA-EUR,1739750400000,0.025311,0.025399,0.024228,0.024228,117267.99947032
DATA-EUR,1739664000000,0.0253,0.026074,0.025245,0.025367,171658.18977085
DATA-EUR,1739577600000,0.02593,0.026115,0.025347,0.025347,9999.42694812
DATA-EUR,1739491200000,0.024934,0.026451,0.024918,0.02604,2016277.03561215
DATA-EUR,1739404800000,0.025858,0.026,0.024595,0.02484,479878.09269479
DATA-EUR,1739318400000,0.0249,0.025965,0.024,0.025619,654766.46135192
DATA-EUR,1739232000000,0.024615,0.025134,0.024,0.024537,1174509.60420187
DATA-EUR,1739145600000,0.023635,0.024615,0.023564,0.024224,1991241.89677486
DATA-EUR,1739059200000,0.024179,0.024258,0.022867,0.023328,646502.03976838
DATA-EUR,1738972800000,0.0228,0.024801,0.022485,0.02391,4313487.97815083
DATA-EUR,1738886400000,0.021721,0.02345,0.021626,0.022934,1670934.64089755
DATA-EUR,1738800000000,0.022824,0.02345,0.021296,0.021296,1301797.74953078
DATA-EUR,1738713600000,0.024843,0.028292,0.022489,0.022685,8102880.92195205
DATA-EUR,1738627200000,0.023884,0.026696,0.021848,0.025298,11028877.93962859
DATA-EUR,1738540800000,0.024816,0.024816,0.019949,0.02403,1845799.37658679
DATA-EUR,1738454400000,0.0287,0.0287,0.0249,0.025515,585270.66550052
DATA-EUR,1738368000000,0.031005,0.031609,0.028701,0.028701,1019115.19497317
