market,time,open,high,low,close,volume
DCR-EUR,1741132800000,10.81,11.249,10.81,10.888,1148.37978649
DCR-EUR,1741046400000,10.605,10.968,10.306,10.747,1936.93917015
DCR-EUR,1740960000000,12.245,12.427,10.86,11.04,7376.16215338
DCR-EUR,1740873600000,11.686,12.556,11.551,12.391,3807.97011729
DCR-EUR,1740787200000,11.468,11.735,11.374,11.508,49.42076865
DCR-EUR,1740700800000,11.908,11.908,10.7,11.674,3232.52915155
DCR-EUR,1740614400000,11.895,12.024,11.65,11.907,1473.37290044
DCR-EUR,1740528000000,11.915,12.21,11.574,12.138,561.31310763
DCR-EUR,1740441600000,11.828,12.042,11.24,12.03,4186.41625645
DCR-EUR,1740355200000,12.8,12.859,11.964,12.018,1541.03682962
DCR-EUR,1740268800000,13.325,13.603,12.711,12.711,3422.64096661
DCR-EUR,1740182400000,12.733,13.334,12.549,13.298,389.37695738
DCR-EUR,1740096000000,13.101,13.696,12.57,12.59,2034.42021484
DCR-EUR,1740009600000,13.027,13.163,12.645,12.982,1443.93041398
DCR-EUR,1739923200000,12.609,12.922,12.562,12.719,566.60015368
DCR-EUR,1739836800000,12.875,12.925,12.452,12.609,445.68099771
DCR-EUR,1739750400000,13.157,13.468,12.795,13.008,261.97425178
DCR-EUR,1739664000000,13.146,13.596,12.912,13.077,218.91111326
DCR-EUR,1739577600000,13.33,13.33,12.918,13.086,54.78321707
DCR-EUR,1739491200000,13.138,13.607,12.894,13.066,4346.91191345
DCR-EUR,1739404800000,12.978,13.315,12.824,12.968,2022.15466951
DCR-EUR,1739318400000,12.228,13.254,11.981,13.001,3527.38818045
DCR-EUR,1739232000000,12.314,12.679,11.987,12.096,5145.6003038
DCR-EUR,1739145600000,12.2,13,11.894,12.023,11132.1693038
DCR-EUR,1739059200000,11.604,12.2,11.524,12.119,3789.89665816
DCR-EUR,1738972800000,10.908,11.708,10.89,11.575,6103.01013132
DCR-EUR,1738886400000,10.755,11.071,10.498,10.498,414.82133228
DCR-EUR,1738800000000,10.963,11.248,10.451,10.52,1535.1818945
DCR-EUR,1738713600000,10.537,11.01,10.484,10.808,738.06339835
DCR-EUR,1738627200000,10.822,10.822,10.101,10.352,2917.55591348
DCR-EUR,1738540800000,10.426,10.816,8.8,10.723,5537.1883454
DCR-EUR,1738454400000,11.716,11.716,10,10.301,3664.85843729
DCR-EUR,1738368000000,12.289,12.37,11.464,11.62,824.02947019
DCR-EUR,1738281600000,12.073,12.636,12.073,12.22,1092.8152938
DCR-EUR,1738195200000,11.624,12.213,11.544,11.948,679.68483687
DCR-EUR,1738108800000,11.132,11.712,11.132,11.401,202.13856474
DCR-EUR,1738022400000,11.72,11.928,11.057,11.198,1417.17445173
DCR-EUR,1737936000000,11.687,11.748,10.799,11.748,1600.32873657
DCR-EUR,1737849600000,11.882,12.389,11.597,11.597,2476.04442168
DCR-EUR,1737763200000,11.815,12.119,11.676,11.963,550.21126759
DCR-EUR,1737676800000,12.091,12.503,11.831,11.874,1186.2249579
DCR-EUR,1737590400000,12.4,12.518,11.995,12.432,393.08335073
DCR-EUR,1737504000000,12.559,12.957,12.469,12.488,6806.30286877
DCR-EUR,1737417600000,12.174,12.969,11.852,12.616,2364.94530696
DCR-EUR,1737331200000,12.385,13.145,12.027,12.306,2206.05367888
DCR-EUR,1737244800000,14.11,14.143,12.358,12.543,3466.76408199
DCR-EUR,1737158400000,14.953,15.075,13.9,14.17,1153.46186538
DCR-EUR,1737072000000,14.145,15.046,14.145,14.884,1799.52986621
DCR-EUR,1736985600000,14.01,14.426,13.863,14.248,1422.74749146
DCR-EUR,1736899200000,13.445,14.266,13.013,14.266,2551.70737762
DCR-EUR,1736812800000,12.97,13.399,12.97,13.252,1191.64386103
DCR-EUR,1736726400000,14.1,14.1,12.127,12.862,3792.22831629
DCR-EUR,1736640000000,13.49,14.032,13.308,13.855,1100.8305281
DCR-EUR,1736553600000,13.893,13.995,13.404,13.404,471.54196816
DCR-EUR,1736467200000,13.69,14.065,13.565,13.979,1592.16850251
DCR-EUR,1736380800000,13.863,14.066,13.348,13.603,3535.39685049
DCR-EUR,1736294400000,14.338,14.542,13.38,13.771,1643.81703088
