market,time,open,high,low,close,volume
DEEP-EUR,1741132800000,0.11843,0.12359,0.11237,0.11592,781537.55407175
DEEP-EUR,1741046400000,0.12147,0.13007,0.1083,0.11839,2697135.53057479
DEEP-EUR,1740960000000,0.14405,0.16301,0.12783,0.1291,1273958.56305505
DEEP-EUR,1740873600000,0.13385,0.16769,0.13009,0.16184,2315938.3255798
DEEP-EUR,1740787200000,0.13521,0.13897,0.12694,0.13428,495000.33636972
DEEP-EUR,1740700800000,0.12873,0.13221,0.11574,0.12958,889701.28291327
DEEP-EUR,1740614400000,0.13204,0.1384,0.12645,0.12839,1107552.84322205
DEEP-EUR,1740528000000,0.13885,0.14657,0.12484,0.13298,1427827.43937258
DEEP-EUR,1740441600000,0.13263,0.144,0.12412,0.1398,1901585.60860327
DEEP-EUR,1740355200000,0.15776,0.16106,0.13247,0.13307,2081661.70121956
DEEP-EUR,1740268800000,0.16332,0.16402,0.15111,0.15797,777613.11500897
DEEP-EUR,1740182400000,0.15525,0.16812,0.151,0.16244,1308727.33458202
DEEP-EUR,1740096000000,0.17063,0.17895,0.14367,0.15667,3715742.87108063
DEEP-EUR,1740009600000,0.14732,0.17279,0.14732,0.16969,5296511.50588108
DEEP-EUR,1739923200000,0.12361,0.15059,0.12226,0.14857,3900273.29052512
DEEP-EUR,1739836800000,0.13193,0.13249,0.11404,0.12342,2092224.8811273
DEEP-EUR,1739750400000,0.12871,0.13628,0.12161,0.13077,1960149.43512184
DEEP-EUR,1739664000000,0.14752,0.15032,0.12254,0.12856,2948995.75204309
DEEP-EUR,1739577600000,0.16067,0.16318,0.14452,0.14777,973576.62470888
DEEP-EUR,1739491200000,0.15774,0.17042,0.15223,0.16134,1887510.37477862
DEEP-EUR,1739404800000,0.18923,0.19461,0.15648,0.15737,1742280.98287243
DEEP-EUR,1739318400000,0.18056,0.19746,0.15913,0.19083,1449683.7534358
DEEP-EUR,1739232000000,0.18059,0.20235,0.16847,0.17839,1839635.70999021
DEEP-EUR,1739145600000,0.1699,0.18843,0.16049,0.1792,1926012.23046801
DEEP-EUR,1739059200000,0.16857,0.17838,0.15626,0.16562,1415713.88349818
DEEP-EUR,1738972800000,0.16443,0.175,0.15697,0.17069,2074830.51244271
DEEP-EUR,1738886400000,0.17253,0.19705,0.15945,0.16617,3113714.4886209
DEEP-EUR,1738800000000,0.19838,0.20962,0.16819,0.17052,1695299.32635468
DEEP-EUR,1738713600000,0.2172,0.22376,0.19407,0.19665,1202583.55847416
DEEP-EUR,1738627200000,0.23149,0.2407,0.19912,0.21861,2517136.28439564
DEEP-EUR,1738540800000,0.2004,0.24589,0.13797,0.23218,5140333.13670026
DEEP-EUR,1738454400000,0.22321,0.2392,0.19,0.20096,1781891.17251072
DEEP-EUR,1738368000000,0.26306,0.26429,0.22306,0.22369,1624396.63268933
DEEP-EUR,1738281600000,0.27148,0.28109,0.25775,0.26471,1726850.01614728
DEEP-EUR,1738195200000,0.23987,0.28341,0.23656,0.26964,4533511.01758187
DEEP-EUR,1738108800000,0.2185,0.26315,0.21477,0.2387,4376552.61455051
DEEP-EUR,1738022400000,0.24217,0.267,0.21569,0.21746,8163160.63755308
DEEP-EUR,1737936000000,0.20541,0.249,0.16213,0.24611,12044553.94014802
DEEP-EUR,1737849600000,0.24692,0.2549,0.20506,0.20615,2571113.4790596
DEEP-EUR,1737763200000,0.25517,0.26157,0.24301,0.2491,1335735.43340924
DEEP-EUR,1737676800000,0.28513,0.28514,0.25228,0.25776,1285079.8986389
DEEP-EUR,1737590400000,0.28581,0.29981,0.27169,0.28376,1592956.26858588
DEEP-EUR,1737504000000,0.28981,0.30888,0.28,0.28487,2475136.10651058
DEEP-EUR,1737417600000,0.26596,0.32245,0.25654,0.29049,5138017.44659317
DEEP-EUR,1737331200000,0.26476,0.32629,0.24452,0.2679,4718427.33080676
DEEP-EUR,1737244800000,0.29068,0.3371,0.22646,0.26755,10084218.74067051
DEEP-EUR,1737158400000,0.25427,0.33853,0.23657,0.29242,13055751.93469847
DEEP-EUR,1737072000000,0.19016,0.295,0.1839,0.25432,12634828.9743489
DEEP-EUR,1736985600000,0.16858,0.19992,0.16222,0.18999,4102308.03896142
DEEP-EUR,1736899200000,0.1462,0.17447,0.1363,0.17138,1142261.30459936
DEEP-EUR,1736812800000,0.13769,0.15012,0.13501,0.14549,1512932.25760899
DEEP-EUR,1736726400000,0.13831,0.1421,0.12166,0.13917,2073784.65767562
DEEP-EUR,1736640000000,0.14401,0.14451,0.13649,0.13823,1226811.23220244
DEEP-EUR,1736553600000,0.15069,0.15122,0.14093,0.14456,1241909.47462812
DEEP-EUR,1736467200000,0.13923,0.15926,0.135,0.15083,1819787.93070606
DEEP-EUR,1736380800000,0.16496,0.16712,0.13659,0.13973,1429682.14963175
DEEP-EUR,1736294400000,0.15322,0.18287,0.14553,0.16705,3881731.37129209
DEEP-EUR,1736208000000,0.16246,0.16451,0.14927,0.15371,1482419.92224038
DEEP-EUR,1736121600000,0.1735,0.18249,0.15629,0.16276,2951723.65684948
