market,time,open,high,low,close,volume
DENT-EUR,1741132800000,0.00076493,0.00077625,0.0007257,0.00073425,31043316.56816132
DENT-EUR,1741046400000,0.000751,0.0007865,0.00071485,0.00076353,39673030.06190592
DENT-EUR,1740960000000,0.0008704,0.00089977,0.00077976,0.00079726,70834165.00798379
DENT-EUR,1740873600000,0.00081697,0.00091703,0.00081663,0.00090227,36545621.62045427
DENT-EUR,1740787200000,0.00081073,0.00083718,0.00080277,0.00082138,11364559.19669322
DENT-EUR,1740700800000,0.00081925,0.00081925,0.00075118,0.00080073,35468580.61370185
DENT-EUR,1740614400000,0.00080384,0.00083601,0.0007935,0.00081719,6370299.56676411
DENT-EUR,1740528000000,0.00083633,0.000851,0.00079183,0.00080621,28954639.29193583
DENT-EUR,1740441600000,0.00077,0.00084729,0.00075044,0.00083441,28797793.25904466
DENT-EUR,1740355200000,0.00090113,0.00090194,0.00078646,0.00079034,29735995.52945677
DENT-EUR,1740268800000,0.00093353,0.00093353,0.00088901,0.00089869,18659360.94685761
DENT-EUR,1740182400000,0.00088206,0.00092628,0.00088206,0.00092611,4116234.62838358
DENT-EUR,1740096000000,0.00090199,0.00094631,0.00086502,0.00087513,25064332.25524082
DENT-EUR,1740009600000,0.000884,0.0009038,0.00087536,0.0009038,11192607.8285516
DENT-EUR,1739923200000,0.00085874,0.00088711,0.00085741,0.00087249,13084652.46106789
DENT-EUR,1739836800000,0.00089926,0.00090989,0.00083,0.00085861,6027751.62360498
DENT-EUR,1739750400000,0.00091288,0.00094032,0.00088948,0.0009023,8387942.96085637
DENT-EUR,1739664000000,0.00090233,0.00092907,0.00089592,0.00091755,13764624.97452177
DENT-EUR,1739577600000,0.00093979,0.0009455,0.00088797,0.00089277,26090067.19263436
DENT-EUR,1739491200000,0.00094102,0.0009673,0.00092481,0.000947,16383613.15420717
DENT-EUR,1739404800000,0.00095837,0.00095837,0.00090638,0.00093339,19839455.69786388
DENT-EUR,1739318400000,0.00086583,0.000955,0.0008595,0.00095264,63209214.47377804
DENT-EUR,1739232000000,0.00087514,0.00092965,0.00085472,0.00086386,16371841.40844696
DENT-EUR,1739145600000,0.000857,0.00087971,0.00083164,0.00087138,17369481.92276861
DENT-EUR,1739059200000,0.00087943,0.00087943,0.00080555,0.00082663,9921431.79539964
DENT-EUR,1738972800000,0.00080255,0.00088,0.00079436,0.00087726,42124396.37653137
DENT-EUR,1738886400000,0.00076537,0.00084687,0.0007652,0.00079871,78691006.95638481
DENT-EUR,1738800000000,0.0008195,0.00083549,0.00075372,0.00075964,61224922.75473806
DENT-EUR,1738713600000,0.00082839,0.00084461,0.0008,0.00080558,49380811.06849965
DENT-EUR,1738627200000,0.0009189,0.0009189,0.0008,0.00083306,46343442.06237593
DENT-EUR,1738540800000,0.00087652,0.0009279,0.00068464,0.00090616,146921352.6509949
DENT-EUR,1738454400000,0.0010103,0.001028,0.00087264,0.0008917,59760785.25599923
DENT-EUR,1738368000000,0.001115,0.0011346,0.0010078,0.001011,6733241.81114832
DENT-EUR,1738281600000,0.0010935,0.0011558,0.0010782,0.0010979,20615386.7600534
DENT-EUR,1738195200000,0.0010105,0.0011148,0.0010105,0.0011001,42563074.52901236
DENT-EUR,1738108800000,0.0010079,0.0010575,0.00099,0.0010294,21522866.18867217
DENT-EUR,1738022400000,0.0010738,0.0010787,0.0009888,0.00099388,34517659.73477666
DENT-EUR,1737936000000,0.0011191,0.0011191,0.00097199,0.0010546,22357643.53684403
DENT-EUR,1737849600000,0.0011353,0.0011789,0.0011215,0.0011252,31690590.11728252
DENT-EUR,1737763200000,0.0011293,0.00116,0.001122,0.001134,8498860.58310895
DENT-EUR,1737676800000,0.001192,0.0012099,0.0011303,0.001136,16711229.68496461
DENT-EUR,1737590400000,0.0012139,0.0012146,0.0011478,0.0012012,15516345.96031584
DENT-EUR,1737504000000,0.0012892,0.0012975,0.0012083,0.0012187,37771889.29188667
DENT-EUR,1737417600000,0.0012043,0.0012862,0.0011399,0.0012669,45825596.47362763
DENT-EUR,1737331200000,0.0011793,0.0013126,0.0011487,0.0012074,54477379.12882551
DENT-EUR,1737244800000,0.0012743,0.0013495,0.0011834,0.0011945,115271469.75916816
DENT-EUR,1737158400000,0.0014183,0.0014243,0.001246,0.0012772,33617030.45532468
DENT-EUR,1737072000000,0.0013182,0.0014266,0.0013182,0.001415,75777886.03590575
DENT-EUR,1736985600000,0.0012992,0.0013425,0.0012521,0.0013099,42904897.15769836
DENT-EUR,1736899200000,0.0012071,0.0012994,0.0011755,0.0012967,32847680.4343794
DENT-EUR,1736812800000,0.0011767,0.0012143,0.0011732,0.0012093,10525113.76022966
DENT-EUR,1736726400000,0.0012259,0.0012259,0.0010759,0.0011534,43840619.56979276
DENT-EUR,1736640000000,0.00126,0.0012744,0.0012112,0.0012294,17664299.74640632
DENT-EUR,1736553600000,0.0012828,0.001292,0.0012339,0.0012675,25390669.19206185
DENT-EUR,1736467200000,0.00123,0.0013029,0.0011946,0.0012728,73734534.80661035
DENT-EUR,1736380800000,0.0012711,0.0012872,0.001178,0.001239,26009499.93356903
DENT-EUR,1736294400000,0.0013078,0.0013145,0.0012,0.0012764,42731386.8460324
DENT-EUR,1736208000000,0.0015133,0.0015249,0.0012874,0.0012874,55423083.25724654
DENT-EUR,1736121600000,0.0014829,0.0015475,0.0014473,0.00152,38070656.85535412
DENT-EUR,1736035200000,0.0014892,0.0015134,0.0014396,0.0014918,53278322.05226334
DENT-EUR,1735948800000,0.0014832,0.0015508,0.0014569,0.0014928,43114238.45041945
DENT-EUR,1735862400000,0.0014901,0.0014986,0.0014259,0.0014707,64118923.49849471
DENT-EUR,1735776000000,0.0013166,0.0015481,0.0013122,0.0014844,170405369.36631462
DENT-EUR,1735689600000,0.0012824,0.0013713,0.00127,0.0013139,122148729.11569735
DENT-EUR,1735603200000,0.0011861,0.0012915,0.0011505,0.0012838,67059167.66800895
DENT-EUR,1735516800000,0.0011737,0.0012361,0.0011462,0.0011779,24823877.41342438
DENT-EUR,1735430400000,0.0012309,0.0012399,0.0011602,0.0011657,6846804.84537931
DENT-EUR,1735344000000,0.0011641,0.00128,0.0011528,0.0012415,43410342.19761124
DENT-EUR,1735257600000,0.00116,0.0012228,0.0011382,0.001152,18589894.02927361
DENT-EUR,1735171200000,0.0012634,0.0012634,0.001144,0.001161,16264217.13416972
DENT-EUR,1735084800000,0.0012807,0.0013074,0.0012403,0.0012581,11268663.94821216
DENT-EUR,1734998400000,0.0011972,0.001292,0.0011802,0.0012804,21619093.87955081
DENT-EUR,1734912000000,0.0010878,0.001209,0.0010678,0.0011979,17731685.87754001
DENT-EUR,1734825600000,0.0010838,0.0011281,0.0010538,0.0010882,21251697.24894843
DENT-EUR,1734739200000,0.0011447,0.0012347,0.0010769,0.0010853,25602697.19358371
DENT-EUR,1734652800000,0.0010998,0.0011548,0.00094919,0.0011433,130626609.5490256
DENT-EUR,1734566400000,0.0012428,0.0012864,0.0010757,0.0011146,49552465.53245521
DENT-EUR,1734480000000,0.0013692,0.0013692,0.001242,0.0012622,51293790.26314415
DENT-EUR,1734393600000,0.0014845,0.0014923,0.0013543,0.0013628,81720278.12361008
DENT-EUR,1734307200000,0.0015628,0.0016076,0.0014718,0.0014975,45800034.0504937
DENT-EUR,1734220800000,0.0014938,0.0015569,0.001427,0.0015461,12904213.71220078
DENT-EUR,1734134400000,0.0016039,0.0016368,0.0014771,0.0014972,68933946.04934883
DENT-EUR,1734048000000,0.0015899,0.0016075,0.0015224,0.0016075,32702724.87254893
DENT-EUR,1733961600000,0.0015073,0.001629,0.0015073,0.0015775,60992383.9082146
DENT-EUR,1733875200000,0.001423,0.0015308,0.0013771,0.0015093,29762215.97459369
DENT-EUR,1733788800000,0.0014352,0.0014958,0.001269,0.0014269,135356802.54871568
DENT-EUR,1733702400000,0.0018547,0.0018547,0.0012894,0.0014602,184043304.46270433
DENT-EUR,1733616000000,0.0018502,0.0018666,0.0017816,0.001859,21496575.85509042
DENT-EUR,1733529600000,0.0019225,0.0019635,0.0018405,0.0018413,24363182.64018048
DENT-EUR,1733443200000,0.0018017,0.0019353,0.0017891,0.001932,125551205.38361372
DENT-EUR,1733356800000,0.0018175,0.0019386,0.0017356,0.001807,160753638.68111116
DENT-EUR,1733270400000,0.0018338,0.001868,0.0017381,0.0017931,131677013.82814072
DENT-EUR,1733184000000,0.0016226,0.0018632,0.0016146,0.001849,442376642.1328988
DENT-EUR,1733097600000,0.0015212,0.0016419,0.0014008,0.0016286,192366335.12343648
DENT-EUR,1733011200000,0.0014759,0.00152,0.0014156,0.0015101,61176306.8774031
DENT-EUR,1732924800000,0.0013617,0.0015152,0.0013474,0.0014707,101518352.47851439
DENT-EUR,1732838400000,0.0013061,0.0013716,0.0012709,0.0013688,49392108.38825074
DENT-EUR,1732752000000,0.0013268,0.0013701,0.0012753,0.0013067,55011115.38497469
DENT-EUR,1732665600000,0.0012173,0.0013583,0.0012058,0.0013443,52509338.912361
DENT-EUR,1732579200000,0.0012466,0.0013126,0.0011631,0.0012221,53271116.90127454
DENT-EUR,1732492800000,0.0013588,0.0014141,0.00122,0.0012407,87994357.21824564
DENT-EUR,1732406400000,0.0012173,0.0013733,0.0011991,0.0013667,153416363.39100808
DENT-EUR,1732320000000,0.0011193,0.0012707,0.0011145,0.0012169,88463726.75643906
DENT-EUR,1732233600000,0.0010701,0.00112,0.0010396,0.00112,65966117.61720939
DENT-EUR,1732147200000,0.0010002,0.0010962,0.0009766,0.0010752,96078972.63652991
DENT-EUR,1732060800000,0.0010228,0.0010619,0.00097025,0.0009884,33410253.03281306
DENT-EUR,1731974400000,0.0011047,0.0011055,0.0010082,0.0010416,91933494.89949924
DENT-EUR,1731888000000,0.00096822,0.0011657,0.00096366,0.0010999,185278165.30116546
DENT-EUR,1731801600000,0.0010395,0.0010432,0.00095807,0.00096761,46058876.52821942
DENT-EUR,1731715200000,0.00093659,0.0011115,0.00093534,0.0010353,108219308.5280071
DENT-EUR,1731628800000,0.00088978,0.00096147,0.00086403,0.00094696,124590006.64025016
DENT-EUR,1731542400000,0.00092277,0.00095394,0.00087852,0.00088625,138063324.3426184
DENT-EUR,1731456000000,0.00094109,0.00098761,0.00086149,0.00091475,94611461.04353926
DENT-EUR,1731369600000,0.0010287,0.0010363,0.00087031,0.00093751,277051528.0116121
DENT-EUR,1731283200000,0.00095407,0.0010357,0.00091881,0.0010277,200127516.25878212
DENT-EUR,1731196800000,0.00090034,0.00097239,0.0008797,0.00093424,58915154.39658698
DENT-EUR,1731110400000,0.00084216,0.00089879,0.00083789,0.00089514,132992220.84515566
DENT-EUR,1731024000000,0.00083013,0.00084418,0.00081104,0.00084418,27219118.46062523
DENT-EUR,1730937600000,0.0008186,0.00084595,0.00080632,0.00082114,22571230.31573857
DENT-EUR,1730851200000,0.00075035,0.00082414,0.00075035,0.00081652,34767709.77670813
DENT-EUR,1730764800000,0.00070549,0.00074804,0.00069898,0.0007421,27037921.59066362
DENT-EUR,1730678400000,0.00072536,0.00072653,0.0006883,0.000696,20800312.71007217
DENT-EUR,1730592000000,0.00075497,0.00075497,0.0007,0.00071729,29317682.7187629
DENT-EUR,1730505600000,0.00076952,0.00077935,0.00075265,0.00075662,8333964.21163329
DENT-EUR,1730419200000,0.00077222,0.00080261,0.00075712,0.00076646,24209696.95486059
DENT-EUR,1730332800000,0.00080836,0.00080836,0.00077,0.00077437,6766009.46443608
DENT-EUR,1730246400000,0.00082241,0.00082845,0.00080892,0.00081397,10901119.51370429
DENT-EUR,1730160000000,0.00079775,0.0008346,0.00079775,0.00082438,71131882.3587483
DENT-EUR,1730073600000,0.00077868,0.0008,0.00075929,0.00079458,52282940.69961333
DENT-EUR,1729987200000,0.00076672,0.00078595,0.00076047,0.00077793,11880036.18928766
DENT-EUR,1729900800000,0.00074218,0.00076829,0.00073634,0.00076045,13953820.09721877
DENT-EUR,1729814400000,0.00083315,0.00083315,0.00071585,0.00073899,46806952.50126059
DENT-EUR,1729728000000,0.0008172,0.00083969,0.00080135,0.00083551,19260319.92077945
DENT-EUR,1729641600000,0.00084484,0.00084484,0.00078965,0.00081223,25513713.88635823
DENT-EUR,1729555200000,0.00084893,0.00085363,0.00082953,0.00084697,24069321.94759938
DENT-EUR,1729468800000,0.0008873,0.00088968,0.00083679,0.00085638,16893928.77977008
DENT-EUR,1729382400000,0.00081577,0.0009187,0.00081577,0.00088466,23296601.16387101
DENT-EUR,1729296000000,0.00082959,0.00083381,0.00081226,0.00082702,2389269.92970877
DENT-EUR,1729209600000,0.00081732,0.00082466,0.000802,0.00082466,5100863.86947836
DENT-EUR,1729123200000,0.00082094,0.00082094,0.00078098,0.00079131,8280991.07278321
DENT-EUR,1729036800000,0.0008278,0.00084096,0.00080687,0.00082381,2541154.63876859
DENT-EUR,1728950400000,0.00085,0.00086246,0.00081134,0.00082498,8104718.8768988
DENT-EUR,1728864000000,0.00079879,0.00083846,0.00079879,0.00083846,11779215.85124512
DENT-EUR,1728777600000,0.0007983,0.00079879,0.00076977,0.00079728,7114595.1097891
DENT-EUR,1728691200000,0.00078949,0.00080964,0.00078949,0.00079835,13558198.97520501
DENT-EUR,1728604800000,0.00076233,0.00079314,0.00076011,0.00079151,5978818.58151009
DENT-EUR,1728518400000,0.00074382,0.00076249,0.00073285,0.00075181,2084392.45782611
DENT-EUR,1728432000000,0.00076996,0.00078267,0.00073836,0.00074662,7575871.4926573
DENT-EUR,1728345600000,0.00078221,0.00078471,0.00074973,0.00076785,7639103.42178248
DENT-EUR,1728259200000,0.000775,0.00080388,0.000775,0.00078388,19700545.94861535
DENT-EUR,1728172800000,0.00075704,0.00078459,0.00074976,0.00077435,9497227.83360506
DENT-EUR,1728086400000,0.00074956,0.00077261,0.00073466,0.00074714,9306695.66173757
DENT-EUR,1728000000000,0.00072162,0.00076004,0.00072162,0.00074861,7395400.68229621
DENT-EUR,1727913600000,0.00072812,0.0007429,0.00071,0.0007181,46376006.85725664
DENT-EUR,1727827200000,0.00074683,0.00077645,0.00071689,0.00072172,31775622.0786289
DENT-EUR,1727740800000,0.00081547,0.00084943,0.00073483,0.00075153,20488424.24443093
DENT-EUR,1727654400000,0.00087895,0.00088937,0.00080548,0.00080875,46753745.13837063
DENT-EUR,1727568000000,0.00084982,0.0009175,0.00082946,0.0008881,64243449.75402398
DENT-EUR,1727481600000,0.00088407,0.00089484,0.00084,0.00084389,87299354.52496532
DENT-EUR,1727395200000,0.00086307,0.00089677,0.00085164,0.00088228,17309822.06730708
DENT-EUR,1727308800000,0.0008111,0.00086826,0.0008111,0.00086158,25741669.11583536
DENT-EUR,1727222400000,0.00085264,0.00086251,0.0008201,0.0008201,16994813.24520873
DENT-EUR,1727136000000,0.00083826,0.00087964,0.0008201,0.00085364,56365964.24740006
DENT-EUR,1727049600000,0.00078173,0.000852,0.00078173,0.0008301,36268912.39445289
DENT-EUR,1726963200000,0.00080718,0.00081194,0.00076878,0.00078646,28576749.52607606
DENT-EUR,1726876800000,0.00078246,0.00081085,0.00077757,0.00079335,22596402.91876854
DENT-EUR,1726790400000,0.00075859,0.00079739,0.00075859,0.00078731,86629931.24763386
DENT-EUR,1726704000000,0.00074314,0.00077554,0.00074314,0.00076298,35109465.42725374
DENT-EUR,1726617600000,0.00071166,0.000738,0.00068572,0.000738,17778248.64433115
DENT-EUR,1726531200000,0.00067782,0.00070451,0.00067782,0.00070255,3082656.4372633
DENT-EUR,1726444800000,0.00068463,0.00069757,0.0006705,0.0006705,4861387.39150435
DENT-EUR,1726358400000,0.00073118,0.00073523,0.00069567,0.00070044,15638928.64516799
DENT-EUR,1726272000000,0.00074054,0.00074054,0.0007216,0.00072717,12032478.29555716
DENT-EUR,1726185600000,0.00070467,0.0007453,0.00070241,0.00074158,24210132.30807021
DENT-EUR,1726099200000,0.00070586,0.00071101,0.00069632,0.00070982,5245587.12298444
DENT-EUR,1726012800000,0.000699,0.00070138,0.00067,0.00069205,12496987.32296774
DENT-EUR,1725926400000,0.00069616,0.00072633,0.00069211,0.00071489,35723341.70237439
DENT-EUR,1725840000000,0.0006623,0.00070637,0.00066046,0.00069998,16909450.92293644
DENT-EUR,1725753600000,0.00064866,0.00066455,0.00064397,0.00066088,22768260.14355428
