market,time,open,high,low,close,volume
DGB-EUR,1741132800000,0.0079053,0.008,0.0075695,0.0077138,11068806.95287939
DGB-EUR,1741046400000,0.0077155,0.0079031,0.0072237,0.0077205,20602879.24060938
DGB-EUR,1740960000000,0.0084535,0.0089058,0.0074699,0.0077199,43198945.5531373
DGB-EUR,1740873600000,0.0072203,0.0103,0.007148,0.0088475,86228104.13261977
DGB-EUR,1740787200000,0.0073589,0.0074991,0.0070326,0.0071619,2822047.08259654
DGB-EUR,1740700800000,0.0074844,0.0075448,0.0067691,0.0074595,11250786.90261298
DGB-EUR,1740614400000,0.0073866,0.0077167,0.0073263,0.0075037,5023364.63067396
DGB-EUR,1740528000000,0.0072748,0.007666,0.0071502,0.0074478,18458080.22081411
DGB-EUR,1740441600000,0.0070114,0.007401,0.0066698,0.0073141,14621629.42482885
DGB-EUR,1740355200000,0.0077182,0.0077677,0.0068849,0.0068849,14590946.41861399
DGB-EUR,1740268800000,0.0078945,0.0079023,0.0076478,0.0077212,6150592.15515258
DGB-EUR,1740182400000,0.0075383,0.0079053,0.0075013,0.0078298,4917924.12914171
DGB-EUR,1740096000000,0.0079094,0.0081194,0.0074157,0.0075234,7650900.01035498
DGB-EUR,1740009600000,0.0078283,0.008,0.0076803,0.0078926,6100947.26889267
DGB-EUR,1739923200000,0.0075765,0.0079476,0.0074831,0.0077984,6389084.63168488
DGB-EUR,1739836800000,0.0080965,0.0081099,0.0074049,0.0075196,9019839.43505801
DGB-EUR,1739750400000,0.0082091,0.0083856,0.0079245,0.0080515,6072765.15009284
DGB-EUR,1739664000000,0.0081427,0.0085141,0.0080576,0.0081651,5692930.46813443
DGB-EUR,1739577600000,0.0083487,0.0083848,0.0080803,0.0081491,2787710.07058956
DGB-EUR,1739491200000,0.0082227,0.0086065,0.0081459,0.0083622,8525355.97485065
DGB-EUR,1739404800000,0.0084775,0.0085062,0.0080618,0.0082275,5302203.97900613
DGB-EUR,1739318400000,0.0080275,0.0085333,0.0078944,0.008493,9339336.54568939
DGB-EUR,1739232000000,0.008202,0.0088712,0.0079688,0.0080795,15861005.2455553
DGB-EUR,1739145600000,0.00816,0.008344,0.0077834,0.008188,4821726.44701503
DGB-EUR,1739059200000,0.0081966,0.008423,0.007986,0.0080156,14462387.73243715
DGB-EUR,1738972800000,0.0082035,0.0082974,0.0079853,0.00823,9241301.15612237
DGB-EUR,1738886400000,0.0080774,0.0085004,0.007775,0.0080928,11893569.28365642
DGB-EUR,1738800000000,0.0081845,0.0083947,0.0077749,0.0080046,14253291.25640276
DGB-EUR,1738713600000,0.0084853,0.008579,0.0079953,0.0080856,7349546.07728337
DGB-EUR,1738627200000,0.0088147,0.0089198,0.007931,0.0084918,25336543.7314914
DGB-EUR,1738540800000,0.0083432,0.008973,0.0064521,0.0087451,30659282.45950308
DGB-EUR,1738454400000,0.009778,0.0099907,0.0080037,0.0084837,52936243.2611872
DGB-EUR,1738368000000,0.010489,0.010557,0.0096391,0.0097988,12281711.34134417
DGB-EUR,1738281600000,0.010325,0.010755,0.0099895,0.01044,15786544.167631
DGB-EUR,1738195200000,0.0099931,0.010948,0.009993,0.010492,13787697.45741109
DGB-EUR,1738108800000,0.0098354,0.010637,0.0098297,0.010103,7689253.97321788
DGB-EUR,1738022400000,0.010387,0.010901,0.009768,0.0098709,14134769.3702479
DGB-EUR,1737936000000,0.01015,0.010402,0.0095091,0.010297,28623059.05062903
DGB-EUR,1737849600000,0.011197,0.011395,0.01015,0.01016,17613106.45077011
DGB-EUR,1737763200000,0.010036,0.01166,0.009817,0.011231,35895249.94187023
DGB-EUR,1737676800000,0.010238,0.010476,0.009832,0.009987,11451022.01908678
DGB-EUR,1737590400000,0.010621,0.010628,0.009696,0.010233,18701993.65744998
DGB-EUR,1737504000000,0.010987,0.010995,0.010325,0.010668,20806939.49042463
DGB-EUR,1737417600000,0.010511,0.011341,0.010051,0.010956,16855616.68435464
DGB-EUR,1737331200000,0.010508,0.011285,0.010147,0.010445,33332775.1533764
DGB-EUR,1737244800000,0.012012,0.012104,0.010314,0.010536,30281595.38707132
DGB-EUR,1737158400000,0.013255,0.013416,0.011632,0.012066,22790605.18668328
DGB-EUR,1737072000000,0.012438,0.01333,0.012438,0.013262,19742993.79597061
DGB-EUR,1736985600000,0.012673,0.012739,0.011943,0.012423,23979062.61594115
DGB-EUR,1736899200000,0.011801,0.012698,0.011326,0.012652,13573362.1087432
DGB-EUR,1736812800000,0.011291,0.012064,0.011258,0.011888,24907742.81469984
DGB-EUR,1736726400000,0.011716,0.012121,0.0105,0.011226,18971522.1765056
DGB-EUR,1736640000000,0.012136,0.01224,0.0115,0.011675,4338586.48506416
DGB-EUR,1736553600000,0.012309,0.01245,0.011902,0.012187,8775973.42457936
