market,time,open,high,low,close,volume
DOGE-USDC,1741132800000,0.19847,0.20548,0.19689,0.20114,135751.09433839
DOGE-USDC,1741046400000,0.19829,0.20075,0.184,0.19791,231329.24096741
DOGE-USDC,1740960000000,0.23356,0.23947,0.19477,0.19754,223656.32334406
DOGE-USDC,1740873600000,0.20615,0.24,0.20254,0.23295,63192.77489436
DOGE-USDC,1740787200000,0.20383,0.208,0.19934,0.19965,95336.51084479
DOGE-USDC,1740700800000,0.206,0.206,0.18193,0.20206,969183.00554351
DOGE-USDC,1740614400000,0.20355,0.21093,0.20173,0.20403,169948.75278587
DOGE-USDC,1740528000000,0.21112,0.21333,0.19614,0.20276,623611.88724863
DOGE-USDC,1740441600000,0.21064,0.21379,0.19638,0.21346,2843732.22774976
DOGE-USDC,1740355200000,0.24117,0.24117,0.20787,0.21018,1587087.02744669
DOGE-USDC,1740268800000,0.24477,0.24707,0.24264,0.24377,62496.23474223
DOGE-USDC,1740182400000,0.2403,0.24737,0.2403,0.24691,233696.14111455
DOGE-USDC,1740096000000,0.25272,0.26082,0.23555,0.23913,309583.74361386
DOGE-USDC,1740009600000,0.256,0.25676,0.25178,0.25274,60779.2876798
DOGE-USDC,1739923200000,0.25208,0.25536,0.25208,0.25483,50836.03923759
DOGE-USDC,1739836800000,0.2583,0.2583,0.24257,0.24792,40907.87544804
DOGE-USDC,1739750400000,0.268,0.26877,0.25586,0.25952,21343.85578433
DOGE-USDC,1739664000000,0.26983,0.27001,0.264,0.2677,16097.83434896
DOGE-USDC,1739577600000,0.27764,0.2808,0.269,0.27197,78576.44499966
DOGE-USDC,1739491200000,0.26269,0.28569,0.26107,0.272,240159.73667515
DOGE-USDC,1739404800000,0.26651,0.26651,0.25513,0.26249,46303.76687987
DOGE-USDC,1739318400000,0.2512,0.26691,0.248,0.26329,59038.97405348
DOGE-USDC,1739232000000,0.26,0.27,0.24885,0.25283,132984.18992484
DOGE-USDC,1739145600000,0.25133,0.256,0.24418,0.25277,35043.73165873
DOGE-USDC,1739059200000,0.25341,0.25998,0.24,0.24725,130828.19583257
DOGE-USDC,1738972800000,0.248,0.25395,0.24703,0.25342,18531.90399247
DOGE-USDC,1738886400000,0.25042,0.26158,0.2389,0.24676,84243.57154829
DOGE-USDC,1738800000000,0.25622,0.26504,0.24311,0.24687,121321.16026792
DOGE-USDC,1738713600000,0.26294,0.2691,0.25386,0.25477,61983.75025336
DOGE-USDC,1738627200000,0.28497,0.28878,0.2555,0.26328,175866.86113881
DOGE-USDC,1738540800000,0.25846,0.29221,0.2116,0.28466,806816.40114561
DOGE-USDC,1738454400000,0.3118,0.31306,0.2521,0.264,253592.63107039
DOGE-USDC,1738368000000,0.32636,0.32636,0.30507,0.30833,95943.14211917
DOGE-USDC,1738281600000,0.33,0.33944,0.32669,0.328,15681.49795784
DOGE-USDC,1738195200000,0.33369,0.338,0.33056,0.33256,9206.57560859
DOGE-USDC,1738108800000,0.32352,0.33216,0.32,0.32502,20294.4531895
DOGE-USDC,1738022400000,0.336,0.33662,0.3155,0.31611,93566.87283019
DOGE-USDC,1737936000000,0.328,0.33536,0.30646,0.33084,44886.5216678
DOGE-USDC,1737849600000,0.35247,0.35477,0.33597,0.33597,31681.98807188
DOGE-USDC,1737763200000,0.35257,0.36046,0.35257,0.35586,14436.38683653
DOGE-USDC,1737676800000,0.3473,0.36391,0.344,0.35072,20954.72070527
DOGE-USDC,1737590400000,0.36088,0.36088,0.34219,0.35338,119208.81274042
DOGE-USDC,1737504000000,0.368,0.37261,0.359,0.36357,39415.40627937
DOGE-USDC,1737417600000,0.352,0.4,0.3356,0.37157,417172.42659031
DOGE-USDC,1737331200000,0.3577,0.3847,0.35012,0.35495,361986.38541876
DOGE-USDC,1737244800000,0.4,0.40212,0.3484,0.36103,357933.75819931
DOGE-USDC,1737158400000,0.42,0.432,0.384,0.39278,128057.21781892
DOGE-USDC,1737072000000,0.37815,0.42,0.37815,0.41074,174318.46417519
DOGE-USDC,1736985600000,0.38643,0.3897,0.368,0.376,63894.80213731
DOGE-USDC,1736899200000,0.36,0.38598,0.352,0.38598,177641.47959359
DOGE-USDC,1736812800000,0.34307,0.36172,0.343,0.35708,26576.03608033
DOGE-USDC,1736726400000,0.33832,0.344,0.31,0.33609,164425.41841177
DOGE-USDC,1736640000000,0.33934,0.34004,0.3353,0.3353,33948.1864406
DOGE-USDC,1736553600000,0.33152,0.34765,0.33152,0.34215,8623.70917103
DOGE-USDC,1736467200000,0.32304,0.33601,0.32237,0.3336,31497.25410838
DOGE-USDC,1736380800000,0.34273,0.34273,0.31501,0.318,53670.61942692
DOGE-USDC,1736294400000,0.35181,0.35358,0.32709,0.34301,82924.33643421
DOGE-USDC,1736208000000,0.38721,0.39821,0.34813,0.34813,134201.49827881
DOGE-USDC,1736121600000,0.3815,0.39454,0.376,0.38769,31540.62263907
DOGE-USDC,1736035200000,0.39518,0.39574,0.376,0.38252,20730.9028961
DOGE-USDC,1735948800000,0.38,0.398,0.37795,0.39502,50912.78602629
DOGE-USDC,1735862400000,0.33824,0.38674,0.33723,0.38358,70166.65010897
DOGE-USDC,1735776000000,0.32478,0.34423,0.32478,0.33662,29166.7600501
DOGE-USDC,1735689600000,0.31786,0.32547,0.312,0.32547,10193.1018492
DOGE-USDC,1735603200000,0.31123,0.328,0.31123,0.31631,9459.31275274
DOGE-USDC,1735516800000,0.32,0.3216,0.30676,0.31258,26800.95534815
DOGE-USDC,1735430400000,0.32185,0.328,0.312,0.312,12561.95154872
DOGE-USDC,1735344000000,0.31742,0.32449,0.31741,0.32449,5349.50955202
DOGE-USDC,1735257600000,0.31117,0.32378,0.31117,0.31119,113971.17780007
DOGE-USDC,1735171200000,0.336,0.33637,0.31,0.31324,20862.56220652
DOGE-USDC,1735084800000,0.33581,0.33581,0.32764,0.33404,12734.84292504
DOGE-USDC,1734998400000,0.3201,0.33948,0.3193,0.33581,62333.6097187
DOGE-USDC,1734912000000,0.31091,0.328,0.30768,0.32642,32343.67890293
DOGE-USDC,1734825600000,0.31916,0.32,0.30603,0.31357,66226.7831239
DOGE-USDC,1734739200000,0.3173,0.34927,0.31657,0.31987,78689.33651334
DOGE-USDC,1734652800000,0.31454,0.328,0.26487,0.31703,288464.97658775
DOGE-USDC,1734566400000,0.35717,0.36632,0.30168,0.31611,591868.09520924
DOGE-USDC,1734480000000,0.39128,0.39128,0.34818,0.35672,381780.28248183
DOGE-USDC,1734393600000,0.4,0.408,0.392,0.392,58743.62654839
DOGE-USDC,1734307200000,0.40976,0.41335,0.39416,0.40303,111530.01153783
DOGE-USDC,1734220800000,0.39482,0.41064,0.39472,0.40636,54400.72374949
DOGE-USDC,1734134400000,0.40943,0.41185,0.38793,0.39627,89527.92791494
DOGE-USDC,1734048000000,0.40686,0.41144,0.40088,0.40337,29101.43333298
DOGE-USDC,1733961600000,0.40867,0.42315,0.40288,0.40551,471716.78489231
DOGE-USDC,1733875200000,0.39236,0.41902,0.37813,0.415,159122.78131287
DOGE-USDC,1733788800000,0.40833,0.42237,0.36804,0.39209,447249.13981132
DOGE-USDC,1733702400000,0.4629,0.4629,0.38694,0.41433,439783.73181187
DOGE-USDC,1733616000000,0.455,0.48716,0.44733,0.46668,229287.32543441
DOGE-USDC,1733529600000,0.43747,0.46609,0.43256,0.45421,255566.7410181
DOGE-USDC,1733443200000,0.42736,0.44103,0.42094,0.4343,143822.29443724
DOGE-USDC,1733356800000,0.42963,0.46426,0.40791,0.4274,758436.63463217
DOGE-USDC,1733270400000,0.41405,0.43668,0.40257,0.43302,186623.56560692
DOGE-USDC,1733184000000,0.42522,0.42847,0.38894,0.40684,282218.34027784
DOGE-USDC,1733097600000,0.4469,0.46014,0.40114,0.42251,519713.10042952
DOGE-USDC,1733011200000,0.4268,0.44957,0.41691,0.44075,296707.35233265
DOGE-USDC,1732924800000,0.42674,0.43592,0.41519,0.42281,85521.83817357
DOGE-USDC,1732838400000,0.40155,0.43676,0.4004,0.42625,242286.20833794
DOGE-USDC,1732752000000,0.39975,0.42911,0.39186,0.40321,218936.02747639
DOGE-USDC,1732665600000,0.39191,0.40707,0.38322,0.40048,229663.86399037
