market,time,open,high,low,close,volume
DRIFT-EUR,1741219200000,0.67127,0.67127,0.67127,0.67127,1118.06121574
DRIFT-EUR,1741132800000,0.68253,0.71262,0.65231,0.6543,493986.98562618
DRIFT-EUR,1741046400000,0.61666,0.70016,0.60129,0.68881,841784.08203157
DRIFT-EUR,1740960000000,0.67365,0.69682,0.62232,0.62319,157868.49764936
DRIFT-EUR,1740873600000,0.67479,0.71639,0.64972,0.70386,393694.22811234
DRIFT-EUR,1740787200000,0.67344,0.68485,0.6321,0.64216,128997.11846592
DRIFT-EUR,1740700800000,0.65641,0.67655,0.60862,0.66903,113234.69637746
DRIFT-EUR,1740614400000,0.63785,0.69688,0.63274,0.65442,204894.99390188
DRIFT-EUR,1740528000000,0.60442,0.65054,0.60041,0.63276,324130.36753677
DRIFT-EUR,1740441600000,0.59023,0.617,0.55,0.60378,142420.79584687
DRIFT-EUR,1740355200000,0.65465,0.65465,0.57291,0.58506,79495.38806496
DRIFT-EUR,1740268800000,0.65881,0.69038,0.64263,0.65477,99775.27908107
DRIFT-EUR,1740182400000,0.64405,0.66303,0.64113,0.66048,28983.72496129
DRIFT-EUR,1740096000000,0.66701,0.72506,0.64507,0.64689,125669.40913249
DRIFT-EUR,1740009600000,0.6431,0.66612,0.64177,0.664,18199.62581451
DRIFT-EUR,1739923200000,0.63712,0.65178,0.61665,0.64334,41604.56835868
DRIFT-EUR,1739836800000,0.656,0.656,0.60011,0.63279,78273.27273618
DRIFT-EUR,1739750400000,0.7,0.70406,0.65,0.65787,144615.71633054
DRIFT-EUR,1739664000000,0.76226,0.76473,0.70106,0.70229,33627.79708179
DRIFT-EUR,1739577600000,0.7877,0.7877,0.75208,0.75848,14330.50867658
DRIFT-EUR,1739491200000,0.75998,0.81963,0.75222,0.78701,74109.16231467
DRIFT-EUR,1739404800000,0.78619,0.79931,0.7387,0.7507,56750.28291489
DRIFT-EUR,1739318400000,0.77106,0.80674,0.74,0.7939,113305.39152358
DRIFT-EUR,1739232000000,0.76735,0.84397,0.75332,0.76382,186329.47302616
DRIFT-EUR,1739145600000,0.71628,0.78201,0.69087,0.77258,97028.38434226
DRIFT-EUR,1739059200000,0.7567,0.78202,0.69348,0.71895,91476.6178554
DRIFT-EUR,1738972800000,0.68812,0.75808,0.68612,0.75724,45057.22426348
DRIFT-EUR,1738886400000,0.65785,0.73726,0.64825,0.68632,41550.13609731
DRIFT-EUR,1738800000000,0.69901,0.73048,0.6487,0.6491,251762.8671993
DRIFT-EUR,1738713600000,0.71062,0.7282,0.67948,0.67948,23069.46175664
DRIFT-EUR,1738627200000,0.75998,0.76458,0.69248,0.71465,25355.21039593
DRIFT-EUR,1738540800000,0.69712,0.76751,0.5775,0.76289,338603.15507964
DRIFT-EUR,1738454400000,0.80025,0.81019,0.67544,0.70466,122799.72137683
DRIFT-EUR,1738368000000,0.89135,0.89135,0.79525,0.79947,27399.47758314
DRIFT-EUR,1738281600000,0.9074,0.91829,0.87407,0.87838,33074.13681163
DRIFT-EUR,1738195200000,0.85511,0.92685,0.85455,0.895,28528.93731701
DRIFT-EUR,1738108800000,0.85198,0.89586,0.82242,0.86401,32754.69052635
DRIFT-EUR,1738022400000,0.91414,0.92783,0.84491,0.85335,58650.95965335
DRIFT-EUR,1737936000000,0.97623,0.98191,0.8405,0.9181,108472.45580647
DRIFT-EUR,1737849600000,0.9449,0.975,0.91593,0.91648,20603.92867399
