market,time,open,high,low,close,volume
DUSK-EUR,1741132800000,0.10423,0.10826,0.10232,0.10666,117073.43017579
DUSK-EUR,1741046400000,0.10026,0.10523,0.09694,0.10487,339612.9305096
DUSK-EUR,1740960000000,0.1064,0.12867,0.10633,0.10707,400914.774415
DUSK-EUR,1740873600000,0.12899,0.13002,0.11594,0.12902,301421.53277221
DUSK-EUR,1740787200000,0.11812,0.12281,0.11452,0.1158,78764.9275493
DUSK-EUR,1740700800000,0.12249,0.12249,0.11033,0.12071,138595.59941867
DUSK-EUR,1740614400000,0.12001,0.12383,0.11789,0.12149,206642.73389554
DUSK-EUR,1740528000000,0.11685,0.12324,0.11343,0.11889,256168.29953053
DUSK-EUR,1740441600000,0.11285,0.11825,0.10652,0.11825,289998.49608745
DUSK-EUR,1740355200000,0.13054,0.13054,0.11117,0.11297,194896.10050977
DUSK-EUR,1740268800000,0.1322,0.13683,0.12978,0.13055,69460.11236486
DUSK-EUR,1740182400000,0.126,0.13513,0.126,0.13202,40632.11566122
DUSK-EUR,1740096000000,0.13165,0.14,0.12426,0.126,704437.39823025
DUSK-EUR,1740009600000,0.11834,0.13353,0.11812,0.13117,272524.96487652
DUSK-EUR,1739923200000,0.11511,0.11996,0.11511,0.11701,86986.64879649
DUSK-EUR,1739836800000,0.1218,0.1218,0.11087,0.11448,151580.6462871
DUSK-EUR,1739750400000,0.12612,0.13036,0.12185,0.1253,177916.70863221
DUSK-EUR,1739664000000,0.11933,0.12892,0.11933,0.12713,61873.27759077
DUSK-EUR,1739577600000,0.12347,0.12355,0.11775,0.11775,184785.9372528
DUSK-EUR,1739491200000,0.12289,0.12642,0.12185,0.124,477823.00538905
DUSK-EUR,1739404800000,0.12898,0.129,0.1195,0.1228,50751.97613658
DUSK-EUR,1739318400000,0.1176,0.12795,0.115,0.1271,203469.03959327
DUSK-EUR,1739232000000,0.11854,0.12485,0.11583,0.11813,141736.16455915
DUSK-EUR,1739145600000,0.1162,0.12,0.11296,0.11986,132046.14600958
DUSK-EUR,1739059200000,0.11516,0.12012,0.10877,0.10914,62772.49944688
DUSK-EUR,1738972800000,0.10885,0.11589,0.10595,0.11589,623277.74888251
DUSK-EUR,1738886400000,0.1051,0.11469,0.10426,0.10795,1200718.48940337
