market,time,open,high,low,close,volume
EDU-EUR,1741132800000,0.17276,0.17853,0.17,0.17329,34950.44190164
EDU-EUR,1741046400000,0.17312,0.17944,0.16303,0.1765,220939.23990821
EDU-EUR,1740960000000,0.22111,0.2291,0.18523,0.18887,20776.74444262
EDU-EUR,1740873600000,0.21463,0.23074,0.21087,0.22281,63673.36176753
EDU-EUR,1740787200000,0.21963,0.22317,0.20882,0.21441,67242.61101027
EDU-EUR,1740700800000,0.215,0.22402,0.20534,0.22163,168454.193152
EDU-EUR,1740614400000,0.22711,0.23269,0.21992,0.22079,56296.68751708
EDU-EUR,1740528000000,0.22609,0.22889,0.21505,0.22782,237181.62660617
EDU-EUR,1740441600000,0.22026,0.22533,0.20449,0.22113,118399.11873137
EDU-EUR,1740355200000,0.2527,0.2527,0.21656,0.21923,130924.24544153
EDU-EUR,1740268800000,0.26374,0.266,0.25373,0.25485,17033.73469126
EDU-EUR,1740182400000,0.24659,0.26369,0.24366,0.26357,49987.88739465
EDU-EUR,1740096000000,0.25382,0.27241,0.23642,0.24243,425766.45006917
EDU-EUR,1740009600000,0.25673,0.616,0.24756,0.25587,42530.41695545
EDU-EUR,1739923200000,0.25248,0.26069,0.25247,0.25501,28067.71203502
EDU-EUR,1739836800000,0.27691,0.27691,0.24166,0.25375,187641.76596383
EDU-EUR,1739750400000,0.28349,0.37106,0.27585,0.27702,19862.81888418
EDU-EUR,1739664000000,0.27753,0.29363,0.27753,0.28572,136666.90244825
EDU-EUR,1739577600000,0.29333,0.29495,0.27783,0.27942,31812.63035192
EDU-EUR,1739491200000,0.29738,0.30425,0.291,0.291,39709.92407311
EDU-EUR,1739404800000,0.33109,0.33163,0.29718,0.29836,110113.08158289
EDU-EUR,1739318400000,0.30069,0.35,0.288,0.33121,500730.52898549
EDU-EUR,1739232000000,0.30353,0.33002,0.29612,0.29875,69156.75655749
EDU-EUR,1739145600000,0.28032,0.29694,0.28032,0.29674,10425.77864909
EDU-EUR,1739059200000,0.29468,0.30315,0.27917,0.28776,50622.09761904
EDU-EUR,1738972800000,0.27899,0.30889,0.27411,0.29286,130862.34212865
EDU-EUR,1738886400000,0.26919,0.28826,0.26846,0.27513,112891.94683381
EDU-EUR,1738800000000,0.28467,0.29099,0.25839,0.26,133627.6596378
EDU-EUR,1738713600000,0.28505,0.29977,0.28129,0.28307,85499.55189614
EDU-EUR,1738627200000,0.31066,0.31066,0.28092,0.28412,79742.35366712
EDU-EUR,1738540800000,0.33536,0.33536,0.24534,0.33093,640237.7171896
EDU-EUR,1738454400000,0.41533,0.41533,0.32974,0.34519,54194.89221504
EDU-EUR,1738368000000,0.4425,0.4425,0.40874,0.40874,8371.64524658
EDU-EUR,1738281600000,0.44313,0.4656,0.44261,0.44569,10302.52756763
EDU-EUR,1738195200000,0.43433,0.44496,0.43301,0.44285,15223.32753198
EDU-EUR,1738108800000,0.411,0.4335,0.411,0.42986,12329.67636475
EDU-EUR,1738022400000,0.43464,0.43464,0.40874,0.41076,13301.90687346
EDU-EUR,1737936000000,0.44961,0.44961,0.41,0.43654,45393.38190593
EDU-EUR,1737849600000,0.46152,0.4718,0.45,0.45,32857.74064543
EDU-EUR,1737763200000,0.46196,0.46352,0.45419,0.4635,6162.77566459
EDU-EUR,1737676800000,0.4838,0.48515,0.465,0.4653,5546.60340883
EDU-EUR,1737590400000,0.48151,0.4886,0.46933,0.47012,9712.7122103
EDU-EUR,1737504000000,0.49641,0.50082,0.4816,0.4816,6129.96918236
EDU-EUR,1737417600000,0.47988,0.50213,0.47988,0.49699,45767.25843582
EDU-EUR,1737331200000,0.49213,0.53303,0.47967,0.49334,97005.02475873
EDU-EUR,1737244800000,0.5456,0.5507,0.48953,0.49315,136779.25959153
EDU-EUR,1737158400000,0.60934,0.61084,0.54719,0.54762,113123.01389805
EDU-EUR,1737072000000,0.53532,0.64006,0.53532,0.60636,903221.58060048
EDU-EUR,1736985600000,0.52271,0.5326,0.5178,0.5178,25705.59419371
EDU-EUR,1736899200000,0.50482,0.52854,0.49875,0.52406,7306.24949146
EDU-EUR,1736812800000,0.496,0.5085,0.49461,0.50699,15387.56001342
EDU-EUR,1736726400000,0.51502,0.51502,0.47619,0.48965,17549.90025982
EDU-EUR,1736640000000,0.519,0.519,0.50491,0.50491,5729.04413345
EDU-EUR,1736553600000,0.51941,0.52027,0.51005,0.52027,1811.07297013
EDU-EUR,1736467200000,0.51696,0.5266,0.51554,0.5266,15787.02800578
EDU-EUR,1736380800000,0.51474,0.53094,0.5013,0.51562,72120.77598933
EDU-EUR,1736294400000,0.49648,0.54159,0.482,0.51668,288254.6057005
EDU-EUR,1736208000000,0.55199,0.55199,0.49806,0.49806,75782.22979468
EDU-EUR,1736121600000,0.55094,0.56038,0.54771,0.54936,3913.66059868
EDU-EUR,1736035200000,0.55925,0.55925,0.5462,0.55839,5721.92087776
EDU-EUR,1735948800000,0.5501,0.56341,0.5501,0.55978,11923.93228685
