market,time,open,high,low,close,volume
ENS-EUR,1741132800000,19.249,19.956,18.981,19.665,18705.57038336
ENS-EUR,1741046400000,19.295,19.567,17.737,18.969,29935.23020233
ENS-EUR,1740960000000,22.945,23.194,19.139,19.463,12942.13572591
ENS-EUR,1740873600000,20.92,23.711,20.083,23.311,37013.86954752
ENS-EUR,1740787200000,21.011,21.239,20.037,20.554,6520.89015169
ENS-EUR,1740700800000,21.007,21.051,18.832,20.6,23419.63062113
ENS-EUR,1740614400000,21.181,21.721,20.405,21.152,5896.66912506
ENS-EUR,1740528000000,22.012,22.144,20.18,21.072,10821.73706076
ENS-EUR,1740441600000,23.087,23.095,20.885,22.091,33920.01715119
ENS-EUR,1740355200000,26.365,26.507,22.758,22.94,38397.48657835
ENS-EUR,1740268800000,25.953,27.041,25.953,26.427,7987.80630694
ENS-EUR,1740182400000,25.105,26.497,25.104,26.054,5495.22454204
ENS-EUR,1740096000000,25.925,27.646,24.874,25.232,24330.28800417
ENS-EUR,1740009600000,25.791,26.224,25.513,25.836,4110.84844821
ENS-EUR,1739923200000,25.118,26.197,24.821,25.747,6790.73476525
ENS-EUR,1739836800000,25.572,26.031,24.079,25.169,9303.0977779
ENS-EUR,1739750400000,24.954,27.37,24.521,25.98,12366.88284658
ENS-EUR,1739664000000,25.413,25.654,24.735,24.817,7489.54879498
ENS-EUR,1739577600000,26.028,26.246,25.165,25.348,2694.349958
ENS-EUR,1739491200000,25.45,26.474,25.326,26.092,10410.32795137
ENS-EUR,1739404800000,26.459,27.095,25.394,25.556,6598.44803358
ENS-EUR,1739318400000,24.372,27.238,24.131,26.376,8593.00603169
ENS-EUR,1739232000000,25.035,26.038,24.016,24.522,3805.51268938
ENS-EUR,1739145600000,24.532,25.267,23.457,24.963,1716.41747411
ENS-EUR,1739059200000,24.321,25.069,23.193,23.943,5766.89818946
ENS-EUR,1738972800000,24.243,24.763,23.821,24.441,3139.38269206
ENS-EUR,1738886400000,24.982,26.422,23.645,24.248,8511.72752614
ENS-EUR,1738800000000,26.544,27.338,24.555,24.72,6040.42192088
ENS-EUR,1738713600000,25.754,27.324,25.614,26.452,7587.89435926
ENS-EUR,1738627200000,28.341,28.364,25.077,25.866,10931.77038967
ENS-EUR,1738540800000,27.247,29.295,20.48,28.24,35027.12596902
ENS-EUR,1738454400000,30.151,30.727,26.265,27.471,10936.52787799
ENS-EUR,1738368000000,33.011,33.78,30,30.248,5123.27484991
ENS-EUR,1738281600000,31.864,34.606,31.434,32.752,14681.80582169
ENS-EUR,1738195200000,30.286,32.521,30.182,32.074,6291.5775242
ENS-EUR,1738108800000,29.785,31.162,29.55,30.334,12154.43284807
ENS-EUR,1738022400000,30.65,31.232,29.184,29.396,3630.72074938
ENS-EUR,1737936000000,31.291,31.513,28.692,30.326,24847.52967153
ENS-EUR,1737849600000,32.458,33.169,31.286,31.286,3794.83547216
ENS-EUR,1737763200000,32.453,33.126,32.114,32.458,2907.25821023
ENS-EUR,1737676800000,34.465,35.374,32.348,32.632,13166.1815487
ENS-EUR,1737590400000,32.711,34.605,31.492,34.395,11494.50015
ENS-EUR,1737504000000,33.748,34.563,32.636,32.794,5662.45139966
ENS-EUR,1737417600000,32.807,34.566,31.399,33.551,12427.69448688
ENS-EUR,1737331200000,32.32,36.045,31.285,32.731,54297.38478429
ENS-EUR,1737244800000,32.815,36.733,30.492,32.644,37054.902324
ENS-EUR,1737158400000,34.917,35.796,32.176,32.913,9523.09462492
ENS-EUR,1737072000000,32.251,35.417,32.251,35.086,18397.84056519
ENS-EUR,1736985600000,33.454,34.497,31.707,31.979,14371.02042034
ENS-EUR,1736899200000,30.999,33.324,29.92,33.277,8770.32940668
ENS-EUR,1736812800000,29.874,31.357,29.874,30.777,10232.40949193
ENS-EUR,1736726400000,31.201,31.732,27.726,30.012,17430.19292237
ENS-EUR,1736640000000,31.178,31.479,30.574,30.931,3560.06495045
ENS-EUR,1736553600000,31.208,32.359,30.8,31.354,8224.3270414
ENS-EUR,1736467200000,30.114,31.808,30.068,31.528,18453.3366466
ENS-EUR,1736380800000,31.433,32.014,29.488,30.057,12839.72169884
ENS-EUR,1736294400000,32.289,32.555,30.072,31.463,7120.37223536
ENS-EUR,1736208000000,35.662,35.729,32.136,32.483,9048.53582866
ENS-EUR,1736121600000,35.562,36.617,34.812,35.801,4052.36193952
ENS-EUR,1736035200000,36.415,36.984,35.05,35.76,3560.73437725
ENS-EUR,1735948800000,36.722,37.385,35.805,36.665,10700.43894235
ENS-EUR,1735862400000,34.63,37.22,34.196,36.688,26702.3951378
ENS-EUR,1735776000000,33.458,35.293,33.458,34.423,13669.72378223
ENS-EUR,1735689600000,32.171,33.526,31.088,33.378,16477.07352979
ENS-EUR,1735603200000,31.7,33.237,30.967,31.802,17538.03423708
ENS-EUR,1735516800000,31.766,32.944,31.064,31.881,29904.02434944
ENS-EUR,1735430400000,33.046,33.046,31.239,31.605,6641.08837969
ENS-EUR,1735344000000,32.476,33.331,31.833,33.075,2654.68136048
ENS-EUR,1735257600000,31.781,34.106,31.442,32.17,11278.15109464
ENS-EUR,1735171200000,34.539,34.539,31.278,31.55,9230.79623325
ENS-EUR,1735084800000,36.058,36.411,33.932,34.387,6724.72151441
ENS-EUR,1734998400000,35.825,36.735,34.482,36.143,7468.28220634
ENS-EUR,1734912000000,32.614,36.6,31.684,35.825,17726.52538173
ENS-EUR,1734825600000,33.244,34.211,31.819,32.595,4598.33238377
ENS-EUR,1734739200000,35.931,37.785,33.115,33.547,14067.99952009
ENS-EUR,1734652800000,34.93,36.607,30.539,35.875,37060.19448216
ENS-EUR,1734566400000,38.638,38.995,33.427,34.747,26733.97833783
ENS-EUR,1734480000000,40.36,41.223,36.774,38.192,15656.01814259
ENS-EUR,1734393600000,43,43.105,39.56,40.209,19248.20291078
ENS-EUR,1734307200000,45.2,47.701,42.356,43.065,42049.96883781
ENS-EUR,1734220800000,39.875,45.474,39.618,45.199,21951.30005537
ENS-EUR,1734134400000,41.253,41.602,38.5,39.892,8485.72469554
ENS-EUR,1734048000000,39.125,42.494,38.45,41.046,23462.44221043
