market,time,open,high,low,close,volume
ERN-EUR,1741132800000,1.5941,1.7399,1.5808,1.7027,150989.87550628
ERN-EUR,1741046400000,1.8226,1.8226,1.5623,1.6007,732161.92622743
ERN-EUR,1740960000000,1.6931,2.0103,1.5646,1.825,1013476.14287241
ERN-EUR,1740873600000,1.5454,1.78,1.5344,1.6476,451012.83741415
ERN-EUR,1740787200000,1.8829,2.0701,1.5733,1.627,1260052.84071887
ERN-EUR,1740700800000,1.18,2.6743,1.1375,1.693,6504536.26287516
ERN-EUR,1740614400000,1.1851,1.2491,1.1851,1.2023,6745.13574774
ERN-EUR,1740528000000,1.1953,1.23,1.1572,1.1775,8534.05192983
ERN-EUR,1740441600000,1.2032,1.2185,1.1363,1.1935,8951.05659372
ERN-EUR,1740355200000,1.3271,1.3271,1.1907,1.1967,3819.00245999
ERN-EUR,1740268800000,1.3675,1.3712,1.3301,1.3301,4381.07392644
ERN-EUR,1740182400000,1.3053,1.368,1.3032,1.3677,3957.83927648
ERN-EUR,1740096000000,1.3499,1.4022,1.2852,1.2993,8926.14075318
ERN-EUR,1740009600000,1.3268,1.3499,1.3194,1.3499,3849.99925151
ERN-EUR,1739923200000,1.3082,1.3227,1.2802,1.2925,4533.0607661
ERN-EUR,1739836800000,1.33,1.33,1.2309,1.2918,6373.97045941
ERN-EUR,1739750400000,1.3717,1.5107,1.3386,1.3555,117848.48225287
ERN-EUR,1739664000000,1.3813,1.6035,1.3575,1.3717,94040.47442349
ERN-EUR,1739577600000,1.3963,1.4683,1.37,1.37,28329.60380453
ERN-EUR,1739491200000,1.3236,1.4115,1.3236,1.4101,13641.68830213
ERN-EUR,1739404800000,1.3585,1.3602,1.2928,1.3211,8919.85259636
ERN-EUR,1739318400000,1.2685,1.3705,1.246,1.3392,25297.41139667
ERN-EUR,1739232000000,1.3212,1.3635,1.2619,1.2795,47615.64545171
ERN-EUR,1739145600000,1.3488,1.4139,1.2861,1.2972,25914.40447701
ERN-EUR,1739059200000,1.3258,1.3939,1.3085,1.316,21693.63235773
ERN-EUR,1738972800000,1.2632,1.3257,1.2421,1.3238,1787.04691086
ERN-EUR,1738886400000,1.2368,1.3127,1.2272,1.2573,2439.91185624
ERN-EUR,1738800000000,1.2682,1.3233,1.2033,1.2053,30131.22226267
ERN-EUR,1738713600000,1.3402,1.3484,1.2342,1.2412,22557.31695439
ERN-EUR,1738627200000,1.3789,1.4655,1.2513,1.3226,58702.80834029
ERN-EUR,1738540800000,1.335,1.4024,1.1024,1.3948,21534.65402266
ERN-EUR,1738454400000,1.6109,1.6109,1.3329,1.3822,28162.83538048
ERN-EUR,1738368000000,1.7516,1.7865,1.607,1.607,7323.1676821
ERN-EUR,1738281600000,1.7258,1.7976,1.7258,1.7711,3406.03181681
ERN-EUR,1738195200000,1.663,1.7546,1.663,1.7344,1335.77542922
ERN-EUR,1738108800000,1.6267,1.7164,1.6219,1.7086,2595.35025797
ERN-EUR,1738022400000,1.7454,1.7454,1.5955,1.6108,2387.04770181
ERN-EUR,1737936000000,1.7249,1.7302,1.6,1.7302,8325.91353138
ERN-EUR,1737849600000,1.7989,1.8877,1.7444,1.7444,6861.85083923
ERN-EUR,1737763200000,1.7888,1.7999,1.749,1.7909,5249.35475709
ERN-EUR,1737676800000,1.8406,1.8537,1.74,1.7622,19788.00933046
ERN-EUR,1737590400000,1.9524,2.0134,1.78,1.8307,54295.72557606
ERN-EUR,1737504000000,1.8939,1.9955,1.8852,1.9558,5642.31715289
ERN-EUR,1737417600000,1.8069,1.9244,1.7522,1.9068,4567.20437792
ERN-EUR,1737331200000,1.8904,2.04,1.7774,1.8408,16815.33272783
ERN-EUR,1737244800000,2.2032,2.2032,1.8787,1.8787,64280.98776332
ERN-EUR,1737158400000,2.3839,2.398,2.1744,2.184,18990.5119644
ERN-EUR,1737072000000,2.3127,2.3993,2.3127,2.3832,32382.85223078
ERN-EUR,1736985600000,2.3428,2.3442,2.2452,2.2858,24877.30232162
ERN-EUR,1736899200000,2.2333,2.38,2.1665,2.3325,16674.19240586
ERN-EUR,1736812800000,2.1474,2.2533,2.1474,2.2202,14645.46825358
ERN-EUR,1736726400000,2.2612,2.3201,2.036,2.158,90157.06211009
ERN-EUR,1736640000000,2.221,2.507,2.1751,2.2496,271600.9510309
ERN-EUR,1736553600000,2.2154,2.2574,2.1915,2.2334,3171.52996777
ERN-EUR,1736467200000,2.2338,2.2708,2.1722,2.2524,1581.58906241
ERN-EUR,1736380800000,2.263,2.2942,2.1654,2.244,9119.79455194
ERN-EUR,1736294400000,2.2953,2.3199,2.208,2.2699,3702.50930995
ERN-EUR,1736208000000,2.6566,2.7222,2.3106,2.3183,18781.09544435
ERN-EUR,1736121600000,2.6467,2.6978,2.5968,2.6233,4788.88803359
ERN-EUR,1736035200000,2.6951,2.6965,2.6343,2.6617,2182.31049892
ERN-EUR,1735948800000,2.6786,2.7177,2.6332,2.7033,2155.21162923
ERN-EUR,1735862400000,2.5921,2.7059,2.5585,2.6791,2575.50993645
ERN-EUR,1735776000000,2.584,2.6397,2.526,2.6152,4004.02329785
ERN-EUR,1735689600000,2.5061,2.55,2.428,2.55,2530.57457267
ERN-EUR,1735603200000,2.5431,2.6215,2.4944,2.5048,5459.21290612
ERN-EUR,1735516800000,2.6498,2.684,2.4912,2.5625,18227.99330751
ERN-EUR,1735430400000,2.7202,2.9725,2.6038,2.62,34522.9687202
ERN-EUR,1735344000000,2.6062,2.7353,2.6062,2.7353,6290.86371554
ERN-EUR,1735257600000,2.5046,2.7032,2.5001,2.5795,6326.765664
ERN-EUR,1735171200000,2.8161,2.8679,2.471,2.4921,20651.59755944
ERN-EUR,1735084800000,2.6392,2.8193,2.6302,2.7566,12773.41363152
ERN-EUR,1734998400000,2.63,2.6761,2.5604,2.6587,8174.25536635
