market,time,open,high,low,close,volume
ETC-EUR,1741219200000,19.041,19.041,19.038,19.038,107
ETC-EUR,1741132800000,18.952,19.344,17.813,19.126,9953.09051429
ETC-EUR,1741046400000,17.891,18.079,17,17.318,7972.73369131
ETC-EUR,1740960000000,19.176,20.146,17.613,18.061,13648.55293962
ETC-EUR,1740873600000,18.781,20.577,18.296,18.654,10063.10625689
ETC-EUR,1740787200000,18.802,19.074,18.248,18.378,1430.17855237
ETC-EUR,1740700800000,17.897,18.974,17.096,18.902,9329.23270276
ETC-EUR,1740614400000,17.999,18.537,17.685,18.042,1711.24902903
ETC-EUR,1740528000000,18.077,18.407,17.277,17.882,2345.53856204
ETC-EUR,1740441600000,17.857,18.327,16.64,18.005,10442.86639501
ETC-EUR,1740355200000,19.842,19.941,17.67,17.824,9904.83009034
ETC-EUR,1740268800000,19.62,20.097,19.594,19.839,4156.24396628
ETC-EUR,1740182400000,19.273,19.872,19.197,19.646,9433.18874106
ETC-EUR,1740096000000,19.968,20.688,19.069,19.289,12803.68967679
ETC-EUR,1740009600000,20.321,20.7,19.834,19.951,5889.59371724
ETC-EUR,1739923200000,19.344,20.434,19.214,20.318,8121.09075806
ETC-EUR,1739836800000,19.94,19.94,18.739,19.319,5679.62459402
ETC-EUR,1739750400000,19.603,20.6,19.426,19.987,5960.06969786
ETC-EUR,1739664000000,19.888,19.888,19.434,19.614,1020.3118015
ETC-EUR,1739577600000,20.335,20.531,19.75,19.86,2674.56113242
ETC-EUR,1739491200000,20.212,20.885,20.142,20.415,15743.64397622
ETC-EUR,1739404800000,20.598,20.672,20.019,20.264,6907.72484024
ETC-EUR,1739318400000,19.475,20.894,19.279,20.561,5617.47562124
ETC-EUR,1739232000000,20.133,20.705,19.212,19.58,5865.49181014
ETC-EUR,1739145600000,19.702,20.225,19.195,20.113,3132.15031301
ETC-EUR,1739059200000,19.534,19.908,18.892,19.494,1681.49153704
ETC-EUR,1738972800000,19.405,19.69,19.082,19.592,1024.48262119
ETC-EUR,1738886400000,19.132,20.103,18.752,19.242,3837.62980003
ETC-EUR,1738800000000,19.868,20.484,18.876,18.993,6707.19039069
ETC-EUR,1738713600000,19.997,20.581,19.715,19.842,2646.58201262
ETC-EUR,1738627200000,21.557,21.617,19.457,19.929,5036.34739578
ETC-EUR,1738540800000,21.953,21.964,16.896,21.357,44261.89466948
ETC-EUR,1738454400000,24.08,24.455,21,21.973,27920.23697278
ETC-EUR,1738368000000,25.925,26.357,23.954,24.291,2201.41809975
ETC-EUR,1738281600000,25.138,26.674,24.952,25.789,4071.30400619
ETC-EUR,1738195200000,24.5,25.56,24.5,25.436,3732.25338226
ETC-EUR,1738108800000,24.132,24.96,23.954,24.6,4760.80229075
