market,time,open,high,low,close,volume
ETH-EUR,1741219200000,2080.6,2081.8,2076.2,2080.4,47.92717562
ETH-EUR,1741132800000,2045.6,2128,2009,2052.2,14745.70607935
ETH-EUR,1741046400000,2048.8,2093.9,1896.1,2039.8,25654.98620236
ETH-EUR,1740960000000,2380.8,2426.1,2002.7,2031.8,27302.2612252
ETH-EUR,1740873600000,2136.3,2453.6,2097.5,2420,21362.36369094
ETH-EUR,1740787200000,2157,2198.6,2067.8,2141,9113.17977524
ETH-EUR,1740700800000,2218,2223.8,1993.7,2155.5,26288.24661123
ETH-EUR,1740614400000,2226.5,2270.1,2143,2217.4,15699.78757618
ETH-EUR,1740528000000,2371.7,2386.9,2147.4,2224.3,21786.78924455
ETH-EUR,1740441600000,2403.4,2419.5,2217,2372,45439.30749378
ETH-EUR,1740355200000,2693.3,2709.5,2365.7,2403.6,20788.31710181
ETH-EUR,1740268800000,2643,2728.1,2626.6,2691.9,8123.54115142
ETH-EUR,1740182400000,2544.7,2675.1,2538.7,2643,5815.08392658
ETH-EUR,1740096000000,2607.8,2717.3,2502,2547.2,17319.69041864
ETH-EUR,1740009600000,2605.3,2652.7,2586.1,2608.3,8559.40123286
ETH-EUR,1739923200000,2554.1,2623.7,2542.2,2605.3,8967.39055949
ETH-EUR,1739836800000,2618.9,2630.7,2495,2554.8,12043.79466158
ETH-EUR,1739750400000,2538.6,2720.7,2516.1,2618.3,12124.94621386
ETH-EUR,1739664000000,2568.6,2600.5,2530,2539.4,4643.6660383
ETH-EUR,1739577600000,2599,2610.8,2542.3,2569.6,3798.87131932
ETH-EUR,1739491200000,2558.4,2657.9,2548.3,2600,12482.81189854
ETH-EUR,1739404800000,2635.3,2651.6,2509,2558.3,14186.71780075
ETH-EUR,1739318400000,2512.8,2692.2,2462.6,2634.1,21041.62009339
ETH-EUR,1739232000000,2585,2644.7,2474.5,2512.7,10752.06080924
ETH-EUR,1739145600000,2549.8,2613.5,2487,2583.9,9330.49337161
ETH-EUR,1739059200000,2553.9,2615,2450.1,2549.8,7814.71068156
ETH-EUR,1738972800000,2542.4,2585.9,2512.8,2553.4,6706.88982264
ETH-EUR,1738886400000,2588.8,2700.3,2484,2542.5,19264.40100806
ETH-EUR,1738800000000,2683.5,2761.1,2559.2,2589.2,12369.40189796
ETH-EUR,1738713600000,2636.1,2716.4,2602.6,2680.7,12677.93694595
ETH-EUR,1738627200000,2795.6,2804.8,2539,2636.1,20890.33427833
ETH-EUR,1738540800000,2802.7,2832.1,2109,2795.9,46930.87748126
ETH-EUR,1738454400000,3014.9,3061.2,2690,2801.7,21637.39098684
ETH-EUR,1738368000000,3186.4,3215.8,2999.8,3015.1,7236.41429991
ETH-EUR,1738281600000,3122.6,3304.8,3093.4,3184.2,14556.72103248
ETH-EUR,1738195200000,2987.5,3148.6,2965.7,3121,6645.15974482
ETH-EUR,1738108800000,2951.6,3051.9,2937.5,2987,8131.5738242
ETH-EUR,1738022400000,3050.3,3091.8,2914.4,2951.5,6884.16453529
ETH-EUR,1737936000000,3090.1,3112.1,2885.1,3050,13456.5764099
ETH-EUR,1737849600000,3165.8,3206.3,3088.2,3092,3448.57197667
ETH-EUR,1737763200000,3155.9,3195.7,3118.3,3165.7,3233.22097407
ETH-EUR,1737676800000,3207.7,3274,3140,3157.1,6845.02894832
ETH-EUR,1737590400000,3116.6,3216.8,3061.3,3206.2,9743.22315513
ETH-EUR,1737504000000,3197.3,3228.9,3097.6,3116.4,6475.69716399
ETH-EUR,1737417600000,3150.6,3230,3086.6,3197.9,10628.46590264
ETH-EUR,1737331200000,3127.1,3348.7,3057.1,3152.5,20078.1486058
ETH-EUR,1737244800000,3206.6,3358.2,3046.8,3126.7,26308.81056834
ETH-EUR,1737158400000,3374.8,3392.4,3133,3209.5,16625.09111097
ETH-EUR,1737072000000,3209.2,3425.4,3207.3,3372.9,11801.62181162
ETH-EUR,1736985600000,3347.4,3355.8,3169.1,3209.1,11261.88874986
ETH-EUR,1736899200000,3131.4,3373.6,3090.7,3347.1,13133.22003574
ETH-EUR,1736812800000,3057.8,3175.2,3051.5,3130.6,11505.60306569
ETH-EUR,1736726400000,3187.2,3257.5,2862,3057.9,19697.56791339
ETH-EUR,1736640000000,3199,3217.8,3145.6,3187.9,3776.90068442
ETH-EUR,1736553600000,3190.5,3239.2,3143.4,3198.9,3319.15637976
ETH-EUR,1736467200000,3132.8,3242.3,3116.9,3191.1,9195.49028325
ETH-EUR,1736380800000,3229.6,3259,3066.4,3129.7,7146.87556229
ETH-EUR,1736294400000,3273,3304.7,3115.5,3230.8,10286.08601626
ETH-EUR,1736208000000,3551.5,3563.4,3247.5,3273.2,12965.77577785
ETH-EUR,1736121600000,3530.6,3601,3477.3,3552.4,13404.34760279
ETH-EUR,1736035200000,3548.4,3566,3487.6,3527.8,9242.50556105
ETH-EUR,1735948800000,3501.3,3562.7,3465.1,3547.5,10198.92306278
ETH-EUR,1735862400000,3364.1,3523.2,3329.1,3500.2,15831.85077227
ETH-EUR,1735776000000,3239.6,3401.9,3234.8,3363.1,12551.84761731
ETH-EUR,1735689600000,3215.2,3251.7,3197,3239.9,7133.01093247
ETH-EUR,1735603200000,3224,3320.6,3182,3215.2,9955.44213019
ETH-EUR,1735516800000,3212.3,3287.6,3168,3224.5,13110.74536189
ETH-EUR,1735430400000,3258.2,3267.6,3182.7,3212.7,7979.12562272
ETH-EUR,1735344000000,3195.8,3280.2,3184.6,3258.4,9120.88790116
ETH-EUR,1735257600000,3198.2,3305,3172.4,3195.7,5848.26775443
ETH-EUR,1735171200000,3361.8,3378.9,3170.8,3199.9,4852.74327285
ETH-EUR,1735084800000,3357.9,3410.1,3309.9,3362.1,5816.66484546
ETH-EUR,1734998400000,3287.2,3405.3,3225.4,3359.2,7926.65770817
ETH-EUR,1734912000000,3145.8,3328.6,3084,3287.7,12925.89245276
ETH-EUR,1734825600000,3209.4,3269.2,3089.5,3144.4,6073.37402883
ETH-EUR,1734739200000,3333.1,3422.1,3167,3208.1,7632.73112843
ETH-EUR,1734652800000,3298.4,3355,2976,3332.6,27260.20859342
ETH-EUR,1734566400000,3507.9,3572.3,3205.6,3297.1,23899.15125912
ETH-EUR,1734480000000,3710.1,3735,3500,3508.8,17331.50890189
ETH-EUR,1734393600000,3787.6,3844.1,3667.2,3710.4,11302.29739743
ETH-EUR,1734307200000,3760,3902,3696.6,3787.6,16496.7758896
ETH-EUR,1734220800000,3683.7,3768.7,3646.8,3756.3,5485.3613214
ETH-EUR,1734134400000,3721.4,3754,3643,3683.4,5074.06483642
ETH-EUR,1734048000000,3703.5,3781.5,3678.7,3719.7,7546.97051421
ETH-EUR,1733961600000,3646.4,3800.8,3614.3,3704.7,10845.79160626
ETH-EUR,1733875200000,3449.2,3663.7,3386.5,3646.3,9264.74141731
ETH-EUR,1733788800000,3521.9,3586.6,3341.6,3449.5,18300.77091251
ETH-EUR,1733702400000,3789.2,3790.2,3300,3524.4,19755.4376696
ETH-EUR,1733616000000,3778.2,3800,3715,3789.7,4870.22496731
ETH-EUR,1733529600000,3786.2,3810,3759.6,3778.1,4674.93191419
ETH-EUR,1733443200000,3580.2,3875.7,3574,3786.4,23174.57390947
ETH-EUR,1733356800000,3650.1,3743,3465,3580.7,24161.0241149
ETH-EUR,1733270400000,3442.4,3702.6,3441.9,3649.6,27300.52284777
ETH-EUR,1733184000000,3469.8,3496.3,3319.1,3441.1,17014.70187322
ETH-EUR,1733097600000,3513.1,3570.4,3388.7,3469.2,17073.23257442
ETH-EUR,1733011200000,3501.3,3542.5,3459.2,3514.6,8386.83057139
ETH-EUR,1732924800000,3395.3,3533.6,3373.7,3500.9,11463.7565242
ETH-EUR,1732838400000,3388.1,3455.6,3339,3395.8,13200.7828471
ETH-EUR,1732752000000,3461.6,3470.8,3345.3,3389.7,14835.31890064
ETH-EUR,1732665600000,3166.8,3489.4,3149.6,3462.6,15844.05845812
ETH-EUR,1732579200000,3265.5,3307.9,3110,3168.2,13017.79177893
ETH-EUR,1732492800000,3206.8,3378.1,3148.5,3265.5,19200.71957272
ETH-EUR,1732406400000,3238.6,3292.5,3129.1,3205.8,9025.19607483
ETH-EUR,1732320000000,3188.8,3343.1,3165,3238.2,13964.5674439
ETH-EUR,1732233600000,3193.5,3257.2,3118.3,3188.2,22830.30524223
ETH-EUR,1732147200000,2905.2,3223.9,2874.7,3193.9,30411.81219763
ETH-EUR,1732060800000,2934,2993.8,2874,2906.6,12508.91421543
ETH-EUR,1731974400000,3027.8,3041.9,2898,2933.6,13971.21505432
ETH-EUR,1731888000000,2911,3043.6,2891.8,3029.3,16498.80436637
ETH-EUR,1731801600000,2961.8,2985.6,2872,2911.9,8560.488392
ETH-EUR,1731715200000,2925,3046.7,2907,2960.5,10962.14144426
ETH-EUR,1731628800000,2904.2,2961.8,2859.4,2925,15678.38194388
ETH-EUR,1731542400000,3009.6,3062.2,2875,2904.3,17895.89839798
ETH-EUR,1731456000000,3042.1,3145.5,2925.1,3009.3,29619.6675956
ETH-EUR,1731369600000,3135.6,3225,2820,3042.2,26807.49690505
ETH-EUR,1731283200000,2959.6,3153.4,2885.1,3135.4,15294.81096547
ETH-EUR,1731196800000,2917.3,3021.1,2782.1,2959.1,16033.49026244
ETH-EUR,1731110400000,2764.8,2944.9,2759.1,2917.7,9772.24538888
ETH-EUR,1731024000000,2681.4,2795,2676.8,2764.6,14881.1403953
ETH-EUR,1730937600000,2532.4,2701,2511.4,2679,14511.49129833
ETH-EUR,1730851200000,2218.1,2553.5,2217.3,2532.6,21825.90720622
ETH-EUR,1730764800000,2204.3,2275.2,2189.8,2218,4637.51529107
ETH-EUR,1730678400000,2263.6,2286.9,2169,2205.4,3446.43391026
ETH-EUR,1730592000000,2306.8,2309.3,2230.5,2263.6,3267.61842692
ETH-EUR,1730505600000,2318.8,2329.9,2282,2304.7,1065.02883304
ETH-EUR,1730419200000,2311,2382,2267.3,2319.8,3922.28421584
ETH-EUR,1730332800000,2447,2458.6,2297.8,2312,7361.23481692
ETH-EUR,1730246400000,2433.4,2508,2396.3,2446.8,6929.48238068
ETH-EUR,1730160000000,2370.2,2478.5,2364.6,2433.2,5598.56463908
ETH-EUR,1730073600000,2320.5,2390.5,2289.7,2370,5939.41737603
ETH-EUR,1729987200000,2299.6,2338.7,2281.8,2319.7,3036.90752365
ETH-EUR,1729900800000,2257.9,2321.8,2249.4,2299.2,2581.21355859
ETH-EUR,1729814400000,2341.4,2366,2206.5,2259.5,7793.81927068
ETH-EUR,1729728000000,2338.1,2371.8,2318.7,2340.7,5207.42682341
ETH-EUR,1729641600000,2430.1,2430.2,2279.3,2340.3,6867.72074221
ETH-EUR,1729555200000,2462.3,2467.3,2409,2425.5,3329.14187289
ETH-EUR,1729468800000,2520.1,2540.3,2451,2462.6,2685.48192434
ETH-EUR,1729382400000,2433.6,2532,2421.5,2520.6,2154.09208659
ETH-EUR,1729296000000,2429.5,2448.4,2419,2432.9,953.84891753
ETH-EUR,1729209600000,2401.9,2461,2394.6,2430.1,2876.27551145
ETH-EUR,1729123200000,2402.2,2436.4,2377.4,2403.8,2664.51919828
ETH-EUR,1729036800000,2391.9,2427,2377.6,2402.6,2766.28713405
ETH-EUR,1728950400000,2401.9,2459,2325,2393.6,2979.54762633
ETH-EUR,1728864000000,2258.7,2423.8,2237.3,2401,5516.41820799
ETH-EUR,1728777600000,2259.3,2268.6,2223.5,2257.9,1121.55057885
ETH-EUR,1728691200000,2228.3,2272,2224.9,2259.5,1382.30670939
ETH-EUR,1728604800000,2181.2,2258.7,2177.7,2228.6,4800.87541121
ETH-EUR,1728518400000,2165.6,2212.6,2132.8,2180.8,5990.9801386
ETH-EUR,1728432000000,2222.7,2255.4,2148.2,2165.4,3207.02027208
ETH-EUR,1728345600000,2209.3,2245.1,2190,2222.8,5239.54295372
ETH-EUR,1728259200000,2223.8,2295.9,2189,2206.8,6365.15802368
ETH-EUR,1728172800000,2199.7,2236.5,2192,2224,2296.37019895
ETH-EUR,1728086400000,2200.8,2213.7,2176.8,2199.1,1728.54720395
ETH-EUR,1728000000000,2130.4,2229.5,2121.3,2200.6,6318.6786658
ETH-EUR,1727913600000,2139.9,2178.1,2097.4,2129.7,6673.36176676
ETH-EUR,1727827200000,2211.6,2257.4,2129.6,2140.7,10745.75767905
ETH-EUR,1727740800000,2335.9,2386.7,2180,2213,15365.28842503
ETH-EUR,1727654400000,2379.7,2383.8,2312.6,2335.8,10597.57830215
ETH-EUR,1727568000000,2396.1,2403,2357,2380.3,4813.72254023
ETH-EUR,1727481600000,2414.2,2422.6,2375,2396.2,3901.46774526
ETH-EUR,1727395200000,2355,2446.5,2341.5,2414.1,11073.10395246
ETH-EUR,1727308800000,2318.1,2385,2298.3,2355.1,10420.4572631
ETH-EUR,1727222400000,2369.9,2387.3,2295,2318,7928.15160302
ETH-EUR,1727136000000,2383.4,2393,2321.2,2369.7,8304.87338267
ETH-EUR,1727049600000,2313.6,2429.2,2277,2382.8,7633.30290681
ETH-EUR,1726963200000,2339.3,2357.9,2262.4,2311.9,2263.65408033
ETH-EUR,1726876800000,2293.5,2349,2265,2340.2,1649.97110504
ETH-EUR,1726790400000,2207,2304,2182,2293.7,4592.25670975
ETH-EUR,1726704000000,2136.8,2233.8,2135.2,2205.5,5917.66951996
ETH-EUR,1726617600000,2104.7,2138.2,2046,2137,4350.43257472
ETH-EUR,1726531200000,2063.6,2153,2035.5,2105.2,4306.8809335
ETH-EUR,1726444800000,2090.1,2100.5,2032.7,2063.8,5029.69103913
ETH-EUR,1726358400000,2182.1,2191.7,2062.1,2090.8,2799.33548212
ETH-EUR,1726272000000,2203.3,2203.8,2146.2,2181.8,1816.18557703
ETH-EUR,1726185600000,2132.1,2225.7,2110.4,2202.6,6225.44090612
ETH-EUR,1726099200000,2126.1,2172.8,2097.7,2132.1,6284.38525305
ETH-EUR,1726012800000,2167.4,2167.6,2071,2126.1,6229.93991921
ETH-EUR,1725926400000,2140,2177,2106,2167.4,3598.32278114
ETH-EUR,1725840000000,2075.8,2160.1,2060.2,2139.2,4811.79335314
ETH-EUR,1725753600000,2055.4,2107,2024.8,2075.6,1816.49225919
ETH-EUR,1725667200000,2011,2090.9,2008.4,2054.6,2145.70071859
ETH-EUR,1725580800000,2131.7,2167,1942.5,2011.4,10407.47775172
ETH-EUR,1725494400000,2211,2225.3,2114.2,2132,4439.24478582
ETH-EUR,1725408000000,2195.9,2246.6,2089.2,2211.6,6412.51838798
ETH-EUR,1725321600000,2293.6,2305.7,2182.4,2194.8,3395.28434208
ETH-EUR,1725235200000,2199.4,2317,2197.7,2293.7,3334.78152697
ETH-EUR,1725148800000,2273.8,2277.7,2175,2199.9,3001.18562567
ETH-EUR,1725062400000,2287.5,2293.2,2255.9,2275.4,1288.71385303
ETH-EUR,1724976000000,2281.4,2301,2201.9,2287.9,6169.24180424
ETH-EUR,1724889600000,2275.3,2344.6,2259.8,2283.4,3775.74410319
ETH-EUR,1724803200000,2201.6,2299.8,2167,2274.3,5211.82660443
ETH-EUR,1724716800000,2402.8,2418.4,2130,2201.6,8403.79912378
ETH-EUR,1724630400000,2453.1,2466.7,2390.1,2401.5,4311.23865484
ETH-EUR,1724544000000,2469.9,2493.7,2436.1,2453.5,1649.42902174
ETH-EUR,1724457600000,2467,2517.6,2437.4,2470.3,2457.69470288
ETH-EUR,1724371200000,2360.9,2499,2357.4,2467,10670.30213339
ETH-EUR,1724284800000,2357.6,2375.7,2320,2360.6,4087.43539947
ETH-EUR,1724198400000,2313.2,2388,2282,2357,5308.6803034
ETH-EUR,1724112000000,2379.1,2433.9,2300.8,2313.4,8721.21345184
ETH-EUR,1724025600000,2370.2,2400.8,2321.3,2378.9,5365.96654116
ETH-EUR,1723939200000,2372.7,2437,2355.6,2370.5,2852.19844487
ETH-EUR,1723852800000,2353.4,2385,2349.8,2373,948.94638581
ETH-EUR,1723766400000,2343.9,2395.7,2321,2354.4,5260.70834788
ETH-EUR,1723680000000,2419,2437,2295.1,2343.8,5219.42895442
ETH-EUR,1723593600000,2459.7,2524.5,2388.4,2419,8444.80399235
ETH-EUR,1723507200000,2490.4,2500.6,2391.5,2458.9,9592.76266899
ETH-EUR,1723420800000,2342.2,2516,2300.7,2490.3,7809.70750926
ETH-EUR,1723334400000,2393.5,2493.4,2328.3,2341.7,3688.04173242
ETH-EUR,1723248000000,2382.5,2425,2362.6,2393.4,1756.60356702
ETH-EUR,1723161600000,2458.6,2476.8,2339.1,2383.4,6702.35854041
ETH-EUR,1723075200000,2145.7,2496,2125.4,2459,9434.32740926
ETH-EUR,1722988800000,2256.8,2340,2115.8,2142.4,9929.41509671
ETH-EUR,1722902400000,2217.3,2340.4,2213.4,2256.8,9788.77668774
ETH-EUR,1722816000000,2465.8,2471.8,1975,2216.1,28357.07173656
ETH-EUR,1722729600000,2666.2,2695,2413,2464.8,8030.0047588
ETH-EUR,1722643200000,2738.9,2772.5,2626.6,2666.4,4379.16649956
ETH-EUR,1722556800000,2969.9,2982.5,2720,2740.7,5604.62532349
ETH-EUR,1722470400000,2988.3,2995.7,2856.1,2969.7,4554.23349454
ETH-EUR,1722384000000,3031,3088.9,2970,2987,3186.29034868
ETH-EUR,1722297600000,3064.9,3111.2,2965,3030.8,2574.69938611
ETH-EUR,1722211200000,3010.8,3129,3007.6,3067.8,4706.63030699
ETH-EUR,1722124800000,2983.7,3021,2942.8,3010.8,1067.07343061
ETH-EUR,1722038400000,3015.7,3061.4,2938.5,2986.8,2456.82075824
ETH-EUR,1721952000000,2926.3,3026.5,2924.7,3016.3,2939.63857109
ETH-EUR,1721865600000,3078,3084.4,2848.1,2927.3,5622.9699019
ETH-EUR,1721779200000,3210,3214.2,3041.8,3077.9,3272.19019105
ETH-EUR,1721692800000,3159.4,3256.1,3124.5,3210.2,4760.18945542
ETH-EUR,1721606400000,3238.4,3261.2,3144.5,3159.3,3236.31239425
ETH-EUR,1721520000000,3225.2,3249.5,3130,3237.6,2326.68855393
ETH-EUR,1721433600000,3217.4,3250,3196.4,3224.6,1736.86403802
ETH-EUR,1721347200000,3143,3253,3102.9,3216.9,2985.34841916
ETH-EUR,1721260800000,3101.8,3196.1,3088,3143.7,1588.06097033
ETH-EUR,1721174400000,3159.3,3225.6,3091.4,3097.6,2660.84998042
