market,time,open,high,low,close,volume
ETH-USDC,1741219200000,2243.7,2243.7,2243.7,2243.7,1.114556
ETH-USDC,1741132800000,2192.4,2271,2155.8,2194.4,719.22343337
ETH-USDC,1741046400000,2054.7,2220.2,1996.7,2162.5,1316.01817335
ETH-USDC,1740960000000,2519,2519,2098,2266.2,1389.64760593
ETH-USDC,1740873600000,2231.1,2550.9,2175.5,2486.8,3139.33410716
ETH-USDC,1740787200000,2213.9,2280.3,2144.3,2216.8,1276.50207123
ETH-USDC,1740700800000,2305,2310.8,2076.8,2237.3,1756.29193399
ETH-USDC,1740614400000,2336.1,2379.1,2229.9,2305.2,1132.76250085
ETH-USDC,1740528000000,2492.9,2501.7,2253.1,2328.1,1383.43585927
ETH-USDC,1740441600000,2521.5,2529.2,2320.5,2494.2,3591.75055294
ETH-USDC,1740355200000,2819.2,2837.9,2472.9,2513.1,1372.59426026
ETH-USDC,1740268800000,2758.6,2855.1,2747.1,2829.5,414.38035949
ETH-USDC,1740182400000,2657.9,2794.1,2655.2,2770.6,580.11255323
ETH-USDC,1740096000000,2743,2842.1,2621.2,2658.9,1457.01275566
ETH-USDC,1740009600000,2714,2771.9,2709.5,2742.6,330.37900864
ETH-USDC,1739923200000,2675,2734.7,2656.4,2715.1,282.45126959
ETH-USDC,1739836800000,2745.2,2745.6,2606.2,2666.4,388.90938566
ETH-USDC,1739750400000,2659.7,2837.9,2641.4,2742.5,484.160829
ETH-USDC,1739664000000,2693.5,2720.8,2658.2,2658.8,294.65657676
ETH-USDC,1739577600000,2724.3,2731.7,2666,2691.7,397.23777131
ETH-USDC,1739491200000,2677.1,2790,2666.8,2724.2,256.21974787
ETH-USDC,1739404800000,2737.2,2752.4,2615.4,2675.2,305.95561591
ETH-USDC,1739318400000,2598.9,2789.7,2548.8,2735.6,1163.15703247
ETH-USDC,1739232000000,2662.8,2720.7,2560.7,2602.1,411.50945008
ETH-USDC,1739145600000,2629,2690.9,2571.5,2659.6,250.32713695
ETH-USDC,1739059200000,2634.4,2695,2529.2,2631.8,284.15639996
ETH-USDC,1738972800000,2619.7,2665.9,2589.8,2635.4,396.41189824
ETH-USDC,1738886400000,2686.1,2796,2564.8,2622.9,628.07034966
ETH-USDC,1738800000000,2786.8,2855,2664.9,2687.5,596.32945863
ETH-USDC,1738713600000,2737.9,2815.7,2711.5,2786.8,300.96336367
ETH-USDC,1738627200000,2877.7,2889.1,2641.4,2737.5,1062.9611263
ETH-USDC,1738540800000,2868.1,2909.1,2178,2876.7,4716.33697686
ETH-USDC,1738454400000,3115.7,3160.4,2750,2868.1,859.67487272
ETH-USDC,1738368000000,3299.3,3328.6,3102.6,3118.8,199.17227903
ETH-USDC,1738281600000,3249.1,3434.1,3221.1,3298.3,296.00675913
ETH-USDC,1738195200000,3109.3,3276.7,3094.5,3246.8,192.94437345
ETH-USDC,1738108800000,3076.9,3179.8,3060.2,3112,227.9794069
ETH-USDC,1738022400000,3182,3220.3,3046.1,3071.7,220.77454797
ETH-USDC,1737936000000,3212.4,3240.2,3024,3169.6,239.19595195
ETH-USDC,1737849600000,3321.5,3356.3,3230.5,3230.5,62.89485022
ETH-USDC,1737763200000,3304,3347,3276.3,3316.6,20.58222333
ETH-USDC,1737676800000,3335.6,3422.1,3282.8,3309.5,173.82910191
ETH-USDC,1737590400000,3238.5,3343.6,3187.1,3337.1,340.2841011
ETH-USDC,1737504000000,3326.2,3354.9,3233.6,3233.6,146.77554616
ETH-USDC,1737417600000,3271,3364.5,3210.2,3317.3,260.44117027
ETH-USDC,1737331200000,3210.6,3429,3151.7,3274.5,692.371193
ETH-USDC,1737244800000,3297.1,3437.8,3129.7,3209.2,1238.80147742
ETH-USDC,1737158400000,3474.6,3485.6,3229.6,3308.8,230.34642252
ETH-USDC,1737072000000,3310.2,3523.4,3310.2,3477.8,179.00698096
ETH-USDC,1736985600000,3442.1,3442.1,3273.3,3302.9,192.27472308
ETH-USDC,1736899200000,3223,3458.8,3189.5,3424.7,304.51402009
ETH-USDC,1736812800000,3129.3,3247.2,3129.3,3233.7,94.52155297
ETH-USDC,1736726400000,3265.8,3332.7,2929.4,3135,832.73182026
ETH-USDC,1736640000000,3281.9,3294.1,3225,3262.2,27.25302336
ETH-USDC,1736553600000,3263.6,3307.7,3220.1,3304.8,30.87901719
ETH-USDC,1736467200000,3221.6,3320,3200,3269.9,601.19785696
ETH-USDC,1736380800000,3339.4,3339.4,3159.7,3227.2,215.64398783
ETH-USDC,1736294400000,3394.2,3402.8,3213.5,3320,241.72198715
ETH-USDC,1736208000000,3682.2,3695,3358.5,3383.4,1087.94722887
ETH-USDC,1736121600000,3644.4,3744,3612.1,3681.4,225.50874475
ETH-USDC,1736035200000,3667.2,3672.5,3599.1,3642.5,96.93812271
ETH-USDC,1735948800000,3615.8,3670.4,3576.7,3659.4,45.06549171
ETH-USDC,1735862400000,3448.5,3626.8,3443.8,3606.5,62.74893131
ETH-USDC,1735776000000,3353.8,3499,3349.5,3435.2,51.25200126
ETH-USDC,1735689600000,3345.5,3363.8,3309,3358.5,16.94759117
ETH-USDC,1735603200000,3347.6,3441.9,3319.1,3329.8,65.29439934
ETH-USDC,1735516800000,3374.1,3427,3299.4,3352,87.64974559
ETH-USDC,1735430400000,3385.6,3401.8,3326.5,3338.4,18.18047596
ETH-USDC,1735344000000,3325.8,3419.2,3325.8,3398.6,7.93300504
ETH-USDC,1735257600000,3348.1,3425.5,3316.3,3321.2,89.0803186
ETH-USDC,1735171200000,3474.6,3481.2,3313.4,3313.8,37.6020877
ETH-USDC,1735084800000,3490,3530.9,3447.9,3474.6,69.43182589
ETH-USDC,1734998400000,3413.2,3533.7,3361.8,3483.3,251.12788375
ETH-USDC,1734912000000,3273.3,3457.1,3226.7,3416.9,198.32799068
ETH-USDC,1734825600000,3329.6,3394.6,3229.3,3265.2,76.33248864
ETH-USDC,1734739200000,3466.2,3550.5,3311.8,3327.6,61.0597573
ETH-USDC,1734652800000,3414.1,3495.9,3100,3462.8,705.68759047
ETH-USDC,1734566400000,3637.1,3714.3,3325,3413.9,732.5197171
ETH-USDC,1734480000000,3895.1,3902.5,3619.5,3623.2,566.70239942
ETH-USDC,1734393600000,3977.8,4040.1,3850,3888.1,224.24185501
ETH-USDC,1734307200000,3955.7,4101.7,3892.9,4001.8,146.03720375
ETH-USDC,1734220800000,3870.2,3970,3841,3954.4,147.4523063
ETH-USDC,1734134400000,3921.6,3933.2,3834.2,3870.2,72.9764587
ETH-USDC,1734048000000,3897.2,3958.8,3873.1,3906.9,145.95431532
ETH-USDC,1733961600000,3836.3,3985.1,3804.2,3871.3,288.79770183
ETH-USDC,1733875200000,3625.9,3847.1,3575.3,3834.4,75.33554198
ETH-USDC,1733788800000,3707,3771.3,3518.8,3622.2,414.36797981
ETH-USDC,1733702400000,4001.5,4001.5,3495,3715,1160.5170941
ETH-USDC,1733616000000,3987,4008,3934,4007.5,57.3281972
ETH-USDC,1733529600000,4020,4020.5,3976.4,4001.3,37.08564796
ETH-USDC,1733443200000,3790.9,4089.6,3787.2,4017.4,543.52166625
ETH-USDC,1733356800000,3822.6,3954,3685,3800.5,930.75343037
ETH-USDC,1733270400000,3621.7,3895,3621.7,3838.6,291.99722332
ETH-USDC,1733184000000,3646.7,3669.4,3505,3627.3,142.51934854
ETH-USDC,1733097600000,3703.6,3762.3,3561.3,3644,141.12546866
ETH-USDC,1733011200000,3724,3747.4,3673.2,3729.8,166.81192541
ETH-USDC,1732924800000,3605.6,3740,3575.8,3710.2,133.69974679
ETH-USDC,1732838400000,3569.3,3648.1,3539.7,3598,114.40718946
ETH-USDC,1732752000000,3658.1,3658.1,3535.3,3577,113.56110694
ETH-USDC,1732665600000,3332,3686.4,3322.1,3681.2,410.65512434
ETH-USDC,1732579200000,3405.2,3456.8,3256.7,3319.4,514.10546658
ETH-USDC,1732492800000,3358.2,3541.8,3311.5,3410,424.0666181
ETH-USDC,1732406400000,3413.2,3448.5,3286.8,3361.7,272.67772198
ETH-USDC,1732320000000,3332.7,3500,3321.2,3390.9,419.44540708
ETH-USDC,1732233600000,3362.8,3429,3269.4,3329.6,1119.63144907
ETH-USDC,1732147200000,3074.9,3389.5,3037,3360.1,830.44741254
ETH-USDC,1732060800000,3108.4,3159.3,3038.5,3066.5,475.06889246
ETH-USDC,1731974400000,3215.6,3217.3,3073.5,3112.3,721.46443274
ETH-USDC,1731888000000,3071.5,3225.2,3053.6,3225.2,945.07381821
ETH-USDC,1731801600000,3144.6,3159.3,3046.3,3072.9,632.71479576
ETH-USDC,1731715200000,3086.6,3220,3077.2,3124.9,191.53345298
ETH-USDC,1731628800000,3057.6,3129,3019,3088.9,506.4824931
ETH-USDC,1731542400000,3197.6,3233.3,3032.8,3055.8,1357.55939269
ETH-USDC,1731456000000,3249.2,3333.2,3124.9,3188.9,913.85441834
ETH-USDC,1731369600000,3372.2,3445,3216.1,3250.5,1426.24838573
ETH-USDC,1731283200000,3178.9,3391.2,3110.7,3390.1,1707.64608881
ETH-USDC,1731196800000,3121.1,3252.6,3074.1,3189.7,1874.32320844
ETH-USDC,1731110400000,2960.4,3153.3,2957.9,3132.7,935.83781638
ETH-USDC,1731024000000,2905.6,2979.1,2892.9,2957.7,840.78355172
ETH-USDC,1730937600000,2716.5,2916.8,2716.3,2897,859.76565601
ETH-USDC,1730851200000,2424.5,2745.1,2424.3,2719.7,1733.12062786
ETH-USDC,1730764800000,2401,2478.6,2383.7,2423.5,756.45920223
ETH-USDC,1730678400000,2459.6,2482,2357.6,2396.6,345.37425447
ETH-USDC,1730592000000,2482.6,2482.6,2411.1,2452.4,132.57608178
ETH-USDC,1730505600000,2512.9,2518.4,2471,2488,37.09346831
ETH-USDC,1730419200000,2500,2574.9,2471,2510.5,87.71623806
ETH-USDC,1730332800000,2656.6,2662.7,2505,2517.2,105.65727279
ETH-USDC,1730246400000,2615.7,2720.4,2615.7,2665.7,77.60635163
ETH-USDC,1730160000000,2566,2679,2561.9,2630,73.72513842
ETH-USDC,1730073600000,2500.4,2586.1,2471.7,2566.2,198.70553051
ETH-USDC,1729987200000,2470.4,2514.7,2470.4,2514.7,22.80950322
ETH-USDC,1729900800000,2429.2,2501.9,2429.2,2484.5,20.01005324
ETH-USDC,1729814400000,2530.9,2558.7,2392.3,2426.6,188.11521953
ETH-USDC,1729728000000,2542.3,2554.6,2511.3,2535,94.7132338
ETH-USDC,1729641600000,2625.8,2625.9,2450,2504.6,180.97045379
ETH-USDC,1729555200000,2651.9,2651.9,2610.2,2631.7,79.67691081
ETH-USDC,1729468800000,2759.9,2768,2657.5,2682.7,85.33321513
ETH-USDC,1729382400000,2651.7,2748.9,2642.7,2748.9,149.45678241
ETH-USDC,1729296000000,2640.5,2661,2635.4,2645.9,39.62498777
ETH-USDC,1729209600000,2632.5,2667.2,2612.5,2644.2,58.51505865
ETH-USDC,1729123200000,2625.9,2629.6,2581.3,2604.8,54.59825521
ETH-USDC,1729036800000,2613.9,2641.9,2595.6,2612.6,67.8768244
ETH-USDC,1728950400000,2609.2,2682,2553,2575,55.27560387
ETH-USDC,1728864000000,2490,2654.5,2490,2638.7,403.28236791
ETH-USDC,1728777600000,2476.2,2476.2,2440.2,2466.6,19.61458236
ETH-USDC,1728691200000,2448.2,2481.5,2442.1,2478.5,11.5838589
ETH-USDC,1728604800000,2382.3,2461,2382.3,2445.9,188.58737341
ETH-USDC,1728518400000,2392.2,2406.2,2334.2,2383,59.1042648
ETH-USDC,1728432000000,2446.1,2451.2,2371.5,2371.5,24.52488739
ETH-USDC,1728345600000,2435.8,2461.5,2409.9,2461.5,57.95139386
ETH-USDC,1728259200000,2453.5,2520,2405,2426.5,140.6558577
ETH-USDC,1728172800000,2418,2450.9,2414.8,2425,4.79201245
ETH-USDC,1728086400000,2424.7,2426.4,2395.5,2395.5,8.02537168
ETH-USDC,1728000000000,2390.7,2438.6,2354.8,2424.4,33.15777491
ETH-USDC,1727913600000,2359.6,2394.3,2309.7,2354.8,47.66096603
ETH-USDC,1727827200000,2478.9,2492.5,2354.3,2365.5,45.85866034
ETH-USDC,1727740800000,2617.4,2651.4,2420.7,2451.5,149.46363162
ETH-USDC,1727654400000,2640,2647.8,2580.1,2605.9,94.63375156
ETH-USDC,1727568000000,2657.6,2669.2,2638.3,2663.4,11.49046863
ETH-USDC,1727481600000,2694.9,2699.5,2653.6,2664.9,61.5991654
ETH-USDC,1727395200000,2631.2,2722,2620.9,2707.2,77.07002927
ETH-USDC,1727308800000,2568.2,2659.9,2564.5,2642.7,156.56145109
ETH-USDC,1727222400000,2648.8,2665.7,2570.5,2584.4,37.39001744
ETH-USDC,1727136000000,2649.9,2663.9,2594.4,2653.9,167.33407041
ETH-USDC,1727049600000,2554.3,2700,2554.3,2652.1,92.22740171
