market,time,open,high,low,close,volume
ETHFI-EUR,1741132800000,0.798,0.81671,0.76588,0.78652,648984.63126644
ETHFI-EUR,1741046400000,0.79154,0.81556,0.7107,0.78768,4297497.67775279
ETHFI-EUR,1740960000000,1.0093,1.0093,0.78863,0.80068,1129483.74249943
ETHFI-EUR,1740873600000,0.88788,1.0261,0.87539,1.0077,639242.04763901
ETHFI-EUR,1740787200000,0.90179,0.92021,0.85989,0.89979,249778.27279659
ETHFI-EUR,1740700800000,0.91746,0.92538,0.83042,0.91332,939072.61573991
ETHFI-EUR,1740614400000,0.91,0.94543,0.9,0.92254,402726.77142941
ETHFI-EUR,1740528000000,0.91259,0.93503,0.84529,0.9092,655554.21701294
ETHFI-EUR,1740441600000,0.91235,0.93602,0.84501,0.92359,1834542.26135386
ETHFI-EUR,1740355200000,1.1016,1.1023,0.89074,0.90315,603759.82825773
ETHFI-EUR,1740268800000,1.1221,1.1355,1.0854,1.099,188100.58562464
ETHFI-EUR,1740182400000,1.0627,1.1349,1.0622,1.1183,130069.14242511
ETHFI-EUR,1740096000000,1.1084,1.1958,1.0468,1.0669,439191.81996659
ETHFI-EUR,1740009600000,1.0803,1.1293,1.0697,1.1099,272424.15797794
ETHFI-EUR,1739923200000,1.0467,1.0839,1.011,1.0698,267889.88219297
ETHFI-EUR,1739836800000,1.087,1.0902,0.98103,1.0374,456660.92042521
ETHFI-EUR,1739750400000,1.0581,1.144,1.0394,1.0892,524502.18922542
ETHFI-EUR,1739664000000,1.0615,1.0777,1.0267,1.0407,188438.87548732
ETHFI-EUR,1739577600000,1.1166,1.1166,1.0376,1.0586,238306.90119726
ETHFI-EUR,1739491200000,1.1181,1.1559,1.088,1.113,231841.13068896
ETHFI-EUR,1739404800000,1.152,1.1759,1.0867,1.1177,303010.38711573
ETHFI-EUR,1739318400000,1.0643,1.1665,0.986,1.141,402853.21356735
ETHFI-EUR,1739232000000,1.0979,1.1679,1.0421,1.0501,249070.11393355
ETHFI-EUR,1739145600000,1.0831,1.1212,1.0469,1.0868,247505.21561492
ETHFI-EUR,1739059200000,1.1166,1.1426,1.0196,1.0838,132492.64061849
ETHFI-EUR,1738972800000,1.0679,1.0991,1.0438,1.0991,79529.21091375
ETHFI-EUR,1738886400000,1.0583,1.1587,1.0152,1.055,372295.0880635
ETHFI-EUR,1738800000000,1.1243,1.1455,1.0406,1.0525,190223.24242783
ETHFI-EUR,1738713600000,1.1323,1.1885,1.0907,1.1158,556248.81151846
ETHFI-EUR,1738627200000,1.2347,1.2361,1.0822,1.1421,826063.63548647
ETHFI-EUR,1738540800000,1.1457,1.52,0.79762,1.2416,774265.02997419
ETHFI-EUR,1738454400000,1.3944,1.4198,1.11,1.1477,715725.50419305
ETHFI-EUR,1738368000000,1.5927,1.6072,1.3785,1.4026,161724.97731201
ETHFI-EUR,1738281600000,1.5166,1.6746,1.483,1.5861,61229.8887573
ETHFI-EUR,1738195200000,1.4617,1.5816,1.4617,1.5198,64370.90632211
ETHFI-EUR,1738108800000,1.3842,1.554,1.3753,1.4823,361507.3643187
ETHFI-EUR,1738022400000,1.5434,1.564,1.3579,1.3832,142511.39638013
ETHFI-EUR,1737936000000,1.5857,1.5872,1.4164,1.5368,1002236.07088445
ETHFI-EUR,1737849600000,1.6449,1.6857,1.5872,1.5994,143971.42822499
ETHFI-EUR,1737763200000,1.5931,1.6666,1.5701,1.6386,139281.47368994
ETHFI-EUR,1737676800000,1.6994,1.76,1.5929,1.6039,322114.34772352
ETHFI-EUR,1737590400000,1.6741,1.7037,1.5964,1.6923,175442.88332668
ETHFI-EUR,1737504000000,1.7756,1.7844,1.6615,1.6765,94996.05076645
ETHFI-EUR,1737417600000,1.7045,1.7789,1.6093,1.7622,368985.98492988
ETHFI-EUR,1737331200000,1.7199,1.9747,1.647,1.7345,808485.19140311
ETHFI-EUR,1737244800000,1.8322,1.9755,1.6595,1.7383,446708.04228326
ETHFI-EUR,1737158400000,2.0686,2.0866,1.795,1.8341,274317.82672661
ETHFI-EUR,1737072000000,1.9752,2.099,1.9752,2.0708,116671.57686685
ETHFI-EUR,1736985600000,1.9951,2.0278,1.9009,1.9674,183050.10085588
ETHFI-EUR,1736899200000,1.8405,2.0102,1.7855,1.981,144333.89158095
ETHFI-EUR,1736812800000,1.7461,1.8541,1.7325,1.8433,115750.34559936
ETHFI-EUR,1736726400000,1.8207,1.8703,1.6053,1.7413,224773.96800175
ETHFI-EUR,1736640000000,1.8586,1.8854,1.7857,1.8101,37755.87155976
ETHFI-EUR,1736553600000,1.882,1.9,1.838,1.8572,34643.96275952
ETHFI-EUR,1736467200000,1.8351,1.9231,1.8062,1.8739,205658.96651222
ETHFI-EUR,1736380800000,1.8956,1.9089,1.7682,1.8177,172239.22831788
ETHFI-EUR,1736294400000,2.0321,2.0422,1.8,1.8967,171984.63440181
ETHFI-EUR,1736208000000,2.3227,2.3227,2.0176,2.0317,214008.01223647
ETHFI-EUR,1736121600000,2.3101,2.4091,2.2674,2.2897,141435.09292399
ETHFI-EUR,1736035200000,2.3161,2.3301,2.2239,2.305,15954.56651344
ETHFI-EUR,1735948800000,2.3162,2.3934,2.2629,2.3238,73945.13774562
ETHFI-EUR,1735862400000,2.1741,2.342,2.1115,2.3126,127000.91978754
ETHFI-EUR,1735776000000,2.1175,2.2095,2.1067,2.1766,135156.19734469
ETHFI-EUR,1735689600000,2.0899,2.1273,2.002,2.1033,75310.13458208
ETHFI-EUR,1735603200000,2.0166,2.2011,1.9627,2.0977,152569.87613682
ETHFI-EUR,1735516800000,1.9189,2.0884,1.9073,2.0233,205606.73097103
ETHFI-EUR,1735430400000,2.0013,2.0013,1.8821,1.9032,37634.56808535
ETHFI-EUR,1735344000000,1.9305,2.0007,1.891,2.0007,16429.01668693
ETHFI-EUR,1735257600000,1.8159,2.0239,1.8047,1.9164,80715.88281933
ETHFI-EUR,1735171200000,1.9578,1.9663,1.7914,1.8096,48010.72494561
ETHFI-EUR,1735084800000,2.0306,2.0567,1.9541,1.9766,49657.54485769
ETHFI-EUR,1734998400000,2.024,2.0658,1.9432,2.0466,51583.02558998
ETHFI-EUR,1734912000000,1.8714,2.0708,1.8147,2.0184,97234.76990683
ETHFI-EUR,1734825600000,1.874,1.9565,1.8241,1.8715,26852.80964137
ETHFI-EUR,1734739200000,2.0405,2.2016,1.8658,1.8847,48539.17701476
ETHFI-EUR,1734652800000,2.0089,2.0768,1.7077,2.0553,398604.39924239
ETHFI-EUR,1734566400000,2.3647,2.3709,1.95,2.026,358484.68143523
ETHFI-EUR,1734480000000,2.4909,2.559,2.2674,2.3564,185214.21259263
ETHFI-EUR,1734393600000,2.6859,2.7426,2.4633,2.4872,131764.33919449
ETHFI-EUR,1734307200000,2.6289,2.8065,2.5639,2.6834,356126.21488585
ETHFI-EUR,1734220800000,2.4731,2.6357,2.4457,2.6153,199720.7499135
ETHFI-EUR,1734134400000,2.597,2.6197,2.3771,2.4851,78711.62344147
ETHFI-EUR,1734048000000,2.6027,2.6703,2.4942,2.5541,134681.49738275
ETHFI-EUR,1733961600000,2.5067,2.7526,2.5067,2.6004,161079.16059257
ETHFI-EUR,1733875200000,2.2781,2.5273,2.178,2.4914,192113.52908566
ETHFI-EUR,1733788800000,2.2369,2.4527,2.0908,2.2782,678723.55174656
ETHFI-EUR,1733702400000,2.7966,2.7966,1.9578,2.2759,745756.22691615
ETHFI-EUR,1733616000000,2.8095,2.8118,2.687,2.7957,92214.28024887
ETHFI-EUR,1733529600000,2.8082,2.8956,2.7474,2.8015,94783.03129023
ETHFI-EUR,1733443200000,2.5122,2.9827,2.5093,2.8038,538090.16429877
ETHFI-EUR,1733356800000,2.5723,2.6472,2.4224,2.5241,524787.59894004
ETHFI-EUR,1733270400000,2.4963,2.75,2.4963,2.5637,364936.61887843
ETHFI-EUR,1733184000000,2.5011,2.56,2.277,2.5199,511084.28822791
ETHFI-EUR,1733097600000,2.4103,2.5308,2.2002,2.5288,450004.91273028
ETHFI-EUR,1733011200000,2.4188,2.486,2.33,2.4017,170648.49854253
ETHFI-EUR,1732924800000,2.2113,2.4594,2.2103,2.424,161626.41120465
ETHFI-EUR,1732838400000,2.2617,2.2753,2.1692,2.216,149562.25229515
ETHFI-EUR,1732752000000,2.3973,2.55,2.1993,2.2595,322892.93019252
ETHFI-EUR,1732665600000,2.0722,2.4366,2.0052,2.4011,691296.80623452
ETHFI-EUR,1732579200000,2.139,2.1633,1.8923,2.0662,677103.14838175
ETHFI-EUR,1732492800000,2.0905,2.2225,1.9645,2.1371,818407.26484394
ETHFI-EUR,1732406400000,2.0209,2.156,1.7915,2.1071,443608.97255941
ETHFI-EUR,1732320000000,1.7931,2.0841,1.7639,2.003,339753.9237326
ETHFI-EUR,1732233600000,1.8211,1.8579,1.6857,1.795,795687.24935639
ETHFI-EUR,1732147200000,1.4174,1.9362,1.3438,1.8191,1742563.05183349
ETHFI-EUR,1732060800000,1.4889,1.5131,1.3781,1.401,176335.50894897
ETHFI-EUR,1731974400000,1.5948,1.6134,1.4609,1.4963,247421.31115926
ETHFI-EUR,1731888000000,1.4615,1.6076,1.4576,1.5924,367989.20206309
ETHFI-EUR,1731801600000,1.5834,1.5971,1.4347,1.4613,154884.12827879
ETHFI-EUR,1731715200000,1.4472,1.5889,1.445,1.5707,183262.5631367
ETHFI-EUR,1731628800000,1.3914,1.4697,1.3481,1.4582,184597.9541632
ETHFI-EUR,1731542400000,1.4853,1.5645,1.36,1.368,349340.82699749
ETHFI-EUR,1731456000000,1.5906,1.5923,1.4049,1.4814,517302.8364772
ETHFI-EUR,1731369600000,1.7406,1.7961,1.4701,1.5827,1117233.02195137
ETHFI-EUR,1731283200000,1.6831,1.7828,1.5909,1.7425,766483.61038744
ETHFI-EUR,1731196800000,1.5555,1.7815,1.5157,1.6927,691269.89031364
ETHFI-EUR,1731110400000,1.49,1.5834,1.4548,1.5679,91173.37410377
ETHFI-EUR,1731024000000,1.5033,1.5144,1.398,1.4741,113296.55028544
ETHFI-EUR,1730937600000,1.4186,1.5274,1.4092,1.4705,337102.31833035
ETHFI-EUR,1730851200000,1.1996,1.4503,1.1964,1.414,589697.06386849
ETHFI-EUR,1730764800000,1.1424,1.2074,1.1319,1.1957,287313.03991478
ETHFI-EUR,1730678400000,1.1656,1.1984,1.0939,1.1257,259732.552565
ETHFI-EUR,1730592000000,1.2292,1.2292,1.1,1.1697,307194.97854144
ETHFI-EUR,1730505600000,1.293,1.3037,1.2143,1.2251,102312.49420606
ETHFI-EUR,1730419200000,1.3264,1.3618,1.2606,1.2744,138675.84222997
ETHFI-EUR,1730332800000,1.4202,1.4202,1.3075,1.3163,252514.77683628
ETHFI-EUR,1730246400000,1.3788,1.4724,1.354,1.409,227752.06452198
ETHFI-EUR,1730160000000,1.3336,1.4014,1.3306,1.3762,134633.36533344
ETHFI-EUR,1730073600000,1.308,1.3434,1.2377,1.3129,151367.99011886
ETHFI-EUR,1729987200000,1.2915,1.3352,1.276,1.3246,62457.99532289
ETHFI-EUR,1729900800000,1.2301,1.3111,1.2097,1.3028,300059.92729857
ETHFI-EUR,1729814400000,1.429,1.4336,1.2,1.2381,643700.12308557
ETHFI-EUR,1729728000000,1.4416,1.4607,1.3958,1.4328,115985.43004074
ETHFI-EUR,1729641600000,1.5024,1.5024,1.3992,1.43,65468.6274785
ETHFI-EUR,1729555200000,1.5092,1.5446,1.4858,1.5195,89605.81399411
ETHFI-EUR,1729468800000,1.6032,1.6464,1.5096,1.5163,82978.13526605
ETHFI-EUR,1729382400000,1.5227,1.6307,1.477,1.6093,71136.52462615
ETHFI-EUR,1729296000000,1.5363,1.5363,1.4714,1.4968,41756.70072399
ETHFI-EUR,1729209600000,1.4528,1.5398,1.4528,1.504,27428.18557144
ETHFI-EUR,1729123200000,1.5398,1.5666,1.4314,1.4492,104729.55427243
ETHFI-EUR,1729036800000,1.6096,1.635,1.518,1.539,158704.46910758
ETHFI-EUR,1728950400000,1.5393,1.7048,1.5267,1.606,366830.57589009
ETHFI-EUR,1728864000000,1.3624,1.5604,1.3495,1.5492,233496.16530007
ETHFI-EUR,1728777600000,1.3573,1.363,1.2941,1.3618,57615.79630676
ETHFI-EUR,1728691200000,1.3488,1.3868,1.3298,1.3601,58363.80057633
ETHFI-EUR,1728604800000,1.2636,1.3638,1.2502,1.3371,228322.36967744
ETHFI-EUR,1728518400000,1.2544,1.2852,1.2106,1.2568,182212.18887597
ETHFI-EUR,1728432000000,1.335,1.3601,1.2411,1.2653,75429.32543938
ETHFI-EUR,1728345600000,1.3482,1.3698,1.2914,1.3098,22396.22050156
ETHFI-EUR,1728259200000,1.3387,1.4099,1.321,1.3382,121482.28240535
ETHFI-EUR,1728172800000,1.294,1.3489,1.2817,1.3266,71981.65592847
ETHFI-EUR,1728086400000,1.3268,1.3413,1.244,1.2785,127528.48750516
ETHFI-EUR,1728000000000,1.2221,1.3376,1.2183,1.3121,226397.02640019
ETHFI-EUR,1727913600000,1.2915,1.2999,1.1861,1.2258,357440.32202738
ETHFI-EUR,1727827200000,1.336,1.4751,1.2466,1.2766,303826.12625162
ETHFI-EUR,1727740800000,1.5993,1.657,1.3078,1.3405,305458.98891367
ETHFI-EUR,1727654400000,1.5746,1.6722,1.5217,1.5939,319767.07841993
ETHFI-EUR,1727568000000,1.5281,1.6413,1.4822,1.5855,168040.2330342
ETHFI-EUR,1727481600000,1.5755,1.6256,1.4543,1.4997,92409.3462371
ETHFI-EUR,1727395200000,1.5019,1.5974,1.454,1.5697,195776.4689029
ETHFI-EUR,1727308800000,1.342,1.5178,1.3233,1.4974,643082.24158728
