market,time,open,high,low,close,volume
EUROC-EUR,1741132800000,0.99675,1.0018,0.99671,0.99968,8870.238281
EUROC-EUR,1741046400000,0.99783,1.0025,0.99644,0.99682,13110.80892
EUROC-EUR,1740960000000,0.99999,1.0021,0.99753,0.99972,13009.745139
EUROC-EUR,1740873600000,0.99782,1.002,0.99744,1.0007,4697.012976
EUROC-EUR,1740787200000,1.0002,1.0029,0.99781,1.0001,1796.495502
EUROC-EUR,1740700800000,1.0001,1.003,0.99655,0.99977,23329.394286
EUROC-EUR,1740614400000,1,1.0023,0.99499,1,64285.673621
EUROC-EUR,1740528000000,1,1.003,0.99656,1.0003,27041.655032
EUROC-EUR,1740441600000,1.0003,1.003,0.99655,0.99655,66216.975283
EUROC-EUR,1740355200000,0.99873,1.0034,0.99873,1.0034,11332.995273
EUROC-EUR,1740268800000,1.0008,1.0018,0.99801,0.99945,1906.445905
EUROC-EUR,1740182400000,0.99667,1.0018,0.99626,0.99733,3840.278642
EUROC-EUR,1740096000000,1.0029,1.0034,0.99627,0.99655,17805.160208
EUROC-EUR,1740009600000,1,1.0028,0.9966,0.99954,81474.099647
EUROC-EUR,1739923200000,1,1.0023,0.99759,1.0003,64479.728168
EUROC-EUR,1739836800000,0.99967,1.0023,0.99738,0.9997,58954.590644
EUROC-EUR,1739750400000,0.99985,1.0022,0.9976,0.99982,45359.146007
EUROC-EUR,1739664000000,1,1.002,0.99781,0.99936,24994.200888
EUROC-EUR,1739577600000,1,1.003,0.99781,1,73302.053939
EUROC-EUR,1739491200000,0.99965,1.0033,0.99801,1.0006,51678.241826
EUROC-EUR,1739404800000,1.0029,1.0029,0.99781,1.0001,9217.9921
EUROC-EUR,1739318400000,1.0002,1.0033,0.99755,1.0029,39071.24552
EUROC-EUR,1739232000000,1.0021,1.0029,1,1.0018,2877.186669
EUROC-EUR,1739145600000,1.0001,1.002,0.99954,1.0002,9882.698172
EUROC-EUR,1739059200000,1.0006,1.0021,0.9992,1.0018,9342.114804
EUROC-EUR,1738972800000,1.0006,1.0024,0.9996,1.0001,7299.744328
EUROC-EUR,1738886400000,1.0012,1.0024,0.99903,1.0006,9985.074166
EUROC-EUR,1738800000000,1.0019,1.0023,0.99781,0.99781,12014.047363
EUROC-EUR,1738713600000,0.99968,1.0019,0.99746,1.0019,6351.760391
EUROC-EUR,1738627200000,0.99781,1.0034,0.99781,0.99972,6506.00918
EUROC-EUR,1738540800000,1.0018,1.0035,0.99413,1.0011,101737.673655
EUROC-EUR,1738454400000,1.0019,1.0034,0.9963,0.99781,49186.50319
EUROC-EUR,1738368000000,1.0018,1.0019,0.99756,0.99801,8247.027265
EUROC-EUR,1738281600000,1.0019,1.0019,0.99781,0.99781,8293.646952
EUROC-EUR,1738195200000,0.99781,1.002,0.99773,0.99781,19426.473038
EUROC-EUR,1738108800000,1.0018,1.0018,0.99781,1.0018,22306.373016
EUROC-EUR,1738022400000,0.99781,1.002,0.99781,1.0018,21604.654287
EUROC-EUR,1737936000000,1.0018,1.0055,0.99625,0.99781,69708.481859
EUROC-EUR,1737849600000,0.99781,1.0018,0.99551,1.0018,41690.653173
