market,time,open,high,low,close,volume
F-EUR,1741132800000,0.025364,0.0258,0.024,0.024637,1551233.24794873
F-EUR,1741046400000,0.026673,0.026797,0.023569,0.024691,5021627.49384533
F-EUR,1740960000000,0.028577,0.029894,0.026461,0.028,2590199.85374519
F-EUR,1740873600000,0.028896,0.030281,0.028305,0.028994,5924642.77095867
F-EUR,1740787200000,0.029464,0.029899,0.028462,0.028726,2390484.9591125
F-EUR,1740700800000,0.030295,0.030425,0.027916,0.029568,6979038.45385792
F-EUR,1740614400000,0.029046,0.031444,0.029046,0.030319,5362762.75851718
F-EUR,1740528000000,0.03011,0.032073,0.028649,0.02889,3297673.97181011
F-EUR,1740441600000,0.028359,0.033603,0.026729,0.029944,7392306.86759069
F-EUR,1740355200000,0.031761,0.031789,0.028066,0.028249,4324894.58986404
F-EUR,1740268800000,0.032892,0.034151,0.030993,0.03141,9207108.39183006
F-EUR,1740182400000,0.036927,0.039719,0.031501,0.03275,27137678.78779342
F-EUR,1740096000000,0.029698,0.0495,0.029476,0.036688,38462120.90293959
F-EUR,1740009600000,0.029375,0.030165,0.028316,0.029707,4478437.57955594
F-EUR,1739923200000,0.027739,0.029576,0.027638,0.029349,3190969.35449995
F-EUR,1739836800000,0.028729,0.030934,0.027274,0.027415,5876483.0949976
F-EUR,1739750400000,0.028736,0.032698,0.027385,0.02875,10606338.69266193
F-EUR,1739664000000,0.028489,0.032107,0.028111,0.028943,3695949.1171548
F-EUR,1739577600000,0.028056,0.029114,0.027936,0.028439,2239511.13402747
F-EUR,1739491200000,0.028214,0.029267,0.0278,0.028043,2314727.79549096
F-EUR,1739404800000,0.031134,0.031449,0.028119,0.028193,1874339.2563673
F-EUR,1739318400000,0.033274,0.033274,0.030401,0.03118,3323757.91988226
F-EUR,1739232000000,0.033631,0.036594,0.030001,0.033529,8776244.34976942
F-EUR,1739145600000,0.035737,0.043729,0.032836,0.033455,29788956.21984267
F-EUR,1739059200000,0.027675,0.0375,0.026587,0.035658,23362490.21200296
F-EUR,1738972800000,0.0276,0.028357,0.026432,0.028254,1134797.65741681
F-EUR,1738886400000,0.02721,0.029356,0.027056,0.027772,367716.54410779
F-EUR,1738800000000,0.028915,0.030121,0.02699,0.027166,631089.21911255
F-EUR,1738713600000,0.030228,0.030909,0.028916,0.029035,235108.64125786
F-EUR,1738627200000,0.033449,0.033561,0.029565,0.029999,800397.05306268
F-EUR,1738540800000,0.033205,0.034236,0.025224,0.033769,1197745.76431033
F-EUR,1738454400000,0.036831,0.038206,0.033329,0.035263,3553584.95679432
F-EUR,1738368000000,0.03846,0.039022,0.036449,0.036705,1498205.64137414
F-EUR,1738281600000,0.03925,0.040811,0.038492,0.038767,1444989.14202923
F-EUR,1738195200000,0.038924,0.043067,0.038897,0.039345,1317100.23419412
F-EUR,1738108800000,0.037739,0.041058,0.037739,0.039,994929.09082662
F-EUR,1738022400000,0.040282,0.041127,0.03719,0.037408,1352440.64444621
F-EUR,1737936000000,0.039676,0.040956,0.037323,0.040009,4710373.27506938
F-EUR,1737849600000,0.043692,0.048121,0.039701,0.039701,3561683.43672037
F-EUR,1737763200000,0.043776,0.045838,0.042096,0.043704,3456942.17730557
F-EUR,1737676800000,0.05151,0.056,0.043146,0.044017,27717107.81787573
F-EUR,1737590400000,0.038781,0.055021,0.037846,0.052016,21516851.69470758
F-EUR,1737504000000,0.039497,0.04121,0.038777,0.039247,2167570.47480496
F-EUR,1737417600000,0.039249,0.044622,0.038501,0.039674,5968342.96318506
F-EUR,1737331200000,0.041224,0.047271,0.038514,0.039153,8203411.50451258
F-EUR,1737244800000,0.05,0.050796,0.040861,0.041406,22472354.91652172
F-EUR,1737158400000,0.058968,0.061983,0.048921,0.050491,44236002.80233464
F-EUR,1737072000000,0.036078,0.0734,0.036078,0.058968,134659560.38071963
F-EUR,1736985600000,0.038264,0.038264,0.035763,0.03617,2988397.89262844
F-EUR,1736899200000,0.039039,0.039042,0.035127,0.038334,3650128.48044993
F-EUR,1736812800000,0.038423,0.04045,0.038396,0.039105,845536.31863256
F-EUR,1736726400000,0.04311,0.04311,0.036559,0.038574,2438502.46891995
F-EUR,1736640000000,0.044131,0.044147,0.041627,0.042432,1107701.92814633
F-EUR,1736553600000,0.044937,0.044937,0.043766,0.044226,551582.7870664
F-EUR,1736467200000,0.04425,0.045387,0.043613,0.045046,1603089.24132691
F-EUR,1736380800000,0.048008,0.048176,0.043399,0.045028,1059685.42619305
F-EUR,1736294400000,0.05,0.05,0.045282,0.048024,1213564.57405351
F-EUR,1736208000000,0.052409,0.061,0.05,0.050337,5988174.49930651
F-EUR,1736121600000,0.051618,0.054643,0.051109,0.052033,1836430.41960451
F-EUR,1736035200000,0.051889,0.052199,0.050755,0.051449,1778360.8277644
F-EUR,1735948800000,0.051648,0.0544,0.05074,0.051647,2218665.34286167
F-EUR,1735862400000,0.050108,0.052741,0.048165,0.052379,2020997.74783783
F-EUR,1735776000000,0.049,0.051495,0.048742,0.050218,1904359.02175931
F-EUR,1735689600000,0.04827,0.049792,0.046975,0.048906,1082990.21793835
F-EUR,1735603200000,0.0485,0.049933,0.047564,0.047701,1196490.01064487
F-EUR,1735516800000,0.050523,0.053142,0.048,0.048874,1915850.31557198
F-EUR,1735430400000,0.0499,0.052842,0.047845,0.051112,1872961.88678011
F-EUR,1735344000000,0.051282,0.053622,0.049,0.049961,1466344.12590618
F-EUR,1735257600000,0.046612,0.0591,0.046196,0.050263,18437124.4219546
F-EUR,1735171200000,0.050898,0.050991,0.045841,0.046495,3715550.0224788
F-EUR,1735084800000,0.051216,0.055709,0.049402,0.051102,3589618.29348537
F-EUR,1734998400000,0.050666,0.052331,0.048469,0.051814,1694978.63953486
F-EUR,1734912000000,0.048058,0.052163,0.047127,0.050547,2082142.17741017
F-EUR,1734825600000,0.049412,0.050493,0.046739,0.048424,2105923.7423326
F-EUR,1734739200000,0.052272,0.059211,0.0489,0.04933,2962449.57972825
F-EUR,1734652800000,0.050747,0.053217,0.044278,0.052866,2419281.57369213
F-EUR,1734566400000,0.0576,0.063493,0.050035,0.051026,5615760.58219181
F-EUR,1734480000000,0.058565,0.065307,0.0576,0.0576,6264989.18553133
F-EUR,1734393600000,0.067055,0.067263,0.056623,0.058575,5220212.40752494
F-EUR,1734307200000,0.070301,0.073586,0.066577,0.067102,5883759.60800287
F-EUR,1734220800000,0.069126,0.073954,0.067986,0.070405,3330105.01047525
F-EUR,1734134400000,0.07231,0.07783,0.06514,0.06944,8174765.87497905
F-EUR,1734048000000,0.082782,0.085699,0.071221,0.072358,8963715.49623626
F-EUR,1733961600000,0.072695,0.095165,0.072621,0.082782,25194240.33218186
F-EUR,1733875200000,0.07043,0.077776,0.064423,0.072996,16038473.79987378
F-EUR,1733788800000,0.059627,0.09442,0.053636,0.0705,61160052.84408983
F-EUR,1733702400000,0.078,0.081025,0.054,0.059684,34023397.13782426
F-EUR,1733616000000,0.082807,0.085322,0.075679,0.078005,21674156.18343312
F-EUR,1733529600000,0.098452,0.10022,0.08,0.08306,41157146.60201228
F-EUR,1733443200000,0.10493,0.14651,0.06775,0.099062,75174420.54578455
